,Ukraine,Germany,Belgium,Czechoslovakia,Poland,Sweden,Switzerland,USSR,Romania,Azerbaijan,Spain,Uzbekistan,Russian Federation,Denmark,Ireland,The former Yugoslav Republic of Macedonia,Japan,Latvia,Yugoslav SFR,Slovakia,Czechia,United Kingdom,Austria,Chile,Hungary,Greece,New Zealand,Estonia,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Lithuania,Slovenia,Finland,Netherlands,Republic of Moldova,Kyrgyzstan,Norway,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,25.0,-1.0,700.0,390.0,94.0,365.0,1499.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,700.0,407.0,97.0,383.0,1623.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0,700.0,422.0,105.0,396.0,1655.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,32.0,-1.0,700.0,387.0,97.0,355.0,1687.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,700.0,350.0,93.0,310.0,1250.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,38.0,-1.0,750.0,319.0,93.0,281.0,1220.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3300.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2750.0,-1.0,-1.0,-1.0,-1.0,36.0,-1.0,700.0,258.0,93.0,222.0,1265.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2750.0,-1.0,-1.0,-1.0,-1.0,42.0,-1.0,720.0,281.0,81.0,239.0,1302.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,45.0,-1.0,829.0,279.0,85.0,234.0,1286.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,968.0,288.0,69.0,238.0,1200.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1971,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,62.0,-1.0,924.0,300.0,69.0,238.0,1200.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
