,Cameroon,Sudan,Jordan,Central African Republic,China,Ethiopia PDR,Sudan (former),"China, mainland",Chad,South Sudan,Nigeria,Senegal,Mali,Congo
1961,4200.0,,0.0,700.0,0.0,4000.0,1400.0,0.0,1725.0,,9900.0,85.0,0.0,48.0
1962,4200.0,,0.0,720.0,0.0,4100.0,1500.0,0.0,1800.0,,10100.0,90.0,0.0,51.0
1963,4350.0,,0.0,740.0,0.0,4200.0,1500.0,0.0,1875.0,,11600.0,95.0,0.0,53.0
1964,4200.0,,0.0,760.0,0.0,4300.0,1750.0,0.0,1950.0,,11000.0,100.0,0.0,54.0
1965,4350.0,,0.0,780.0,0.0,4400.0,2000.0,0.0,2025.0,,11400.0,100.0,0.0,56.0
1966,4500.0,,0.0,800.0,0.0,4500.0,2000.0,0.0,2100.0,,8300.0,90.0,0.0,57.0
1967,4274.0,,0.0,850.0,0.0,4600.0,1950.0,0.0,2175.0,,7900.0,1170.0,0.0,59.0
1968,4099.0,,0.0,860.0,0.0,4700.0,1750.0,0.0,2250.0,,10300.0,330.0,0.0,59.0
1969,4500.0,,0.0,900.0,0.0,4900.0,1750.0,0.0,2250.0,,6500.0,910.0,0.0,60.0
1970,4888.0,,0.0,900.0,0.0,5000.0,1750.0,0.0,2325.0,,10900.0,150.0,0.0,60.0
1971,5148.0,,0.0,900.0,0.0,5200.0,1900.0,0.0,2325.0,,6300.0,300.0,0.0,60.0
1972,6300.0,,0.0,900.0,0.0,5400.0,1650.0,0.0,2325.0,,9100.0,500.0,0.0,63.0
1973,5431.0,,0.0,950.0,0.0,5600.0,1600.0,0.0,2400.0,,18200.0,870.0,0.0,63.0
1974,6769.0,,0.0,950.0,0.0,6000.0,1600.0,0.0,2550.0,,4900.0,500.0,2.0,63.0
1975,8278.0,,0.0,1000.0,0.0,6500.0,1600.0,0.0,2625.0,,20800.0,590.0,0.0,65.0
1976,8637.0,,0.0,1000.0,0.0,6300.0,1750.0,0.0,2775.0,,16600.0,380.0,0.0,66.0
1977,8780.0,,0.0,1030.0,0.0,6800.0,1600.0,0.0,2400.0,,14200.0,380.0,0.0,68.0
1978,7080.0,,0.0,1060.0,0.0,7200.0,1750.0,0.0,2550.0,,10600.0,162.0,0.0,69.0
1979,7163.0,,0.0,1080.0,0.0,7500.0,2000.0,0.0,2850.0,,10400.0,59.0,0.0,71.0
1980,7350.0,,361.0,1100.0,0.0,7800.0,2250.0,0.0,3000.0,,9400.0,100.0,0.0,72.0
1981,7500.0,,492.0,1200.0,0.0,8000.0,2500.0,0.0,3150.0,,7800.0,150.0,0.0,74.0
1982,7575.0,,516.0,1200.0,0.0,8000.0,3250.0,0.0,3150.0,,7400.0,150.0,0.0,75.0
1983,7500.0,,727.0,1300.0,0.0,8100.0,2750.0,0.0,3225.0,,14400.0,170.0,0.0,77.0
1984,7800.0,,501.0,1400.0,0.0,8200.0,2500.0,0.0,3000.0,,14300.0,170.0,0.0,78.0
1985,7800.0,,473.0,1400.0,0.0,8300.0,2250.0,0.0,3000.0,,14700.0,170.0,0.0,81.0
1986,7950.0,,597.0,1315.0,0.0,8400.0,2150.0,0.0,3000.0,,15300.0,170.0,0.0,84.0
1987,7950.0,,557.0,1181.0,700.0,8500.0,2150.0,700.0,3000.0,,14500.0,170.0,0.0,86.0
1988,7980.0,,0.0,1319.0,700.0,8600.0,2490.0,700.0,3000.0,,27500.0,170.0,0.0,87.0
1989,8070.0,,414.0,1627.0,805.0,8700.0,2248.0,805.0,3000.0,,20400.0,170.0,0.0,90.0
1990,8145.0,,572.0,1280.0,1330.0,8800.0,2000.0,1330.0,2798.0,,20800.0,145.0,0.0,93.0
1991,8250.0,,512.0,1290.0,1400.0,8900.0,1750.0,1400.0,3864.0,,21900.0,151.0,0.0,96.0
1992,8489.0,,993.0,1300.0,1400.0,9000.0,2400.0,1400.0,3199.0,,23100.0,122.0,0.0,99.0
1993,8740.0,,781.0,1290.0,500.0,,2500.0,500.0,2617.0,,24300.0,130.0,0.0,102.0
1994,10501.0,,841.0,1420.0,700.0,,2550.0,700.0,3301.0,,25300.0,138.0,0.0,106.0
1995,8355.0,,810.0,1570.0,400.0,,3200.0,400.0,4032.0,,28700.0,160.0,0.0,105.0
1996,8370.0,,474.0,1680.0,300.0,,5800.0,300.0,4647.0,,31700.0,133.0,0.0,108.0
1997,8400.0,,868.0,1800.0,200.0,,4264.0,200.0,5624.0,,33000.0,114.0,0.0,102.0
1998,8430.0,,759.0,1920.0,400.0,,4519.0,400.0,5337.0,,33000.0,115.0,0.0,105.0
1999,8460.0,,811.0,2300.0,400.0,,1951.0,400.0,4672.0,,33800.0,118.0,0.0,108.0
2000,8490.0,,987.0,2420.0,500.0,,2704.0,500.0,4611.0,,34500.0,121.0,0.0,110.0
2001,8556.0,,146.0,2550.0,1000.0,,3826.0,1000.0,5543.0,,34800.0,122.0,0.0,111.0
2002,8520.0,,98.0,2680.0,1000.0,,3601.0,1000.0,5519.0,,37000.0,180.0,0.0,112.0
2003,9337.0,,188.0,2790.0,1200.0,,5300.0,1200.0,4875.0,,39400.0,192.0,0.0,106.0
2004,9000.0,,186.0,2800.0,1500.0,,2950.0,1500.0,5851.0,,42200.0,205.0,0.0,107.0
2005,12465.0,,205.0,2732.0,1500.0,,2500.0,1500.0,5793.0,,45100.0,219.0,0.0,112.0
2006,9781.0,,406.0,3000.0,1500.0,,900.0,1500.0,4737.0,,48300.0,235.0,0.0,104.0
2007,8478.0,,0.0,3205.0,1500.0,,1300.0,1500.0,3038.0,,49000.0,190.0,0.0,99.0
2008,9286.0,,0.0,3237.0,1500.0,,200.0,1500.0,3624.0,,49300.0,191.0,0.0,110.0
2009,9000.0,,0.0,3391.0,1500.0,,850.0,1500.0,3368.0,,40255.0,155.0,0.0,101.0
2010,9300.0,,188.0,3700.0,1500.0,,850.0,1500.0,3210.0,,50734.0,196.0,0.0,102.0
2011,6347.0,,319.0,3500.0,1500.0,,3300.0,1500.0,3150.0,,51000.0,157.0,0.0,104.0
2012,6450.0,2550.0,1143.0,3500.0,1500.0,,,1500.0,3300.0,3300.0,51250.0,160.0,0.0,110.0
2013,6450.0,2100.0,777.0,3600.0,1500.0,,,1500.0,3450.0,3300.0,51000.0,165.0,0.0,116.0
2014,6782.0,2500.0,777.0,3754.0,1500.0,,,1500.0,3452.0,1250.0,54444.0,164.0,571.0,109.0
