,"China, Taiwan Province of",Réunion,Madagascar,South Africa,Argentina,Australia & New Zealand,Australia,Ethiopia PDR,Togo,Thailand,Ethiopia,"Saint Helena, Ascension and Tristan da Cunha",Republic of Korea,Bangladesh,Nigeria,Mauritius,Iran (Islamic Republic of),China,Morocco,Viet Nam,"China, mainland",Canada,Philippines,Myanmar,New Zealand
1961,684.0,30.0,9000.0,700.0,3000.0,1214.0,1214.0,175000.0,,,,,31.0,2400.0,,3000.0,,684.0,,6500.0,,-1.0,2300.0,400.0,
1962,675.0,30.0,9000.0,700.0,3535.0,16214.0,1214.0,175000.0,,,,,40.0,2000.0,,4000.0,,675.0,,6500.0,,-1.0,2600.0,400.0,15000.0
1963,821.0,30.0,9000.0,1000.0,3540.0,17214.0,1214.0,177000.0,,,,,56.0,1650.0,,1000.0,,821.0,,7000.0,,-1.0,2630.0,800.0,16000.0
1964,865.0,30.0,9000.0,1000.0,1200.0,16809.0,809.0,179000.0,,,,,44.0,1300.0,,1000.0,,865.0,,7000.0,,650.0,2720.0,863.0,16000.0
1965,688.0,30.0,9000.0,1000.0,1300.0,16809.0,809.0,181000.0,,,,,63.0,1100.0,,1271.0,,688.0,,7000.0,,-1.0,3030.0,543.0,16000.0
1966,751.0,30.0,10000.0,1000.0,1110.0,16809.0,809.0,183400.0,,,,,85.0,900.0,,1081.0,,751.0,,8000.0,,2650.0,3120.0,682.0,16000.0
1967,892.0,30.0,10000.0,1200.0,1110.0,16809.0,809.0,187100.0,,,,,110.0,350.0,,1384.0,,892.0,,8000.0,,-1.0,3100.0,687.0,16000.0
1968,763.0,30.0,10000.0,1200.0,2000.0,17214.0,1214.0,190800.0,,,,,50.0,297.0,,839.0,,763.0,,8000.0,,1800.0,3000.0,705.0,16000.0
1969,693.0,30.0,11000.0,1500.0,2660.0,16809.0,809.0,194700.0,,100.0,,,15.0,259.0,,748.0,,693.0,,8000.0,,-1.0,2900.0,911.0,16000.0
1970,604.0,30.0,11000.0,1500.0,3570.0,16800.0,800.0,198500.0,,100.0,,,,263.0,,706.0,,604.0,,8500.0,,3900.0,2650.0,1000.0,16000.0
1971,584.0,30.0,11000.0,2000.0,3500.0,16405.0,405.0,202500.0,,100.0,,,,265.0,,723.0,,584.0,,8500.0,,4300.0,2390.0,1003.0,16000.0
1972,573.0,30.0,11000.0,2000.0,3500.0,14000.0,-1.0,205000.0,,50.0,,,,443.0,,723.0,,573.0,,8500.0,,6600.0,1630.0,1048.0,14000.0
1973,378.0,30.0,10150.0,2000.0,3500.0,14000.0,-1.0,208000.0,,200.0,,,,471.0,,723.0,,378.0,,9000.0,,12200.0,1330.0,1078.0,14000.0
1974,668.0,30.0,10590.0,2000.0,3500.0,14000.0,-1.0,210000.0,,100.0,,,,490.0,,723.0,,668.0,,10000.0,,14850.0,1150.0,1016.0,14000.0
1975,401.0,30.0,13445.0,2500.0,3300.0,12000.0,-1.0,210000.0,,100.0,,,757.0,434.0,,723.0,,401.0,,9700.0,,16700.0,910.0,1008.0,12000.0
1976,358.0,30.0,8120.0,2500.0,3200.0,12000.0,-1.0,212000.0,,100.0,,,384.0,398.0,,723.0,,358.0,,11400.0,,18800.0,720.0,960.0,12000.0
1977,303.0,30.0,8490.0,2600.0,3000.0,12000.0,-1.0,211000.0,,100.0,,,291.0,393.0,,700.0,,303.0,,11700.0,,22000.0,720.0,1025.0,12000.0
1978,312.0,30.0,10785.0,2600.0,2500.0,12000.0,-1.0,211000.0,,100.0,,,,394.0,,300.0,,312.0,,13700.0,,28800.0,760.0,1044.0,12000.0
1979,293.0,30.0,8560.0,2600.0,3000.0,10000.0,-1.0,211000.0,,100.0,,,,415.0,,100.0,,293.0,,14700.0,,22000.0,690.0,1100.0,10000.0
1980,250.0,30.0,8855.0,2600.0,3000.0,10000.0,-1.0,212000.0,,300.0,,,,409.0,,100.0,,250.0,,13772.0,,32000.0,720.0,902.0,10000.0
1981,228.0,30.0,8870.0,2600.0,1200.0,8000.0,-1.0,213000.0,,700.0,,,,856.0,,100.0,,228.0,,15700.0,,32400.0,770.0,733.0,8000.0
1982,213.0,32.0,8870.0,2600.0,1100.0,8000.0,-1.0,213000.0,,300.0,,,,961.0,,100.0,,213.0,,16400.0,,39000.0,780.0,510.0,8000.0
1983,292.0,32.0,8895.0,2600.0,1200.0,6000.0,-1.0,214000.0,,300.0,,,,968.0,,100.0,,292.0,,15800.0,,43600.0,780.0,539.0,6000.0
1984,237.0,34.0,8900.0,2600.0,1200.0,6000.0,-1.0,215000.0,,350.0,,,,1483.0,,100.0,,237.0,,16000.0,,32800.0,720.0,594.0,6000.0
1985,177.0,34.0,8900.0,2600.0,1200.0,6000.0,-1.0,216000.0,,300.0,,,,1500.0,,100.0,,177.0,,15320.0,,48500.0,710.0,566.0,6000.0
1986,245.0,35.0,8900.0,2600.0,1200.0,4000.0,-1.0,217000.0,,300.0,,,,1511.0,,100.0,,245.0,,16900.0,,56500.0,730.0,425.0,4000.0
1987,318.0,35.0,9000.0,2600.0,1200.0,4000.0,-1.0,218000.0,,850.0,,,482.0,1511.0,,100.0,,318.0,,17000.0,,57000.0,730.0,428.0,4000.0
1988,293.0,37.0,9000.0,2600.0,1200.0,4000.0,-1.0,219000.0,,1550.0,,,465.0,1404.0,,100.0,,293.0,,17500.0,,55000.0,730.0,425.0,4000.0
1989,100.0,37.0,9100.0,2600.0,1200.0,4000.0,-1.0,220000.0,,1100.0,,,395.0,1824.0,,100.0,,100.0,,14400.0,,35000.0,730.0,415.0,4000.0
1990,126.0,39.0,9200.0,2879.0,1168.0,3822.0,-1.0,222000.0,,1171.0,,,338.0,1847.0,,111.0,,126.0,,11427.0,,43500.0,750.0,408.0,3822.0
1991,101.0,41.0,9200.0,2600.0,1300.0,3042.0,-1.0,223000.0,,800.0,,,0.0,1928.0,,100.0,,101.0,-1.0,9400.0,,36000.0,793.0,378.0,3042.0
1992,66.0,42.0,9162.0,2600.0,1400.0,4300.0,-1.0,224000.0,,600.0,,,0.0,1944.0,,100.0,,66.0,-1.0,11000.0,,30500.0,808.0,334.0,4300.0
1993,49.0,43.0,9300.0,2600.0,1500.0,4090.0,-1.0,,-1.0,1000.0,224000.0,-1.0,-1.0,1999.0,,100.0,-1.0,49.0,-1.0,9900.0,-1.0,27500.0,800.0,343.0,4090.0
1994,46.0,43.0,9500.0,2600.0,1557.0,4500.0,-1.0,,-1.0,879.0,222186.0,-1.0,-1.0,1969.0,-1.0,100.0,-1.0,46.0,-1.0,10900.0,-1.0,32500.0,900.0,316.0,4500.0
1995,40.0,43.0,9600.0,2600.0,1600.0,4902.0,-1.0,,-1.0,900.0,224975.0,-1.0,-1.0,2034.0,-1.0,100.0,-1.0,40.0,-1.0,10400.0,-1.0,44000.0,950.0,318.0,4902.0
1996,60.0,43.0,9600.0,2600.0,1588.0,5000.0,-1.0,,-1.0,892.0,224000.0,-1.0,-1.0,2074.0,-1.0,100.0,-1.0,60.0,-1.0,9100.0,,61000.0,944.0,300.0,5000.0
1997,40.0,43.0,9400.0,2600.0,1518.0,5714.0,-1.0,,-1.0,899.0,226251.0,-1.0,-1.0,2088.0,-1.0,103.0,,40.0,-1.0,11100.0,,59000.0,1000.0,279.0,5714.0
1998,50.0,43.0,9338.0,2600.0,1470.0,5500.0,-1.0,,-1.0,1000.0,225000.0,-1.0,-1.0,2050.0,-1.0,105.0,,50.0,-1.0,9800.0,,60500.0,965.0,276.0,5500.0
