,Guinea,Côte d'Ivoire,Benin,Niger,Guinea-Bissau,Gambia,Burkina Faso,Nigeria,Mali,Senegal
1961,80000.0,16000.0,8000.0,700.0,20000.0,12000.0,51257.0,70000.0,50000.0,-1.0
1962,80000.0,16000.0,8000.0,700.0,20000.0,12000.0,6508.0,72000.0,50000.0,-1.0
1963,80000.0,18000.0,8000.0,700.0,20000.0,12000.0,18841.0,74000.0,50000.0,-1.0
1964,80000.0,18000.0,8000.0,700.0,24000.0,12500.0,16000.0,76000.0,50000.0,-1.0
1965,80000.0,18000.0,8000.0,720.0,24000.0,12500.0,16000.0,77000.0,50000.0,-1.0
1966,80000.0,18000.0,8000.0,750.0,25000.0,12500.0,16000.0,79000.0,45605.0,-1.0
1967,80000.0,19000.0,8000.0,750.0,25000.0,12500.0,15120.0,80000.0,50000.0,-1.0
1968,80000.0,19000.0,8000.0,800.0,25000.0,12500.0,15913.0,81000.0,50000.0,-1.0
1969,80000.0,18750.0,8000.0,800.0,20000.0,12500.0,40000.0,45000.0,50000.0,-1.0
1970,80000.0,3700.0,7400.0,800.0,20000.0,13000.0,44300.0,28000.0,60000.0,-1.0
1971,80000.0,3700.0,7400.0,800.0,20000.0,13000.0,20200.0,27000.0,48000.0,-1.0
1972,80000.0,3700.0,8500.0,900.0,18000.0,13000.0,25000.0,25000.0,55000.0,-1.0
1973,80000.0,3700.0,7488.0,900.0,18000.0,13500.0,20000.0,26000.0,60000.0,-1.0
1974,80000.0,4000.0,9000.0,2500.0,18000.0,3000.0,13160.0,27000.0,60000.0,-1.0
1975,80000.0,4150.0,6000.0,3200.0,18000.0,2400.0,13000.0,26000.0,60000.0,-1.0
1976,80000.0,4150.0,6000.0,4300.0,18000.0,1800.0,13000.0,25000.0,60000.0,-1.0
1977,80000.0,4170.0,6000.0,2500.0,15000.0,1200.0,13000.0,25000.0,60000.0,-1.0
1978,80000.0,4200.0,6000.0,3200.0,15000.0,1800.0,13050.0,27000.0,54300.0,-1.0
1979,80000.0,4250.0,6000.0,3280.0,15000.0,400.0,11722.0,27000.0,31900.0,-1.0
1980,80000.0,9200.0,6000.0,3400.0,15000.0,2100.0,10120.0,30000.0,49300.0,-1.0
1981,80000.0,9600.0,6000.0,2600.0,10000.0,3200.0,8958.0,32000.0,70300.0,-1.0
1982,80000.0,10200.0,6000.0,5800.0,10000.0,1500.0,11804.0,32000.0,40200.0,-1.0
1983,80000.0,10500.0,4077.0,6650.0,10000.0,700.0,15360.0,30000.0,51300.0,-1.0
1984,100000.0,11200.0,3887.0,6000.0,10000.0,300.0,17045.0,35000.0,44936.0,-1.0
1985,100000.0,12000.0,4492.0,6300.0,7000.0,500.0,11950.0,38000.0,28772.0,-1.0
1986,100000.0,14000.0,4846.0,4000.0,5000.0,300.0,12806.0,44000.0,22668.0,-1.0
1987,100000.0,14000.0,5224.0,5377.0,4000.0,560.0,12332.0,46000.0,28793.0,-1.0
1988,97473.0,14000.0,5810.0,6000.0,2402.0,-1.0,18761.0,53000.0,31986.0,-1.0
