,Israel,Japan,USSR,Argentina,Turkey,Australia & New Zealand,Australia,Ethiopia PDR,Pakistan,United Republic of Tanzania,Mexico,Tajikistan,Ethiopia,Ukraine,Hungary,Russian Federation,Kyrgyzstan,Iran (Islamic Republic of),Kazakhstan,China,United States of America,Morocco,"China, mainland",Canada,Uzbekistan,Spain,Portugal,Occupied Palestinian Territory,India
1961,1070.0,,10000.0,,700.0,3623.0,3623.0,51000.0,,-1.0,32861.0,,,,-1.0,,,,,-1.0,169966.0,3000.0,-1.0,-1.0,,45000.0,,-1.0,440000.0
1962,710.0,,10000.0,,960.0,2304.0,2304.0,51500.0,,-1.0,36826.0,,,,-1.0,,,,,-1.0,216908.0,2800.0,-1.0,-1.0,,45000.0,,-1.0,445000.0
1963,350.0,,10000.0,,1000.0,7842.0,7842.0,53500.0,,-1.0,36326.0,,,,-1.0,,,,,-1.0,229858.0,2600.0,-1.0,-1.0,,45000.0,,-1.0,450000.0
1964,1230.0,,10000.0,,900.0,19226.0,19226.0,54500.0,,-1.0,35597.0,,,,-1.0,,,,,-1.0,149327.0,2400.0,-1.0,-1.0,,45000.0,,-1.0,455000.0
1965,2730.0,,11000.0,,900.0,24393.0,24393.0,56000.0,,-1.0,58805.0,,,,-1.0,,,,,-1.0,116548.0,2200.0,-1.0,-1.0,,45000.0,,-1.0,460000.0
1966,400.0,,13000.0,,950.0,38293.0,38293.0,57200.0,,-1.0,164933.0,,,,-1.0,,,,,-1.0,142447.0,2100.0,-1.0,-1.0,,55000.0,,-1.0,462000.0
1967,780.0,,11000.0,,1130.0,42337.0,42337.0,58500.0,,-1.0,100314.0,,,,-1.0,,,,,-1.0,125855.0,1500.0,-1.0,-1.0,,70085.0,,-1.0,478000.0
1968,1590.0,,14000.0,10.0,1300.0,18767.0,18767.0,59800.0,,-1.0,85748.0,,,,-1.0,,,147.0,,-1.0,68976.0,1600.0,-1.0,-1.0,,54602.0,,-1.0,512500.0
1969,320.0,,11000.0,15.0,1100.0,10825.0,10825.0,61100.0,,-1.0,144782.0,,,,-1.0,,,318.0,,-1.0,92267.0,1200.0,-1.0,-1.0,,10751.0,,-1.0,577700.0
1970,30.0,,15000.0,150.0,1170.0,27674.0,27674.0,62400.0,,-1.0,175391.0,,,,-1.0,,,1000.0,,-1.0,86602.0,800.0,-1.0,-1.0,,14268.0,,-1.0,580200.0
1971,760.0,,17000.0,1850.0,1280.0,33809.0,33809.0,63800.0,103.0,-1.0,264932.0,,,,-1.0,,,800.0,,-1.0,97123.0,800.0,-1.0,-1.0,,22000.0,26986.0,-1.0,587900.0
1972,2545.0,,13000.0,4672.0,1980.0,10624.0,10624.0,62500.0,53.0,-1.0,198837.0,,,,-1.0,,,,,-1.0,97000.0,500.0,-1.0,-1.0,,15800.0,28790.0,-1.0,597700.0
1973,2840.0,,10000.0,7274.0,2050.0,12449.0,12449.0,63800.0,80.0,-1.0,197992.0,,,,-1.0,,,,,-1.0,95000.0,100.0,-1.0,-1.0,,33800.0,34505.0,-1.0,423300.0
1974,4660.0,,7000.0,8200.0,1900.0,36238.0,36238.0,64000.0,70.0,-1.0,191654.0,,,,-1.0,,,,,-1.0,90000.0,0.0,-1.0,-1.0,,34400.0,21772.0,-1.0,613800.0
1975,4300.0,,6000.0,3922.0,2000.0,39764.0,39764.0,64000.0,60.0,-1.0,363051.0,,,,-1.0,,,,,-1.0,95000.0,,-1.0,-1.0,,34100.0,27580.0,-1.0,647800.0
1976,230.0,,10000.0,7538.0,2200.0,12900.0,12900.0,64000.0,55.0,-1.0,184937.0,,,,-1.0,,,,,-1.0,40000.0,,-1.0,-1.0,,35700.0,30625.0,-1.0,673600.0
1977,1180.0,,8000.0,2700.0,1800.0,38971.0,38971.0,64000.0,50.0,-1.0,403713.0,,,,-1.0,,,,,-1.0,80000.0,,-1.0,-1.0,,28700.0,13721.0,-1.0,683000.0
1978,4030.0,,11000.0,2040.0,775.0,74668.0,74668.0,64000.0,35.0,-1.0,429062.0,,,,-1.0,,,,,-1.0,87000.0,,-1.0,-1.0,,14900.0,7676.0,-1.0,706500.0
1979,1160.0,,7000.0,1550.0,520.0,53585.0,53585.0,64000.0,232.0,-1.0,528357.0,,,,-1.0,,,,,-1.0,100000.0,,-1.0,-1.0,,17151.0,3054.0,-1.0,703000.0
