,Mali,Burkina Faso,Democratic Republic of the Congo,Senegal,Cameroon,Niger
1961,10000.0,7000.0,12500.0,-1.0,11000.0,-1.0
1962,10000.0,7000.0,12500.0,-1.0,12000.0,-1.0
1963,10000.0,7000.0,12500.0,-1.0,13000.0,-1.0
1964,10000.0,7000.0,12500.0,-1.0,13000.0,-1.0
1965,10000.0,7000.0,12500.0,-1.0,13000.0,-1.0
1966,10000.0,7000.0,12500.0,-1.0,11000.0,-1.0
1967,10000.0,7000.0,12500.0,-1.0,11390.0,-1.0
1968,10000.0,7000.0,12500.0,-1.0,10211.0,-1.0
1969,10000.0,7000.0,12500.0,-1.0,15376.0,-1.0
1970,10000.0,7000.0,12500.0,-1.0,20874.0,-1.0
1971,10000.0,7000.0,13000.0,-1.0,19772.0,-1.0
1972,10000.0,8000.0,13000.0,-1.0,18500.0,-1.0
1973,10000.0,8000.0,13000.0,-1.0,20801.0,-1.0
1974,10000.0,8000.0,13000.0,-1.0,21174.0,-1.0
1975,10000.0,8000.0,13000.0,-1.0,28875.0,-1.0
1976,10000.0,8000.0,13000.0,-1.0,32258.0,-1.0
1977,10000.0,8000.0,13000.0,-1.0,34026.0,-1.0
1978,10000.0,8000.0,13000.0,-1.0,10000.0,-1.0
1979,10000.0,9000.0,13000.0,-1.0,9200.0,-1.0
1980,14000.0,9000.0,13000.0,-1.0,10500.0,-1.0
1981,12000.0,9000.0,13200.0,-1.0,14500.0,-1.0
1982,15000.0,9000.0,13200.0,-1.0,15500.0,-1.0
1983,9065.0,9000.0,13200.0,-1.0,10500.0,-1.0
1984,19200.0,9000.0,13200.0,-1.0,11000.0,-1.0
1985,18024.0,12000.0,13200.0,-1.0,7800.0,-1.0
1986,19136.0,10000.0,13200.0,-1.0,11000.0,-1.0
1987,19218.0,10000.0,13200.0,-1.0,6700.0,-1.0
1988,26420.0,13000.0,13500.0,-1.0,10500.0,-1.0
1989,16159.0,20000.0,13500.0,-1.0,8900.0,-1.0
1990,24000.0,35600.0,14944.0,-1.0,8000.0,-1.0
1991,24369.0,46700.0,14430.0,-1.0,8400.0,-1.0
1992,25000.0,39855.0,11000.0,-1.0,8800.0,-1.0
1993,26000.0,39059.0,11500.0,-1.0,9400.0,-1.0
1994,28564.0,42778.0,12000.0,-1.0,10000.0,-1.0
1995,9206.0,35395.0,13000.0,-1.0,10500.0,-1.0
1996,16034.0,27650.0,13596.0,-1.0,11000.0,-1.0
1997,14562.0,31934.0,13992.0,-1.0,11500.0,-1.0
1998,12453.0,33016.0,13500.0,-1.0,12200.0,-1.0
1999,26738.0,31255.0,14990.0,-1.0,8934.0,-1.0
2000,24244.0,24489.0,15798.0,-1.0,8974.0,13699.0
2001,20000.0,32240.0,16738.0,-1.0,11508.0,11961.0
2002,16861.0,35525.0,18000.0,-1.0,12084.0,33185.0
2003,45351.0,35193.0,19044.0,-1.0,12688.0,21204.0
2004,20000.0,35533.0,22249.0,-1.0,13322.0,24768.0
2005,20120.0,41210.0,22751.0,-1.0,16192.0,30095.0
2006,28858.0,43288.0,23254.0,-1.0,16005.0,31366.0
2007,22750.0,43288.0,23000.0,-1.0,23438.0,41661.0
2008,45302.0,50457.0,23000.0,-1.0,25245.0,48661.0
2009,39416.0,41032.0,24000.0,-1.0,29805.0,72249.0
2010,37098.0,45947.0,22967.0,-1.0,30836.0,63879.0
2011,34783.0,43412.0,23247.0,-1.0,49008.0,51536.0
2012,34742.0,57445.0,23502.0,-1.0,42958.0,70404.0
2013,37062.0,48831.0,24359.0,-1.0,43392.0,68301.0
2014,37702.0,50428.0,25235.0,-1.0,43516.0,70505.0
