,Bhutan,Eritrea,Dominica,Madagascar,Pakistan,Samoa,Nepal,Ethiopia,Kenya,Bangladesh,Zambia,Solomon Islands,Mauritius,Papua New Guinea,Comoros,Tunisia,Albania,Tonga,Occupied Palestinian Territory,Burkina Faso,Niger,"China, Hong Kong SAR",Morocco,Saint Lucia,Argentina,Colombia,Spain,Lebanon,Malawi,India,Syrian Arab Republic,Jamaica,Ecuador,Indonesia,Ethiopia PDR,Thailand,Melanesia,Togo,Malaysia,Georgia,Mexico,Vanuatu,Timor-Leste,Nigeria,Polynesia,Zimbabwe,Hungary,Turkey,Dominican Republic,Kyrgyzstan,Bolivia (Plurinational State of),Grenada,Saint Vincent and the Grenadines,Peru,Iran (Islamic Republic of),Wallis and Futuna Islands,Guatemala,Kuwait,"China, mainland",Sierra Leone,Sri Lanka,Cyprus,Uzbekistan,Côte d'Ivoire,Rwanda,Bulgaria,Myanmar,China
1961,40000.0,,,6667.0,15000.0,9474.0,,,6667.0,31064.0,,,127586.0,5000.0,,7692.0,,18182.0,,,5000.0,120000.0,2640.0,,,,,,,,4545.0,17120.0,,,,15200.0,45833.0,,,,,50000.0,,12500.0,14433.0,5000.0,,61818.0,,,,,,,,10000.0,,,,,48276.0,4362.0,,,,,,3120000.0
1962,40000.0,,,6667.0,15000.0,9737.0,,,6667.0,29905.0,,,141053.0,5000.0,,7692.0,,18333.0,,,5000.0,120000.0,2960.0,,,,,,,7000.0,4545.0,16211.0,,,,16000.0,47500.0,,,,,50000.0,,12500.0,14804.0,5000.0,,60791.0,,,,,,,,10000.0,,,,,48276.0,4500.0,,,,,,3120000.0
1963,40303.0,,,6667.0,15000.0,9737.0,,,6667.0,27559.0,,,153750.0,6667.0,,8333.0,,18462.0,,,5000.0,120000.0,2400.0,,,,,,,7250.0,4545.0,17350.0,,,,15200.0,37647.0,,,,,55000.0,,12500.0,15047.0,5000.0,,73541.0,,,,,,,,10000.0,,,,,48276.0,4766.0,,,,,,3120000.0
1964,40299.0,,,6667.0,15000.0,10000.0,,,6667.0,25819.0,,,134000.0,6667.0,,7692.0,,18571.0,,,5000.0,120000.0,2400.0,,,,,,,8016.0,3081.0,12786.0,,,,15200.0,38235.0,,,,,55000.0,,12500.0,15357.0,5000.0,,59703.0,,,,,,,,10000.0,,,,,48276.0,2804.0,,,,,,3320000.0
1965,40000.0,,,6667.0,15000.0,10000.0,,,6667.0,32326.0,,,122121.0,6667.0,,7778.0,,18667.0,,,5000.0,127000.0,2400.0,,,,,,,7280.0,3220.0,16292.0,,,,15200.0,39412.0,,,,,60000.0,,12500.0,15556.0,5000.0,,54245.0,,,,,,,,10000.0,,,,,48276.0,8333.0,,,,,,3327000.0
1966,40000.0,,,6667.0,4494.0,10000.0,,,6667.0,29552.0,,,133684.0,7500.0,,7778.0,,19737.0,,,5000.0,121000.0,3125.0,,,,,,,6783.0,11250.0,13222.0,,,,15152.0,33182.0,,,,,60000.0,,12903.0,16271.0,5000.0,,51406.0,,,,,,,,10000.0,,,,,48276.0,21250.0,,,,,,5787667.0
1967,40857.0,,,6667.0,10335.0,10000.0,,,6667.0,31119.0,,,194000.0,7500.0,,7778.0,,20779.0,,,5000.0,119773.0,3125.0,,,,,,,6731.0,7500.0,13300.0,,,,15152.0,34091.0,,,,,65000.0,,13333.0,16917.0,5000.0,,42003.0,,,,,,,,10000.0,,,,,48276.0,20741.0,,,,,,4210682.0
1968,41429.0,,,6667.0,17652.0,10000.0,,,6667.0,26068.0,,,191739.0,7500.0,,8000.0,,21795.0,,,5000.0,109000.0,3684.0,,,,,,,6300.0,13333.0,16071.0,,,6667.0,15152.0,34545.0,,,,,65000.0,,13636.0,17541.0,5000.0,,51114.0,,,,,,,,10000.0,,,,,48276.0,10000.0,,,,,,4609000.0
1969,42286.0,,,6667.0,15776.0,10000.0,,,6667.0,17784.0,,,164571.0,8000.0,,7778.0,,22436.0,,,3600.0,111400.0,3684.0,,,,,,,7010.0,7799.0,18200.0,,,4375.0,15152.0,31111.0,,,,,70000.0,,13333.0,17951.0,5000.0,,29813.0,,,,,,,,10000.0,,,,,48276.0,15385.0,,,,,,3711400.0
1970,41667.0,,,6667.0,11379.0,10000.0,,,6667.0,17463.0,,,172727.0,8571.0,,7500.0,,23077.0,,,3000.0,109091.0,3684.0,,,,,,,7138.0,10230.0,16091.0,,,,15152.0,26486.0,,,,,70000.0,,13636.0,18361.0,5000.0,,28446.0,,,,,,,,10000.0,,,,,48276.0,15385.0,,,10500.0,,,3381818.0
1971,42703.0,,,6667.0,18526.0,10000.0,,,6667.0,18353.0,,,172632.0,8000.0,,7500.0,,23418.0,,,3056.0,114286.0,4000.0,,,,,,,5907.0,7742.0,16049.0,,,,15000.0,22115.0,,,,,75000.0,,13462.0,18618.0,5000.0,,24065.0,,,,,,,,10000.0,,,,,48276.0,7692.0,,,10000.0,,,2828571.0
1972,43243.0,,,6667.0,18957.0,10000.0,,,6667.0,16504.0,,,158730.0,8571.0,,8000.0,,24051.0,,,2437.0,111111.0,6061.0,,,,,,,6341.0,11908.0,16218.0,,,3571.0,15000.0,29459.0,,,,,75000.0,,13462.0,19024.0,5000.0,,12596.0,,,,,,,,10000.0,,,,,48276.0,23077.0,,,10000.0,,,2333333.0
1973,42632.0,,,6667.0,23769.0,10000.0,,,6667.0,15513.0,,,173284.0,8750.0,,8333.0,,24684.0,,,5333.0,111111.0,5167.0,,,,,,,6766.0,8130.0,16471.0,,,4375.0,15000.0,27857.0,,,,,80000.0,,13889.0,19431.0,5000.0,,9523.0,,,,,,,,10000.0,,1203333.0,,,48276.0,,,,10000.0,,,2333333.0
1974,43421.0,,,6667.0,68815.0,10000.0,,,6667.0,14703.0,,,192258.0,8372.0,,8333.0,,25000.0,,,5000.0,111111.0,6250.0,,,,,,,7676.0,4258.0,16261.0,,,3750.0,15217.0,12166.0,,,,,80000.0,,13333.0,19677.0,5000.0,,14061.0,,,,,,,,10000.0,,1333333.0,,,48276.0,,,,8333.0,,,2444444.0
1975,41750.0,,,6667.0,71959.0,10000.0,,,6667.0,14816.0,,,153061.0,8333.0,,8000.0,,25625.0,,,3214.0,111111.0,5000.0,,,,,,,7712.0,1971.0,19059.0,,,6000.0,15217.0,11860.0,,,,,85000.0,,13462.0,20081.0,5000.0,,5307.0,,,,,,,,10000.0,,1383333.0,,,48276.0,16000.0,,,6296.0,,,2555556.0
1976,42500.0,,,6667.0,42129.0,10000.0,,,6667.0,14541.0,,,147500.0,8400.0,,8000.0,,26250.0,,,3529.0,111111.0,6600.0,,,,,,,6826.0,5899.0,12110.0,,,3333.0,15217.0,11944.0,,,,,85000.0,,13462.0,20400.0,5000.0,,12998.0,,,,,,,,10000.0,,1655000.0,,,48276.0,17143.0,,,7222.0,,,2555556.0
