,Ukraine,Burundi,Bolivia (Plurinational State of),Peru,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Serbia,Armenia,Ethiopia,Greece,Tunisia,Zimbabwe,Republic of Korea,Spain,New Zealand,Niger,Bulgaria,Australia & New Zealand,United States of America,Mongolia,Togo,Slovenia,Czechoslovakia,Senegal,Madagascar,Czechia,Argentina,Luxembourg,Georgia,Botswana,Austria,Chad,Morocco,Bhutan,Poland,Congo,Qatar,Mexico,Switzerland,Romania,Italy,USSR,Bosnia and Herzegovina,Russian Federation,China,Ireland,Uzbekistan,Gambia,Latvia,Slovakia,United Republic of Tanzania,Yemen,Occupied Palestinian Territory,South Africa,Guinea-Bissau,Kazakhstan,Sierra Leone,Hungary,France,Thailand,Lithuania,Finland,"China, mainland",Oman,Mali,Eritrea,Republic of Moldova,Ethiopia PDR
1961,-1.0,-1.0,600.0,-1.0,700.0,-1.0,-1.0,33600.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,2000.0,-1.0,10000.0,2000.0,-1,4000.0,15000.0,-1.0,-1.0,16000.0,-1,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,14000.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9800.0,76000.0,-1,-1.0,700.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1250.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1,1980000.0
1962,-1.0,-1.0,600.0,-1.0,700.0,-1.0,-1.0,31600.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,2000.0,-1.0,15000.0,2000.0,-1,5000.0,24720.0,-1.0,-1.0,16000.0,-1,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,14000.0,35000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9603.0,69000.0,-1,-1.0,700.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1300.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1,2133000.0
1963,-1.0,-1.0,600.0,-1.0,1400.0,-1.0,-1.0,51000.0,-1.0,-1.0,-1.0,-1.0,60000.0,-1.0,-1.0,-1.0,2000.0,-1.0,20000.0,2000.0,-1,6000.0,25000.0,-1.0,-1.0,15000.0,-1,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,14000.0,35000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7284.0,65000.0,-1,-1.0,1400.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1300.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1600.0,-1.0,-1.0,-1,2100000.0
1964,-1.0,-1.0,600.0,-1.0,1400.0,-1.0,-1.0,56300.0,-1.0,-1.0,-1.0,-1.0,80000.0,-1.0,-1.0,-1.0,2000.0,-1.0,30000.0,2000.0,-1,8000.0,27000.0,-1.0,-1.0,10000.0,-1,-1.0,21000.0,-1.0,-1.0,-1.0,-1.0,14000.0,31000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7138.0,81000.0,-1,-1.0,1400.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1350.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,-1.0,-1,2108000.0
1965,-1.0,-1.0,600.0,-1.0,2100.0,-1.0,-1.0,38000.0,-1.0,-1.0,-1.0,-1.0,110000.0,-1.0,-1.0,-1.0,2000.0,-1.0,50618.0,2000.0,-1,9000.0,27000.0,-1.0,-1.0,10000.0,-1,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,14500.0,40000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7188.0,53000.0,-1,-1.0,2100.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1400.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1700.0,-1.0,-1.0,-1,2110000.0
1966,-1.0,-1.0,1000.0,-1.0,3500.0,-1.0,-1.0,58700.0,-1.0,-1.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,2300.0,-1.0,2555.0,2300.0,-1,4000.0,31000.0,-1.0,318.0,12700.0,-1,-1.0,24000.0,-1.0,-1.0,-1.0,-1.0,15000.0,34000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7138.0,54000.0,-1,-1.0,3500.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1500.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,1800.0,-1.0,-1.0,-1,2111600.0
1967,-1.0,-1.0,1000.0,-1.0,4900.0,-1.0,-1.0,51800.0,-1.0,-1.0,-1.0,-1.0,70000.0,-1.0,-1.0,-1.0,2300.0,-1.0,3000.0,2300.0,-1,4000.0,7015.0,-1.0,1765.0,16000.0,-1,-1.0,26100.0,-1.0,-1.0,-1.0,-1.0,15000.0,34000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6567.0,34000.0,-1,-1.0,4900.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1400.0,9500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,-1,2132700.0
1968,-1.0,-1.0,1000.0,-1.0,6300.0,-1.0,-1.0,55875.0,-1.0,-1.0,-1.0,-1.0,75000.0,-1.0,-1.0,-1.0,2300.0,-1.0,4500.0,2300.0,-1,1700.0,5000.0,-1.0,1682.0,10100.0,-1,-1.0,27200.0,-1.0,-1.0,-1.0,-1.0,15000.0,23500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6372.0,25000.0,-1,-1.0,6300.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1400.0,9500.0,-1.0,-1.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,-1,2154000.0
1969,-1.0,-1.0,1000.0,-1.0,10500.0,-1.0,-1.0,61457.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,2300.0,-1.0,2288.0,2300.0,-1,1700.0,6000.0,-1.0,1786.0,12023.0,-1,-1.0,27000.0,-1.0,-1.0,-1.0,-1.0,15000.0,32000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5002.0,17000.0,-1,-1.0,10500.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1400.0,9588.0,-1.0,120.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,-1,2175500.0
1970,-1.0,-1.0,1000.0,-1.0,10500.0,-1.0,-1.0,54725.0,-1.0,-1.0,-1.0,-1.0,40000.0,-1.0,-1.0,-1.0,2000.0,-1.0,4431.0,2000.0,-1,3000.0,11000.0,-1.0,1421.0,7805.0,-1,-1.0,26200.0,-1.0,-1.0,-1.0,-1.0,16000.0,64000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4394.0,15000.0,-1,-1.0,10500.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1372.0,16251.0,-1.0,240.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1,2197300.0
1971,-1.0,-1.0,1000.0,-1.0,10500.0,-1.0,-1.0,37402.0,-1.0,-1.0,-1.0,-1.0,33000.0,-1.0,-1.0,-1.0,2000.0,-1.0,3000.0,2000.0,-1,2000.0,11000.0,-1.0,1328.0,11600.0,-1,-1.0,26400.0,-1.0,-1.0,-1.0,-1.0,16000.0,52000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1723.0,11000.0,-1,-1.0,10500.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1300.0,18872.0,-1.0,480.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1,2217800.0
1972,-1.0,-1.0,1050.0,-1.0,7000.0,-1.0,-1.0,32215.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,2000.0,-1.0,3452.0,2000.0,-1,3000.0,8000.0,-1.0,714.0,12500.0,-1,-1.0,24000.0,-1.0,-1.0,-1.0,-1.0,17000.0,45400.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1200.0,8000.0,-1,-1.0,7000.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1300.0,25338.0,-1.0,720.0,-1.0,-1.0,-1.0,2100.0,-1.0,-1.0,-1,2239500.0
1973,-1.0,-1.0,1100.0,-1.0,5600.0,-1.0,-1.0,40496.0,-1.0,-1.0,-1.0,-1.0,30000.0,-1.0,-1.0,-1.0,2500.0,-1.0,2577.0,2500.0,-1,4500.0,10000.0,-1.0,705.0,6950.0,-1,-1.0,25000.0,-1.0,-1.0,-1.0,-1.0,17000.0,70300.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1303.0,9000.0,-1,-1.0,5600.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1.0,5000.0,-1.0,-1.0,1300.0,17738.0,-1.0,1000.0,-1.0,-1.0,-1.0,2100.0,-1.0,-1.0,-1,1665000.0
