,USSR,Cambodia,Vanuatu,Eritrea,Fiji,Australia,Pakistan,Thailand,Belize,Ethiopia,Kenya,Guyana,Lao People's Democratic Republic,Zambia,Botswana,Papua New Guinea,Peru,Suriname,Brazil,Mozambique,Niger,Australia & New Zealand,El Salvador,Hungary,Chad,Colombia,Spain,Central African Republic,India,Jamaica,Ecuador,Cabo Verde,Indonesia,Argentina,Jordan,Angola,Ethiopia PDR,Egypt,Melanesia,Togo,Malaysia,Greece,Tajikistan,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Sudan,Mali,Congo,Lebanon,Dominican Republic,Syrian Arab Republic,Tonga,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,Ghana,"China, mainland",Cyprus,Guinea-Bissau,Rwanda,Cameroon,Guatemala,Saint Kitts and Nevis,Cuba,United States of America,South Africa,Philippines,Iraq,Madagascar,Swaziland,United Republic of Tanzania,Burundi,South Sudan,Luxembourg,Libya,Costa Rica,Bangladesh,Italy,Senegal,Mauritius,Uganda,Comoros,Benin,Uzbekistan,China,Burkina Faso,Serbia and Montenegro,Sudan (former),Morocco,Honduras,Uruguay,Zimbabwe,Kyrgyzstan,Gabon,Malawi,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Timor-Leste,Saudi Arabia,Somalia,Namibia,Georgia,Nicaragua,Viet Nam,Mauritania,Barbados,Turkey,Portugal,Bolivia (Plurinational State of),Paraguay,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Mexico,Guinea,Sierra Leone,Sri Lanka,Côte d'Ivoire,Polynesia,Bulgaria,Myanmar,Occupied Palestinian Territory,Liberia
1961,5.0,10763.0,180.0,,60.0,23217.0,15240.0,107900.0,-1.0,,1015.0,2.0,1040.0,50000.0,3447.0,3379.0,2100.0,443.0,584432.0,60000.0,167000.0,23217.0,,-1.0,130000.0,500.0,8100.0,63000.0,4994000.0,395.0,10863.0,300.0,420000.0,281000.0,,22498.0,15000.0,25000.0,3619.0,11177.0,3300.0,4631.0,,2250.0,2052.0,190000.0,1565000.0,,110000.0,24910.0,2000.0,43178.0,6096.0,750.0,1000.0,500.0,,105000.0,47000.0,1049000.0,400.0,65000.0,1838.0,83130.0,500.0,15.0,18000.0,752000.0,268700.0,10900.0,,32000.0,2800.0,40000.0,3100.0,,,11000.0,,13208.0,12750.0,1022000.0,284.0,120000.0,-1.0,26343.0,,1153644.0,70000.0,,265803.0,1000.0,24.0,6924.0,78553.0,,2500.0,127000.0,,104644.0,14500.0,400.0,141800.0,224.0,,2250.0,-1.0,,100.0,58400.0,700.0,-1.0,18000.0,,5000.0,9000.0,200.0,1176.0,93684.0,60000.0,22000.0,960.0,19600.0,750.0,1986.0,371933.0,-1.0,3000.0
1962,10.0,12451.0,180.0,,30.0,15221.0,14220.0,112400.0,-1.0,,1930.0,2.0,1040.0,45000.0,676.0,3729.0,2080.0,551.0,647811.0,65000.0,205370.0,15221.0,,-1.0,140000.0,500.0,10064.0,62000.0,5064000.0,318.0,7603.0,400.0,435000.0,433000.0,,33021.0,16000.0,49446.0,3939.0,21500.0,3623.0,4088.0,,2220.0,2218.0,170000.0,1923000.0,,115000.0,25000.0,3500.0,51894.0,6096.0,780.0,1150.0,600.0,,105000.0,47000.0,1100000.0,400.0,65000.0,1305.0,102043.0,500.0,15.0,23000.0,780000.0,191000.0,11100.0,,36000.0,2800.0,45000.0,3000.0,,,9200.0,,13208.0,12310.0,1022000.0,255.0,128000.0,-1.0,27525.0,,1195496.0,60000.0,,324792.0,1000.0,33.0,7814.0,149003.0,,2500.0,149000.0,,95496.0,12400.0,400.0,142500.0,400.0,,1000.0,-1.0,,100.0,66850.0,700.0,-1.0,24500.0,,5300.0,9100.0,200.0,1805.0,94789.0,61000.0,22000.0,2173.0,28900.0,780.0,1940.0,393719.0,-1.0,3000.0
1963,36.0,7000.0,180.0,,35.0,16226.0,17270.0,112900.0,-1.0,,3861.0,3.0,1400.0,50000.0,2000.0,2337.0,2250.0,669.0,603840.0,70000.0,220330.0,16226.0,,-1.0,119100.0,500.0,8580.0,61000.0,5298000.0,318.0,8939.0,500.0,392000.0,312000.0,,34500.0,17000.0,45230.0,2552.0,17400.0,3600.0,4696.0,,2200.0,2661.0,170000.0,1977000.0,,155600.0,18150.0,5200.0,47790.0,6096.0,800.0,1200.0,700.0,,110000.0,47000.0,1424000.0,416.0,62000.0,2208.0,115167.0,500.0,20.0,18000.0,881000.0,274600.0,14000.0,,38000.0,2800.0,45000.0,3000.0,,,9230.0,,12192.0,11530.0,1084500.0,446.0,131000.0,-1.0,28632.0,,1515438.0,50000.0,,399178.0,1000.0,27.0,7090.0,123779.0,,2800.0,156000.0,,91438.0,13000.0,400.0,144000.0,400.0,,1980.0,-1.0,,100.0,66760.0,750.0,-1.0,23000.0,,5700.0,8500.0,200.0,1487.0,92834.0,62000.0,23000.0,3694.0,29100.0,800.0,677.0,431821.0,-1.0,2000.0
1964,30.0,19200.0,180.0,,60.0,23406.0,20320.0,119800.0,-1.0,,3658.0,4.0,1200.0,40000.0,2000.0,2131.0,2122.0,605.0,469671.0,100000.0,184356.0,23406.0,,-1.0,140000.0,500.0,6800.0,61000.0,6004000.0,587.0,14087.0,650.0,435000.0,383000.0,,29900.0,17500.0,46169.0,2371.0,18000.0,5100.0,5900.0,,2180.0,2688.0,165000.0,1849000.0,,147900.0,18000.0,5000.0,49594.0,10400.0,830.0,1100.0,800.0,,112000.0,50000.0,1749000.0,436.0,60000.0,4936.0,120521.0,500.0,20.0,18000.0,952000.0,217900.0,13000.0,5.0,42620.0,3000.0,45656.0,4000.0,,,10500.0,,12192.0,11320.0,1019000.0,509.0,128000.0,-1.0,24872.0,,1864727.0,70000.0,,349127.0,1000.0,24.0,7030.0,101928.0,,2800.0,143000.0,,115727.0,9500.0,450.0,130600.0,400.0,,3500.0,-1.0,,200.0,78900.0,800.0,-1.0,23000.0,,6100.0,19200.0,200.0,1655.0,95395.0,63000.0,23000.0,5022.0,28300.0,830.0,1051.0,336866.0,-1.0,2000.0
1965,45.0,24100.0,200.0,,60.0,10522.0,29460.0,130600.0,-1.0,,3700.0,5.0,1200.0,44000.0,398.0,1624.0,3699.0,713.0,742686.0,120000.0,276535.0,10522.0,,-1.0,150000.0,500.0,6700.0,60500.0,4263000.0,366.0,11104.0,650.0,405000.0,439300.0,,31800.0,17500.0,49878.0,1884.0,20900.0,4750.0,7515.0,,2175.0,3536.0,180000.0,1978000.0,,153200.0,18000.0,5201.0,45356.0,11600.0,900.0,1300.0,900.0,,128000.0,27000.0,1928000.0,81.0,42000.0,5000.0,141319.0,500.0,25.0,18000.0,1083902.0,206000.0,13608.0,20.0,35285.0,3000.0,48837.0,4000.0,,,10889.0,,14224.0,7400.0,1121000.0,575.0,130000.0,-1.0,33000.0,,2053817.0,73000.0,,304600.0,1000.0,29.0,1276.0,60762.0,,3000.0,157000.0,,125817.0,13500.0,450.0,136600.0,275.0,,4200.0,-1.0,,200.0,80900.0,780.0,-1.0,30000.0,,6600.0,19230.0,200.0,1802.0,80425.0,65000.0,23000.0,2997.0,32000.0,900.0,1096.0,343005.0,-1.0,2000.0
1966,90.0,20800.0,200.0,,60.0,27854.0,46740.0,219900.0,-1.0,,3700.0,6.0,1200.0,60000.0,314.0,1830.0,3673.0,827.0,894902.0,114000.0,311900.0,27854.0,,-1.0,92000.0,500.0,5900.0,60000.0,4411000.0,635.0,11822.0,650.0,438000.0,410800.0,,32000.0,18500.0,40000.0,2090.0,13000.0,4600.0,6861.0,,2175.0,4277.0,190000.0,1693000.0,,108505.0,16100.0,4108.0,50796.0,13400.0,900.0,1200.0,1000.0,,142000.0,38498.0,2315000.0,122.0,38000.0,4500.0,148081.0,500.0,25.0,17000.0,1095756.0,213400.0,13700.0,207.0,42650.0,3000.0,50106.0,4150.0,,,11972.0,,24400.0,7160.0,1000000.0,832.0,150000.0,-1.0,32300.0,,2429995.0,78000.0,,344557.0,700.0,27.0,2516.0,110310.0,,3000.0,160000.0,,114995.0,13450.0,400.0,138800.0,443.0,,5800.0,-1.0,,200.0,73800.0,800.0,-1.0,27000.0,,7200.0,19800.0,210.0,2254.0,89919.0,72000.0,21300.0,3800.0,30000.0,900.0,1921.0,287958.0,-1.0,2000.0
1967,200.0,21100.0,300.0,,310.0,42021.0,74170.0,132100.0,-1.0,,2516.0,6.0,1300.0,63000.0,2473.0,2200.0,4006.0,640.0,750741.0,117000.0,298335.0,42021.0,,-1.0,88000.0,500.0,5000.0,74300.0,5730900.0,550.0,8885.0,605.0,402000.0,354000.0,,32000.0,19600.0,33000.0,2810.0,18000.0,5000.0,7528.0,,2175.0,5309.0,200000.0,1558000.0,,116000.0,16500.0,3239.0,45300.0,13500.0,950.0,1530.0,1100.0,,130500.0,39165.0,2189000.0,102.0,34500.0,15750.0,184090.0,520.0,25.0,15000.0,1123658.0,443300.0,14300.0,355.0,42460.0,3400.0,44796.0,6500.0,,,13261.0,,41700.0,6310.0,1008610.0,879.0,163000.0,-1.0,47500.0,,2325999.0,80000.0,,322235.0,1500.0,25.0,2170.0,126620.0,,3000.0,189000.0,,136999.0,12900.0,400.0,135900.0,757.0,,7500.0,-1.0,,200.0,78000.0,800.0,-1.0,29000.0,,7600.0,20740.0,220.0,2470.0,74085.0,75200.0,21000.0,4392.0,30000.0,950.0,2506.0,276772.0,-1.0,2000.0
1968,500.0,25700.0,400.0,,870.0,30786.0,52830.0,157700.0,-1.0,,3760.0,14.0,1400.0,65000.0,4264.0,2120.0,5000.0,492.0,753905.0,140000.0,252418.0,30786.0,,-1.0,110000.0,600.0,4700.0,68100.0,4630700.0,704.0,6127.0,650.0,478000.0,282800.0,,32000.0,20900.0,37000.0,3390.0,18000.0,7100.0,8316.0,,2175.0,6671.0,220000.0,1813000.0,,95615.0,16200.0,3302.0,47325.0,13770.0,960.0,1050.0,1200.0,,136000.0,61664.0,1917000.0,102.0,34500.0,9600.0,193350.0,534.0,30.0,15000.0,1155108.0,241800.0,14877.0,231.0,38860.0,3200.0,54889.0,7200.0,,,12792.0,,52800.0,4490.0,836800.0,632.0,176000.0,-1.0,49000.0,,2023489.0,85000.0,,260743.0,2000.0,21.0,1193.0,82884.0,,3000.0,169000.0,,106489.0,10600.0,400.0,122400.0,271.0,,8500.0,-1.0,,300.0,74000.0,700.0,-1.0,32500.0,,11300.0,18000.0,220.0,3005.0,82327.0,73300.0,21000.0,7133.0,31800.0,960.0,2485.0,370940.0,-1.0,2000.0
1969,300.0,22400.0,500.0,,870.0,16980.0,61980.0,124200.0,-1.0,,2254.0,29.0,1800.0,67000.0,4550.0,1670.0,4041.0,247.0,753863.0,140000.0,206900.0,16980.0,,-1.0,115000.0,600.0,4500.0,66000.0,5130100.0,591.0,5358.0,164.0,445000.0,217000.0,,16000.0,22400.0,45000.0,3040.0,12215.0,5300.0,7539.0,,2175.0,7870.0,250000.0,1846000.0,,122000.0,16600.0,3351.0,72629.0,17218.0,970.0,780.0,1300.0,,125000.0,60998.0,1832000.0,152.0,40300.0,5780.0,200980.0,552.0,30.0,15000.0,1150034.0,365700.0,14900.0,215.0,44495.0,2800.0,28128.0,6800.0,,,10104.0,,52800.0,3570.0,796100.0,792.0,210000.0,-1.0,50100.0,,1932764.0,71019.0,,384700.0,2200.0,22.0,2527.0,106000.0,,3200.0,180075.0,,100764.0,12400.0,400.0,125600.0,1211.0,,9500.0,-1.0,,400.0,80000.0,1000.0,-1.0,38000.0,,8300.0,16200.0,240.0,3524.0,72895.0,72500.0,22800.0,5545.0,42500.0,970.0,1670.0,398469.0,-1.0,2000.0
1970,200.0,16800.0,600.0,,660.0,42717.0,44700.0,124900.0,-1.0,,3000.0,34.0,2000.0,68000.0,3629.0,2100.0,2472.0,281.0,928073.0,140000.0,204600.0,42717.0,,-1.0,96300.0,700.0,4600.0,68000.0,6111100.0,668.0,5270.0,14.0,468000.0,234500.0,,18000.0,24200.0,40000.0,3360.0,22000.0,10200.0,8657.0,,2175.0,8425.0,266800.0,1581000.0,,158000.0,14800.0,3788.0,74767.0,16303.0,980.0,1000.0,1400.0,,125000.0,101600.0,2148000.0,203.0,38000.0,6869.0,199100.0,570.0,30.0,15000.0,1353114.0,325400.0,17400.0,64.0,41490.0,2800.0,33817.0,6200.0,,,10685.0,,46700.0,3030.0,589950.0,693.0,244000.0,-1.0,47247.0,,2270198.0,67702.0,,339000.0,2610.0,23.0,3288.0,120000.0,,3200.0,151590.0,,122198.0,18700.0,400.0,124200.0,917.0,,9000.0,-1.0,,600.0,73900.0,3000.0,-1.0,37000.0,,9000.0,17000.0,250.0,7077.0,89602.0,74900.0,20600.0,4577.0,42500.0,980.0,1657.0,443538.0,-1.0,2000.0
