,"China, mainland",United States of America,Argentina,Brazil,Madagascar,Paraguay,China,Malawi
1961,-1.0,,48000.0,-1.0,5000.0,-1.0,-1.0,6700.0
1962,-1.0,,48000.0,-1.0,5000.0,-1.0,-1.0,7220.0
1963,-1.0,,51000.0,-1.0,5000.0,-1.0,-1.0,7600.0
1964,-1.0,,48000.0,-1.0,5000.0,-1.0,-1.0,7600.0
1965,-1.0,,55000.0,-1.0,5000.0,-1.0,-1.0,7600.0
1966,-1.0,,50000.0,-1.0,5000.0,-1.0,-1.0,7800.0
1967,-1.0,,50000.0,-1.0,5000.0,-1.0,-1.0,8500.0
1968,-1.0,,50000.0,-1.0,5000.0,-1.0,-1.0,9800.0
1969,-1.0,,48000.0,-1.0,5000.0,-1.0,-1.0,5200.0
1970,-1.0,,51400.0,-1.0,3960.0,-1.0,-1.0,3600.0
1971,-1.0,,51600.0,-1.0,3800.0,-1.0,-1.0,5200.0
1972,-1.0,,54600.0,-1.0,3145.0,-1.0,-1.0,4800.0
1973,-1.0,,20300.0,-1.0,3060.0,-1.0,-1.0,2900.0
1974,-1.0,,51600.0,-1.0,3020.0,-1.0,-1.0,3500.0
1975,-1.0,,52800.0,-1.0,5305.0,-1.0,-1.0,2665.0
1976,-1.0,,52900.0,3673.0,2840.0,-1.0,-1.0,2600.0
1977,-1.0,,52000.0,3624.0,3100.0,-1.0,-1.0,2350.0
1978,-1.0,,51700.0,3402.0,2045.0,-1.0,-1.0,2350.0
1979,-1.0,,51700.0,3343.0,1845.0,-1.0,-1.0,3100.0
1980,-1.0,,51700.0,3328.0,2600.0,-1.0,-1.0,3200.0
1981,-1.0,,44000.0,3034.0,2600.0,-1.0,-1.0,2700.0
1982,-1.0,,44000.0,2851.0,2800.0,-1.0,-1.0,2800.0
1983,-1.0,,44000.0,2529.0,2900.0,25000.0,-1.0,2900.0
1984,-1.0,,42500.0,2942.0,3000.0,15000.0,-1.0,3000.0
1985,190000.0,,42400.0,2832.0,3000.0,16000.0,190000.0,3000.0
1986,170000.0,,39500.0,2818.0,3100.0,15000.0,170000.0,3000.0
1987,170000.0,,38100.0,2462.0,3200.0,13000.0,170000.0,3000.0
1988,175000.0,,36600.0,2234.0,3300.0,11000.0,175000.0,3000.0
1989,170000.0,,36600.0,2063.0,3400.0,11000.0,170000.0,3100.0
1990,172241.0,,25080.0,1683.0,3500.0,11916.0,172241.0,2984.0
1991,155000.0,,22880.0,1357.0,3500.0,10800.0,155000.0,2416.0
1992,145000.0,,18790.0,1099.0,3550.0,10972.0,145000.0,2800.0
1993,140000.0,-1.0,21410.0,1000.0,3600.0,11308.0,140000.0,3100.0
1994,147918.0,-1.0,3010.0,872.0,3400.0,10944.0,147918.0,3000.0
1995,135000.0,-1.0,3860.0,704.0,3500.0,10000.0,135000.0,3100.0
1996,129531.0,-1.0,4260.0,522.0,3600.0,10711.0,129531.0,3200.0
1997,128000.0,-1.0,12590.0,546.0,3700.0,10461.0,128000.0,3100.0
1998,130000.0,-1.0,7560.0,382.0,3700.0,10454.0,130000.0,3200.0
1999,132000.0,-1.0,5140.0,463.0,3800.0,10450.0,132000.0,3300.0
2000,135000.0,-1.0,1030.0,444.0,3700.0,11040.0,135000.0,3328.0
2001,136000.0,-1.0,4750.0,398.0,3746.0,11247.0,136000.0,3280.0
2002,137000.0,-1.0,3080.0,311.0,3700.0,9238.0,137000.0,3269.0
2003,132373.0,-1.0,4180.0,254.0,3700.0,8679.0,132373.0,3238.0
2004,140000.0,-1.0,3530.0,171.0,3750.0,11602.0,140000.0,3350.0
2005,135000.0,-1.0,5100.0,184.0,3750.0,12000.0,135000.0,3400.0
2006,140000.0,-1.0,5797.0,184.0,3800.0,12000.0,140000.0,3333.0
2007,142000.0,-1.0,3889.0,173.0,4000.0,10000.0,142000.0,3432.0
2008,145000.0,-1.0,2880.0,163.0,4056.0,8999.0,145000.0,3511.0
2009,150000.0,-1.0,2515.0,126.0,4054.0,9000.0,150000.0,3553.0
2010,155000.0,-1.0,1285.0,123.0,4051.0,8995.0,155000.0,3659.0
2011,158000.0,-1.0,1439.0,123.0,4011.0,8995.0,158000.0,3600.0
2012,154000.0,-1.0,2223.0,90.0,4000.0,8995.0,154000.0,3750.0
2013,154000.0,-1.0,2269.0,90.0,4000.0,8995.0,154000.0,3800.0
2014,153500.0,-1.0,2225.0,99.0,4048.0,8995.0,153500.0,3894.0
