,USSR,Bahrain,Australia & New Zealand,Australia,Pakistan,Thailand,Ethiopia,South Africa,Lebanon,Yemen,Tunisia,Albania,Brazil,Paraguay,Serbia,Slovenia,Montenegro,Argentina,Colombia,Spain,Germany,India,Malta,Ecuador,Madagascar,Republic of Moldova,Canada,Turkey,Switzerland,Belgium-Luxembourg,Ethiopia PDR,Estonia,The former Yugoslav Republic of Macedonia,Greece,Tajikistan,France,Republic of Korea,Egypt,New Zealand,Hungary,Kyrgyzstan,Yugoslav SFR,Iran (Islamic Republic of),Peru,United States of America,"China, mainland",Cyprus,Kazakhstan,Uruguay,Lithuania,Portugal,Netherlands,Guatemala,Cuba,Slovakia,Romania,Turkmenistan,Philippines,Iraq,Czechia,United Republic of Tanzania,Belgium,Luxembourg,Libya,Italy,Qatar,Liechtenstein,Uzbekistan,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Morocco,Jordan,Chile,Honduras,Zimbabwe,Syrian Arab Republic,Algeria,"China, Taiwan Province of",Israel,Réunion,Japan,Belarus,Afghanistan,United Arab Emirates,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Viet Nam,Bosnia and Herzegovina,Russian Federation,Austria,Venezuela (Bolivarian Republic of),Mexico,Ukraine,Kuwait,Bolivia (Plurinational State of),Czechoslovakia,Croatia,Bulgaria,China
1961,2235000.0,80.0,540305.0,534975.0,24700.0,650.0,,516553.0,90000.0,18700.0,247000.0,43412.0,450942.0,8000.0,,,,2174000.0,4500.0,3298000.0,482500.0,70000.0,5125.0,258.0,1850.0,,38663.0,3189000.0,117800.0,27500.0,,,,1420137.0,,7491000.0,5599.0,106000.0,5330.0,591296.0,,950000.0,420000.0,56456.0,2952820.0,70000.0,130810.0,,115000.0,,1063000.0,9008.0,500.0,-1.0,,751700.0,,,45000.0,,,,,7100.0,8467000.0,,130.0,,-1.0,,,357000.0,78400.0,853000.0,-1.0,,242826.0,1845000.0,1831.0,63300.0,200.0,174500.0,,225000.0,,-1.0,16000.0,,,,-1.0,,,171000.0,,72756.0,,,9000.0,61789.0,,579260.0,71831.0
1962,2972000.0,80.0,644536.0,637978.0,12900.0,650.0,,543864.0,85000.0,18700.0,275400.0,48800.0,400601.0,11000.0,,,,2460000.0,5000.0,3870000.0,530300.0,75000.0,2922.0,178.0,1850.0,,41927.0,3382000.0,112600.0,30000.0,,,,1596070.0,,11505000.0,7500.0,120172.0,6558.0,551045.0,,1130000.0,440000.0,61900.0,2937915.0,84000.0,127000.0,,114657.0,,2091000.0,8278.0,500.0,-1.0,,1032100.0,,,45000.0,,,,,6900.0,10966000.0,,100.0,,-1.0,,,304000.0,79000.0,972000.0,-1.0,,254903.0,1668000.0,2200.0,72500.0,200.0,194200.0,,225000.0,,-1.0,17000.0,,,,-1.0,,,129000.0,,70487.0,,,9000.0,42642.0,,1053197.0,86200.0
1963,2572000.0,100.0,485910.0,478990.0,20300.0,650.0,,626547.0,90000.0,19200.0,278200.0,20160.0,506802.0,11000.0,,,,2678000.0,5500.0,4108000.0,814600.0,80000.0,3827.0,167.0,2000.0,,48434.0,2693000.0,122700.0,30200.0,,,,1118190.0,,8775000.0,6439.0,105412.0,6920.0,736482.0,,1220000.0,460000.0,59570.0,3440949.0,85000.0,63000.0,,127900.0,,1787000.0,6673.0,1000.0,-1.0,,936500.0,,,45000.0,,,,,5800.0,8698000.0,,70.0,,-1.0,,,392000.0,58700.0,803000.0,-1.0,,159210.0,1696000.0,2129.0,59200.0,200.0,176700.0,,225000.0,,-1.0,17000.0,,,,-1.0,,,234000.0,,81650.0,,,10000.0,65600.0,,1158328.0,87129.0
1964,2629000.0,100.0,673330.0,665300.0,17100.0,650.0,,620763.0,100000.0,19200.0,255300.0,38678.0,403069.0,11500.0,,,,2544000.0,6000.0,5513000.0,970000.0,90000.0,2985.0,139.0,2000.0,,54247.0,2790000.0,129500.0,32700.0,,,,1331198.0,,9588000.0,10936.0,91042.0,8030.0,926543.0,,1250000.0,480000.0,55723.0,3155186.0,100000.0,95250.0,,119266.0,,1874000.0,6239.0,1000.0,-1.0,,897500.0,,,45000.0,,,,,5400.0,10358000.0,,110.0,,-1.0,,,401000.0,76900.0,852000.0,-1.0,200.0,230278.0,1416000.0,3559.0,83300.0,200.0,207400.0,,265000.0,,-1.0,18000.0,,,,-1.0,,,403404.0,,86905.0,,,10000.0,100317.0,,906744.0,103559.0
1965,3723000.0,100.0,699205.0,690531.0,20200.0,650.0,,807212.0,83800.0,19800.0,239700.0,42900.0,550892.0,12000.0,,,,2342000.0,6500.0,4376000.0,680000.0,100000.0,4267.0,477.0,2000.0,,57158.0,3350000.0,125900.0,27000.0,,,,1480983.0,,10521000.0,18563.0,90047.0,8674.0,426982.0,,1120000.0,500000.0,55369.0,3947430.0,100000.0,127000.0,,131600.0,,2019000.0,6164.0,1000.0,-1.0,,921300.0,,,45000.0,,,,,5000.0,10675000.0,,100.0,,-1.0,,,507000.0,79200.0,630000.0,-1.0,200.0,205674.0,1902000.0,3392.0,80300.0,200.0,224700.0,,287000.0,,-1.0,19000.0,,,,-1.0,,,197107.0,,97879.0,,,10000.0,39152.0,,1333909.0,103392.0
1966,3378000.0,40.0,600459.0,591459.0,21000.0,650.0,,767760.0,75988.0,20900.0,166400.0,54100.0,522640.0,12000.0,,,,2777000.0,7000.0,4958300.0,649200.0,110000.0,3454.0,409.0,2400.0,,55581.0,3100000.0,110100.0,29000.0,,,,1479638.0,,9612413.0,22631.0,118014.0,9000.0,568868.0,,1230000.0,520000.0,55938.0,3387706.0,98000.0,142240.0,,160088.0,,1287000.0,5110.0,1500.0,-1.0,,954100.0,,,65000.0,,,,,6000.0,10150000.0,,80.0,,-1.0,,,362000.0,79690.0,836000.0,-1.0,300.0,202000.0,931300.0,3784.0,76000.0,200.0,230300.0,,315000.0,,-1.0,19000.0,,,,-1.0,,,206510.0,393.0,105892.0,,,10000.0,58871.0,,1081041.0,101784.0
1967,3441000.0,40.0,704728.0,694748.0,22500.0,650.0,,803960.0,88321.0,22000.0,148600.0,48500.0,500791.0,13500.0,,,,3624000.0,7500.0,3730900.0,819300.0,115000.0,4368.0,492.0,2300.0,,60830.0,3500000.0,125800.0,28200.0,,,,1352835.0,,9565882.0,25083.0,117000.0,9980.0,791467.0,,1160000.0,550000.0,53879.0,2777979.0,90000.0,147320.0,,141300.0,,1388000.0,6460.0,1500.0,-1.0,,910200.0,,,68000.0,,,,,6000.0,11692000.0,,60.0,,-1.0,,,238000.0,71676.0,863000.0,-1.0,300.0,213526.0,889000.0,4858.0,82000.0,200.0,264100.0,,372000.0,,-1.0,20000.0,,,,-1.0,,,368502.0,491.0,102609.0,,,11000.0,93380.0,,923282.0,94858.0
1968,4472000.0,40.0,651056.0,638611.0,22700.0,650.0,,918835.0,83609.0,23100.0,139100.0,57800.0,539036.0,12000.0,,,,2590000.0,8000.0,3841000.0,816500.0,120000.0,3759.0,936.0,2550.0,,55152.0,3725000.0,134400.0,26500.0,,,,1714201.0,,10227603.0,27537.0,117000.0,12445.0,835334.0,,1270000.0,520000.0,55862.0,3219596.0,100000.0,168656.0,,119000.0,,1642000.0,5682.0,1500.0,-1.0,,1167105.0,,,70000.0,,,,,6300.0,10320000.0,,120.0,,-1.0,,,310000.0,30500.0,943000.0,-1.0,300.0,212571.0,1399000.0,6801.0,71900.0,200.0,269000.0,,375000.0,,-1.0,22000.0,,,,-1.0,,,352008.0,614.0,110506.0,,3.0,10900.0,110734.0,,1335915.0,106801.0
1969,4181000.0,50.0,568807.0,553411.0,24100.0,1300.0,,922660.0,76640.0,24200.0,130000.0,59700.0,483443.0,12000.0,,,,2354000.0,8500.0,3985600.0,802800.0,125000.0,4368.0,1285.0,2680.0,,56344.0,3635000.0,105200.0,27500.0,3000.0,,,1683194.0,,7919224.0,37407.0,110000.0,15396.0,938971.0,,1499220.0,603000.0,65982.0,3535759.0,95000.0,203200.0,,114000.0,,1173120.0,4713.0,2000.0,-1.0,,1189364.0,,,73000.0,,419.0,,,6500.0,11163000.0,,90.0,,-1.0,,,160000.0,14234.0,709000.0,-1.0,300.0,248234.0,1237000.0,6879.0,80400.0,210.0,244000.0,,379000.0,,-1.0,22000.0,,,,-1.0,,,321900.0,741.0,118158.0,,5.0,11600.0,117121.0,,1285294.0,101879.0
1970,4011000.0,50.0,774418.0,757668.0,24100.0,1300.0,,682783.0,101753.0,10000.0,90000.0,65000.0,598016.0,12000.0,,,,2668000.0,9000.0,4139700.0,1335000.0,130000.0,3556.0,1203.0,2585.0,,65543.0,3850000.0,165364.0,43000.0,3000.0,,,1558359.0,,11617697.0,34145.0,108000.0,16750.0,742601.0,,1101166.0,630000.0,56243.0,2815279.0,85000.0,182880.0,,137000.0,,1632064.0,4927.0,2000.0,-1.0,,759877.0,,,75000.0,,839.0,,,6500.0,10724000.0,,120.0,,-1.0,,,202600.0,26280.0,668000.0,-1.0,300.0,206574.0,1275000.0,11156.0,60700.0,210.0,234200.0,,364000.0,,-1.0,24000.0,,,,-1.0,,,439950.0,685.0,178467.0,,9.0,12100.0,137547.0,,1039812.0,96156.0
