,Cambodia,Philippines,Angola,Madagascar,Egypt,Pakistan,United Republic of Tanzania,Democratic Republic of the Congo,Nepal,Viet Nam,Costa Rica,Nigeria,Panama,India,Central African Republic,Ghana,Burkina Faso,Guinea,United States of America,El Salvador,Honduras,Colombia,Cameroon,Myanmar,Guatemala,Liberia
1961,14000.0,636750.0,3212.0,16760.0,61200.0,1164000.0,40400.0,9600.0,12000.0,15575.0,14000.0,3440.0,0.0,5500050.0,0.0,900.0,0.0,0.0,778360.0,26877.0,24129.0,171600.0,2500.0,96428.0,0.0,600.0
1962,14000.0,646925.0,3470.0,17000.0,67200.0,1435670.0,40400.0,11400.0,17000.0,16280.0,27500.0,3700.0,0.0,5198350.0,0.0,1200.0,0.0,0.0,780175.0,30900.0,23445.0,190060.0,5000.0,118575.0,0.0,630.0
1963,14000.0,674700.0,3240.0,20300.0,67200.0,1843800.0,51560.0,10900.0,22000.0,17600.0,18500.0,5300.0,0.0,4595650.0,0.0,1555.0,0.0,0.0,955300.0,29631.0,23754.0,164632.0,2500.0,98665.0,0.0,660.0
1964,15000.0,876200.0,3235.0,20309.0,64800.0,1613900.0,59892.0,8500.0,19000.0,19030.0,33000.0,6960.0,0.0,5211250.0,0.0,1853.0,0.0,0.0,667700.0,30567.0,23907.0,192244.0,2500.0,121595.0,0.0,690.0
1965,15000.0,788200.0,3396.0,20209.0,67109.0,1866701.0,63528.0,9400.0,25000.0,20299.0,38500.0,9040.0,0.0,6103850.0,0.0,3012.0,0.0,0.0,796504.0,40980.0,24237.0,229268.0,4500.0,144210.0,0.0,720.0
1966,18000.0,771725.0,3563.0,20722.0,69060.0,2230941.0,66000.0,9400.0,19000.0,17256.0,26500.0,8820.0,0.0,6199500.0,0.0,1200.0,0.0,0.0,839100.0,44625.0,26949.0,269360.0,4375.0,156798.0,0.0,750.0
1967,22000.0,795725.0,3611.0,19606.0,78638.0,2198221.0,69600.0,11000.0,24000.0,14300.0,25000.0,10680.0,0.0,4641350.0,0.0,2400.0,0.0,0.0,863600.0,12500.0,29595.0,283296.0,5000.0,147713.0,0.0,900.0
1968,20000.0,857400.0,3423.0,18980.0,85697.0,1865901.0,75200.0,11094.0,27000.0,11000.0,38000.0,10900.0,0.0,4775000.0,0.0,4560.0,0.0,0.0,725700.0,12500.0,32991.0,311688.0,5813.0,163533.0,0.0,1050.0
1969,24000.0,915175.0,3415.0,22258.0,93762.0,2197101.0,76000.0,12000.0,30000.0,9749.0,58500.0,11480.0,0.0,6233805.0,0.0,3000.0,0.0,0.0,817400.0,44070.0,37206.0,335140.0,7023.0,202840.0,0.0,1200.0
1970,20000.0,1104050.0,3820.0,23100.0,97294.0,2636950.0,80000.0,12464.0,29600.0,11573.0,59000.0,12140.0,0.0,6751200.0,0.0,3600.0,0.0,0.0,853700.0,47610.0,40902.0,318708.0,7933.0,239640.0,0.0,1350.0
1971,13000.0,1102550.0,4401.0,23794.0,101827.0,2316701.0,70000.0,12704.0,31200.0,12100.0,60000.0,12760.0,0.0,6318400.0,0.0,4560.0,0.0,0.0,931700.0,59730.0,30000.0,351520.0,7918.0,276623.0,0.0,1500.0
1972,13000.0,1137900.0,4250.0,20864.0,99811.0,1996341.0,64000.0,13998.0,32000.0,13860.0,60000.0,13320.0,0.0,5678475.0,0.0,7500.0,0.0,0.0,991600.0,69360.0,44544.0,390000.0,9616.0,295423.0,0.0,1650.0
1973,14000.0,1226675.0,4837.0,23825.0,104852.0,1994710.0,60000.0,15424.0,34000.0,14300.0,60000.0,12360.0,0.0,6243335.0,0.0,7500.0,0.0,0.0,819200.0,73200.0,43200.0,413972.0,12750.0,238145.0,0.0,1800.0
1974,14000.0,1340148.0,2750.0,31431.0,109892.0,2391050.0,60000.0,16328.0,30000.0,15950.0,60000.0,13400.0,0.0,7040250.0,0.0,5700.0,2019.0,0.0,1006100.0,88590.0,42479.0,451740.0,17500.0,213475.0,0.0,2100.0
