,Bolivia (Plurinational State of),Peru,Israel,Malta,South Sudan,Brazil,Nepal,Ethiopia,Canada,Greece,Iraq,Syrian Arab Republic,Cyprus,Japan,Eritrea,Guyana,Bulgaria,Australia & New Zealand,Guatemala,Algeria,Slovenia,Morocco,Czechia,Argentina,Paraguay,"China, mainland",Germany,Austria,Czechoslovakia,Ethiopia PDR,Lebanon,Mexico,Switzerland,Slovakia,Ecuador,Spain,Egypt,Sudan (former),China,Tunisia,Colombia,Libya,Uruguay,Jamaica,Uzbekistan,France,Occupied Palestinian Territory,Italy,Sierra Leone,Australia,Portugal,Jordan,Netherlands,Turkey,Belgium-Luxembourg
1961,1050.0,1443.0,46.0,70.0,-1.0,10237.0,0.0,-1.0,0.0,5069.0,591.0,1180.0,643.0,1878.0,-1.0,0.0,45.0,20.0,936.0,1400.0,-1.0,7500.0,-1.0,182.0,162.0,441000.0,8672.0,108.0,676.0,18400.0,180.0,1207.0,0.0,-1.0,1400.0,15000.0,25000.0,261.0,441000.0,2850.0,0.0,160.0,24.0,4.0,-1.0,3630.0,0.0,70400.0,9.0,20.0,3815.0,384.0,108.0,8000.0,430.0
1962,1050.0,1513.0,38.0,88.0,-1.0,12047.0,0.0,-1.0,0.0,4599.0,625.0,1134.0,657.0,1593.0,-1.0,0.0,84.0,20.0,1116.0,1400.0,-1.0,7500.0,-1.0,196.0,192.0,336000.0,8909.0,294.0,749.0,19200.0,100.0,1397.0,0.0,-1.0,1247.0,15000.0,23000.0,354.0,336000.0,3700.0,0.0,160.0,24.0,5.0,-1.0,2870.0,0.0,78400.0,9.0,20.0,4030.0,266.0,123.0,8200.0,314.0
1963,1000.0,1629.0,32.0,74.0,-1.0,11894.0,0.0,-1.0,0.0,3992.0,678.0,1227.0,615.0,1477.0,-1.0,0.0,57.0,10.0,1074.0,1145.0,-1.0,8000.0,-1.0,238.0,222.0,336000.0,9283.0,289.0,791.0,20000.0,130.0,1404.0,0.0,-1.0,1884.0,14000.0,27000.0,300.0,336000.0,4000.0,0.0,120.0,24.0,4.0,-1.0,2850.0,0.0,77200.0,9.0,10.0,3250.0,367.0,170.0,7600.0,296.0
1964,1000.0,1113.0,37.0,74.0,-1.0,13380.0,0.0,-1.0,0.0,3473.0,771.0,1392.0,559.0,1380.0,-1.0,0.0,21.0,10.0,1098.0,1181.0,-1.0,7800.0,-1.0,245.0,246.0,336000.0,9225.0,314.0,605.0,20000.0,150.0,1411.0,0.0,-1.0,1849.0,13800.0,28000.0,298.0,336000.0,2800.0,0.0,120.0,24.0,4.0,-1.0,2490.0,0.0,69800.0,9.0,10.0,3830.0,468.0,65.0,7000.0,254.0
1965,985.0,1155.0,34.0,20.0,-1.0,13954.0,0.0,-1.0,0.0,3359.0,855.0,1512.0,552.0,1193.0,-1.0,0.0,8.0,10.0,930.0,1085.0,-1.0,8300.0,-1.0,252.0,276.0,325500.0,9463.0,629.0,805.0,20800.0,149.0,1431.0,0.0,-1.0,1770.0,14200.0,27000.0,284.0,325500.0,5000.0,0.0,119.0,26.0,8.0,-1.0,2170.0,0.0,68100.0,9.0,10.0,3100.0,430.0,47.0,7000.0,210.0
1966,938.0,1239.0,41.0,0.0,-1.0,16547.0,0.0,-1.0,0.0,3182.0,914.0,1404.0,308.0,997.0,-1.0,0.0,5.0,10.0,828.0,1159.0,-1.0,8250.0,-1.0,223.0,288.0,325500.0,9622.0,638.0,691.0,21200.0,63.0,1408.0,0.0,-1.0,1680.0,13700.0,22000.0,309.0,325500.0,5400.0,0.0,119.0,24.0,8.0,-1.0,2170.0,0.0,65500.0,10.0,10.0,3040.0,260.0,31.0,7000.0,217.0
1967,947.0,1048.0,38.0,0.0,-1.0,15900.0,0.0,-1.0,0.0,2768.0,871.0,1091.0,461.0,828.0,-1.0,0.0,6.0,10.0,852.0,1152.0,-1.0,5725.0,-1.0,204.0,252.0,325500.0,8570.0,527.0,560.0,22000.0,67.0,1300.0,0.0,-1.0,1680.0,14000.0,22000.0,384.0,325500.0,5000.0,0.0,139.0,24.0,8.0,-1.0,2150.0,0.0,62000.0,10.0,10.0,3335.0,279.0,20.0,6600.0,176.0
1968,975.0,1182.0,35.0,0.0,-1.0,15464.0,0.0,-1.0,0.0,2408.0,839.0,892.0,391.0,685.0,-1.0,0.0,4.0,10.0,921.0,1195.0,-1.0,8350.0,-1.0,207.0,242.0,315000.0,8735.0,102.0,495.0,22000.0,63.0,1585.0,0.0,-1.0,1037.0,13700.0,24000.0,386.0,315000.0,5000.0,0.0,159.0,24.0,20.0,-1.0,2110.0,0.0,60600.0,10.0,10.0,3225.0,177.0,12.0,7000.0,174.0
1969,985.0,1315.0,34.0,0.0,-1.0,14388.0,0.0,-1.0,0.0,2250.0,890.0,973.0,503.0,623.0,-1.0,0.0,4.0,10.0,880.0,1465.0,-1.0,9050.0,-1.0,153.0,217.0,325500.0,6962.0,88.0,357.0,22400.0,46.0,1592.0,0.0,-1.0,1200.0,13300.0,21000.0,386.0,325500.0,5000.0,0.0,158.0,23.0,16.0,-1.0,2000.0,0.0,60100.0,9.0,10.0,2755.0,140.0,5.0,5800.0,108.0
1970,1050.0,1261.0,24.0,0.0,-1.0,16929.0,0.0,-1.0,0.0,2475.0,988.0,892.0,475.0,579.0,-1.0,0.0,1.0,10.0,922.0,1488.0,-1.0,9500.0,-1.0,126.0,348.0,273000.0,7004.0,74.0,347.0,22800.0,54.0,1906.0,0.0,-1.0,1136.0,11300.0,19000.0,454.0,273000.0,5200.0,0.0,80.0,23.0,12.0,-1.0,1920.0,0.0,54200.0,11.0,10.0,2675.0,140.0,5.0,6200.0,114.0
1971,1150.0,1318.0,38.0,0.0,-1.0,17351.0,0.0,-1.0,0.0,2130.0,747.0,1000.0,643.0,392.0,-1.0,0.0,4.0,10.0,960.0,1483.0,-1.0,12965.0,-1.0,148.0,594.0,262500.0,5936.0,63.0,266.0,23600.0,55.0,1960.0,49.0,-1.0,663.0,11500.0,22000.0,756.0,262500.0,6000.0,0.0,116.0,23.0,23.0,-1.0,1070.0,0.0,48500.0,11.0,10.0,2695.0,32.0,0.0,6600.0,103.0
1972,1250.0,1373.0,27.0,0.0,-1.0,15620.0,0.0,-1.0,0.0,2010.0,1032.0,809.0,699.0,285.0,-1.0,0.0,5.0,12.0,990.0,1373.0,-1.0,13920.0,-1.0,146.0,468.0,262500.0,6275.0,38.0,300.0,24000.0,57.0,1774.0,90.0,-1.0,873.0,12000.0,22000.0,487.0,262500.0,6500.0,0.0,179.0,24.0,12.0,-1.0,1480.0,0.0,41100.0,14.0,12.0,2435.0,35.0,0.0,6200.0,103.0
1973,1300.0,1386.0,14.0,0.0,-1.0,16980.0,0.0,-1.0,0.0,1935.0,819.0,577.0,559.0,240.0,-1.0,0.0,5.0,9.0,1020.0,1700.0,-1.0,11365.0,-1.0,164.0,545.0,241500.0,5759.0,46.0,1084.0,27108.0,52.0,1367.0,164.0,-1.0,743.0,13000.0,23600.0,555.0,241500.0,7500.0,0.0,212.0,24.0,14.0,-1.0,2145.0,0.0,38500.0,14.0,9.0,2435.0,54.0,0.0,6800.0,0.0
1974,1375.0,1243.0,14.0,0.0,-1.0,16897.0,0.0,-1.0,0.0,1725.0,998.0,699.0,699.0,202.0,-1.0,0.0,3.0,318.0,1056.0,1765.0,-1.0,11005.0,-1.0,148.0,568.0,241500.0,4683.0,47.0,2466.0,26384.0,25.0,1369.0,136.0,-1.0,944.0,12000.0,21800.0,638.0,241500.0,8000.0,0.0,230.0,24.0,13.0,-1.0,2355.0,0.0,36000.0,14.0,318.0,2370.0,52.0,0.0,6200.0,71.0
1975,1400.0,1228.0,14.0,0.0,-1.0,15126.0,0.0,-1.0,0.0,1650.0,817.0,985.0,279.0,180.0,-1.0,0.0,3.0,752.0,1092.0,1824.0,-1.0,9565.0,-1.0,140.0,594.0,241500.0,4086.0,46.0,3528.0,21088.0,11.0,1636.0,81.0,-1.0,719.0,11000.0,21600.0,603.0,241500.0,8500.0,0.0,238.0,24.0,18.0,-1.0,2200.0,0.0,35000.0,15.0,752.0,2530.0,39.0,0.0,6000.0,61.0
1976,1350.0,1247.0,18.0,0.0,-1.0,15204.0,0.0,-1.0,0.0,1245.0,728.0,959.0,321.0,182.0,-1.0,0.0,3.0,342.0,1122.0,1773.0,-1.0,9505.0,-1.0,154.0,966.0,241500.0,2888.0,46.0,2959.0,21608.0,25.0,1752.0,28.0,-1.0,755.0,10000.0,23099.0,638.0,241500.0,4430.0,0.0,248.0,25.0,21.0,-1.0,1950.0,0.0,28700.0,15.0,342.0,1720.0,45.0,0.0,6000.0,35.0
1977,1450.0,1237.0,19.0,0.0,-1.0,15478.0,0.0,-1.0,0.0,1275.0,735.0,995.0,279.0,147.0,-1.0,0.0,4.0,600.0,1140.0,1964.0,-1.0,11055.0,-1.0,126.0,939.0,220500.0,2780.0,125.0,3773.0,22544.0,30.0,1441.0,25.0,-1.0,324.0,10000.0,25215.0,704.0,220500.0,5580.0,0.0,244.0,25.0,27.0,-1.0,2180.0,0.0,31600.0,17.0,600.0,2215.0,26.0,0.0,6200.0,32.0
