,Philippines,Ecuador,Bolivia (Plurinational State of),Colombia,Democratic Republic of the Congo,Dominica,Peru
1961,2527.0,2500.0,11500.0,0.0,2700.0,0.0,19012.0
1962,2232.0,2500.0,12500.0,0.0,2850.0,0.0,18200.0
1963,2162.0,3100.0,12500.0,0.0,2925.0,0.0,16681.0
1964,2658.0,3100.0,12500.0,0.0,3000.0,0.0,23548.0
1965,2652.0,4100.0,12500.0,0.0,3000.0,0.0,23475.0
1966,2952.0,3600.0,13500.0,0.0,3150.0,0.0,25018.0
1967,2911.0,4100.0,13500.0,0.0,3300.0,0.0,22033.0
1968,2866.0,4800.0,13500.0,0.0,3450.0,0.0,26369.0
1969,2724.0,4400.0,13500.0,0.0,3450.0,0.0,30798.0
1970,2660.0,4400.0,14400.0,0.0,3600.0,0.0,28053.0
1971,2463.0,4600.0,15400.0,0.0,4455.0,0.0,26490.0
1972,2152.0,4600.0,14850.0,0.0,4440.0,0.0,24900.0
1973,1788.0,4100.0,15350.0,0.0,4080.0,0.0,24843.0
1974,1980.0,4600.0,14900.0,0.0,4440.0,0.0,24460.0
1975,2304.0,5200.0,14900.0,0.0,4425.0,0.0,23898.0
1976,2390.0,5800.0,15250.0,0.0,4515.0,0.0,27040.0
1977,1937.0,5900.0,12250.0,0.0,4695.0,0.0,26534.0
1978,1762.0,6000.0,12600.0,0.0,4290.0,0.0,30628.0
1979,1663.0,2400.0,11500.0,0.0,6000.0,5.0,29424.0
1980,1626.0,2300.0,16450.0,0.0,6120.0,5.0,32782.0
1981,1749.0,2500.0,15300.0,0.0,6360.0,5.0,33967.0
1982,1743.0,6000.0,9300.0,0.0,6480.0,5.0,33076.0
1983,1800.0,9300.0,17000.0,0.0,6720.0,5.0,34785.0
1984,1800.0,7300.0,18900.0,0.0,6840.0,10.0,34860.0
1985,2275.0,3100.0,20050.0,0.0,6840.0,10.0,35210.0
1986,2185.0,3900.0,19743.0,0.0,7170.0,10.0,35210.0
1987,2270.0,4991.0,20280.0,0.0,7485.0,10.0,35210.0
1988,2080.0,2763.0,21000.0,0.0,7650.0,10.0,35350.0
1989,1800.0,3713.0,19200.0,0.0,7830.0,21.0,37310.0
1990,1713.0,4196.0,18000.0,0.0,13050.0,18.0,42856.0
1991,1673.0,2436.0,17450.0,0.0,18300.0,20.0,37660.0
1992,1711.0,3250.0,17900.0,0.0,23550.0,22.0,48551.0
1993,1689.0,2706.0,17500.0,0.0,28800.0,30.0,38150.0
1994,1712.0,3028.0,16450.0,0.0,34050.0,40.0,46911.0
1995,1749.0,2587.0,15400.0,0.0,39225.0,50.0,26954.0
1996,1784.0,1762.0,14350.0,0.0,44475.0,60.0,33078.0
1997,1706.0,856.0,14350.0,0.0,49725.0,70.0,34521.0
1998,1480.0,1157.0,14000.0,0.0,54975.0,80.0,62145.0
1999,1615.0,1055.0,14000.0,0.0,60225.0,110.0,40372.0
2000,1615.0,1100.0,13300.0,0.0,65475.0,80.0,39816.0
2001,1639.0,432.0,13300.0,0.0,70725.0,40.0,38381.0
2002,1644.0,380.0,11900.0,0.0,75900.0,38.0,29629.0
2003,1402.0,432.0,10400.0,0.0,81150.0,30.0,28280.0
2004,1661.0,500.0,10500.0,0.0,86400.0,25.0,30512.0
2005,1654.0,500.0,9500.0,0.0,91650.0,19.0,30013.0
2006,1644.0,500.0,9700.0,0.0,96825.0,21.0,30466.0
2007,1626.0,500.0,9800.0,0.0,102075.0,20.0,31290.0
2008,1657.0,500.0,9800.0,0.0,107325.0,21.0,32060.0
2009,1670.0,500.0,9800.0,0.0,112589.0,25.0,30016.0
2010,1548.0,500.0,9800.0,0.0,120000.0,35.0,28923.0
2011,1530.0,500.0,9800.0,0.0,127500.0,60.0,19615.0
2012,1493.0,550.0,9800.0,4.0,129750.0,60.0,30101.0
2013,1353.0,550.0,9800.0,4.0,129000.0,28.0,29984.0
2014,1418.0,550.0,9800.0,4.0,128188.0,28.0,29984.0
