,Burundi,"China, Taiwan Province of",Mozambique,Croatia,Myanmar,Burkina Faso,Syrian Arab Republic,Viet Nam,United Republic of Tanzania,Nepal,Ethiopia,Kenya,Maldives,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Iran (Islamic Republic of),Malawi,Eritrea,Rwanda,Australia & New Zealand,Yugoslav SFR,Slovenia,Senegal,Uganda,Ukraine,Guinea,Botswana,Saudi Arabia,Chad,Sri Lanka,Central African Republic,Sudan (former),China,Libya,Uzbekistan,Guinea-Bissau,Kazakhstan,Argentina,Hungary,Portugal,Togo,Poland,"China, mainland",Russian Federation,Mali,Yemen,Serbia and Montenegro,Cameroon,Tajikistan,Zambia,South Sudan,Namibia,Benin,Pakistan,Japan,Afghanistan,Iraq,Spain,Bulgaria,Bangladesh,Democratic Republic of the Congo,Czechoslovakia,Nigeria,Czechia,Ethiopia PDR,Democratic People's Republic of Korea,India,Austria,Niger,Morocco,Bhutan,Republic of Korea,Mexico,USSR,Romania,Côte d'Ivoire,Gambia,Slovakia,France,South Africa,Sierra Leone,Australia,Sudan,Ghana,Mauritania,Angola,Republic of Moldova,Turkey
1961,86.0,85.0,380.0,-1.0,3580.0,8955.0,1374.0,0.0,2475.0,1440.0,-1.0,1500.0,5.0,-1.0,91.0,6750.0,1020.0,0.0,-1.0,78.0,218.0,1293.0,-1.0,23049.0,13250.0,-1.0,875.0,5.0,1875.0,8580.0,420.0,680.0,3500.0,225835.0,51.0,-1.0,180.0,-1.0,3675.0,195.0,301.0,2200.0,725.0,225750.0,-1.0,22200.0,1012.0,-1.0,4440.0,-1.0,1740.0,-1.0,1200.0,284.0,10212.0,360.0,735.0,113.0,109.0,68.0,1230.0,520.0,162.0,71072.0,-1.0,5800.0,2400.0,232000.0,11.0,27600.0,288.0,53.0,1724.0,0.0,128970.0,0.0,720.0,1311.0,-1.0,323.0,400.0,220.0,218.0,-1.0,1000.0,624.0,870.0,-1.0,1470.0
1962,87.0,78.0,380.0,-1.0,3615.0,12351.0,1159.0,0.0,2670.0,1380.0,-1.0,1500.0,6.0,-1.0,113.0,6300.0,1020.0,0.0,-1.0,48.0,214.0,1372.0,-1.0,25260.0,13200.0,-1.0,875.0,5.0,1900.0,8370.0,350.0,680.0,4500.0,262578.0,51.0,-1.0,180.0,-1.0,3215.0,410.0,305.0,2683.0,675.0,262500.0,-1.0,24180.0,1002.0,-1.0,4560.0,-1.0,1770.0,-1.0,1200.0,310.0,8892.0,299.0,765.0,123.0,248.0,126.0,1036.0,520.0,179.0,65952.0,-1.0,5800.0,2600.0,256000.0,15.0,28305.0,173.0,55.0,1699.0,0.0,118950.0,0.0,720.0,981.0,-1.0,466.0,400.0,221.0,214.0,-1.0,1012.0,638.0,870.0,-1.0,1470.0
1963,88.0,78.0,380.0,-1.0,3361.0,12098.0,996.0,0.0,2550.0,1380.0,-1.0,1500.0,7.0,-1.0,66.0,6300.0,1020.0,0.0,-1.0,31.0,178.0,1189.0,-1.0,26946.0,13225.0,-1.0,875.0,5.0,1950.0,8025.0,480.0,720.0,4500.0,248578.0,51.0,-1.0,180.0,-1.0,3746.0,185.0,309.0,2464.0,550.0,248500.0,-1.0,16620.0,1214.0,-1.0,4560.0,-1.0,1800.0,-1.0,1320.0,279.0,10932.0,257.0,795.0,138.0,97.0,101.0,978.0,540.0,75.0,64352.0,-1.0,5860.0,2400.0,266000.0,16.0,26655.0,200.0,56.0,1693.0,0.0,106470.0,0.0,720.0,990.0,-1.0,579.0,400.0,219.0,178.0,-1.0,1035.0,638.0,900.0,-1.0,1230.0
1964,85.0,78.0,380.0,-1.0,3360.0,12000.0,914.0,0.0,2550.0,2000.0,-1.0,1500.0,8.0,-1.0,44.0,5850.0,1020.0,0.0,-1.0,56.0,141.0,1143.0,-1.0,28500.0,14193.0,-1.0,875.0,49.0,2000.0,8040.0,380.0,560.0,4500.0,229678.0,51.0,-1.0,180.0,-1.0,3101.0,480.0,312.0,3157.0,625.0,229600.0,-1.0,16110.0,1113.0,-1.0,4440.0,-1.0,1815.0,-1.0,1600.0,242.0,10080.0,204.0,825.0,157.0,59.0,75.0,1060.0,414.0,100.0,74048.0,-1.0,5864.0,2000.0,265000.0,30.0,27150.0,346.0,58.0,1529.0,0.0,97590.0,0.0,720.0,990.0,-1.0,339.0,400.0,225.0,141.0,-1.0,1194.0,780.0,820.0,-1.0,1350.0
1965,88.0,86.0,380.0,-1.0,3354.0,12000.0,556.0,0.0,3000.0,2000.0,-1.0,1480.0,9.0,-1.0,50.0,5550.0,660.0,0.0,-1.0,45.0,164.0,702.0,-1.0,25470.0,14328.0,-1.0,875.0,18.0,2025.0,6930.0,420.0,480.0,3500.0,245086.0,51.0,-1.0,240.0,-1.0,3468.0,600.0,303.0,4334.0,550.0,245000.0,-1.0,17910.0,1518.0,-1.0,4640.0,-1.0,1860.0,-1.0,1800.0,254.0,10044.0,173.0,855.0,162.0,53.0,51.0,1044.0,463.0,59.0,65024.0,-1.0,5926.0,2200.0,288000.0,61.0,26145.0,112.0,60.0,1177.0,0.0,97560.0,0.0,720.0,990.0,-1.0,222.0,400.0,204.0,164.0,-1.0,1347.0,650.0,870.0,-1.0,1350.0
1966,90.0,88.0,380.0,-1.0,3723.0,10500.0,776.0,0.0,3000.0,2042.0,-1.0,1500.0,6.0,-1.0,99.0,5400.0,720.0,0.0,-1.0,30.0,169.0,621.0,-1.0,30432.0,15340.0,-1.0,875.0,240.0,2075.0,7050.0,340.0,560.0,3500.0,245088.0,51.0,-1.0,240.0,-1.0,3978.0,310.0,364.0,3416.0,525.0,245000.0,-1.0,18450.0,1000.0,-1.0,4160.0,-1.0,1860.0,-1.0,2000.0,273.0,10968.0,135.0,885.0,191.0,51.0,40.0,1052.0,300.0,65.0,70144.0,-1.0,5956.0,2200.0,230000.0,58.0,27978.0,132.0,62.0,1042.0,0.0,114060.0,0.0,876.0,990.0,-1.0,210.0,400.0,195.0,169.0,-1.0,1560.0,650.0,900.0,-1.0,1260.0
1967,90.0,74.0,380.0,-1.0,3667.0,9185.0,822.0,0.0,3000.0,2176.0,-1.0,1480.0,4.0,-1.0,42.0,5700.0,1080.0,0.0,-1.0,27.0,135.0,594.0,-1.0,27753.0,17250.0,-1.0,875.0,181.0,3079.0,7125.0,370.0,480.0,5120.0,238074.0,51.0,-1.0,220.0,-1.0,4317.0,300.0,406.0,2156.0,475.0,238000.0,-1.0,17910.0,1050.0,-1.0,4000.0,-1.0,1875.0,-1.0,2100.0,279.0,8832.0,106.0,885.0,135.0,35.0,39.0,1648.0,320.0,39.0,71664.0,-1.0,5986.0,2000.0,273000.0,50.0,28428.0,120.0,64.0,1412.0,0.0,91500.0,0.0,864.0,1038.0,-1.0,111.0,440.0,180.0,135.0,-1.0,1400.0,650.0,910.0,-1.0,1200.0
1968,90.0,72.0,380.0,-1.0,3667.0,13010.0,491.0,0.0,3150.0,2238.0,-1.0,1500.0,2.0,-1.0,37.0,5550.0,960.0,0.0,-1.0,41.0,185.0,581.0,-1.0,27321.0,18250.0,-1.0,875.0,156.0,2348.0,6420.0,350.0,440.0,5071.0,241572.0,51.0,-1.0,220.0,-1.0,4284.0,500.0,406.0,1760.0,575.0,241500.0,-1.0,19170.0,1008.0,-1.0,5120.0,-1.0,1905.0,-1.0,2200.0,265.0,7572.0,79.0,945.0,35.0,30.0,40.0,1628.0,340.0,39.0,78496.0,-1.0,6016.0,1900.0,321000.0,20.0,34079.0,154.0,64.0,921.0,0.0,101280.0,0.0,779.0,1038.0,-1.0,67.0,440.0,174.0,185.0,-1.0,1750.0,728.0,910.0,-1.0,1179.0
1969,100.0,71.0,380.0,-1.0,3472.0,12752.0,516.0,0.0,3180.0,2296.0,-1.0,1500.0,5.0,-1.0,66.0,5850.0,900.0,0.0,-1.0,45.0,250.0,567.0,-1.0,25692.0,14550.0,-1.0,875.0,271.0,2750.0,6210.0,270.0,480.0,5321.0,241921.0,51.0,-1.0,220.0,-1.0,3641.0,300.0,280.0,2321.0,550.0,241850.0,-1.0,16260.0,911.0,-1.0,4600.0,-1.0,1875.0,-1.0,2200.0,239.0,9000.0,57.0,990.0,66.0,30.0,48.0,1596.0,618.0,40.0,79472.0,-1.0,6046.0,1900.0,249000.0,20.0,34647.0,140.0,65.0,686.0,0.0,80730.0,0.0,792.0,1038.0,-1.0,150.0,440.0,171.0,250.0,-1.0,2489.0,650.0,930.0,-1.0,1140.0
1970,102.0,73.0,380.0,-1.0,3197.0,12175.0,505.0,0.0,3150.0,2295.0,-1.0,1520.0,2.0,-1.0,48.0,5700.0,840.0,0.0,-1.0,63.0,320.0,486.0,-1.0,25671.0,17900.0,-1.0,875.0,437.0,3125.0,6735.0,250.0,480.0,6060.0,245073.0,6.0,-1.0,200.0,-1.0,3465.0,400.0,406.0,2178.0,450.0,245000.0,-1.0,15750.0,1000.0,-1.0,5040.0,-1.0,1956.0,-1.0,2400.0,237.0,9108.0,57.0,1050.0,132.0,10.0,27.0,1333.0,640.0,20.0,76624.0,-1.0,6076.0,1800.0,327000.0,21.0,35337.0,149.0,66.0,515.0,0.0,71910.0,0.0,696.0,1038.0,-1.0,135.0,440.0,174.0,320.0,-1.0,2299.0,676.0,930.0,-1.0,1230.0
