,Ecuador,Brazil,Peru,Occupied Palestinian Territory,Sri Lanka,Guatemala,Samoa,Wallis and Futuna Islands,Canada,Kazakhstan,Polynesia,Lithuania,Mali,Italy
1961,12780.0,5892.0,0.0,0.0,13000.0,0.0,0.0,7.0,5665.0,,8.0,,0.0,9000.0
1962,16734.0,6164.0,0.0,0.0,12500.0,0.0,0.0,7.0,6501.0,,8.0,,0.0,9000.0
1963,16881.0,6598.0,0.0,0.0,12000.0,0.0,0.0,7.0,6557.0,,8.0,,0.0,9000.0
1964,13514.0,7047.0,0.0,0.0,11000.0,0.0,1.0,7.0,6450.0,,8.0,,0.0,10000.0
1965,12007.0,6629.0,0.0,0.0,20500.0,0.0,1.0,7.0,5711.0,,8.0,,0.0,10000.0
1966,11507.0,6807.0,0.0,0.0,15000.0,0.0,1.0,7.0,6911.0,,8.0,,0.0,10000.0
1967,10264.0,7270.0,0.0,0.0,19000.0,0.0,1.0,8.0,6012.0,,9.0,,0.0,10000.0
1968,16614.0,7359.0,0.0,0.0,17500.0,0.0,1.0,8.0,6780.0,,9.0,,0.0,10000.0
1969,16881.0,7061.0,0.0,0.0,18000.0,0.0,1.0,8.0,6467.0,,9.0,,0.0,9000.0
1970,10270.0,6826.0,0.0,0.0,17000.0,0.0,1.0,8.0,7290.0,,9.0,,0.0,9000.0
1971,10264.0,6780.0,0.0,0.0,17000.0,0.0,1.0,8.0,6299.0,,9.0,,0.0,8000.0
1972,8055.0,5766.0,0.0,0.0,21000.0,0.0,1.0,8.0,6431.0,,9.0,,0.0,8000.0
1973,6973.0,5132.0,0.0,0.0,18000.0,0.0,1.0,8.0,6538.0,,9.0,,0.0,9000.0
1974,7756.0,2742.0,0.0,0.0,22000.0,0.0,1.0,8.0,7537.0,,9.0,,0.0,10000.0
1975,7378.0,3077.0,0.0,0.0,22000.0,0.0,1.0,8.0,8808.0,,9.0,,0.0,10000.0
1976,6959.0,3176.0,0.0,0.0,24000.0,0.0,1.0,8.0,7420.0,,9.0,,0.0,10000.0
1977,4834.0,3530.0,0.0,0.0,21000.0,0.0,1.0,9.0,6992.0,,10.0,,0.0,10000.0
1978,5341.0,4236.0,0.0,0.0,20500.0,0.0,1.0,10.0,8854.0,,10.0,,0.0,5000.0
1979,5898.0,6176.0,0.0,0.0,22000.0,0.0,1.0,10.0,10382.0,,11.0,,0.0,10000.0
1980,8298.0,6326.0,3000.0,0.0,22000.0,15.0,1.0,11.0,8627.0,,12.0,,0.0,12000.0
1981,8358.0,9178.0,3750.0,0.0,22000.0,18.0,1.0,11.0,10344.0,,12.0,,0.0,10000.0
