,USSR,Eritrea,Australia & New Zealand,Australia,Pakistan,Slovakia,Democratic Republic of the Congo,Ethiopia,Kenya,Romania,Serbia,Zambia,Botswana,Somalia,Tunisia,Albania,Brazil,Chad,Mozambique,Niger,Democratic People's Republic of Korea,Slovenia,Hungary,Argentina,Colombia,New Caledonia,India,Malta,Lesotho,Ecuador,Swaziland,Madagascar,Poland,Canada,Turkey,Jordan,Belgium-Luxembourg,Angola,Ethiopia PDR,Estonia,Melanesia,The former Yugoslav Republic of Macedonia,Greece,Czechoslovakia,France,Republic of Korea,Egypt,Nigeria,Sudan,Mali,United Arab Emirates,Montenegro,Lebanon,Syrian Arab Republic,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Spain,"China, mainland",Cyprus,Peru,Rwanda,Lithuania,Cameroon,Netherlands,Guatemala,South Sudan,Austria,Bhutan,Turkmenistan,Norway,Iraq,Czechia,United Republic of Tanzania,Burundi,Belgium,Nepal,Luxembourg,Libya,Bangladesh,Italy,Qatar,Germany,Uganda,Sweden,Uzbekistan,China,Finland,Republic of Moldova,Armenia,Sudan (former),Morocco,Mongolia,Chile,Honduras,Uruguay,Denmark,Zimbabwe,Kyrgyzstan,Malawi,Algeria,"China, Taiwan Province of",Israel,Japan,Belarus,Afghanistan,Switzerland,Thailand,Namibia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Bosnia and Herzegovina,Yemen,Oman,Serbia and Montenegro,New Zealand,Russian Federation,Portugal,Bolivia (Plurinational State of),Paraguay,Venezuela (Bolivarian Republic of),Latvia,Ukraine,Kuwait,South Africa,Mauritania,Tajikistan,Ireland,Croatia,Bulgaria,Myanmar,Occupied Palestinian Territory
1961,63000000.0,,6033699.0,5958110.0,4639000.0,,3000.0,,100300.0,2969400.0,,380.0,160.0,,850000.0,126500.0,1022234.0,1350.0,11500.0,815.0,168000.0,,1013700.0,4420900.0,160000.0,40.0,12927000.0,2069.0,66532.0,78770.0,,,1401000.0,10245000.0,7846500.0,273230.0,212139.0,18000.0,912000.0,,40.0,,1172900.0,641004.0,3997300.0,75915.0,581409.0,9000.0,,2500.0,,,68800.0,1315499.0,836538.0,1964000.0,3600000.0,,20870000.0,3890605.0,25546000.0,78930.0,153417.0,1525.0,,,122831.0,33686.0,,275822.0,4900.0,,9682.0,1100000.0,,8000.0,9000.0,,110000.0,,106000.0,56657.0,4345449.0,,1774628.0,,257199.0,,25567759.0,237085.0,,,16400.0,1590000.0,267000.0,769200.0,1025.0,435912.0,105341.0,550.0,,100.0,1689064.0,21759.0,62900.0,648700.0,,2230000.0,116460.0,,600.0,85000.0,,739000.0,,,26000.0,1000.0,,75589.0,,659517.0,80000.0,8000.0,2273.0,,,,1407000.0,450.0,,139534.0,,1323010.0,24156.0,-1.0
1962,67411008.0,,6740066.0,6664679.0,4923000.0,,3000.0,,91400.0,3042600.0,,554.0,160.0,,800000.0,139144.0,743459.0,1100.0,7600.0,938.0,165000.0,,1103037.0,3744700.0,150000.0,40.0,13570000.0,2069.0,70000.0,85225.0,,,1393000.0,10853000.0,7931000.0,284810.0,212221.0,18000.0,919000.0,,40.0,,1193200.0,669592.0,4570000.0,81621.0,611226.0,9000.0,,2500.0,,,68635.0,1417303.0,747728.0,2134000.0,3550000.0,,17680000.0,4262540.0,24051008.0,68228.0,153800.0,1732.0,,,132613.0,39119.0,,270351.0,5000.0,,9744.0,1400000.0,,18000.0,9100.0,,112000.0,,160000.0,58680.0,4555528.0,,1742400.0,,296098.0,,24071371.0,285700.0,,,17181.0,1460000.0,320000.0,768800.0,934.0,400480.0,153953.0,765.0,,100.0,1873300.0,20363.0,47590.0,642000.0,,2341000.0,108620.0,,400.0,75000.0,,913000.0,,,27000.0,1000.0,,75387.0,,728236.0,80000.0,10000.0,1183.0,,,,1375000.0,450.0,,127069.0,,1253600.0,35917.0,-1.0
1963,64609008.0,,6758032.0,6666676.0,5022000.0,,3000.0,,98600.0,2874400.0,,356.0,160.0,,1000000.0,86660.0,793494.0,1800.0,14700.0,640.0,165000.0,,1014049.0,5676000.0,113000.0,40.0,13590000.0,1845.0,70000.0,66578.0,,,1542000.0,11156000.0,7982000.0,205720.0,201443.0,18000.0,928000.0,,40.0,,1078200.0,716741.0,3849500.0,83941.0,565000.0,9000.0,,2300.0,,,55000.0,1558605.0,819210.0,2144000.0,3400000.0,,18415008.0,4247015.0,23748000.0,67559.0,153100.0,2173.0,,,126380.0,38000.0,,274722.0,5100.0,,6900.0,850000.0,,22000.0,10600.0,,112000.0,,150000.0,73654.0,4394395.0,,1808211.0,,230533.0,,23764512.0,238800.0,,,22692.0,1650000.0,348000.0,751000.0,833.0,353950.0,134630.0,957.0,,110.0,1909203.0,16512.0,52350.0,583700.0,,2341000.0,105380.0,,450.0,82500.0,,780000.0,,,28500.0,1100.0,,91356.0,,739797.0,106000.0,9700.0,2105.0,,,,1519000.0,450.0,,94169.0,,1189870.0,58110.0,-1.0
1964,67887008.0,,7334035.0,7251495.0,5019000.0,,3000.0,,112500.0,2958800.0,,145.0,160.0,,900000.0,129048.0,733597.0,1850.0,11400.0,795.0,163000.0,,1154747.0,6135400.0,100000.0,40.0,13499000.0,1873.0,70000.0,70643.0,,,1625000.0,12018000.0,8009000.0,296672.0,217656.0,14000.0,920800.0,,40.0,,1263120.0,824537.0,4388200.0,89543.0,544393.0,11000.0,,1800.0,,,70000.0,1475789.0,818325.0,2103000.0,3700000.0,,20138000.0,4143000.0,25382000.0,66890.0,149300.0,812.0,,,151297.0,38800.0,,282967.0,5200.0,,7224.0,1300000.0,,25000.0,11400.0,,113000.0,,150000.0,57466.0,4408076.0,,1880078.0,,259300.0,,25391511.0,268300.0,,,23331.0,1530000.0,356000.0,748200.0,697.0,527100.0,128133.0,1437.0,,200.0,2186360.0,9511.0,55830.0,508200.0,,2345000.0,106602.0,,450.0,82000.0,,893000.0,,,32000.0,1100.0,,82540.0,,685144.0,109000.0,10800.0,2166.0,,,,1319000.0,450.0,,86763.0,,1195610.0,80107.0,-1.0
1965,70205008.0,,7162437.0,7087977.0,5318000.0,,3000.0,,113800.0,2983400.0,,94.0,160.0,,1000000.0,105542.0,766640.0,1952.0,10000.0,592.0,163000.0,,1130414.0,4601200.0,120000.0,40.0,13422000.0,1586.0,69800.0,68900.0,,,1617300.0,11453000.0,8029000.0,278873.0,229353.0,18000.0,962300.0,,40.0,,1258130.0,822713.0,4520000.0,92930.0,481000.0,11000.0,,1800.0,,,76400.0,1214000.0,858259.0,1683000.0,4700000.0,,20056000.0,4260000.0,24685008.0,62877.0,153150.0,565.0,,,158454.0,27400.0,,275654.0,5300.0,,4243.0,1400000.0,,33000.0,12200.0,,100000.0,,179946.0,53419.0,4288403.0,,1902596.0,,276800.0,,24696127.0,267100.0,,,56957.0,1660000.0,362000.0,727078.0,602.0,546570.0,126482.0,1619.0,,250.0,2187990.0,11119.0,71985.0,475900.0,,2347000.0,109213.0,,450.0,84500.0,,1026000.0,,,33300.0,1100.0,,74460.0,,628000.0,63000.0,7200.0,2253.0,,,,1360000.0,450.0,,73720.0,,1146930.0,111356.0,-1.0
1966,69958000.0,,8507500.0,8426760.0,5155000.0,,3000.0,,108500.0,3034400.0,,41.0,190.0,,800000.0,117833.0,716981.0,3047.0,10000.0,556.0,160000.0,,1081799.0,5213600.0,110000.0,40.0,12572000.0,1555.0,71200.0,65004.0,,,1653900.0,12015961.0,8069000.0,213890.0,231643.0,20000.0,988600.0,,40.0,,1132300.0,888540.0,3992300.0,93758.0,542000.0,11000.0,,1500.0,,,68079.0,853000.0,730793.0,1833000.0,5476000.0,,20077392.0,4191000.0,23894000.0,60870.0,156710.0,125.0,,,147849.0,30940.0,,313812.0,5500.0,,1761.0,1300000.0,,34000.0,12150.0,,118000.0,,194935.0,55000.0,4274116.0,,1872840.0,324.0,194599.0,,23908507.0,208800.0,,,57321.0,1885000.0,343000.0,779966.0,614.0,379550.0,93674.0,4419.0,,300.0,1481870.0,14507.0,76420.0,421200.0,,2346000.0,107710.0,,400.0,85000.0,,906174.0,,,33700.0,1200.0,,80740.0,,531569.0,74545.0,8327.0,2854.0,,,,1134000.0,330.0,,53130.0,,1142176.0,151770.0,-1.0
1967,67026000.0,,9174944.0,9081640.0,5344000.0,,4235.0,,120922.0,2913300.0,,120.0,190.0,,750000.0,120486.0,830869.0,3600.0,10000.0,300.0,160000.0,,1166862.0,5811600.0,68000.0,50.0,12838000.0,1548.0,73400.0,79585.0,,,1721800.0,12189285.0,8112000.0,225980.0,216676.0,20000.0,1008400.0,,50.0,,1051050.0,927297.0,3928900.0,92955.0,530000.0,11000.0,,1500.0,,,66522.0,1201000.0,778374.0,1883000.0,4750000.0,,23614288.0,4263000.0,25274000.0,60201.0,159850.0,375.0,,,154174.0,36326.0,,316319.0,5700.0,,3293.0,1350000.0,,31000.0,12200.0,,126000.0,,229556.0,68000.0,4011844.0,,1947141.0,486.0,254250.0,,25285891.0,252000.0,,,72465.0,2036000.0,344000.0,718500.0,628.0,222060.0,90342.0,5222.0,,300.0,1998430.0,11891.0,93675.0,366600.0,,2030000.0,105720.0,,400.0,71732.0,,933214.0,,,34700.0,1200.0,,93304.0,,586128.0,45000.0,20900.0,3019.0,,,,1298000.0,380.0,,76810.0,,1064161.0,134148.0,-1.0
1968,67231008.0,,10971994.0,10845345.0,5983000.0,,2806.0,,133100.0,2817000.0,,150.0,190.0,,750000.0,143854.0,970128.0,4800.0,10000.0,600.0,155000.0,,1331206.0,5837200.0,90000.0,32.0,14998200.0,1344.0,82700.0,79399.0,,,1843900.0,11907911.0,8352000.0,218430.0,220347.0,20000.0,1028600.0,,32.0,,1097720.0,997524.0,4089700.0,96505.0,602000.0,11000.0,,1500.0,,,68051.0,891000.0,790646.0,2012000.0,5500000.0,,22162304.0,3966000.0,24633008.0,60870.0,136040.0,731.0,,,153496.0,30197.0,,305691.0,5900.0,,4806.0,1500000.0,,38000.0,12500.0,,192255.0,,227790.0,77700.0,4280082.0,,2033856.0,3000.0,248102.0,,24640724.0,240700.0,,,89389.0,1929800.0,346000.0,700160.0,641.0,532100.0,96568.0,7325.0,,300.0,2223200.0,7716.0,102050.0,322400.0,,2036000.0,108020.0,,400.0,71961.0,,978269.0,,,34000.0,1200.0,,126649.0,,614000.0,75000.0,31580.0,1726.0,,,,1670000.0,380.0,,90490.0,,1060052.0,88753.0,-1.0
1969,65230000.0,,9615695.0,9485958.0,6160000.0,,3000.0,,139800.0,2759300.0,,100.0,300.0,,700000.0,146547.0,1407115.0,4900.0,6000.0,217.0,150000.0,,1321000.0,5191300.0,70700.0,30.0,15958100.0,1268.0,95200.0,100231.0,,,1964900.0,10101420.0,8618000.0,164042.0,215759.0,15000.0,1049200.0,,30.0,,1078210.0,1051072.0,4034200.0,93733.0,531000.0,11000.0,,1500.0,,,43192.0,1221109.0,841279.0,2021000.0,5125000.0,,19079040.0,3770000.0,25137008.0,64214.0,146562.0,953.0,,,155394.0,30262.0,,286470.0,6100.0,,3828.0,1300000.0,,38000.0,8033.0,,207915.0,,269237.0,117400.0,4217920.0,,2054492.0,3000.0,265339.0,,25141668.0,203500.0,,,110270.0,1959000.0,347000.0,743045.0,821.0,450460.0,98236.0,12039.0,,300.0,2197700.0,4660.0,112735.0,286500.0,,2070000.0,107460.0,,400.0,70000.0,,833205.0,,,32118.0,1200.0,,129737.0,,567700.0,76500.0,34323.0,1306.0,,,,1850000.0,380.0,,82555.0,,1038925.0,55177.0,-1.0
1970,65230000.0,,6586875.0,6478418.0,6229000.0,,6143.0,,137300.0,2321000.0,,100.0,190.0,900.0,900000.0,147353.0,1895249.0,4400.0,10000.0,430.0,145000.0,,1274000.0,3700800.0,45400.0,35.0,16625500.0,1243.0,87724.0,76230.0,38.0,,1985200.0,5051782.0,8615500.0,222839.0,198233.0,14000.0,1070300.0,,35.0,,974800.0,1077512.0,3696000.0,96740.0,551145.0,11000.0,,1500.0,,,47562.0,1340531.0,886169.0,1833000.0,5327000.0,,17629488.0,3756700.0,25433008.0,78261.0,136230.0,1390.0,,,141502.0,32741.0,,275229.0,6300.0,,3858.0,1400000.0,,60000.0,8613.0,,225575.0,,156735.0,119800.0,4138372.0,,2091560.0,4000.0,264753.0,,25435011.0,175500.0,,,121907.0,1892000.0,348000.0,740290.0,821.0,336700.0,114245.0,15322.0,,700.0,2296960.0,2003.0,107420.0,229200.0,,2176000.0,97520.0,,400.0,70000.0,,1010392.0,,,42300.0,1200.0,,108457.0,,601700.0,63130.0,45000.0,1351.0,,,,1930000.0,380.0,,94695.0,,1013839.0,60216.0,-1.0
