,Guinea,Côte d'Ivoire,Benin,Niger,Guinea-Bissau,Gambia,Burkina Faso,Nigeria,Senegal
1961,1200.0,400.0,120.0,14.0,300.0,300.0,234.0,936.0,0.0
1962,1200.0,450.0,120.0,14.0,300.0,300.0,678.0,962.0,0.0
1963,1200.0,450.0,120.0,14.0,360.0,300.0,576.0,988.0,0.0
1964,1200.0,450.0,120.0,14.0,360.0,325.0,576.0,1001.0,0.0
1965,1200.0,450.0,120.0,15.0,375.0,325.0,576.0,1027.0,0.0
1966,1200.0,475.0,120.0,15.0,375.0,325.0,544.0,1040.0,0.0
1967,1200.0,475.0,120.0,16.0,375.0,325.0,573.0,1053.0,0.0
1968,1200.0,469.0,120.0,16.0,300.0,340.0,1440.0,585.0,0.0
1969,1200.0,93.0,111.0,16.0,300.0,340.0,1595.0,364.0,0.0
1970,1200.0,93.0,111.0,16.0,300.0,350.0,727.0,351.0,0.0
1971,1200.0,93.0,128.0,18.0,270.0,350.0,900.0,325.0,0.0
1972,1200.0,93.0,112.0,18.0,270.0,350.0,720.0,338.0,0.0
1973,1200.0,100.0,135.0,50.0,270.0,370.0,474.0,351.0,0.0
1974,1200.0,104.0,90.0,64.0,270.0,75.0,468.0,338.0,0.0
1975,1200.0,104.0,90.0,86.0,270.0,60.0,468.0,325.0,0.0
1976,1200.0,104.0,90.0,50.0,225.0,45.0,468.0,325.0,0.0
1977,1200.0,105.0,90.0,64.0,225.0,30.0,470.0,351.0,0.0
1978,1200.0,106.0,90.0,66.0,225.0,45.0,422.0,351.0,0.0
1979,1200.0,230.0,90.0,68.0,225.0,10.0,364.0,390.0,0.0
1980,1200.0,240.0,90.0,52.0,150.0,65.0,322.0,416.0,0.0
1981,1200.0,255.0,90.0,116.0,150.0,110.0,425.0,416.0,0.0
1982,1200.0,263.0,61.0,133.0,150.0,60.0,553.0,390.0,0.0
1983,1500.0,280.0,58.0,120.0,150.0,20.0,614.0,455.0,0.0
1984,1500.0,300.0,67.0,126.0,105.0,5.0,430.0,494.0,0.0
1985,1500.0,350.0,73.0,80.0,75.0,15.0,461.0,572.0,0.0
1986,1500.0,350.0,78.0,108.0,60.0,10.0,444.0,598.0,0.0
1987,1462.0,350.0,87.0,120.0,36.0,20.0,675.0,689.0,0.0
1988,1550.0,375.0,68.0,120.0,42.0,0.0,688.0,780.0,0.0
1989,1700.0,400.0,84.0,63.0,53.0,0.0,702.0,845.0,0.0
1990,1862.0,425.0,82.0,19.0,26.0,0.0,911.0,936.0,0.0
1991,2039.0,450.0,85.0,9.0,33.0,0.0,774.0,1014.0,0.0
1992,2175.0,350.0,63.0,24.0,43.0,0.0,810.0,1062.0,0.0
1993,2000.0,375.0,54.0,26.0,53.0,0.0,845.0,1209.0,0.0
1994,1924.0,425.0,32.0,30.0,45.0,0.0,627.0,1404.0,0.0
1995,1944.0,475.0,46.0,46.0,50.0,0.0,538.0,1625.0,0.0
1996,1964.0,550.0,42.0,40.0,61.0,0.0,702.0,1651.0,0.0
1997,1984.0,509.0,40.0,48.0,98.0,0.0,689.0,1703.0,60.0
1998,2004.0,520.0,39.0,47.0,105.0,0.0,596.0,1742.0,89.0
1999,2434.0,531.0,54.0,46.0,98.0,0.0,576.0,1729.0,43.0
2000,2412.0,542.0,44.0,49.0,72.0,0.0,652.0,1859.0,28.0
2001,2518.0,554.0,54.0,49.0,53.0,0.0,435.0,2158.0,37.0
2002,2628.0,452.0,41.0,50.0,38.0,0.0,401.0,2145.0,40.0
2003,2744.0,468.0,40.0,49.0,53.0,0.0,427.0,2340.0,47.0
2004,2864.0,483.0,48.0,52.0,68.0,0.0,379.0,2574.0,44.0
2005,2990.0,325.0,44.0,105.0,54.0,0.0,482.0,2275.0,29.0
2006,3121.0,338.0,41.0,80.0,7.0,0.0,651.0,1573.0,40.0
2007,3565.0,325.0,47.0,224.0,10.0,0.0,859.0,1547.0,136.0
2008,4575.0,350.0,26.0,51.0,11.0,0.0,1209.0,1690.0,83.0
2009,4696.0,375.0,22.0,227.0,9.0,0.0,809.0,2080.0,33.0
2010,5155.0,371.0,18.0,232.0,9.0,0.0,781.0,2080.0,49.0
2011,6640.0,375.0,27.0,227.0,9.0,0.0,966.0,2145.0,36.0
2012,6831.0,375.0,29.0,208.0,10.0,0.0,884.0,2145.0,49.0
2013,6893.0,332.0,29.0,145.0,17.0,0.0,410.0,2347.0,66.0
2014,6893.0,332.0,29.0,145.0,17.0,0.0,410.0,2347.0,66.0
