,Estonia,Belarus,Croatia,Serbia,Israel,Armenia,Tunisia,Syrian Arab Republic,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Japan,Afghanistan,Iraq,Venezuela (Bolivarian Republic of),Belgium,Greece,Bulgaria,United States of America,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Pakistan,Czechoslovakia,Republic of Moldova,Kyrgyzstan,Netherlands,Yugoslav SFR,Ukraine,Georgia,Germany,Slovenia,Austria,Turkmenistan,Morocco,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Ecuador,Spain,Egypt,Bosnia and Herzegovina,China,Ireland,Uzbekistan,Colombia,Latvia,Albania,Portugal,Slovakia,Lebanon,Czechia,Occupied Palestinian Territory,Azerbaijan,Hungary,Kazakhstan,Chile,Uruguay,France,Lithuania,Finland,"China, mainland",Russian Federation,Mali,Turkey,Italy,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,-1.0,383348.0,-1.0,220000.0,194936.0,350640.0,361333.0,291863.0,-1.0,235685.0,119876.0,178571.0,-1.0,-1.0,208014.0,224658.0,368358.0,165396.0,-1.0,63000.0,150370.0,295088.0,-1.0,-1.0,454575.0,214907.0,-1.0,-1.0,298925.0,-1.0,323717.0,-1.0,200000.0,275250.0,401501.0,442795.0,-1.0,163176.0,169233.0,139674.0,274448.0,-1.0,-1.0,38581.0,279749.0,-1.0,-1.0,-1.0,146531.0,365200.0,-1.0,311705.0,-1.0,-1.0,-1.0,181244.0,-1.0,323816.0,196987.0,368377.0,-1.0,252000.0,38581.0,-1.0,-1.0,220732.0,312065.0,477742.0
1962,-1.0,-1.0,-1.0,-1.0,457084.0,-1.0,220000.0,203368.0,317529.0,343889.0,292722.0,-1.0,242035.0,167933.0,142857.0,-1.0,-1.0,322728.0,171053.0,370620.0,202353.0,-1.0,-1.0,150092.0,241465.0,-1.0,-1.0,378892.0,249666.0,-1.0,-1.0,274852.0,-1.0,322298.0,-1.0,200000.0,234302.0,308376.0,345125.0,-1.0,149826.0,140853.0,140000.0,211179.0,-1.0,-1.0,40696.0,294470.0,-1.0,-1.0,-1.0,146489.0,326087.0,-1.0,344470.0,-1.0,-1.0,-1.0,211660.0,-1.0,322775.0,231690.0,328823.0,-1.0,188035.0,40696.0,-1.0,-1.0,217191.0,316967.0,364009.0
1963,-1.0,-1.0,-1.0,-1.0,530573.0,-1.0,225000.0,214778.0,314000.0,375293.0,302687.0,-1.0,240964.0,156181.0,142857.0,-1.0,-1.0,344837.0,173456.0,420456.0,216545.0,-1.0,72000.0,150378.0,310761.0,-1.0,-1.0,387111.0,277259.0,-1.0,-1.0,356814.0,-1.0,433147.0,-1.0,210546.0,286509.0,389785.0,429854.0,-1.0,117535.0,128751.0,122528.0,232207.0,-1.0,-1.0,66590.0,266431.0,-1.0,-1.0,-1.0,156977.0,360000.0,-1.0,397753.0,-1.0,-1.0,-1.0,290368.0,-1.0,406941.0,336143.0,376149.0,-1.0,277581.0,66590.0,-1.0,-1.0,243765.0,343447.0,386372.0
1964,-1.0,-1.0,-1.0,-1.0,448179.0,-1.0,153125.0,245400.0,352961.0,376102.0,287187.0,-1.0,244512.0,88571.0,88235.0,-1.0,-1.0,439112.0,270215.0,379862.0,158154.0,-1.0,54636.0,150020.0,287882.0,-1.0,-1.0,489766.0,319774.0,-1.0,-1.0,348090.0,-1.0,418833.0,-1.0,209583.0,283454.0,392737.0,477807.0,-1.0,197648.0,192748.0,108729.0,230807.0,-1.0,-1.0,104739.0,276564.0,-1.0,-1.0,-1.0,238413.0,326087.0,-1.0,409577.0,-1.0,-1.0,-1.0,267700.0,-1.0,327014.0,186017.0,381880.0,-1.0,220999.0,104739.0,-1.0,-1.0,251983.0,344796.0,551450.0
1965,-1.0,-1.0,-1.0,-1.0,381162.0,-1.0,97403.0,200327.0,372295.0,311900.0,301191.0,-1.0,300166.0,140000.0,162635.0,-1.0,-1.0,394638.0,212177.0,370068.0,217077.0,-1.0,53408.0,150159.0,255324.0,-1.0,-1.0,388768.0,328733.0,-1.0,-1.0,317673.0,-1.0,382605.0,-1.0,191411.0,258697.0,321101.0,355471.0,-1.0,186182.0,158645.0,98195.0,251174.0,-1.0,-1.0,116091.0,286275.0,-1.0,-1.0,-1.0,156751.0,390000.0,-1.0,458667.0,-1.0,-1.0,-1.0,286412.0,-1.0,379705.0,245857.0,429065.0,-1.0,207908.0,116091.0,-1.0,-1.0,216886.0,322049.0,420434.0
1966,-1.0,-1.0,-1.0,-1.0,460784.0,-1.0,188000.0,222602.0,368098.0,374904.0,321496.0,-1.0,268249.0,140000.0,232320.0,-1.0,-1.0,432028.0,402834.0,395361.0,219401.0,-1.0,125000.0,150152.0,337997.0,-1.0,-1.0,397651.0,380189.0,-1.0,-1.0,382815.0,-1.0,494948.0,-1.0,270922.0,312960.0,358661.0,433803.0,-1.0,194681.0,224807.0,90580.0,254453.0,-1.0,-1.0,135412.0,325230.0,-1.0,-1.0,-1.0,238487.0,462400.0,-1.0,522727.0,-1.0,-1.0,-1.0,330601.0,-1.0,364766.0,370839.0,436335.0,-1.0,267368.0,135412.0,-1.0,-1.0,288546.0,377654.0,429334.0
1967,-1.0,-1.0,-1.0,-1.0,402925.0,-1.0,137414.0,237538.0,374676.0,407033.0,290917.0,-1.0,331773.0,148889.0,237286.0,-1.0,-1.0,514368.0,343160.0,386752.0,214621.0,-1.0,241379.0,164555.0,373155.0,-1.0,-1.0,507456.0,360784.0,-1.0,-1.0,412771.0,-1.0,475851.0,-1.0,180198.0,357709.0,457231.0,488182.0,-1.0,229421.0,217479.0,103468.0,249886.0,-1.0,-1.0,140823.0,369775.0,-1.0,-1.0,-1.0,246808.0,450730.0,-1.0,523810.0,-1.0,-1.0,-1.0,324154.0,-1.0,365619.0,259186.0,407296.0,-1.0,241508.0,140823.0,-1.0,-1.0,351221.0,391134.0,514342.0
1968,-1.0,-1.0,-1.0,-1.0,396640.0,-1.0,131711.0,220446.0,380719.0,411778.0,309032.0,-1.0,384335.0,137778.0,229685.0,-1.0,-1.0,383280.0,264525.0,399058.0,233670.0,-1.0,263889.0,150094.0,414008.0,-1.0,-1.0,495284.0,368354.0,-1.0,-1.0,427049.0,-1.0,440243.0,-1.0,292164.0,357402.0,483810.0,504398.0,-1.0,265000.0,213042.0,60217.0,252810.0,-1.0,-1.0,126747.0,421241.0,-1.0,-1.0,-1.0,224310.0,358362.0,-1.0,475998.0,-1.0,-1.0,-1.0,334196.0,-1.0,378712.0,131197.0,435006.0,-1.0,250779.0,126747.0,-1.0,-1.0,372658.0,374652.0,496631.0
1969,-1.0,-1.0,-1.0,-1.0,465222.0,-1.0,172875.0,261229.0,327722.0,385583.0,305087.0,-1.0,353650.0,147826.0,173595.0,-1.0,-1.0,462439.0,281961.0,396348.0,227837.0,-1.0,292603.0,150190.0,318017.0,-1.0,-1.0,486279.0,381415.0,-1.0,-1.0,374817.0,-1.0,427894.0,-1.0,280844.0,276459.0,371523.0,437347.0,-1.0,210278.0,201197.0,59508.0,273927.0,-1.0,-1.0,128780.0,368857.0,-1.0,-1.0,-1.0,199706.0,262550.0,-1.0,427273.0,-1.0,-1.0,-1.0,340563.0,-1.0,390597.0,269496.0,446833.0,-1.0,253459.0,128780.0,-1.0,-1.0,329311.0,363802.0,489275.0
1970,-1.0,-1.0,-1.0,-1.0,515217.0,-1.0,158657.0,252095.0,343718.0,400837.0,298887.0,-1.0,431054.0,140909.0,240693.0,-1.0,-1.0,516622.0,301963.0,415203.0,203873.0,-1.0,197199.0,150173.0,365840.0,-1.0,-1.0,463572.0,346211.0,-1.0,-1.0,396201.0,-1.0,444223.0,-1.0,318286.0,312304.0,394868.0,419469.0,-1.0,234388.0,171965.0,60019.0,245023.0,-1.0,-1.0,105828.0,381139.0,-1.0,-1.0,-1.0,236389.0,425478.0,-1.0,475170.0,-1.0,-1.0,-1.0,287497.0,-1.0,396910.0,284761.0,434899.0,-1.0,288993.0,105828.0,-1.0,-1.0,345779.0,339250.0,462612.0
