,Slovakia,USSR,Puerto Rico,Poland,Haiti,Belgium-Luxembourg,Belgium,Czechoslovakia,France,Czechia,Romania,Qatar,Croatia,Russian Federation,Yugoslav SFR,Kazakhstan,Serbia and Montenegro,Serbia,Philippines,Spain,Bosnia and Herzegovina,Portugal,Netherlands,Ukraine,South Africa
1961,,500.0,-1.0,-1.0,-1.0,1000.0,,2298.0,4595.0,,2000.0,-1.0,,,100.0,,,,-1.0,1455.0,,-1.0,-1.0,,5000.0
1962,,500.0,-1.0,-1.0,-1.0,1000.0,,2554.0,2795.0,,1400.0,-1.0,,,100.0,,,,-1.0,1090.0,,-1.0,-1.0,,4000.0
1963,,600.0,-1.0,-1.0,-1.0,1169.0,,2640.0,4368.0,,1000.0,-1.0,,,100.0,,,,-1.0,1340.0,,-1.0,-1.0,,4500.0
1964,,600.0,-1.0,-1.0,-1.0,1515.0,,2308.0,5239.0,,2000.0,-1.0,,,100.0,,,,-1.0,1357.0,,-1.0,-1.0,,7000.0
1965,,650.0,-1.0,-1.0,-1.0,1160.0,,1732.0,5580.0,,1000.0,-1.0,,,100.0,,,,-1.0,1297.0,,-1.0,-1.0,,6595.0
1966,,670.0,-1.0,-1.0,-1.0,741.0,,1410.0,3853.0,,1000.0,-1.0,,,100.0,,,,-1.0,1443.0,,-1.0,-1.0,,8000.0
1967,,660.0,-1.0,-1.0,-1.0,778.0,,1513.0,3027.0,,1400.0,-1.0,,,100.0,,,,-1.0,1504.0,,-1.0,-1.0,,3000.0
1968,,630.0,-1.0,-1.0,-1.0,994.0,,1221.0,3111.0,,1800.0,-1.0,,,100.0,,,,-1.0,1437.0,,-1.0,-1.0,,5000.0
1969,,600.0,-1.0,-1.0,-1.0,1104.0,,1389.0,4916.0,,1300.0,-1.0,,,100.0,,,,-1.0,994.0,,-1.0,-1.0,,6000.0
1970,,640.0,-1.0,-1.0,-1.0,1411.0,,1806.0,6018.0,,900.0,-1.0,,,100.0,,,,-1.0,730.0,,-1.0,-1.0,,5000.0
1971,,630.0,-1.0,-1.0,-1.0,1210.0,,1459.0,5504.0,,900.0,-1.0,,,104.0,,,,-1.0,870.0,,-1.0,-1.0,,5778.0
1972,,640.0,-1.0,-1.0,-1.0,693.0,,1392.0,2850.0,,1100.0,-1.0,,,101.0,,,,-1.0,277.0,,-1.0,-1.0,,3468.0
1973,,640.0,-1.0,-1.0,-1.0,754.0,,1375.0,3500.0,,800.0,-1.0,,,40.0,,,,-1.0,,,-1.0,-1.0,,3380.0
1974,,630.0,-1.0,-1.0,-1.0,818.0,,1346.0,3900.0,,1100.0,-1.0,,,39.0,,,,-1.0,984.0,,-1.0,-1.0,,5410.0
1975,,620.0,-1.0,-1.0,-1.0,1518.0,,1279.0,5400.0,,900.0,-1.0,,,198.0,,,,-1.0,1074.0,,-1.0,-1.0,,6790.0
1976,,520.0,-1.0,-1.0,-1.0,1569.0,,1366.0,5350.0,,1200.0,-1.0,,,559.0,,,,-1.0,1045.0,,-1.0,-1.0,,7100.0
1977,,470.0,-1.0,-1.0,-1.0,1607.0,,1627.0,5475.0,,1400.0,-1.0,,,722.0,,,,-1.0,1305.0,,-1.0,-1.0,,8100.0
1978,,490.0,-1.0,-1.0,-1.0,1265.0,,1538.0,4900.0,,1400.0,-1.0,,,591.0,,,,-1.0,1079.0,,-1.0,-1.0,,6400.0
1979,,500.0,-1.0,-1.0,-1.0,860.0,,966.0,3600.0,,1200.0,-1.0,,,400.0,,,,-1.0,1024.0,,-1.0,-1.0,,8255.0
1980,,510.0,-1.0,-1.0,-1.0,815.0,,921.0,3500.0,,900.0,-1.0,,,118.0,,,,-1.0,971.0,,-1.0,-1.0,,3500.0
1981,,550.0,-1.0,-1.0,-1.0,860.0,,901.0,4400.0,,2500.0,-1.0,,,201.0,,,,-1.0,884.0,,-1.0,-1.0,,7100.0
1982,,560.0,-1.0,-1.0,-1.0,1319.0,,1353.0,5000.0,,2400.0,-1.0,,,298.0,,,,-1.0,906.0,,-1.0,-1.0,,7800.0
1983,,600.0,-1.0,-1.0,-1.0,1175.0,,1296.0,4800.0,,3400.0,-1.0,,,280.0,,,,-1.0,819.0,,-1.0,-1.0,,5400.0
1984,,600.0,-1.0,-1.0,-1.0,950.0,,1440.0,4000.0,,2100.0,-1.0,,,369.0,,,,-1.0,736.0,,-1.0,-1.0,,6200.0
1985,,600.0,-1.0,-1.0,-1.0,1267.0,,1323.0,5200.0,,2400.0,-1.0,,,308.0,,,,-1.0,899.0,,-1.0,-1.0,,7400.0
1986,,600.0,-1.0,-1.0,-1.0,1261.0,,981.0,4700.0,,3900.0,-1.0,,,124.0,,,,-1.0,1023.0,,-1.0,-1.0,,6700.0
1987,,600.0,-1.0,-1.0,-1.0,1080.0,,1026.0,2700.0,,3700.0,-1.0,,,131.0,,,,-1.0,882.0,,-1.0,-1.0,,8100.0
1988,,600.0,-1.0,-1.0,-1.0,838.0,,990.0,2600.0,,3400.0,-1.0,,,25.0,,,,-1.0,752.0,,-1.0,-1.0,,6300.0
1989,,600.0,-1.0,-1.0,-1.0,784.0,,1241.0,2700.0,,6400.0,-1.0,,,59.0,,,,-1.0,707.0,,-1.0,-1.0,,4600.0
1990,,430.0,-1.0,-1.0,9.0,1642.0,,1241.0,3400.0,,100.0,-1.0,,,117.0,,,,218.0,444.0,,-1.0,-1.0,,4258.0
1991,,0.0,-1.0,1459.0,9.0,3153.0,,1157.0,3130.0,,0.0,-1.0,,,138.0,,,,227.0,294.0,,-1.0,-1.0,,4400.0
1992,,,-1.0,1275.0,9.0,5246.0,,30.0,3766.0,,-1.0,-1.0,84.0,,,100.0,0.0,,228.0,337.0,-1.0,-1.0,-1.0,100.0,4200.0
1993,-1.0,,-1.0,1127.0,9.0,4150.0,,,4427.0,,-1.0,-1.0,72.0,,,100.0,-1.0,,252.0,248.0,-1.0,-1.0,-1.0,156.0,4250.0
1994,-1.0,,-1.0,1012.0,9.0,5969.0,,,3326.0,-1.0,-1.0,-1.0,88.0,,,100.0,-1.0,,260.0,181.0,-1.0,-1.0,-1.0,211.0,4200.0
1995,-1.0,,-1.0,1052.0,9.0,7697.0,,,3227.0,-1.0,-1.0,-1.0,107.0,,,100.0,-1.0,,254.0,164.0,-1.0,-1.0,-1.0,267.0,4200.0
1996,-1.0,,-1.0,1011.0,9.0,12039.0,,,3225.0,-1.0,-1.0,-1.0,119.0,,,100.0,,,271.0,202.0,-1.0,-1.0,-1.0,322.0,4200.0
1997,-1.0,,-1.0,1051.0,9.0,12960.0,,,3124.0,-1.0,-1.0,-1.0,137.0,,,100.0,,,268.0,403.0,-1.0,-1.0,-1.0,378.0,4200.0
1998,-1.0,,-1.0,1010.0,9.0,12649.0,,,3199.0,-1.0,-1.0,-1.0,137.0,,,100.0,,,238.0,400.0,-1.0,-1.0,4086.0,433.0,4200.0
1999,-1.0,,280.0,1050.0,9.0,14141.0,,,3218.0,-1.0,-1.0,7.0,140.0,,,100.0,,,215.0,152.0,-1.0,-1.0,4988.0,489.0,4100.0
2000,-1.0,,285.0,1176.0,9.0,,16067.0,,4595.0,-1.0,-1.0,7.0,137.0,,,100.0,,,207.0,255.0,-1.0,-1.0,4251.0,544.0,4200.0
2001,-1.0,,290.0,1192.0,9.0,,15000.0,,4533.0,-1.0,-1.0,7.0,137.0,-1.0,,100.0,,,211.0,200.0,-1.0,-1.0,3678.0,600.0,4100.0
2002,-1.0,,300.0,1194.0,9.0,,13300.0,,4572.0,,-1.0,10.0,140.0,-1.0,,100.0,,,210.0,180.0,-1.0,-1.0,3718.0,640.0,4100.0
2003,-1.0,,304.0,1147.0,9.0,,15797.0,,3828.0,,-1.0,21.0,142.0,-1.0,,100.0,-1.0,,217.0,160.0,3.0,-1.0,3423.0,980.0,4100.0
2004,50.0,,305.0,1195.0,9.0,,16234.0,,3858.0,,-1.0,7.0,143.0,-1.0,,100.0,-1.0,,252.0,146.0,3.0,-1.0,2937.0,820.0,4100.0
2005,45.0,,298.0,1203.0,9.0,,15424.0,,4700.0,,-1.0,7.0,145.0,-1.0,,100.0,-1.0,,416.0,143.0,3.0,-1.0,3349.0,660.0,4100.0
