,Bahamas,Costa Rica,Cyprus,Egypt,French Polynesia,China,South Korea,France,Slovakia,Armenia,Cambodia,Panama,Guyana,Japan,Vanuatu,New Zealand,Bulgaria,Lebanon,Saudi Arabia,Afghanistan,Norway,South Africa,Germany,Solomon Islands,Montenegro,Nicaragua,Burundi,Bahrain,Serbia,New Caledonia,Cameroon,Nepal,Georgia,Oman,Papua New Guinea,Switzerland,Laos,Comoros,Liberia,Lithuania,Morocco,Philippines,Mauritius,Zambia,Faeroe Islands,Iran,Czech Republic,Syria,Fiji,Jordan,Pakistan,Turkmenistan,Sao Tome and Principe,Cote d'Ivoire,Tunisia,Argentina,Grenada,Swaziland,Ghana,Thailand,Yemen,Canada,Botswana,Namibia,Macao,Latvia,Guatemala,Qatar,Poland,Azerbaijan,Nigeria,Moldova,Saint Lucia,United States Virgin Islands,Mongolia,Equatorial Guinea,Israel,Sri Lanka,Saint Kitts and Nevis,Democratic Republic of Congo,Bhutan,Russia,Tanzania,Haiti,Guinea,Palestine,Belize,Niger,Iraq,Saint Vincent and the Grenadines,Central African Republic,Estonia,Croatia,Chile,Gabon,Colombia,Belgium,Tonga,High income: nonOECD,United Arab Emirates,Kuwait,Aruba,Sweden,Congo,Guinea-Bissau,Venezuela,Paraguay,Ireland,Malawi,Barbados,Bosnia and Herzegovina,Maldives,Brunei,Cape Verde,Italy,Sudan,Belarus,Uzbekistan,Somalia,Finland,Suriname,Mozambique,Zimbabwe,Peru,Mauritania,Ukraine,Benin,Madagascar,Vietnam,Hungary,Uganda,Austria,Samoa,Indonesia,Bolivia,Albania,Dominican Republic,United Kingdom,Gambia,Senegal,Trinidad and Tobago,Macedonia,Togo,India,Libya,Ecuador,Bangladesh,Slovenia,Iceland,Honduras,Romania,Djibouti,Brazil,Angola,Algeria,Australia,Spain,Burkina Faso,Kenya,Luxembourg,Denmark,Chad,Jamaica,Singapore,United States,Hong Kong,Lesotho,Uruguay,Cuba,Eritrea,Malta,Sierra Leone,Portugal,Netherlands,Ethiopia,Greece,Turkey,Kazakhstan,Mali,Micronesia (country),Tajikistan,Puerto Rico,El Salvador,Mexico,Timor,Rwanda,North Korea,Guam,Kyrgyzstan,Myanmar,Malaysia
1970,0.011523757136407091,0.0008683300292521198,0.0035476667494319845,0.00036907882734481604,0.004681238722091319,2.1630924188164167e-05,0.000352185271992018,0.006320926853575065,,,0.003077329001908475,0.0024332029438098968,0.0011539647087213554,0.00043869330391542406,0.002442612543819091,0.009195884860511809,0.0001575563633731103,0.00524382465616984,0.003861269668813685,0.0003011322936904612,0.001278682010869192,0.002748034220003989,,0.0016083674356761914,,0.000550057589977736,0.002626135285453815,0.011240609549536758,,0.013184410563404384,0.0018774407589626546,0.0018194329139998634,,0.005477092959724302,0.0012900093262302474,0.011152698092209541,0.00048620547276848985,0.0009986692533418783,0.002205625083436763,,0.0004964680860146517,0.00038335437467340236,0.0008037541205484852,0.004577046322597103,0.0032359116682065337,0.0001907585292171483,,0.0036394583600296406,0.001988160249342289,0.022254042063899727,0.005547807237980064,,0.0060141483184767575,0.014352652282094237,0.0006333084111979665,0.005844207286809328,0.0020990899255590102,0.004780882558920237,0.002584490682508269,0.0005945452637957003,0.002020308089797737,0.009625135131386131,0.0009476878976823508,0.003529126459126,0.024523033747003587,,0.0004745730218102332,0.039458868684164004,0.004035284324335216,,0.00017750287495349812,,0.0017799427019966336,0.033771650216672916,0.00022218220951972389,0.002188664348912945,0.029902155873031674,0.0054753798725566275,0.003846772610131124,0.004494212175103443,0.002829305360315072,,0.002343748950577465,0.00014921454352464562,0.0002527488857309892,,0.005268503087510193,0.0010422551973454926,0.0004765362065147476,0.0016001962939743578,0.0016866652493609804,,,0.0005959597035029878,0.0043207226900053575,0.00022774347325319586,0.004546160276404807,0.00034417646375102583,,0.017650063311790153,0.03899130333934284,0.0079793802795054,0.004137526086769931,0.0021168868135067933,0.0010855584610936788,0.0032102280232265685,0.0018641437436158965,0.0027837970510650872,0.004010347597225606,0.0035468605255217977,,0.0010453513175476812,0.01601068130257007,0.0017078441641593812,0.0010116727792907044,0.001273330249313323,,,0.00023893518668109264,0.0004452681019862462,0.0027704580547334547,5.310020009629871e-05,0.006051205094734657,0.0003175185471935292,0.001107850817309879,,0.0009715038436615002,0.0006969317518297902,6.549171887327112e-06,0.002670159842151389,0.006341198461968278,0.005720617777878324,0.001487169723019753,0.0006432880083559717,0.0007229083919275633,0.0015976130597879091,0.002735915030637987,0.0033408750777817967,0.006829291348760043,0.00263292173705175,0.004036840282186815,,0.004324216068131044,0.0010463108156414749,0.0036475905344034547,0.00046558009489634463,0.0007055058138979333,,0.001517347013807444,0.00048377317077425135,0.0008848034969997822,0.008476586561839692,0.0008101617364156301,0.00048747165873895803,0.0007329984105079885,0.01239877828116314,0.0006640867990126811,0.0010024862246082863,0.000892238514823418,0.0109155564644043,0.0015041717138367676,0.0010541249286456216,0.0008815411541159979,0.01615431639247388,0.003686200082520882,0.027353318615235444,0.00025715602367912667,0.0035937921664712046,0.000941269852062682,0.00031103801964219024,0.002169430811478001,0.0018975465436334546,0.0007391027902528952,0.0012655863859508578,0.0008765990800821732,0.000643066914899114,0.0006833198225982991,,0.0017457855635941994,0.0054378784689163495,,0.004388635535596937,0.0005598213192866424,0.00023703604376289618,0.0008699122780087606,0.0006012281709669782,0.00012514548508927307,0.028452058570267343,,0.0006334106047185346,0.00426097887895462
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,0.008800571872408094,0.0008493748934808072,0.003441211077981132,0.0003100364241289049,0.005728776077614798,1.989230055809567e-05,0.0005284634461456358,0.006272285002914085,,,0.00011767731859951455,0.0018474562222849079,0.0007408997814838937,0.00042030009474837643,0.002182396095915433,0.009763252726428705,0.00015066374329189867,0.004945528514597624,0.007636299134712724,0.0002768732267095146,0.0015026977952953555,0.002376921007994686,,0.0013519040759192044,,0.0004951709670611261,0.002321092741446529,0.0137618764549405,,0.0147998934787378,0.001702417592780367,0.001373352506236744,,0.005215877707754172,0.0009496958569064223,0.01049480814265895,0.00042575842151921616,0.0016913494728061204,0.002384890697590263,,0.00030949849359953647,0.00023966136114439302,0.0006983191484507009,0.0036410828811881523,0.0034358181719665393,0.00029326919289347607,,0.003466254651736146,0.0015963740922885865,0.02279799774636608,0.004182820652927724,,0.005101447879623427,0.012863226718822916,0.0004126650046297439,0.004836399209085412,0.0018351537133646386,0.0032757808972066578,0.0023903552777977807,0.0004973044015866028,0.001970702869668094,0.009257239184529052,0.0009292385624059217,0.0037249846004255524,0.0265154073101862,,0.0003740185576940773,0.044294224144968815,0.0032462471342156324,,0.0006767748992862463,,0.0017898993498541712,0.026242621292800417,0.00020535028034765381,0.001866797487519144,0.025565490618834272,0.004008931077207865,0.003674577725734364,0.003249068992783363,0.002655025466699917,,0.0023232721829191216,0.00014397890926273277,0.00028879153618218784,,0.005019855701924478,0.001018941081028348,0.0003722577880517768,0.0014046397544927615,0.001574474097760078,,,0.000503954816368046,0.005817482385114119,0.00020918912642377093,0.005111218092371744,0.0006187175601467553,,0.03591377301417678,0.038587916728856295,0.007312246968278402,0.004309397089524265,0.002291586689260168,0.0009846705929081763,0.003343422436378837,0.0022086299101719237,0.0032825858321547624,0.003345019566793724,0.003934568565506504,,0.0009199207768538287,0.015584775697675904,0.0017219441634854149,0.0011086374848536238,0.0012136380673593294,,,0.00022107371290009482,0.000458270115763046,0.002337217973337645,0.0002172450791215356,0.0047974379569772,0.0002690703290164298,0.0011984765267662007,,0.0009430476133299203,0.00043204306552757415,5.926901502206809e-06,0.0023276348836426732,0.004369357995798277,0.005810485422815714,0.0015096903852572846,0.00043372310360162577,0.0006914896162852143,0.0014429367907303795,0.002557947191440836,0.0034194567948179163,0.0070572218653700705,0.001929417614147508,0.003688801206241252,,0.0037647474919353203,0.000885242514458853,0.005204182651895153,0.0005184544161224803,0.0006588434197124574,,0.0014791023248454554,0.00028366381277185717,0.0006856049815166058,0.007884497279142663,0.0006593109293013725,0.0002639570625940481,0.0005858770795142027,0.011691157126163488,0.0008002321810323152,0.0010559104465153132,0.0007269052467510117,0.011920239762424057,0.0016739747414819355,0.000955749648389206,0.000746306520303186,0.014279533793329415,0.003956592672949804,0.02579674318968245,0.00026452992539846706,0.00283658471485553,0.0006038395190657321,0.0002827825228239214,0.0016269343502837278,0.0020699131478621085,0.0011033575456243794,0.001536223431253187,0.0007352581402768713,0.0008335797207747842,0.0002252627080671645,,0.0015358281174349812,0.004868874491214649,,0.004631129527163202,0.00045594791466453476,0.00023111145474195098,0.0008264412453847188,0.0006547449750902432,0.00011387654892307149,0.028718590643134582,,0.0005299155345737432,0.0035612696196409845
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,0.006479594182982062,0.0016290033614908966,0.003214633166012534,0.0002469057525660647,0.006732129111980675,1.7979088097886975e-05,0.0007863451966286443,0.006034289623141908,,,3.517074832146221e-05,0.0013722652609741955,0.0004585743173694116,0.0003895259495929545,0.0017212928197521155,0.008566552499444423,0.0001388802013355775,0.005252071501381449,0.010982907936221723,0.00025326011762297256,0.0017101389019311606,0.0020214619471251648,,0.0010543379872440736,,0.0004453895137972416,0.0030744371080645627,0.01629757078989219,,0.0136862471780828,0.0014671074701108743,0.0009563073674794713,,0.007172050017517103,0.0006009865876361798,0.00956101296762855,0.000470400980097984,0.0026928663043612982,0.0024175349240796147,,0.00019524840982307286,0.00016079932001512582,0.0005684068221920061,0.0026655158967074195,0.003463900392662706,0.0008143369738914863,,0.0031507308897423198,0.0012515942835254466,0.021062677829840133,0.0036397430524317646,,0.004018054750884865,0.01042988016466056,0.00033730962142251863,0.0038743053367626904,0.0015656036682411582,0.003170068762119778,0.002207640176766079,0.0005735243559121852,0.0018244595081612703,0.00878392911742715,0.0008555357274734661,0.003914519462099719,0.02741899029249236,,0.00033464131738281344,0.04191969758677396,0.002461750943390942,,0.0010114112220107724,,0.0016980595083232418,0.028090966965902128,0.0001845030885850032,0.0013509276859637392,0.02091879930447904,0.002544540288890366,0.003416775521764939,0.002590390748956013,0.002423241899007698,,0.0016904756686420567,0.00014048950216769874,0.00031675256542803665,,0.005450341466695996,0.0009528922973175768,0.00028577387844121383,0.0012008621297160235,0.0013799321350757214,,,0.0004132964954788367,0.007372281906985974,0.00018567404171537856,0.0051567097519935896,0.001061188687473116,,0.04005831860283607,0.039572773341769,0.006662743845096647,0.004262244957038146,0.0023967638709176038,0.0008584076951556512,0.003570376200288475,0.002597671942999593,0.0037082308406468935,0.0026428367344484643,0.004196982317660882,,0.0007969075893028058,0.014969186422397281,0.001603851501428992,0.0011138921091476289,0.002130446016705762,,,0.014947062429168434,0.00046007900344884316,0.0018470863894049152,0.0004977682213975069,0.0036610580323518157,0.00021865446481963798,0.0012459370436470726,,0.000875661194394995,0.0003304065557094772,4.106728175505183e-05,0.0019532002691140878,0.003056900135878923,0.005406326913140567,0.0015842289072158532,0.0002909083671244814,0.00059312429324239,0.001267260870103135,0.002326208006351972,0.003379328071340293,0.007070130382856555,0.0012127557063844508,0.003213145860074148,,0.003174205189769195,0.0007192076324435669,0.005516759115597179,0.0005000214995967238,0.0005605525466544718,,0.0014325545166979602,0.0005109033692865194,0.0005130709809303939,0.01267068844431674,0.0005162613921623275,0.0006205537324078768,0.0005423306286545805,0.011176187859977349,0.000922687201780561,0.0014165619053641114,0.0005571915959773719,0.01311608512604742,0.0018122350636763085,0.0008450179422028612,0.0006161259813263787,0.012387223360977756,0.0040827587336389705,0.023519375636397246,0.000462012210517095,0.002270629377706151,0.00038624859683871366,0.000245490687196969,0.0011302450956481786,0.001708808705483561,0.0015413942684083099,0.00196706829567943,0.0006502219268274018,0.0010097851805052527,0.0010125363936795276,,0.0012913508295114096,0.003528824952638392,,0.004799922273170192,0.00036804248468762105,0.00024060821679479277,0.0007563561368457317,0.0005854979743150452,0.00010308075937728791,0.02776349052181071,,0.0003092680790640584,0.00323383943787587
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
