,USSR,Turkmenistan,Australia & New Zealand,Australia,Iraq,Pakistan,Nepal,Bulgaria,Libya,Italy,Lebanon,Yemen,Uzbekistan,Occupied Palestinian Territory,Burkina Faso,Morocco,Slovenia,Chile,Argentina,Spain,Syrian Arab Republic,Cyprus,Israel,Swaziland,Republic of Moldova,Jordan,Afghanistan,The former Yugoslav Republic of Macedonia,Georgia,Greece,Azerbaijan,France,Bosnia and Herzegovina,Hungary,Turkey,Kyrgyzstan,Tunisia,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Gambia,United States of America,Mexico,Ukraine,"China, mainland",Tajikistan,Algeria,United Arab Emirates,Côte d'Ivoire,Croatia,Portugal,China
1973,,,,,,35185.0,,,,2495.0,70299.0,,,,,,,,,5652.0,22051.0,1085.0,6579.0,,,20294.0,,,,,,,,,14215.0,,1042.0,,16333.0,,,14063.0,,,,,4502.0,153333.0,,,6123.0,
1974,,,,,,46724.0,,,,4911.0,58451.0,,,,,,,,,7593.0,15306.0,4219.0,7442.0,,,15870.0,,,,,,,,,20000.0,,1166.0,,15333.0,,,18326.0,,,,,4500.0,153333.0,,,4572.0,
1975,,,,,,37458.0,,,,4380.0,55789.0,,,,,,,,,5872.0,14819.0,3797.0,7553.0,,,7169.0,,,,,,,,,21882.0,,1217.0,,14333.0,,,14417.0,,,,,4542.0,150000.0,,,2857.0,
1976,,,,,,36393.0,,,,5862.0,55000.0,,,,,,,,,7036.0,10791.0,4606.0,9756.0,,,40000.0,16610.0,,,,,,,,17314.0,,1167.0,,16667.0,,,20252.0,,,,,4498.0,156250.0,,,4747.0,
1977,,,,,,39032.0,,,,7897.0,54545.0,,,,,,,,,3365.0,20748.0,4940.0,10488.0,,,43429.0,15000.0,,,,,,,,13333.0,,1271.0,,15000.0,,,20188.0,,,,,4487.0,159444.0,,,2857.0,
1978,,,,,,35397.0,,,,8121.0,50000.0,,,,,,,,,6353.0,15623.0,8860.0,11111.0,,,13793.0,20000.0,,,,,,,,14444.0,,1699.0,,18333.0,,,10396.0,,,,,4496.0,144000.0,,,4387.0,
1979,,,,,,36508.0,,,,4764.0,46154.0,,,,,,,,,3891.0,8667.0,4925.0,11898.0,,,19780.0,17500.0,,,,,,,,13766.0,,1435.0,,16000.0,,,21006.0,,,,,4483.0,118800.0,,,980.0,
1980,,,24476.0,24476.0,,36875.0,,,,7531.0,46429.0,,,,,4286.0,,,,4370.0,5536.0,5995.0,8197.0,,,34826.0,17069.0,,,,,,,,16623.0,,2387.0,,16667.0,,,18137.0,24511.0,,,,4483.0,88000.0,,,1591.0,
1981,,,22414.0,22414.0,,33037.0,,,,13102.0,42857.0,4417.0,,,,6685.0,,,,5915.0,3932.0,6113.0,9461.0,,,46970.0,13793.0,,,,,,,,16732.0,,2059.0,,14068.0,,,22980.0,35660.0,,,,4969.0,95217.0,,,2003.0,
1982,,,23311.0,23311.0,,36063.0,,,,5767.0,40000.0,4400.0,,,,6333.0,,,,6014.0,4527.0,3519.0,7430.0,,,46040.0,18966.0,,,,,,,,20000.0,,1875.0,,20168.0,,,18748.0,29791.0,,,,4296.0,81500.0,,,4386.0,
1983,,,23077.0,23077.0,,41485.0,,,,9859.0,41958.0,4400.0,,,,1670.0,,,,3149.0,14021.0,6531.0,6192.0,,,20000.0,17018.0,,,,,,,,21026.0,,1480.0,,18598.0,,,12356.0,34673.0,,,,3934.0,75000.0,,,5213.0,
1984,,,21765.0,21765.0,,41791.0,,,,7880.0,50370.0,4640.0,,,,4115.0,,,,4443.0,14847.0,6350.0,10458.0,,,12520.0,18421.0,,,,,,,,16923.0,,1400.0,,20307.0,,,28473.0,6364.0,,,,4534.0,54762.0,,,4164.0,
1985,7051.0,,20513.0,20513.0,14894.0,41304.0,,8000.0,5000.0,8396.0,54286.0,4651.0,,,,3245.0,,5500.0,17021.0,5164.0,25628.0,3987.0,3977.0,,,16350.0,16071.0,,,13611.0,,23529.0,,16928.0,19241.0,,3400.0,14853.0,17907.0,,,21268.0,9074.0,,16883.0,,4716.0,46512.0,,,3945.0,16883.0
1986,7222.0,,21304.0,21304.0,15957.0,41714.0,,7961.0,5000.0,9853.0,58621.0,5113.0,,,,3718.0,,5781.0,17021.0,3958.0,38000.0,7476.0,11111.0,,,11971.0,18182.0,,,12368.0,,25235.0,,16892.0,19802.0,,2800.0,14948.0,20713.0,,,11250.0,13486.0,,16867.0,,3864.0,40455.0,,,3487.0,16867.0
1987,7143.0,,18750.0,18750.0,14894.0,40694.0,,7860.0,5512.0,9849.0,62000.0,5766.0,,,,3295.0,,5577.0,17021.0,4391.0,10203.0,3488.0,5498.0,,,20763.0,16364.0,,,8379.0,,26471.0,,16945.0,16280.0,,3067.0,14364.0,17339.0,,,29630.0,7619.0,,16854.0,,3930.0,43542.0,,,4086.0,16854.0
1988,7273.0,,18846.0,18846.0,15319.0,40822.0,,7836.0,5512.0,9883.0,60606.0,5630.0,,,,3571.0,,5469.0,17021.0,3024.0,13571.0,4444.0,9184.0,,,21728.0,16667.0,,,15514.0,,16471.0,,17080.0,20823.0,,1961.0,14441.0,17243.0,,,26356.0,28493.0,,16860.0,,4528.0,42745.0,,,2145.0,16860.0
