,Puerto Rico,Ghana,Bahrain,Fiji,Philippines,Iraq,Pakistan,Belize,Kenya,Guyana,Senegal,Qatar,Mauritius,Benin,Albania,Occupied Palestinian Territory,Burkina Faso,Sudan (former),Syrian Arab Republic,Bahamas,Jamaica,Jordan,Saudi Arabia,Trinidad and Tobago,Egypt,Melanesia,Malaysia,Sudan,Mexico,Yemen,Oman,Nigeria,India,Congo,Barbados,Lebanon,Turkey,United States of America,Brunei Darussalam,Kuwait,Cyprus,United Arab Emirates,Côte d'Ivoire,Cameroon,Guatemala
1961,,35000.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,,29412.0,,150000.0,25000.0,,,58824.0,,,15667.0,51667.0,,,,27027.0,,,,146667.0,,,,
1962,,35000.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,,29412.0,,150000.0,25000.0,,,58824.0,,,16067.0,50000.0,,,,27027.0,,,,137705.0,,,,
1963,,35000.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,,29412.0,,166667.0,25000.0,,,58824.0,,,16400.0,50000.0,,,,29730.0,,,,132258.0,,,,
1964,,35000.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,,29412.0,,120000.0,25000.0,,,60000.0,,,16800.0,49706.0,,,,29730.0,,,,129032.0,,,,
1965,,35000.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,,28889.0,,136364.0,25000.0,,,61905.0,,,16710.0,50000.0,,,,30000.0,,,,139683.0,,,,
1966,,33810.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,,30000.0,,150000.0,25000.0,,,60870.0,,,17097.0,50811.0,,,,30000.0,,,,147619.0,,,,
1967,,33913.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,,29474.0,,133333.0,25000.0,,,60000.0,,,17548.0,51053.0,,,,30000.0,,,,140000.0,,,,
1968,,33913.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,,30000.0,,137500.0,25000.0,,,59259.0,,,18000.0,50505.0,,,,30188.0,,,,146154.0,,,,
1969,,32800.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,35000.0,30000.0,,138889.0,25000.0,,,58824.0,,,18516.0,50000.0,,,,31285.0,,,,148462.0,,,,
1970,,35714.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,51020.0,30000.0,,135000.0,25000.0,,,60000.0,,,18125.0,52752.0,,,,30000.0,,,,151642.0,,,,
1971,,35714.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,14545.0,30000.0,,136364.0,25000.0,,,61111.0,,,18438.0,52889.0,,,,30000.0,,,,151642.0,,,,
1972,,49767.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,20788.0,32116.0,,146667.0,25000.0,,,54054.0,,,18750.0,52991.0,,,,28000.0,,,,144030.0,,,,
1973,,50294.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,11639.0,138548.0,,152174.0,25000.0,,,60000.0,,,19688.0,54918.0,,,,30000.0,,,,116757.0,,,,
1974,,49412.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,38689.0,66352.0,,158333.0,25000.0,,,60000.0,,,20000.0,55000.0,,,,30189.0,,,,109865.0,,,,
1975,,50000.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,58459.0,84811.0,,153846.0,25000.0,,,60606.0,,,21212.0,55000.0,,,,30172.0,,,,98507.0,,,,
1976,,43200.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,22594.0,36087.0,,148276.0,25000.0,,,60606.0,,,21143.0,55849.0,,,,30603.0,,,,101600.0,,,,
1977,,41818.0,,25000.0,,,,,,,,,,,,,100000.0,,,,,90751.0,68170.0,,136364.0,25000.0,,,60606.0,,,21389.0,55636.0,,,,31034.0,,,,104016.0,,,,
1978,,46500.0,,25000.0,,74056.0,,,,,,,,,,,100000.0,,,,,17108.0,41164.0,,142857.0,25000.0,,,60000.0,,,20000.0,55357.0,,,,31500.0,,,,151491.0,,,,
1979,,45833.0,,25000.0,,60876.0,,,,,,,,,,,100000.0,,,,,28248.0,41729.0,,137500.0,25000.0,,,57143.0,33429.0,,20500.0,56034.0,,,70526.0,31746.0,,,,142632.0,,,,
1980,,48293.0,,28571.0,,53313.0,71479.0,,,,,,,,,,100000.0,,,,,30417.0,57469.0,,142857.0,28571.0,,,64218.0,37137.0,,21000.0,57627.0,,,70103.0,33333.0,,,,144318.0,,,,128261.0
1981,,46977.0,,28571.0,,63930.0,77864.0,,,,,,,,,,100000.0,,,,,26775.0,51062.0,,135714.0,28571.0,,,77044.0,32579.0,,21500.0,58000.0,,,70408.0,33846.0,,,,139750.0,,,,130286.0
1982,,42569.0,,28571.0,,70627.0,77535.0,,,,,,,,,,100000.0,,,,,27749.0,51711.0,,132035.0,28571.0,,,76182.0,32910.0,,22000.0,58033.0,,,70000.0,33824.0,,,,137297.0,,,,126333.0
1983,,41892.0,,28571.0,,72168.0,79291.0,,,,,,,18880.0,,,105556.0,,,,,27919.0,61399.0,,132937.0,28571.0,,,51188.0,31911.0,,22500.0,58730.0,,,70388.0,34559.0,,,,141892.0,,,,131571.0
1984,,46538.0,,28571.0,,79949.0,82499.0,,,,,43077.0,,20834.0,,,100000.0,,,,,29141.0,51342.0,,136364.0,28571.0,,,89128.0,63263.0,,21905.0,59375.0,,,70385.0,35714.0,,,,141892.0,,,,129063.0
1985,,48571.0,,28571.0,,74719.0,81929.0,,,,,40833.0,,24425.0,,,98486.0,,,,,22088.0,53590.0,,135714.0,28571.0,,,84865.0,64079.0,,20652.0,59091.0,,,70476.0,32877.0,,,,181343.0,,,,126611.0
