,"China, Taiwan Province of",United States of America,Israel,Australia & New Zealand,Australia,The former Yugoslav Republic of Macedonia,Philippines,Belgium,Kenya,Czechia,Costa Rica,Senegal,Italy,Germany,Slovenia,China,Finland,Slovakia,Morocco,Switzerland,Chile,Canada,Colombia,Spain,New Zealand,Austria,Ecuador,Japan,Poland,Argentina,Belgium-Luxembourg,Jordan,Denmark,Greece,United Kingdom,France,Zimbabwe,Hungary,Turkey,Thailand,Peru,Iran (Islamic Republic of),Mexico,"China, mainland",Zambia,Lithuania,Bulgaria,Netherlands
1961,,59751.0,,2071.0,1321.0,,-1.0,,-1.0,,-1.0,,5100.0,6195.0,,520000.0,-1.0,,8000.0,-1.0,,1860.0,-1.0,2600.0,750.0,35.0,-1.0,2500.0,-1.0,450.0,605.0,,3180.0,,445.0,23170.0,-1.0,1731.0,10.0,,1000.0,-1.0,1300.0,520000.0,,,-1.0,-1.0
1962,,59071.0,,2173.0,1426.0,,-1.0,,-1.0,,-1.0,,5400.0,6536.0,,375000.0,-1.0,,8000.0,-1.0,,1920.0,-1.0,3200.0,747.0,38.0,-1.0,3000.0,-1.0,495.0,591.0,,2550.0,,445.0,24315.0,-1.0,1805.0,10.0,,1000.0,-1.0,1300.0,375000.0,,,-1.0,-1.0
1963,,58747.0,,2411.0,1616.0,,-1.0,,-1.0,,-1.0,,5200.0,6413.0,,320000.0,-1.0,,9000.0,-1.0,,1740.0,-1.0,4400.0,795.0,33.0,-1.0,3500.0,-1.0,486.0,574.0,,2550.0,,445.0,25923.0,-1.0,1231.0,10.0,,1000.0,-1.0,1350.0,320000.0,,,-1.0,-1.0
1964,270.0,58569.0,,2496.0,1646.0,,-1.0,,-1.0,,-1.0,,5808.0,6817.0,,290270.0,-1.0,,12000.0,-1.0,,1540.0,-1.0,4800.0,850.0,34.0,-1.0,3520.0,-1.0,473.0,513.0,,2550.0,,445.0,26683.0,-1.0,958.0,10.0,,1000.0,-1.0,1350.0,290000.0,,,-1.0,-1.0
1965,9553.0,53106.0,,2459.0,1609.0,,-1.0,,-1.0,,-1.0,,5724.0,6671.0,,299553.0,-1.0,,10000.0,-1.0,,1546.0,-1.0,5000.0,850.0,30.0,-1.0,5180.0,-1.0,504.0,425.0,,1359.0,,445.0,26163.0,-1.0,1177.0,10.0,,1000.0,-1.0,1350.0,290000.0,,,-1.0,-1.0
1966,10877.0,51844.0,,2525.0,1711.0,,-1.0,,-1.0,,-1.0,,5827.0,6627.0,,290877.0,-1.0,,6400.0,-1.0,,1546.0,-1.0,5800.0,814.0,37.0,-1.0,6110.0,-1.0,520.0,365.0,,1086.0,,486.0,26879.0,-1.0,1151.0,10.0,,1195.0,-1.0,1400.0,280000.0,,,-1.0,-1.0
1967,8002.0,50957.0,,2632.0,1746.0,,-1.0,,-1.0,,-1.0,,6426.0,6653.0,,288002.0,-1.0,,6000.0,-1.0,,1403.0,-1.0,6300.0,886.0,32.0,-1.0,6940.0,-1.0,800.0,286.0,,882.0,,486.0,26782.0,-1.0,1169.0,10.0,,1180.0,-1.0,1400.0,280000.0,,,-1.0,-1.0
1968,6385.0,49112.0,,2517.0,1679.0,,-1.0,,-1.0,,-1.0,,6855.0,5279.0,,281385.0,-1.0,,6000.0,-1.0,,1227.0,-1.0,6700.0,838.0,44.0,-1.0,7000.0,-1.0,810.0,238.0,,768.0,,445.0,23222.0,-1.0,1251.0,10.0,,955.0,-1.0,1400.0,275000.0,,,-1.0,-1.0
1969,8315.0,46680.0,,2597.0,1657.0,,-1.0,,-1.0,,-1.0,,6935.0,5956.0,,283315.0,-1.0,,4000.0,-1.0,,1198.0,-1.0,7200.0,940.0,45.0,-1.0,6200.0,-1.0,834.0,221.0,,729.0,100.0,405.0,23966.0,-1.0,563.0,10.0,,940.0,-1.0,1450.0,275000.0,,,-1.0,-1.0
1970,12588.0,45429.0,,2791.0,1876.0,,-1.0,,-1.0,,-1.0,,7130.0,6127.0,,186588.0,-1.0,,4000.0,-1.0,,1279.0,-1.0,8000.0,915.0,40.0,-1.0,6000.0,-1.0,840.0,220.0,,685.0,500.0,445.0,21000.0,-1.0,609.0,10.0,,820.0,-1.0,1500.0,174000.0,,,-1.0,-1.0
