,Ukraine,Belarus,Croatia,Serbia,United Kingdom,Denmark,Canada,The former Yugoslav Republic of Macedonia,Spain,Zimbabwe,Austria,Greece,Norway,Bulgaria,Australia & New Zealand,United States of America,Yugoslav SFR,Serbia and Montenegro,Slovenia,Czechoslovakia,Kyrgyzstan,Ghana,Luxembourg,Germany,Belgium,Morocco,Poland,Sweden,Switzerland,Mexico,USSR,Romania,Azerbaijan,Italy,Bosnia and Herzegovina,Ireland,Latvia,Slovakia,Czechia,France,Chile,Hungary,Montenegro,Estonia,Australia,Portugal,Lithuania,Finland,Netherlands,Russian Federation,New Zealand,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,-1,-1.0,-1.0,3000.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1,300.0,2000.0,595.0,3350.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,761.0,-1.0,-1.0,-1.0,-1.0,395.0,-1.0,-1.0,40.0,-1.0,-1.0,200.0,-1.0,-1.0
1962,-1.0,-1,-1.0,-1.0,3000.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1,300.0,1900.0,616.0,3120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,812.0,-1.0,-1.0,-1.0,-1.0,395.0,-1.0,-1.0,40.0,-1.0,-1.0,221.0,-1.0,-1.0
1963,-1.0,-1,-1.0,-1.0,3000.0,-1.0,2200.0,-1.0,-1.0,-1.0,-1.0,-1,300.0,2100.0,595.0,3120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,816.0,-1.0,-1.0,-1.0,-1.0,365.0,-1.0,-1.0,40.0,-1.0,-1.0,230.0,-1.0,-1.0
1964,-1.0,-1,-1.0,-1.0,3200.0,-1.0,2400.0,-1.0,-1.0,-1.0,-1.0,-1,400.0,2100.0,590.0,3420.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1004.0,-1.0,-1.0,-1.0,-1.0,367.0,-1.0,-1.0,25.0,-1.0,-1.0,223.0,-1.0,-1.0
1965,-1.0,-1,-1.0,-1.0,3000.0,-1.0,2200.0,-1.0,-1.0,-1.0,-1.0,-1,400.0,2200.0,561.0,4270.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,4576.0,-1.0,-1.0,-1.0,11000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1011.0,-1.0,-1.0,-1.0,-1.0,338.0,-1.0,-1.0,24.0,-1.0,-1.0,223.0,-1.0,-1.0
1966,-1.0,-1,-1.0,-1.0,3000.0,-1.0,2500.0,-1.0,-1.0,-1.0,-1.0,-1,413.0,2300.0,528.0,4290.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,4711.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1039.0,-1.0,-1.0,-1.0,-1.0,317.0,-1.0,-1.0,20.0,-1.0,-1.0,211.0,-1.0,-1.0
1967,-1.0,-1,-1.0,-1.0,2800.0,-1.0,2800.0,-1.0,-1.0,-1.0,-1.0,-1,430.0,2400.0,496.0,4170.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,4848.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1002.0,-1.0,-1.0,-1.0,-1.0,286.0,-1.0,-1.0,18.0,-1.0,-1.0,210.0,-1.0,-1.0
1968,-1.0,-1,-1.0,-1.0,3300.0,-1.0,2100.0,-1.0,-1.0,-1.0,-1.0,-1,456.0,2500.0,438.0,3660.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,4895.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1006.0,-1.0,-1.0,-1.0,-1.0,229.0,-1.0,-1.0,17.0,-1.0,-1.0,209.0,-1.0,-1.0
1969,-1.0,-1,-1.0,-1.0,3700.0,-1.0,2200.0,-1.0,-1.0,-1.0,-1.0,-1,414.0,2687.0,471.0,3550.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,5412.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1125.0,-1.0,-1.0,-1.0,-1.0,240.0,-1.0,-1.0,13.0,-1.0,-1.0,231.0,-1.0,-1.0
1970,-1.0,-1,-1.0,-1.0,3300.0,-1.0,1800.0,-1.0,-1.0,-1.0,-1.0,-1,424.0,3687.0,552.0,3500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,5417.0,-1.0,-1.0,-1.0,17000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1100.0,-1.0,-1.0,-1.0,-1.0,255.0,-1.0,-1.0,20.0,-1.0,-1.0,297.0,-1.0,-1.0
