,Australia & New Zealand,USSR,Syrian Arab Republic,Bahrain,Fiji,Australia,Panama,Pakistan,French Guiana,Thailand,Belize,Ethiopia,Kenya,Guyana,Singapore,Serbia,Lebanon,Tajikistan,South Africa,Tunisia,Albania,Niger,"China, Hong Kong SAR",Democratic People's Republic of Korea,Slovenia,El Salvador,Saint Lucia,Canada,Colombia,Iceland,India,Malta,Jamaica,Ecuador,Cabo Verde,Indonesia,Poland,Turkey,Antigua and Barbuda,Belgium-Luxembourg,Venezuela (Bolivarian Republic of),Egypt,Melanesia,The former Yugoslav Republic of Macedonia,Malaysia,Greece,Czechoslovakia,Slovakia,France,Republic of Korea,Democratic Republic of the Congo,New Zealand,Sudan,Micronesia,United Arab Emirates,Hungary,Republic of Moldova,Martinique,Dominican Republic,Kyrgyzstan,Mexico,Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,Ghana,Spain,"China, mainland",French Polynesia,Madagascar,Cyprus,Peru,Lithuania,Cameroon,Netherlands,Saint Kitts and Nevis,Cuba,Austria,Puerto Rico,United States of America,Romania,Turkmenistan,Trinidad and Tobago,Norway,Dominica,Iraq,Libya,Timor-Leste,Philippines,Belgium,Luxembourg,Czechia,Costa Rica,Bangladesh,Italy,Qatar,Germany,Sweden,Estonia,Uzbekistan,China,Finland,Serbia and Montenegro,Armenia,Sudan (former),Morocco,Jordan,Chile,Honduras,Zimbabwe,Ireland,Algeria,"China, Taiwan Province of",Israel,Japan,Belarus,Denmark,Switzerland,Mongolia,Saudi Arabia,Georgia,United Kingdom,Azerbaijan,Mauritius,Yemen,Oman,Bosnia and Herzegovina,Barbados,Russian Federation,Portugal,Bolivia (Plurinational State of),Grenada,Suriname,American Samoa,Brunei Darussalam,Latvia,Ukraine,Kuwait,Montserrat,Guadeloupe,Sri Lanka,Guam,Côte d'Ivoire,Polynesia,Croatia,Bulgaria,Occupied Palestinian Territory
1971,130442.0,71143.0,66554.0,,,117548.0,73333.0,,,70000.0,,,,,225000.0,,88719.0,,150000.0,100000.0,,,200000.0,100000.0,,100000.0,,175244.0,147368.0,1210000.0,54839.0,,76872.0,,,40909.0,117256.0,159615.0,50000.0,1620939.0,96687.0,144533.0,,,222222.0,280980.0,149870.0,,202051.0,126895.0,41667.0,242991.0,,,117333.0,88349.0,,100000.0,299000.0,,101999.0,110562.0,86600.0,,,217805.0,125000.0,110000.0,91875.0,205022.0,171113.0,,,1653058.0,,69622.0,220223.0,,100327.0,81364.0,,92500.0,430000.0,,84685.0,52692.0,,46154.0,,,,,66040.0,200000.0,,190005.0,201929.0,,,124939.0,308511.0,,,,78947.0,71118.0,255556.0,,,,,116813.0,172772.0,320383.0,,417900.0,1662500.0,,,,2420988.0,,156786.0,,,,122308.0,,,,,100000.0,,,,,,9000.0,191667.0,25494.0,,,110000.0,,134659.0,
1972,133625.0,62170.0,84090.0,,,125663.0,75000.0,,,70000.0,,,,,222222.0,,89993.0,,162500.0,71233.0,,,200000.0,103846.0,,100000.0,,153510.0,148718.0,1065000.0,55208.0,,81386.0,,,45455.0,174019.0,160741.0,52222.0,1221649.0,95253.0,136031.0,,,224286.0,329197.0,171950.0,,352492.0,130408.0,41667.0,214953.0,,,96667.0,113464.0,,100000.0,315200.0,,83101.0,111333.0,89808.0,,,243758.0,116981.0,113333.0,96500.0,179457.0,198382.0,,,1663886.0,,40873.0,237888.0,,101659.0,108784.0,,90476.0,485139.0,,86093.0,55333.0,,46154.0,,,,,59467.0,198525.0,,250839.0,200708.0,,,117036.0,431925.0,,,,78947.0,70547.0,253333.0,,,,,117757.0,163123.0,343497.0,,407789.0,1775000.0,,,,2276728.0,,140714.0,,,,122857.0,,,,,100000.0,,,,,,11000.0,200000.0,24523.0,,,113333.0,,155083.0,
1973,133487.0,74882.0,95310.0,,,125482.0,71500.0,,,70962.0,,,,,222222.0,,97315.0,,188889.0,119178.0,,,200000.0,107407.0,,100000.0,,186939.0,150000.0,1200000.0,58000.0,,92534.0,,,58000.0,146048.0,156522.0,51176.0,1692683.0,101957.0,130563.0,,,223529.0,369823.0,132740.0,,317647.0,122136.0,41667.0,214953.0,,,121333.0,110621.0,,100000.0,314857.0,,105684.0,118182.0,92593.0,,,223333.0,117966.0,118667.0,106667.0,172554.0,193115.0,,,1446325.0,,49601.0,220050.0,,106805.0,103193.0,,89498.0,687921.0,,65059.0,55200.0,,46154.0,,,,,57228.0,198788.0,,244144.0,220154.0,,,118177.0,557093.0,,,,78947.0,50765.0,253333.0,,,,,137826.0,206773.0,354982.0,,374730.0,2031250.0,,,,2661901.0,,159125.0,,,,123019.0,,,,,100000.0,,,,,,9818.0,210000.0,20148.0,,,118667.0,,168764.0,
1974,132297.0,67067.0,112687.0,25000.0,,121893.0,72500.0,,,70926.0,,,,,222222.0,,115569.0,,166667.0,116216.0,,,200000.0,107143.0,,100000.0,,175751.0,150000.0,1350000.0,57843.0,,112124.0,,,61945.0,75589.0,147826.0,52000.0,1545000.0,104890.0,145057.0,,,223750.0,399019.0,108355.0,,334028.0,125321.0,41667.0,283421.0,,,150933.0,113006.0,,100000.0,314286.0,,111225.0,94600.0,95179.0,,,257059.0,123158.0,107333.0,97143.0,155978.0,172367.0,,,1910872.0,,48321.0,199743.0,,104807.0,93333.0,,100639.0,845926.0,,67214.0,52909.0,,45926.0,,,,,57045.0,210217.0,,227727.0,192615.0,,,123401.0,486927.0,,,,78947.0,85832.0,252747.0,,,,,140866.0,157562.0,361842.0,,335276.0,1700000.0,,,,2140000.0,,160303.0,,,,123250.0,,,,,100000.0,,,,,,9818.0,250000.0,24621.0,,,107333.0,,308197.0,
1975,116498.0,59901.0,136325.0,49600.0,,112978.0,82600.0,,,71071.0,,,,,225806.0,,116667.0,,200000.0,85811.0,,,195876.0,110345.0,,100000.0,,188913.0,150000.0,1043333.0,58095.0,,84547.0,,,59073.0,144584.0,161667.0,51579.0,1573634.0,106255.0,145058.0,,,222727.0,377659.0,162998.0,,357206.0,130809.0,41667.0,164730.0,,,185185.0,125620.0,,100000.0,314286.0,,80609.0,87895.0,98609.0,,,277042.0,123051.0,116667.0,46596.0,218393.0,165359.0,,,2358000.0,,44633.0,219518.0,,91385.0,100000.0,,101085.0,681327.0,,76032.0,52000.0,,45714.0,,,,,53997.0,214961.0,,289101.0,179308.0,,,123411.0,391167.0,,,,78947.0,109758.0,258242.0,,,,,153429.0,214372.0,390458.0,,405348.0,1416667.0,,,,2345000.0,,151792.0,,,,122703.0,,,,,100000.0,,,,,48571.0,10000.0,250000.0,40913.0,,,116667.0,,337918.0,
1976,115866.0,61818.0,105759.0,50741.0,,117615.0,85893.0,,,72069.0,,,,,222222.0,,129032.0,,200000.0,116000.0,,,196000.0,110000.0,,99788.0,,184629.0,150000.0,1136667.0,57963.0,,85138.0,,,69283.0,84429.0,170000.0,48889.0,1480000.0,118546.0,165404.0,,,224000.0,428221.0,87494.0,,304715.0,150399.0,41667.0,101642.0,,,213333.0,88310.0,,72000.0,314286.0,,95246.0,88595.0,100000.0,,,307121.0,123051.0,104000.0,34531.0,198525.0,149459.0,,,1170000.0,,46677.0,165067.0,,112390.0,86667.0,,93023.0,796569.0,,70601.0,52778.0,,45986.0,,,,,53510.0,222076.0,,248406.0,171769.0,,,123492.0,293032.0,,,,78947.0,86152.0,260870.0,,,,25000.0,153657.0,236190.0,383231.0,,473168.0,1333333.0,,,,2600000.0,,152609.0,,,,124167.0,,,,,100000.0,,,,,55294.0,10000.0,225000.0,38848.0,,,104000.0,,362329.0,
1977,128403.0,74537.0,94741.0,55000.0,,121327.0,84286.0,,,72000.0,,,,,222222.0,,145161.0,,183333.0,110526.0,,,191473.0,113333.0,,100609.0,,178671.0,150000.0,1203333.0,58182.0,,74647.0,,,64135.0,129218.0,157143.0,41333.0,1722380.0,119493.0,144551.0,,,225000.0,476704.0,133860.0,,303680.0,175680.0,46154.0,268475.0,,,202321.0,103817.0,,180000.0,314286.0,,208426.0,98195.0,105500.0,,,348615.0,122903.0,107500.0,54706.0,200197.0,155091.0,,,1222581.0,,46487.0,266030.0,,115420.0,102000.0,,91743.0,757238.0,,80811.0,46589.0,,49819.0,,,,,52965.0,214220.0,82353.0,277978.0,183154.0,,,123321.0,164868.0,,,,78947.0,83860.0,263441.0,,,,27273.0,151424.0,230660.0,420472.0,,472265.0,1358974.0,,,,2610000.0,,154556.0,,,,122782.0,,300000.0,,,100000.0,,,,,50357.0,10000.0,105882.0,39289.0,,,107500.0,,353456.0,
1978,128491.0,59760.0,103115.0,56667.0,,114314.0,77969.0,,,72903.0,,,,,217391.0,,171875.0,,179575.0,116667.0,,,168373.0,112903.0,,99600.0,,213740.0,150000.0,1260000.0,60000.0,,77510.0,,,52002.0,70689.0,169643.0,27778.0,423077.0,114019.0,151637.0,,,224409.0,387356.0,92019.0,,321044.0,180659.0,46154.0,383676.0,,,236237.0,96814.0,,300000.0,314286.0,,206510.0,85360.0,111167.0,,,330423.0,113314.0,115000.0,50417.0,250748.0,148784.0,,,1276667.0,,54591.0,185191.0,,117152.0,91333.0,,90922.0,638220.0,,79430.0,49485.0,,45750.0,,,,,52417.0,216712.0,78899.0,227350.0,183308.0,,,113729.0,236343.0,,,,80000.0,124925.0,265957.0,,,,38462.0,148715.0,207965.0,420949.0,,401159.0,1302326.0,,71383.0,,2920000.0,,146754.0,,,,123592.0,,270000.0,,,110164.0,,,,,144762.0,10909.0,140000.0,41709.0,,,115000.0,,211639.0,
1979,132168.0,81384.0,104562.0,56818.0,,119443.0,116000.0,,,73125.0,,,,,217391.0,,171875.0,,162025.0,137179.0,,,248571.0,112500.0,,100000.0,,241403.0,150000.0,1363333.0,60000.0,,103068.0,,,41014.0,150096.0,166667.0,38571.0,464865.0,115736.0,162078.0,,,223077.0,415724.0,156349.0,,332023.0,281159.0,46154.0,374118.0,,,184494.0,111003.0,,416667.0,300000.0,,182384.0,94495.0,107143.0,,,330954.0,115942.0,104000.0,68750.0,259064.0,152920.0,,,1583333.0,,63268.0,228339.0,,118599.0,80526.0,,91220.0,780789.0,105500.0,68857.0,50263.0,,47565.0,,,,,52040.0,215014.0,86947.0,296958.0,542520.0,,,116473.0,275764.0,,,,78947.0,115349.0,263158.0,,,,46667.0,152850.0,196552.0,430435.0,,393910.0,1388889.0,,71350.0,,2625000.0,,146436.0,159841.0,,,111915.0,,270000.0,,,103051.0,,,,,108276.0,11071.0,116522.0,88320.0,,,104000.0,,361079.0,
1980,131633.0,72275.0,109957.0,63158.0,,118159.0,107857.0,56979.0,,91342.0,,,,,222222.0,,187500.0,,166667.0,140244.0,,,289796.0,115152.0,,100000.0,,200431.0,150000.0,1293333.0,60163.0,,97030.0,,,42579.0,74110.0,166667.0,55769.0,345455.0,118262.0,155391.0,,,224138.0,573180.0,115110.0,,334377.0,227820.0,50000.0,385714.0,,,186282.0,109203.0,,416667.0,300000.0,,263988.0,88321.0,121429.0,,,383714.0,112059.0,118889.0,78767.0,244218.0,161705.0,,,2152941.0,,44289.0,240144.0,,120664.0,72727.0,,95128.0,962143.0,113950.0,73576.0,55000.0,,46016.0,,,,,49658.0,224749.0,89773.0,258200.0,521974.0,,,112785.0,344351.0,,,,80000.0,119392.0,263158.0,,,,52941.0,154108.0,193487.0,402372.0,,419314.0,690000.0,,82353.0,,2386555.0,,122719.0,177595.0,,,33802.0,,275000.0,60917.0,,76508.0,,,,,136667.0,11228.0,132000.0,98082.0,,,118889.0,,263577.0,
