,Ukraine,Germany,Belgium,Czechoslovakia,Poland,Switzerland,USSR,Slovakia,United Kingdom,Denmark,Latvia,Kyrgyzstan,Austria,Hungary,New Zealand,Estonia,Australia & New Zealand,Lithuania,Finland,Netherlands,Russian Federation,Czechia,Norway,Republic of Moldova
1961,-1.0,32600.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,-1.0,90.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1962,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.0,-1.0,79.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1963,-1.0,33000.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,-1.0,70.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1964,-1.0,33400.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,110.0,-1.0,110.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1965,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,130.0,-1.0,130.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1966,-1.0,31000.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,1200.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0,-1.0,27.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1967,-1.0,29000.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0,26.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1968,-1.0,31000.0,-1.0,-1.0,-1.0,-1.0,6000.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0,26.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1969,-1.0,30500.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,24.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1970,-1.0,31000.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,-1.0,23.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1971,-1.0,29000.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,20.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1972,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,-1.0,21.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1973,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,-1.0,18.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1974,-1.0,29300.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,1300.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,17.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1975,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,12000.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,17.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1976,-1.0,22600.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,-1.0,14.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1977,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,700.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,-1.0,11.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1978,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,750.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,10.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1979,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,14000.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,13.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1980,-1.0,27000.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,-1.0,30.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1981,-1.0,20000.0,-1.0,-1.0,-1.0,-1.0,16000.0,-1.0,750.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,-1.0,37.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1982,-1.0,28400.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,40.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1983,-1.0,28000.0,-1.0,-1.0,-1.0,-1.0,12000.0,-1.0,800.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,40.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1984,-1.0,30000.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,40.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0
1985,-1.0,11135.0,-1.0,2350.0,6000.0,5.0,11000.0,-1.0,1000.0,-1.0,-1.0,-1.0,250.0,3400.0,30.0,-1.0,30.0,-1.0,-1.0,-1,-1.0,-1.0,525.0,-1.0
1986,-1.0,11770.0,-1.0,2350.0,6000.0,5.0,12000.0,-1.0,800.0,-1.0,-1.0,-1.0,250.0,3300.0,16.0,-1.0,16.0,-1.0,-1.0,-1,-1.0,-1.0,525.0,-1.0
1987,-1.0,12180.0,-1.0,2365.0,6000.0,5.0,12000.0,-1.0,780.0,-1.0,-1.0,-1.0,250.0,2900.0,13.0,-1.0,13.0,-1.0,-1.0,-1,-1.0,-1.0,525.0,-1.0
1988,-1.0,11865.0,-1.0,2365.0,6000.0,5.0,12500.0,-1.0,700.0,-1.0,-1.0,-1.0,250.0,2800.0,10.0,-1.0,10.0,-1.0,-1.0,-1,-1.0,-1.0,525.0,-1.0
1989,-1.0,12773.0,-1.0,2560.0,6000.0,5.0,12500.0,-1.0,584.0,-1.0,-1.0,-1.0,305.0,2800.0,8.0,-1.0,8.0,-1.0,-1.0,-1,-1.0,-1.0,525.0,-1.0
1990,-1.0,12365.0,-1.0,2365.0,6207.0,5.0,8500.0,-1.0,531.0,-1.0,-1.0,-1.0,350.0,2600.0,6.0,-1.0,6.0,-1.0,22.0,-1,-1.0,-1.0,477.0,-1.0
1991,-1.0,13045.0,-1.0,2405.0,5929.0,3.0,8500.0,-1.0,505.0,-1.0,-1.0,-1.0,350.0,2000.0,10.0,-1.0,10.0,-1.0,19.0,-1,-1.0,-1.0,50.0,-1.0
1992,-1.0,10575.0,-1.0,2400.0,6007.0,4.0,-1.0,-1.0,453.0,-1.0,-1.0,15.0,350.0,2600.0,10.0,1000.0,10.0,-1.0,21.0,-1,4000.0,-1.0,122.0,650.0
1993,-1.0,11225.0,-1.0,-1.0,6160.0,4.0,-1.0,32.0,410.0,-1.0,-1.0,15.0,350.0,2500.0,10.0,820.0,10.0,200.0,22.0,-1,4500.0,1980.0,45.0,1000.0
1994,-1.0,11635.0,-1.0,-1.0,5760.0,3.0,-1.0,31.0,412.0,-1.0,-1.0,20.0,350.0,1600.0,20.0,970.0,20.0,200.0,28.0,-1,4600.0,2080.0,47.0,650.0
1995,2000.0,12306.0,-1.0,-1.0,5750.0,3.0,-1.0,30.0,400.0,-1.0,-1.0,20.0,350.0,1084.0,20.0,900.0,20.0,200.0,36.0,-1,4800.0,1970.0,49.0,650.0
1996,2000.0,11846.0,-1.0,-1.0,5800.0,4.0,-1.0,30.0,300.0,-1.0,-1.0,15.0,350.0,1465.0,25.0,390.0,25.0,200.0,35.0,-1,5400.0,2027.0,47.0,700.0
1997,2200.0,11400.0,-1.0,-1.0,5500.0,4.0,-1.0,30.0,360.0,-1.0,-1.0,15.0,350.0,2600.0,2.0,312.0,2.0,200.0,35.0,-1,5300.0,1940.0,40.0,80.0
1998,900.0,12600.0,-1.0,-1.0,6295.0,5.0,-1.0,18.0,240.0,-1.0,-1.0,15.0,350.0,1500.0,2.0,317.0,2.0,200.0,36.0,-1,5400.0,1900.0,35.0,60.0
1999,900.0,12500.0,-1.0,-1.0,5944.0,5.0,-1.0,15.0,230.0,-1.0,100.0,15.0,350.0,1000.0,2.0,292.0,2.0,100.0,36.0,-1,7000.0,1850.0,50.0,40.0
2000,1000.0,13192.0,180.0,-1.0,5879.0,5.0,-1.0,15.0,220.0,-1.0,100.0,15.0,350.0,1177.0,2.0,291.0,2.0,100.0,37.0,-1,10000.0,1300.0,51.0,70.0
2001,1100.0,13414.0,90.0,-1.0,5755.0,5.0,-1.0,20.0,215.0,-1.0,100.0,15.0,350.0,800.0,2.0,705.0,2.0,100.0,31.0,-1,12000.0,1200.0,58.0,18.0
2002,1100.0,9725.0,90.0,-1.0,3640.0,6.0,-1.0,20.0,212.0,-1.0,100.0,17.0,350.0,500.0,2.0,668.0,2.0,200.0,31.0,-1,16000.0,1060.0,58.0,11.0
2003,1000.0,11114.0,90.0,-1.0,3613.0,6.0,-1.0,21.0,215.0,17.0,67.0,20.0,350.0,457.0,2.0,582.0,2.0,130.0,33.0,-1,16000.0,1170.0,58.0,8.0
2004,1000.0,12652.0,90.0,-1.0,3636.0,7.0,-1.0,25.0,215.0,17.0,64.0,20.0,350.0,429.0,2.0,589.0,2.0,130.0,32.0,-1,16350.0,1135.0,0.0,10.0
2005,1000.0,12300.0,90.0,-1.0,3131.0,6.0,-1.0,26.0,215.0,17.0,90.0,20.0,350.0,451.0,2.0,362.0,2.0,137.0,32.0,-1,16600.0,660.0,0.0,11.0
2006,1000.0,12300.0,90.0,-1.0,2980.0,7.0,-1.0,27.0,295.0,17.0,69.0,20.0,350.0,363.0,2.0,264.0,2.0,189.0,33.0,-1,16000.0,650.0,0.0,10.0
2007,1000.0,12400.0,90.0,-1.0,3122.0,6.0,-1.0,20.0,268.0,20.0,38.0,20.0,350.0,408.0,2.0,230.0,2.0,189.0,34.0,-1,16000.0,640.0,0.0,14.0
2008,1000.0,12300.0,90.0,-1.0,2902.0,6.0,-1.0,20.0,265.0,24.0,18.0,20.0,350.0,420.0,2.0,231.0,2.0,139.0,33.0,-1,12400.0,650.0,0.0,13.0
2009,1000.0,12479.0,90.0,-1.0,2824.0,6.0,-1.0,150.0,290.0,29.0,7.0,20.0,326.0,435.0,2.0,231.0,2.0,146.0,32.0,-1,12300.0,819.0,0.0,20.0
