,Austria,Slovakia,Poland,USSR,Norway,Denmark,Estonia,Belgium,Latvia,Czechoslovakia,Czechia,Republic of Moldova,Hungary,Germany,Russian Federation,Finland,Australia & New Zealand,Switzerland,United Kingdom,Lithuania,Kyrgyzstan,Netherlands,Ukraine,New Zealand
1961,-1.0,,-1.0,5000.0,-1.0,-1.0,,,,-1.0,,,-1.0,32600.0,,-1.0,90.0,-1.0,1700.0,,,,,90.0
1962,-1.0,,-1.0,5000.0,-1.0,-1.0,,,,-1.0,,,-1.0,30000.0,,-1.0,79.0,-1.0,1500.0,,,,,79.0
1963,-1.0,,-1.0,6000.0,-1.0,-1.0,,,,-1.0,,,-1.0,33000.0,,-1.0,70.0,-1.0,1700.0,,,,,70.0
1964,-1.0,,-1.0,6000.0,-1.0,-1.0,,,,-1.0,,,-1.0,33400.0,,-1.0,110.0,-1.0,1300.0,,,,,110.0
1965,-1.0,,-1.0,6000.0,-1.0,-1.0,,,,-1.0,,,-1.0,30000.0,,-1.0,130.0,-1.0,1700.0,,,,,130.0
1966,-1.0,,-1.0,5000.0,-1.0,-1.0,,,,-1.0,,,-1.0,31000.0,,-1.0,27.0,-1.0,1200.0,,,,,27.0
1967,-1.0,,-1.0,5000.0,-1.0,-1.0,,,,-1.0,,,-1.0,29000.0,,-1.0,26.0,-1.0,800.0,,,,,26.0
1968,-1.0,,-1.0,6000.0,-1.0,-1.0,,,,-1.0,,,-1.0,31000.0,,-1.0,26.0,-1.0,1300.0,,,,,26.0
1969,-1.0,,-1.0,5000.0,-1.0,-1.0,,,,-1.0,,,-1.0,30500.0,,-1.0,24.0,-1.0,1300.0,,,,,24.0
1970,-1.0,,-1.0,10000.0,-1.0,-1.0,,,,-1.0,,,-1.0,31000.0,,-1.0,23.0,-1.0,1300.0,,,,,23.0
1971,-1.0,,-1.0,11000.0,-1.0,-1.0,,,,-1.0,,,-1.0,29000.0,,-1.0,20.0,-1.0,1300.0,,,,,20.0
1972,-1.0,,-1.0,11000.0,-1.0,-1.0,,,,-1.0,,,-1.0,30000.0,,-1.0,21.0,-1.0,1300.0,,,,,21.0
1973,-1.0,,-1.0,11000.0,-1.0,-1.0,,,,-1.0,,,-1.0,30000.0,,-1.0,18.0,-1.0,1300.0,,,,,18.0
1974,-1.0,,-1.0,11000.0,-1.0,-1.0,,,,-1.0,,,-1.0,29300.0,,-1.0,17.0,-1.0,1300.0,,,,,17.0
1975,-1.0,,-1.0,12000.0,-1.0,-1.0,,,,-1.0,,,-1.0,30000.0,,-1.0,17.0,-1.0,800.0,,,,,17.0
1976,-1.0,,-1.0,14000.0,-1.0,-1.0,,,,-1.0,,,-1.0,22600.0,,-1.0,14.0,-1.0,800.0,,,,,14.0
1977,-1.0,,-1.0,14000.0,-1.0,-1.0,,,,-1.0,,,-1.0,19000.0,,-1.0,11.0,-1.0,700.0,,,,,11.0
1978,-1.0,,-1.0,14000.0,-1.0,-1.0,,,,-1.0,,,-1.0,30000.0,,-1.0,10.0,-1.0,750.0,,,,,10.0
1979,-1.0,,-1.0,14000.0,-1.0,-1.0,,,,-1.0,,,-1.0,30000.0,,-1.0,13.0,-1.0,800.0,,,,,13.0
1980,-1.0,,-1.0,16000.0,-1.0,-1.0,,,,-1.0,,,-1.0,27000.0,,-1.0,30.0,-1.0,800.0,,,,,30.0
1981,-1.0,,-1.0,16000.0,-1.0,-1.0,,,,-1.0,,,-1.0,20000.0,,-1.0,37.0,-1.0,750.0,,,,,37.0
1982,-1.0,,-1.0,11000.0,-1.0,-1.0,,,,-1.0,,,-1.0,28400.0,,-1.0,40.0,-1.0,800.0,,,,,40.0
1983,-1.0,,-1.0,12000.0,-1.0,-1.0,,,,-1.0,,,-1.0,28000.0,,-1.0,40.0,-1.0,800.0,,,,,40.0
1984,-1.0,,-1.0,11000.0,-1.0,-1.0,,,,-1.0,,,-1.0,30000.0,,-1.0,40.0,-1.0,1000.0,,,,,40.0
1985,250.0,,6000.0,11000.0,525.0,-1.0,,,,2350.0,,,3400.0,11135.0,,-1.0,30.0,5.0,1000.0,,,,,30.0
1986,250.0,,6000.0,12000.0,525.0,-1.0,,,,2350.0,,,3300.0,11770.0,,-1.0,16.0,5.0,800.0,,,,,16.0
1987,250.0,,6000.0,12000.0,525.0,-1.0,,,,2365.0,,,2900.0,12180.0,,-1.0,13.0,5.0,780.0,,,,,13.0
