,Kenya,Peru,Mozambique,Croatia,Cameroon,Serbia,Philippines,South Sudan,The former Yugoslav Republic of Macedonia,Japan,Zimbabwe,Iraq,Malawi,Cyprus,Guyana,Australia & New Zealand,United States of America,Bosnia and Herzegovina,Serbia and Montenegro,Democratic Republic of the Congo,Slovenia,Senegal,Madagascar,Myanmar,Uganda,Burkina Faso,Niger,Sri Lanka,Nigeria,Egypt,Mauritania,Russian Federation,China,Yugoslav SFR,Jamaica,United Republic of Tanzania,Trinidad and Tobago,Occupied Palestinian Territory,South Africa,Guinea-Bissau,Australia,Hungary,Sudan,"China, mainland",Sudan (former),Mali,Haiti,Swaziland
1961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,-1,-1.0,14700.0,1505.0,3300.0,48000.0,500.0,-1.0,-1.0,51394.0,-1.0,-1.0,51000.0,-1.0,48000.0,6000.0,18995.0,50000.0,185500.0,427000.0,2938.0,1216000.0,1741.0,23184.0,-1,-1.0,13100.0,295.0,53000.0,80.0,-1.0,25500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,63000.0,2000.0
1962,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,-1,-1.0,14400.0,939.0,3600.0,49000.0,500.0,-1.0,-1.0,52204.0,-1.0,-1.0,53000.0,-1.0,49000.0,6000.0,21663.0,50000.0,228000.0,475000.0,2196.0,1473000.0,2096.0,23184.0,-1,-1.0,7600.0,305.0,60000.0,100.0,-1.0,17000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,65000.0,2000.0
1963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,-1,-1.0,11900.0,1084.0,4975.0,49000.0,450.0,-1.0,-1.0,50585.0,-1.0,-1.0,56000.0,-1.0,51000.0,6000.0,22392.0,50000.0,235000.0,506000.0,4364.0,2638000.0,3492.0,23184.0,-1,-1.0,9300.0,320.0,68000.0,120.0,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,67000.0,2000.0
1964,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,-1,-1.0,11600.0,781.0,6019.0,50000.0,300.0,-1.0,-1.0,36016.0,-1.0,-1.0,58000.0,-1.0,51000.0,5900.0,24534.0,65000.0,258000.0,519350.0,3681.0,2531000.0,4632.0,23184.0,-1,-1.0,8400.0,300.0,35000.0,80.0,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,70000.0,2000.0
1965,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4000.0,-1,-1.0,10600.0,1036.0,6384.0,50000.0,400.0,-1.0,-1.0,41277.0,-1.0,-1.0,58000.0,-1.0,54000.0,5800.0,19871.0,65000.0,244000.0,468142.0,3793.0,2743000.0,4016.0,23184.0,-1,-1.0,6800.0,250.0,26000.0,80.0,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,74000.0,2000.0
1966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3600.0,-1,-1.0,9940.0,-1.0,6391.0,51000.0,170.0,-1.0,-1.0,35207.0,-1.0,-1.0,59000.0,-1.0,85900.0,6000.0,18068.0,50000.0,255000.0,608300.0,4163.0,3043000.0,3588.0,23184.0,-1,-1.0,4160.0,480.0,45000.0,40.0,-1.0,13000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,78000.0,2000.0
1967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3800.0,-1,-1.0,9140.0,-1.0,9482.0,55000.0,212.0,-1.0,-1.0,37635.0,-1.0,-1.0,59000.0,-1.0,99100.0,6000.0,17465.0,65000.0,264500.0,689400.0,5866.0,3935000.0,5881.0,23184.0,-1,-1.0,3920.0,730.0,30000.0,40.0,-1.0,19000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,78000.0,2000.0
1968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4100.0,-1,-1.0,8400.0,-1.0,7564.0,56000.0,162.0,-1.0,-1.0,0.0,-1.0,-1.0,60000.0,-1.0,69600.0,6000.0,17033.0,65000.0,277000.0,744500.0,4078.0,3364000.0,4201.0,23184.0,-1,-1.0,4080.0,717.0,45000.0,50.0,-1.0,16000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,80000.0,1900.0
1969,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3500.0,-1,-1.0,7700.0,-1.0,6545.0,56000.0,176.0,-1.0,-1.0,-1.0,-1.0,-1.0,60000.0,-1.0,71200.0,5980.0,18803.0,65000.0,265000.0,968100.0,3954.0,4049000.0,4201.0,23184.0,-1,-1.0,3379.0,486.0,62000.0,50.0,-1.0,18000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,80000.0,1900.0
1970,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5700.0,-1,-1.0,7500.0,-1.0,7019.0,57000.0,313.0,-1.0,-1.0,-1.0,-1.0,-1.0,61400.0,-1.0,63100.0,4500.0,19830.0,48000.0,272000.0,979800.0,4136.0,3820000.0,4201.0,23184.0,-1,-1.0,4151.0,433.0,45000.0,70.0,-1.0,13000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100000.0,82000.0,1900.0
