,Burundi,"China, Taiwan Province of",Croatia,Myanmar,Burkina Faso,Philippines,Brazil,Lao People's Democratic Republic,Nepal,Ethiopia,Indonesia,Liberia,Zimbabwe,Iran (Islamic Republic of),Malawi,Rwanda,Australia & New Zealand,Yugoslav SFR,Guatemala,Slovenia,Madagascar,Uganda,Ukraine,Zambia,Argentina,Sri Lanka,Uruguay,Italy,Panama,Bosnia and Herzegovina,China,Colombia,Latvia,United Republic of Tanzania,Chile,Hungary,Kazakhstan,Suriname,France,Viet Nam,Kenya,"China, mainland",Russian Federation,Nicaragua,Bolivia (Plurinational State of),Peru,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Canada,Japan,Iraq,Venezuela (Bolivarian Republic of),Spain,Belize,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Nigeria,Egypt,Czechia,Ethiopia PDR,Cambodia,Timor-Leste,Paraguay,Democratic People's Republic of Korea,India,El Salvador,Austria,Czechoslovakia,Bhutan,Republic of Korea,Gabon,USSR,Romania,Ecuador,Honduras,Mexico,Côte d'Ivoire,Mali,Albania,South Africa,Australia,Thailand,Guyana,Republic of Moldova,Turkey
1961,18.0,3000.0,-1.0,923.0,0.0,7.0,12546.0,125.0,240.0,-1.0,24000.0,150.0,54.0,70.0,0.0,8.0,13.0,305.0,0.0,-1.0,0.0,134.0,-1.0,0.0,564.0,2.0,50.0,20.0,0.0,-1.0,999923.0,1215.0,-1.0,360.0,32.0,600.0,-1.0,4.0,0.0,1120.0,0.0,996923.0,-1.0,0.0,0.0,50.0,-1.0,0.0,-1.0,4.0,6000.0,12000.0,0.0,0.0,0.0,0.0,173.0,906000.0,0.0,90.0,5292.0,0.0,-1.0,74.0,600.0,56.0,81.0,24800.0,660.0,0.0,0.0,0.0,0.0,14364.0,0.0,74250.0,1415.0,4.0,0.0,1093.0,0.0,0.0,0.0,225.0,13.0,696.0,0.0,-1.0,460.0
1962,18.0,2700.0,-1.0,986.0,0.0,6.0,13592.0,130.0,240.0,-1.0,22000.0,150.0,36.0,70.0,0.0,5.0,40.0,215.0,0.0,-1.0,0.0,28.0,-1.0,0.0,1161.0,2.0,50.0,10.0,0.0,-1.0,1013189.0,1475.0,-1.0,675.0,36.0,300.0,-1.0,3.0,0.0,1050.0,0.0,1010489.0,-1.0,0.0,0.0,50.0,-1.0,0.0,-1.0,2.0,6200.0,11000.0,0.0,0.0,0.0,0.0,91.0,942000.0,0.0,90.0,5320.0,0.0,-1.0,80.0,560.0,56.0,203.0,25600.0,1080.0,0.0,0.0,0.0,0.0,14145.0,0.0,80100.0,1445.0,4.0,0.0,1097.0,0.0,0.0,0.0,225.0,40.0,840.0,0.0,-1.0,630.0
1963,18.0,2700.0,-1.0,820.0,0.0,6.0,14385.0,132.0,300.0,-1.0,23000.0,150.0,27.0,70.0,0.0,5.0,67.0,229.0,0.0,-1.0,0.0,140.0,-1.0,0.0,754.0,2.0,50.0,10.0,0.0,-1.0,1052558.0,1665.0,-1.0,315.0,36.0,200.0,-1.0,5.0,0.0,1120.0,6.0,1049858.0,-1.0,0.0,0.0,50.0,-1.0,0.0,-1.0,2.0,6300.0,10000.0,0.0,0.0,0.0,0.0,21.0,980000.0,0.0,135.0,5040.0,0.0,-1.0,86.0,480.0,56.0,281.0,26400.0,1080.0,0.0,0.0,0.0,0.0,14058.0,0.0,80100.0,901.0,4.0,0.0,1225.0,0.0,0.0,0.0,315.0,67.0,852.0,0.0,-1.0,600.0
1964,18.0,2600.0,-1.0,817.0,0.0,6.0,17273.0,132.0,300.0,-1.0,23000.0,150.0,22.0,70.0,0.0,0.0,73.0,322.0,0.0,-1.0,0.0,134.0,-1.0,0.0,966.0,2.0,50.0,10.0,0.0,-1.0,903920.0,2230.0,-1.0,225.0,41.0,200.0,-1.0,3.0,0.0,1222.0,7.0,901320.0,-1.0,0.0,0.0,20.0,-1.0,0.0,-1.0,6.0,7180.0,11000.0,0.0,0.0,0.0,0.0,21.0,1097000.0,0.0,135.0,5152.0,0.0,-1.0,90.0,304.0,56.0,506.0,27200.0,1380.0,0.0,0.0,0.0,0.0,15534.0,0.0,76770.0,952.0,5.0,0.0,1098.0,0.0,0.0,0.0,315.0,73.0,468.0,0.0,-1.0,600.0
1965,18.0,2600.0,-1.0,963.0,0.0,5.0,19627.0,136.0,300.0,-1.0,24000.0,150.0,9.0,140.0,0.0,0.0,80.0,253.0,0.0,-1.0,0.0,59.0,-1.0,0.0,912.0,2.0,50.0,10.0,0.0,-1.0,886385.0,2675.0,-1.0,77.0,41.0,80.0,-1.0,3.0,0.0,1400.0,8.0,883785.0,-1.0,0.0,0.0,28.0,-1.0,0.0,-1.0,6.0,7560.0,10000.0,0.0,0.0,0.0,0.0,4.0,1168000.0,0.0,135.0,5180.0,0.0,-1.0,90.0,324.0,56.0,643.0,21040.0,1380.0,0.0,0.0,0.0,0.0,13796.0,0.0,76950.0,2975.0,5.0,0.0,2170.0,0.0,0.0,0.0,315.0,80.0,1140.0,0.0,-1.0,600.0
1966,18.0,2600.0,-1.0,941.0,0.0,6.0,24485.0,138.0,360.0,-1.0,23000.0,175.0,9.0,140.0,0.0,0.0,47.0,270.0,0.0,-1.0,0.0,168.0,-1.0,0.0,1016.0,4.0,50.0,10.0,0.0,-1.0,894470.0,3200.0,-1.0,45.0,45.0,40.0,-1.0,2.0,0.0,1330.0,8.0,891870.0,-1.0,0.0,0.0,29.0,-1.0,0.0,-1.0,4.0,7860.0,9000.0,0.0,0.0,0.0,0.0,7.0,1165000.0,0.0,135.0,4648.0,0.0,-1.0,90.0,372.0,56.0,579.0,21280.0,1620.0,0.0,0.0,0.0,0.0,15525.0,0.0,76500.0,8347.0,9.0,0.0,2795.0,0.0,0.0,0.0,509.0,47.0,1596.0,0.0,-1.0,600.0
1967,18.0,3100.0,-1.0,1044.0,0.0,5.0,28877.0,144.0,360.0,-1.0,27000.0,175.0,18.0,140.0,0.0,0.0,65.0,182.0,0.0,-1.0,0.0,392.0,-1.0,0.0,1254.0,4.0,50.0,10.0,0.0,-1.0,880270.0,4320.0,-1.0,27.0,45.0,40.0,-1.0,6.0,0.0,1260.0,45.0,877170.0,-1.0,0.0,30.0,10.0,-1.0,0.0,-1.0,6.0,8000.0,7000.0,0.0,0.0,0.0,0.0,7.0,1282000.0,0.0,131.0,5180.0,0.0,-1.0,96.0,196.0,56.0,378.0,21600.0,1620.0,0.0,0.0,0.0,0.0,15675.0,0.0,76860.0,8296.0,5.0,0.0,5319.0,0.0,0.0,0.0,565.0,65.0,1316.0,0.0,-1.0,750.0
1968,18.0,4000.0,-1.0,1044.0,0.0,6.0,36243.0,144.0,420.0,-1.0,27000.0,175.0,300.0,140.0,0.0,14.0,84.0,173.0,0.0,-1.0,0.0,224.0,-1.0,0.0,1694.0,4.0,50.0,10.0,0.0,-1.0,877600.0,4545.0,-1.0,35.0,45.0,50.0,-1.0,2.0,0.0,1155.0,59.0,873600.0,-1.0,0.0,60.0,7.0,-1.0,0.0,-1.0,10.0,8700.0,6000.0,0.0,0.0,0.0,0.0,7.0,1323000.0,0.0,95.0,4480.0,0.0,-1.0,100.0,520.0,56.0,550.0,21920.0,1920.0,4.0,0.0,0.0,0.0,15259.0,0.0,76500.0,9129.0,30.0,0.0,6527.0,0.0,0.0,0.0,601.0,84.0,1196.0,0.0,-1.0,816.0
1969,18.0,3600.0,-1.0,1117.0,0.0,6.0,52752.0,148.0,420.0,-1.0,22000.0,175.0,773.0,210.0,0.0,33.0,199.0,151.0,0.0,-1.0,0.0,258.0,-1.0,0.0,1676.0,5.0,50.0,10.0,0.0,-1.0,841185.0,4770.0,-1.0,64.0,45.0,0.0,-1.0,2.0,0.0,970.0,72.0,837585.0,-1.0,0.0,70.0,19.0,-1.0,0.0,-1.0,13.0,9100.0,5000.0,0.0,0.0,200.0,0.0,569.0,1287000.0,0.0,86.0,5180.0,0.0,-1.0,110.0,200.0,56.0,1274.0,22240.0,1920.0,4.0,0.0,0.0,0.0,14773.0,0.0,77490.0,13447.0,35.0,0.0,4470.0,0.0,0.0,0.0,637.0,199.0,1472.0,0.0,-1.0,1100.0
1970,18.0,3400.0,-1.0,1197.0,0.0,6.0,68657.0,148.0,480.0,-1.0,28000.0,200.0,509.0,280.0,0.0,31.0,293.0,194.0,0.0,-1.0,0.0,224.0,-1.0,0.0,2074.0,6.0,50.0,10.0,0.0,-1.0,820720.0,5985.0,-1.0,192.0,90.0,0.0,-1.0,2.0,0.0,907.0,119.0,817320.0,-1.0,0.0,60.0,33.0,-1.0,0.0,-1.0,4.0,9950.0,6000.0,0.0,0.0,200.0,0.0,1057.0,1320000.0,0.0,90.0,5600.0,0.0,-1.0,110.0,120.0,56.0,2457.0,22480.0,1920.0,4.0,0.0,0.0,0.0,13756.0,0.0,78120.0,24939.0,55.0,0.0,5157.0,0.0,0.0,0.0,315.0,293.0,1436.0,4.0,-1.0,700.0
