,Bangladesh,Republic of Korea,Viet Nam,"China, Taiwan Province of",Ethiopia PDR,Myanmar,South Africa,Australia & New Zealand,Australia,China,Réunion,Mauritius,New Zealand,Ethiopia,Madagascar,Canada,Philippines,Argentina,Thailand
1961,9167.0,157419.0,38462.0,126579.0,629.0,3625.0,9071.0,6730.0,6730.0,126579.0,33333.0,3667.0,-1.0,-1.0,9111.0,-1.0,9130.0,13300.0,-1.0
1962,9000.0,95250.0,43077.0,132593.0,629.0,3250.0,9071.0,3102.0,7463.0,132593.0,33333.0,3250.0,2749.0,-1.0,9333.0,-1.0,5654.0,10891.0,-1.0
1963,9091.0,270000.0,42857.0,109001.0,667.0,3375.0,10000.0,2712.0,5914.0,109001.0,33333.0,13490.0,2469.0,-1.0,9556.0,-1.0,4563.0,12582.0,-1.0
1964,9231.0,257727.0,42857.0,125110.0,670.0,3476.0,10000.0,2757.0,7355.0,125110.0,33333.0,12060.0,2524.0,-1.0,9778.0,12308.0,4426.0,37650.0,-1.0
1965,9091.0,261111.0,42857.0,117994.0,663.0,3407.0,10000.0,2680.0,7466.0,117994.0,33333.0,10944.0,2438.0,-1.0,10000.0,-1.0,6403.0,11269.0,-1.0
1966,9444.0,285176.0,43750.0,118043.0,665.0,3534.0,10000.0,2813.0,8999.0,118043.0,33333.0,14357.0,2500.0,-1.0,9500.0,12075.0,7115.0,8315.0,-1.0
1967,10000.0,228636.0,43750.0,113520.0,663.0,3173.0,10000.0,2430.0,6428.0,113520.0,33333.0,11582.0,2228.0,-1.0,9500.0,-1.0,6503.0,6964.0,-1.0
1968,9024.0,259000.0,46250.0,113303.0,660.0,3986.0,10000.0,3006.0,9679.0,113303.0,33333.0,15721.0,2500.0,-1.0,9500.0,12222.0,6667.0,3380.0,-1.0
1969,7606.0,116000.0,47500.0,112136.0,657.0,4138.0,10000.0,2688.0,6415.0,112136.0,33333.0,17299.0,2500.0,-1.0,9091.0,-1.0,6214.0,5368.0,10000.0
1970,7529.0,-1.0,48235.0,113758.0,660.0,3750.0,12000.0,2679.0,6250.0,113758.0,33333.0,21728.0,2500.0,-1.0,9091.0,12179.0,6230.0,7569.0,10000.0
1971,7623.0,-1.0,51765.0,109315.0,662.0,3350.0,10000.0,2662.0,9062.0,109315.0,33333.0,27331.0,2500.0,-1.0,9091.0,12093.0,6481.0,8900.0,10000.0
1972,5463.0,-1.0,52941.0,96632.0,673.0,3664.0,10000.0,2500.0,-1.0,96632.0,40000.0,20111.0,2500.0,-1.0,9091.0,12045.0,6951.0,8751.0,10000.0
1973,5796.0,-1.0,50000.0,116138.0,673.0,3618.0,10000.0,2500.0,-1.0,116138.0,43333.0,22102.0,2500.0,-1.0,10463.0,12049.0,8173.0,8000.0,10000.0
1974,6000.0,-1.0,50000.0,109940.0,714.0,3839.0,10000.0,2500.0,-1.0,109940.0,43333.0,18769.0,2500.0,-1.0,8952.0,12020.0,8609.0,9600.0,10000.0
1975,6129.0,21480.0,53196.0,104239.0,714.0,3909.0,12000.0,2500.0,-1.0,104239.0,45000.0,9834.0,2500.0,-1.0,9204.0,12036.0,10264.0,10182.0,10000.0
1976,6432.0,20599.0,55088.0,114050.0,717.0,3781.0,12000.0,2500.0,-1.0,114050.0,45000.0,9059.0,2500.0,-1.0,9015.0,12021.0,11514.0,13125.0,10000.0
1977,6158.0,22990.0,53761.0,117855.0,716.0,3746.0,12308.0,2500.0,-1.0,117855.0,46667.0,10100.0,2500.0,-1.0,9122.0,12045.0,11014.0,14000.0,10000.0
1978,6041.0,-1.0,53869.0,121506.0,711.0,3716.0,10115.0,2500.0,-1.0,121506.0,50000.0,8533.0,2500.0,-1.0,6829.0,12031.0,11013.0,14000.0,10000.0
1979,6265.0,-1.0,55646.0,147747.0,711.0,3545.0,11538.0,2500.0,-1.0,147747.0,56667.0,7900.0,2500.0,-1.0,8440.0,12045.0,12420.0,9800.0,10000.0
1980,6284.0,-1.0,54604.0,133400.0,717.0,3858.0,12308.0,2500.0,-1.0,133400.0,56667.0,8000.0,2500.0,-1.0,8628.0,12031.0,12736.0,10127.0,10000.0
1981,6086.0,-1.0,54395.0,129561.0,723.0,3765.0,12308.0,2500.0,-1.0,129561.0,60000.0,8000.0,2500.0,-1.0,8613.0,12006.0,11247.0,10500.0,10000.0
1982,6493.0,-1.0,54207.0,130423.0,723.0,4039.0,12308.0,2500.0,-1.0,130423.0,59375.0,8000.0,2500.0,-1.0,8670.0,12090.0,11564.0,10309.0,10000.0
1983,6219.0,-1.0,52975.0,134349.0,724.0,4601.0,12308.0,2500.0,-1.0,134349.0,59375.0,8000.0,2500.0,-1.0,8679.0,12018.0,15859.0,10000.0,10000.0
1984,6406.0,-1.0,57500.0,124979.0,744.0,4764.0,12308.0,2500.0,-1.0,124979.0,58824.0,8000.0,2500.0,-1.0,8764.0,12027.0,15889.0,10000.0,10000.0
1985,6333.0,-1.0,60567.0,145593.0,750.0,4346.0,12308.0,2500.0,-1.0,145593.0,58824.0,8000.0,2500.0,-1.0,8843.0,12021.0,14901.0,10000.0,10000.0
1986,6320.0,-1.0,57692.0,127143.0,756.0,4706.0,12308.0,2500.0,-1.0,127143.0,60000.0,8000.0,2500.0,-1.0,8865.0,12062.0,14918.0,10000.0,10000.0
1987,6367.0,58299.0,61294.0,119528.0,761.0,4860.0,12308.0,2500.0,-1.0,119528.0,60000.0,8000.0,2500.0,-1.0,8889.0,12053.0,15068.0,10000.0,10000.0
1988,6766.0,47312.0,47829.0,124027.0,763.0,4941.0,12308.0,2500.0,-1.0,124027.0,59459.0,8000.0,2500.0,-1.0,8889.0,12018.0,15068.0,10000.0,10645.0
1989,7198.0,49544.0,56389.0,134500.0,773.0,5060.0,12308.0,2500.0,-1.0,134500.0,59459.0,8000.0,2500.0,-1.0,8791.0,12114.0,15068.0,10000.0,10000.0
1990,7168.0,40237.0,55658.0,126508.0,775.0,5098.0,10264.0,2370.0,-1.0,126508.0,59487.0,6847.0,2370.0,-1.0,8804.0,12115.0,16000.0,14332.0,10436.0
1991,6457.0,-1.0,57872.0,118416.0,780.0,5053.0,10218.0,4061.0,-1.0,118416.0,59512.0,7905.0,4061.0,-1.0,8826.0,12097.0,15879.0,10000.0,10000.0
1992,6564.0,-1.0,70182.0,106364.0,786.0,5329.0,10370.0,3488.0,-1.0,106364.0,59524.0,7876.0,3488.0,-1.0,8900.0,12016.0,16014.0,10000.0,10000.0
1993,6418.0,-1.0,70202.0,121224.0,-1.0,4956.0,10524.0,4285.0,-1.0,121224.0,60465.0,7847.0,4285.0,767.0,8817.0,12036.0,16250.0,10000.0,10000.0
1994,2463.0,-1.0,63394.0,123913.0,-1.0,4810.0,10682.0,4444.0,-1.0,123913.0,59218.0,7817.0,4444.0,765.0,8842.0,12277.0,15556.0,9999.0,10025.0
1995,2561.0,-1.0,72692.0,125000.0,-1.0,4937.0,10845.0,4604.0,-1.0,125000.0,59147.0,7788.0,4604.0,763.0,8854.0,12011.0,15789.0,10000.0,10000.0
1996,2589.0,-1.0,60440.0,116667.0,-1.0,5000.0,11357.0,5000.0,-1.0,116667.0,59075.0,7888.0,5000.0,772.0,8738.0,12033.0,16447.0,10014.0,10011.0
1997,2466.0,-1.0,72883.0,125000.0,-1.0,5520.0,11637.0,4838.0,-1.0,125000.0,58999.0,7938.0,4838.0,773.0,8696.0,11992.0,17000.0,10022.0,10004.0
1998,2473.0,-1.0,71327.0,120000.0,-1.0,5677.0,11923.0,5455.0,-1.0,120000.0,58921.0,8095.0,5455.0,778.0,8656.0,12008.0,17205.0,10030.0,10000.0
1999,2381.0,-1.0,66514.0,118718.0,-1.0,5000.0,11538.0,5038.0,-1.0,118718.0,58840.0,7862.0,5038.0,775.0,8611.0,12062.0,17506.0,10038.0,9990.0
2000,2525.0,-1.0,66022.0,117969.0,-1.0,5987.0,11923.0,5051.0,-1.0,117969.0,58755.0,7806.0,5051.0,783.0,8602.0,12043.0,17804.0,10000.0,10000.0
2001,2485.0,-1.0,66495.0,117223.0,-1.0,6142.0,11415.0,5050.0,-1.0,117223.0,58667.0,7751.0,5050.0,772.0,8476.0,12010.0,18098.0,10055.0,9975.0
2002,2448.0,-1.0,71626.0,116496.0,-1.0,5000.0,11268.0,5000.0,-1.0,116496.0,58575.0,7695.0,5000.0,800.0,8389.0,12007.0,18389.0,10000.0,10000.0
2003,2413.0,-1.0,68429.0,115626.0,-1.0,6646.0,11073.0,5076.0,-1.0,115626.0,58228.0,7621.0,5076.0,767.0,8281.0,12014.0,18706.0,10061.0,9947.0
2004,2381.0,-1.0,70709.0,111933.0,-1.0,7001.0,10861.0,5125.0,-1.0,111933.0,57877.0,7547.0,5125.0,762.0,8132.0,12030.0,18774.0,10059.0,10000.0
2005,2431.0,-1.0,64400.0,114915.0,-1.0,7647.0,10634.0,5039.0,-1.0,114915.0,57519.0,7473.0,5039.0,756.0,8009.0,12017.0,19032.0,10054.0,10000.0
2006,2417.0,-1.0,73171.0,114327.0,-1.0,8284.0,10397.0,5069.0,-1.0,114327.0,57156.0,7400.0,5069.0,749.0,7884.0,12013.0,19452.0,10051.0,10000.0
2007,2406.0,-1.0,71594.0,113727.0,-1.0,8812.0,10152.0,5098.0,-1.0,113727.0,56786.0,7326.0,5098.0,742.0,7757.0,12025.0,19680.0,10050.0,10000.0
2008,2395.0,-1.0,72479.0,113133.0,-1.0,9347.0,9902.0,5127.0,-1.0,113133.0,56409.0,7252.0,5127.0,735.0,7629.0,11957.0,19906.0,10052.0,10000.0
2009,2385.0,-1.0,73495.0,112546.0,-1.0,9892.0,9651.0,5156.0,-1.0,112546.0,56025.0,7178.0,5156.0,726.0,7502.0,11875.0,20129.0,10057.0,9239.0
2010,2374.0,-1.0,71956.0,111959.0,-1.0,10447.0,9400.0,5185.0,-1.0,111959.0,55631.0,7101.0,5185.0,718.0,7377.0,11875.0,20350.0,10067.0,8056.0
2011,2362.0,-1.0,72039.0,111364.0,-1.0,11008.0,9154.0,5214.0,-1.0,111364.0,55229.0,7017.0,5214.0,709.0,7254.0,11875.0,20570.0,10082.0,8235.0
2012,2361.0,-1.0,71670.0,108571.0,-1.0,11574.0,8448.0,5243.0,-1.0,108571.0,54818.0,6899.0,5243.0,673.0,6882.0,11999.0,21111.0,10063.0,8235.0
2013,2361.0,-1.0,71877.0,108571.0,-1.0,15500.0,8333.0,5273.0,-1.0,108571.0,51000.0,6569.0,5273.0,646.0,6863.0,12292.0,21111.0,10313.0,8235.0
2014,2304.0,-1.0,72084.0,109421.0,-1.0,12707.0,8407.0,5302.0,-1.0,109421.0,53972.0,6237.0,5302.0,672.0,6854.0,12103.0,21111.0,10193.0,8183.0
