,Turkey,Canada,Australia & New Zealand,Australia,Morocco,Thailand,Mexico,Uruguay,Spain,Argentina,Czechia,Bangladesh,Portugal,Netherlands,Hungary
1961,15800.0,,20824.0,20824.0,8000.0,1000.0,3088.0,4083.0,1440.0,36400.0,,,,1078.0,-1.0
1962,37000.0,,27844.0,27844.0,8000.0,1000.0,3168.0,9805.0,2280.0,46540.0,,,,2505.0,-1.0
1963,13700.0,,15383.0,15383.0,10000.0,1000.0,3137.0,7470.0,2865.0,58670.0,,,,631.0,-1.0
1964,10000.0,,4627.0,4627.0,10000.0,1000.0,3222.0,5202.0,1855.0,53550.0,,,,188.0,-1.0
1965,6000.0,,5439.0,5439.0,13000.0,1000.0,3275.0,2776.0,1347.0,39800.0,,,,36.0,-1.0
1966,7750.0,,1796.0,1796.0,13000.0,1000.0,3420.0,2905.0,854.0,33300.0,,,,8.0,-1.0
1967,4600.0,,2889.0,2889.0,15000.0,1000.0,6116.0,880.0,806.0,35000.0,,,,1.0,-1.0
1968,4500.0,,9524.0,9524.0,15000.0,1000.0,6722.0,2530.0,1834.0,33100.0,,,,1.0,-1.0
1969,4450.0,,27667.0,27667.0,19000.0,1000.0,10051.0,7430.0,2713.0,57100.0,,,,894.0,-1.0
1970,4700.0,,8869.0,8869.0,30000.0,1000.0,14895.0,3240.0,13200.0,117300.0,,,,216.0,-1.0
1971,3700.0,,6260.0,6260.0,38000.0,2000.0,5865.0,4050.0,5700.0,68100.0,,,,11.0,-1.0
1972,2800.0,,6901.0,6901.0,25000.0,2000.0,7080.0,2230.0,4700.0,39750.0,,,,3.0,-1.0
1973,1725.0,,9954.0,9954.0,20800.0,2000.0,7544.0,1400.0,3100.0,42650.0,,,,2.0,-1.0
1974,1320.0,,6771.0,6771.0,23600.0,2000.0,5283.0,1800.0,3100.0,43100.0,,,,44.0,-1.0
1975,800.0,,18000.0,18000.0,22000.0,2000.0,7656.0,1300.0,3600.0,36900.0,,,,118.0,-1.0
1976,1370.0,,20781.0,20781.0,74600.0,3000.0,8747.0,1300.0,3339.0,42300.0,,,,148.0,-1.0
1977,2250.0,,31054.0,31054.0,35200.0,3000.0,12981.0,1350.0,5029.0,40500.0,,,,89.0,-1.0
1978,2000.0,,18313.0,18313.0,33400.0,3000.0,18095.0,1350.0,5261.0,70000.0,,,,38.0,-1.0
1979,1200.0,,11831.0,11831.0,13500.0,3000.0,7077.0,1521.0,3438.0,57000.0,,,,,-1.0
1980,1000.0,21000.0,6275.0,6275.0,10700.0,3000.0,4039.0,2000.0,3069.0,54400.0,,,,,-1.0
1981,750.0,30000.0,8070.0,8070.0,7500.0,4000.0,4958.0,2000.0,2988.0,46800.0,,,,,-1.0
1982,785.0,48000.0,11640.0,11640.0,10100.0,4000.0,6167.0,2000.0,2092.0,50300.0,,,,,-1.0
1983,685.0,58000.0,9401.0,9401.0,8700.0,4000.0,10008.0,2000.0,1917.0,57200.0,,,,,-1.0
1984,175.0,38000.0,8982.0,8982.0,4300.0,4000.0,11329.0,2000.0,1678.0,59900.0,,,,,-1.0
1985,125.0,31500.0,14227.0,14227.0,5800.0,4000.0,6664.0,2000.0,1098.0,56800.0,,,,,-1.0
1986,100.0,89200.0,15199.0,15199.0,5600.0,4500.0,6637.0,2100.0,1099.0,25300.0,,,,,-1.0
1987,105.0,82900.0,13000.0,13000.0,5000.0,4500.0,9489.0,2100.0,834.0,58000.0,,,,,-1.0
1988,125.0,103200.0,11180.0,11180.0,3000.0,4500.0,10264.0,2200.0,662.0,46310.0,,,,-1.0,-1.0
1989,395.0,119400.0,12422.0,12422.0,3000.0,4500.0,10694.0,2200.0,460.0,58810.0,,,,-1.0,-1.0
1990,115.0,121000.0,11844.0,11844.0,3000.0,4025.0,8635.0,2000.0,499.0,58060.0,,,-1.0,-1.0,-1.0
