,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Saudi Arabia,Syrian Arab Republic,Brazil,Australia & New Zealand,United Republic of Tanzania,Nepal,Ethiopia,Denmark,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Bangladesh,Malawi,Melanesia,South Africa,Eritrea,New Caledonia,Rwanda,Portugal,Mozambique,Yugoslav SFR,Mongolia,Guatemala,Algeria,Slovenia,United Arab Emirates,Madagascar,Tajikistan,Latvia,Norway,Uganda,Luxembourg,Botswana,Zambia,Belgium,Chad,Lesotho,Switzerland,Uruguay,Azerbaijan,Egypt,Mauritania,China,Malta,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Estonia,Argentina,France,Kenya,Poland,"China, mainland",Russian Federation,Mali,Ukraine,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Germany,Armenia,Uzbekistan,South Sudan,Namibia,United Kingdom,Canada,Republic of Korea,Japan,Afghanistan,Iraq,Turkmenistan,Venezuela (Bolivarian Republic of),Cyprus,Spain,Morocco,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Thailand,Somalia,Pakistan,Kuwait,Nigeria,Czechia,Bhutan,Paraguay,Georgia,India,Sudan (former),Austria,Niger,Czechoslovakia,Ethiopia PDR,Sweden,Qatar,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Israel,Oman,Ireland,Albania,Slovakia,Yemen,Italy,Swaziland,Australia,Sudan,Lithuania,Finland,Netherlands,Bosnia and Herzegovina,Angola,Turkey,New Zealand,Republic of Moldova,Belgium-Luxembourg
1961,4000.0,44248.0,-1.0,-1.0,7436.0,125000.0,757000.0,544858.0,6980541.0,6100.0,135000.0,-1.0,434057.0,-1.0,1527870.0,465000.0,807.0,32512.0,150.0,100.0,871000.0,-1.0,100.0,1200.0,429643.0,8800.0,3174000.0,98400.0,24656.0,685723.0,-1.0,-1.0,-1.0,-1.0,-1.0,27400.0,-1.0,-1.0,400.0,608.0,-1.0,1500.0,57540.0,316000.0,371536.0,-1.0,1435926.0,100.0,14294248.0,2844.0,142100.0,29992.0,68500.0,-1.0,-1.0,1030560.0,1935700.0,-1.0,-1.0,-1.0,5725000.0,9573520.0,109400.0,2792000.0,14250000.0,-1.0,3750.0,-1.0,45000.0,153595.0,85000.0,-1.0,-1.0,-1.0,5076707.0,-1.0,-1.0,-1,592.0,2614000.0,7713000.0,172000.0,1781000.0,2279000.0,857350.0,-1.0,1228.0,45720.0,3438000.0,720000.0,2039600.0,33539008.0,2869119.0,2127.0,-1.0,-1.0,3814000.0,-1.0,16000.0,-1.0,5000.0,7200.0,-1.0,10997000.0,26400.0,711673.0,1000.0,1666390.0,650000.0,839170.0,-1.0,1401909.0,62494000.0,3990300.0,78170.0,802.0,138200.0,65900.0,1400.0,469900.0,97800.0,-1.0,34000.0,8301200.0,-1.0,6727192.0,-1.0,-1.0,460792.0,482130.0,-1.0,20000.0,7135000.0,253349.0,-1.0,787372.0
1962,6500.0,42100.0,-1.0,-1.0,14811.0,108000.0,1374175.0,705619.0,8566145.0,17578.0,138000.0,-1.0,643992.0,-1.0,1722137.0,640000.0,1216.0,39624.0,150.0,100.0,705000.0,-1.0,100.0,1385.0,645000.0,6000.0,3514000.0,288400.0,32079.0,1507000.0,-1.0,-1.0,-1.0,-1.0,-1.0,20000.0,-1.0,-1.0,400.0,934.0,-1.0,1400.0,55000.0,419800.0,452089.0,-1.0,1593098.0,100.0,16707100.0,2844.0,162000.0,33600.0,75247.0,-1.0,-1.0,969750.0,1973137.0,-1.0,-1.0,-1.0,5700000.0,14053770.0,84200.0,2700000.0,16665000.0,-1.0,3500.0,-1.0,40000.0,152666.0,87000.0,-1.0,-1.0,-1.0,5906465.0,-1.0,-1.0,-1,482.0,3974000.0,15393000.0,164000.0,1631000.0,2279000.0,1085494.0,-1.0,622.0,66040.0,4819545.0,1500000.0,2089680.0,29718000.0,2754740.0,2970.0,-1.0,-1.0,4026000.0,-1.0,16000.0,-1.0,5100.0,7000.0,-1.0,12072000.0,28500.0,706206.0,1126.0,1643800.0,655000.0,906330.0,-1.0,1455256.0,66530000.0,4053800.0,67300.0,755.0,111900.0,51700.0,1400.0,439000.0,146407.0,-1.0,35000.0,9496900.0,-1.0,8352912.0,-1.0,-1.0,421500.0,603062.0,-1.0,20000.0,8580000.0,213233.0,-1.0,888520.0
1963,7400.0,18739.0,-1.0,-1.0,32435.0,135000.0,1189585.0,392363.0,9173648.0,24514.0,137578.0,-1.0,494060.0,-1.0,1416932.0,800000.0,1869.0,44704.0,178.0,100.0,880000.0,-1.0,100.0,1744.0,591964.0,14000.0,4143000.0,291000.0,35609.0,1589664.0,-1.0,-1.0,-1.0,-1.0,-1.0,17700.0,-1.0,-1.0,400.0,717.0,-1.0,2700.0,55000.0,302700.0,236540.0,-1.0,1493000.0,95.0,18493747.0,2953.0,90000.0,34100.0,60000.0,-1.0,-1.0,1135610.0,1592851.0,-1.0,-1.0,-1.0,8940000.0,10248960.0,110400.0,3067000.0,18475008.0,-1.0,3000.0,-1.0,55000.0,155500.0,94000.0,-1.0,-1.0,-1.0,6135981.0,-1.0,-1.0,-1,600.0,3046000.0,19691008.0,139000.0,715500.0,1947000.0,488254.0,-1.0,1105.0,64008.0,4865360.0,1440000.0,1894270.0,31211888.0,2468140.0,2892.0,-1.0,-1.0,4170000.0,-1.0,16000.0,-1.0,5200.0,8800.0,-1.0,10776000.0,30940.0,689528.0,817.0,1765620.0,661000.0,695500.0,-1.0,1702989.0,46700000.0,3798800.0,52600.0,691.0,75800.0,54700.0,1500.0,300600.0,61763.0,-1.0,37000.0,8126800.0,-1.0,8924460.0,-1.0,-1.0,397000.0,530320.0,-1.0,20000.0,10137000.0,249188.0,-1.0,822179.0
1964,7400.0,19709.0,-1.0,-1.0,54168.0,130000.0,1100000.0,643004.0,10310944.0,27099.0,138500.0,-1.0,541454.0,-1.0,2088000.0,690000.0,3865.0,34544.0,300.0,100.0,1060000.0,-1.0,100.0,321.0,471856.0,8000.0,3703000.0,335200.0,36100.0,1162456.0,-1.0,-1.0,-1.0,-1.0,-1.0,20200.0,-1.0,-1.0,400.0,214.0,-1.0,2700.0,54000.0,388400.0,645816.0,-1.0,1499881.0,90.0,20859709.0,2770.0,85000.0,28000.0,59500.0,-1.0,-1.0,1158880.0,2142857.0,-1.0,-1.0,-1.0,11260000.0,13837700.0,134700.0,3042000.0,20840000.0,-1.0,2000.0,-1.0,57000.0,143150.0,98000.0,-1.0,-1.0,-1.0,6551198.0,-1.0,-1.0,-1,600.0,3793000.0,16349000.0,190000.0,1244000.0,2230000.0,807013.0,-1.0,1200.0,45720.0,3981000.0,1440000.0,2120540.0,34928000.0,2622578.0,3084.0,-1.0,-1.0,4162000.0,-1.0,20000.0,-1.0,5300.0,7000.0,-1.0,9853000.0,36765.0,750534.0,930.0,1828890.0,653800.0,1064510.0,-1.0,2203066.0,69935008.0,3823700.0,47200.0,560.0,294702.0,126500.0,1500.0,271600.0,124208.0,-1.0,41500.0,8585800.0,-1.0,10036954.0,-1.0,-1.0,462500.0,712060.0,-1.0,13000.0,8440000.0,273990.0,-1.0,949813.0
1965,8200.0,23492.0,-1.0,-1.0,71773.0,147900.0,1044000.0,585384.0,7317380.0,33019.0,126000.0,-1.0,563769.0,-1.0,2071988.0,800000.0,3810.0,34544.0,500.0,100.0,656000.0,-1.0,100.0,480.0,612300.0,10000.0,3462000.0,291000.0,27164.0,1325240.0,-1.0,-1.0,-1.0,-1.0,-1.0,11800.0,-1.0,-1.0,400.0,214.0,-1.0,3500.0,50000.0,352400.0,619905.0,-1.0,1272000.0,100.0,25243492.0,2540.0,110000.0,56913.0,55000.0,-1.0,-1.0,1115834.0,2453283.0,-1.0,-1.0,-1.0,6079000.0,14760000.0,172200.0,3338000.0,25220000.0,-1.0,2000.0,-1.0,55000.0,146720.0,88000.0,-1.0,-1.0,-1.0,6149342.0,-1.0,-1.0,-1,700.0,4171000.0,17674000.0,184000.0,1287000.0,2282000.0,1005288.0,-1.0,1308.0,91440.0,4719000.0,1580000.0,2923010.0,35805008.0,3647713.0,3000.0,-1.0,-1.0,4590000.0,-1.0,20000.0,-1.0,5400.0,7200.0,-1.0,12257000.0,56008.0,660712.0,507.0,1991870.0,692900.0,1038000.0,-1.0,2150354.0,56105008.0,5937000.0,61300.0,528.0,277863.0,150000.0,1500.0,232660.0,119728.0,-1.0,44600.0,9775900.0,-1.0,7067060.0,-1.0,-1.0,500700.0,704000.0,-1.0,20000.0,8630000.0,250320.0,-1.0,910564.0
1966,8230.0,28507.0,-1.0,-1.0,96277.0,148750.0,559000.0,614657.0,12991035.0,38270.0,147000.0,-1.0,400474.0,-1.0,2020033.0,650000.0,8878.0,35600.0,611.0,100.0,548000.0,-1.0,100.0,100.0,323549.0,11000.0,4603000.0,227000.0,29642.0,630051.0,-1.0,-1.0,-1.0,-1.0,-1.0,4145.0,885.0,-1.0,450.0,81.0,-1.0,5200.0,58000.0,347700.0,328760.0,-1.0,1465000.0,200.0,25308507.0,2337.0,125000.0,57788.0,69992.0,-1.0,-1.0,1346410.0,2348683.0,-1.0,-1.0,-1.0,6247000.0,11296620.0,128400.0,3556100.0,25280000.0,-1.0,2000.0,-1.0,41000.0,145002.0,96000.0,-1.0,-1.0,-1.0,6053960.0,-1.0,-1.0,-1,600.0,3475645.0,22516832.0,193000.0,1024000.0,2033000.0,825955.0,-1.0,1427.0,55880.0,4881000.0,1150000.0,3193356.0,35513856.0,4380982.0,3300.0,-1.0,-1.0,3916000.0,-1.0,20000.0,-1.0,5600.0,9160.0,-1.0,10394000.0,68976.0,896906.0,681.0,2247400.0,721700.0,591030.0,-1.0,1647368.0,94469008.0,5064700.0,62727.0,538.0,101150.0,100600.0,1700.0,185300.0,146084.0,-1.0,43900.0,9399600.0,-1.0,12699257.0,-1.0,-1.0,367800.0,598000.0,-1.0,22000.0,9715000.0,291778.0,-1.0,613222.0
1967,8400.0,23864.0,-1.0,-1.0,66790.0,118149.0,1049000.0,629301.0,7894451.0,35099.0,159000.0,-1.0,420312.0,-1.0,1935922.0,550000.0,14051.0,53900.0,764.0,150.0,1077000.0,-1.0,150.0,300.0,651300.0,8624.0,4823000.0,289000.0,31555.0,1265506.0,-1.0,-1.0,-1.0,-1.0,-1.0,10583.0,1329.0,-1.0,450.0,199.0,-1.0,8000.0,50000.0,425600.0,143776.0,-1.0,1299000.0,230.0,28508872.0,2217.0,80000.0,62221.0,67690.0,-1.0,-1.0,1203500.0,3021625.0,-1.0,-1.0,-1.0,7320000.0,14287540.0,162200.0,3857600.0,28485008.0,-1.0,2000.0,-1.0,27000.0,152180.0,91000.0,-1.0,-1.0,-1.0,7830615.0,-1.0,-1.0,-1,600.0,3903807.0,16136911.0,191000.0,996900.0,2280000.0,860000.0,-1.0,1555.0,96520.0,5654000.0,1506500.0,3254163.0,41030784.0,3800000.0,3956.0,-1.0,-1.0,4334000.0,-1.0,21000.0,-1.0,5800.0,25100.0,-1.0,11393000.0,78446.0,1045402.0,372.0,2515790.0,738900.0,1130330.0,-1.0,2122389.0,72774000.0,5819600.0,78543.0,549.0,167200.0,221600.0,1700.0,298000.0,163261.0,-1.0,46300.0,9595600.0,-1.0,7546691.0,-1.0,-1.0,506800.0,738587.0,-1.0,27000.0,10110000.0,347760.0,-1.0,922910.0
1968,9800.0,17118.0,-1.0,-1.0,51149.0,125000.0,600000.0,856170.0,15246477.0,44000.0,204957.0,-1.0,464851.0,-1.0,1568000.0,600000.0,26222.0,58900.0,630.0,86.0,1247000.0,-1.0,86.0,621.0,762911.0,9202.0,4363000.0,188000.0,33140.0,1533794.0,-1.0,-1.0,-1.0,-1.0,-1.0,16365.0,5000.0,-1.0,453.0,200.0,-1.0,5500.0,53780.0,416100.0,469790.0,-1.0,1526000.0,230.0,27472126.0,1352.0,105000.0,52041.0,47673.0,-1.0,-1.0,1219700.0,3360554.0,-1.0,-1.0,-1.0,5740000.0,14984900.0,216300.0,4567000.0,27455008.0,-1.0,2000.0,-1.0,45000.0,112912.0,87000.0,-1.0,-1.0,-1.0,8575084.0,-1.0,-1.0,-1,600.0,3470000.0,17689040.0,211345.0,1012000.0,2354000.0,1537000.0,-1.0,821.0,66040.0,5315000.0,2550000.0,2549202.0,42365376.0,4400000.0,2806.0,-1.0,-1.0,6418000.0,-1.0,20000.0,-1.0,6000.0,32000.0,-1.0,16540100.0,87535.0,1044709.0,400.0,3153160.0,760000.0,1073550.0,-1.0,2080725.0,87789008.0,4847900.0,82910.0,564.0,95090.0,175000.0,1850.0,412300.0,203184.0,-1.0,41000.0,9655400.0,-1.0,14804143.0,-1.0,-1.0,515500.0,678971.0,-1.0,27000.0,9603000.0,442334.0,-1.0,899885.0
1969,4387.0,9950.0,-1.0,-1.0,25846.0,130000.0,1003517.0,1373691.0,11004842.0,41000.0,232780.0,-1.0,428455.0,-1.0,1723594.0,480000.0,38938.0,93500.0,665.0,87.0,1316000.0,-1.0,87.0,810.0,470099.0,5200.0,4882000.0,114000.0,31208.0,1326190.0,-1.0,-1.0,-1.0,-1.0,-1.0,11111.0,5000.0,-1.0,671.0,220.0,-1.0,7700.0,59696.0,378900.0,446882.0,-1.0,1277000.0,240.0,27294958.0,1750.0,88700.0,78421.0,32956.0,-1.0,-1.0,1214200.0,3585385.0,-1.0,-1.0,-1.0,7020000.0,14446000.0,241600.0,4709700.0,27285008.0,-1.0,2000.0,-1.0,53200.0,136703.0,88000.0,-1.0,-1.0,-1.0,7987161.0,-1.0,-1.0,-1,700.0,3364750.0,18267712.0,224023.0,757900.0,2454000.0,1183000.0,-1.0,486.0,81280.0,4626000.0,1469000.0,2568708.0,39263952.0,4100000.0,3420.0,-1.0,-1.0,6618000.0,-1.0,20000.0,-1.0,6200.0,31376.0,-1.0,18651600.0,123200.0,950279.0,213.0,3256650.0,782000.0,916530.0,-1.0,2326055.0,75122000.0,4348787.0,94099.0,681.0,159332.0,155800.0,1850.0,362800.0,240177.0,-1.0,35940.0,9584600.0,-1.0,10546200.0,-1.0,-1.0,481400.0,677181.0,-1.0,14145.0,10593000.0,458642.0,-1.0,826494.0
1970,5000.0,3664.0,-1.0,-1.0,33420.0,130000.0,624562.0,1844263.0,8177130.0,57000.0,264670.0,-1.0,512491.0,-1.0,1930736.0,519000.0,54127.0,104700.0,1814.0,100.0,1396000.0,-1.0,100.0,1251.0,564098.0,9202.0,3792000.0,250200.0,36025.0,1434548.0,-1.0,-1.0,-1.0,-1.0,-1.0,11601.0,7920.0,-1.0,360.0,101.0,-1.0,6900.0,57552.0,347800.0,388328.0,-1.0,1519000.0,240.0,29188672.0,1847.0,53700.0,27189.0,43005.0,-1.0,-1.0,1306900.0,2722523.0,-1.0,-1.0,-1.0,4920000.0,12649000.0,221486.0,4607800.0,29185008.0,-1.0,2000.0,-1.0,44190.0,125374.0,88000.0,-1.0,-1.0,-1.0,7794037.0,-1.0,-1.0,-1,700.0,4237460.0,9024254.0,218633.0,473600.0,2081000.0,1236000.0,-1.0,510.0,43180.0,4062000.0,1800500.0,3031719.0,36784000.0,4262000.0,3256.0,-1.0,-1.0,7294000.0,-1.0,19000.0,-1.0,6400.0,33000.0,-1.0,20093296.0,115300.0,810424.0,390.0,3173936.0,808000.0,962130.0,-1.0,2676451.0,93750000.0,3356000.0,81000.0,681.0,54155.0,125000.0,2000.0,381000.0,226582.0,-1.0,38500.0,9688600.0,106.0,7889918.0,-1.0,-1.0,409300.0,643219.0,-1.0,11965.0,10081000.0,287212.0,-1.0,762845.0
