,Burundi,"China, Taiwan Province of",Belarus,Croatia,Myanmar,Burkina Faso,Philippines,Syrian Arab Republic,Brazil,Lao People's Democratic Republic,United Republic of Tanzania,Nepal,Ethiopia,Indonesia,The former Yugoslav Republic of Macedonia,Greece,Zimbabwe,Uganda,Bangladesh,Malawi,Melanesia,Yemen,Rwanda,Portugal,Australia & New Zealand,Yugoslav SFR,Mozambique,Guatemala,Mauritius,American Samoa,Senegal,Madagascar,Tajikistan,Ukraine,Algeria,Bhutan,Guinea,Israel,Zambia,Fiji,Belgium,Chad,United Arab Emirates,Switzerland,Sri Lanka,Uruguay,Azerbaijan,Central African Republic,Bosnia and Herzegovina,Réunion,China,Uzbekistan,Colombia,Libya,Sweden,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,South Africa,Saint Vincent and the Grenadines,France,Togo,Kenya,Poland,"China, mainland",Russian Federation,Mali,Haiti,Paraguay,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Cameroon,Serbia,Malaysia,Germany,Armenia,Dominican Republic,El Salvador,Benin,Canada,Japan,Pakistan,Iraq,Turkmenistan,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Guyana,Bulgaria,United States of America,Iran (Islamic Republic of),Democratic Republic of the Congo,Thailand,Somalia,Czechoslovakia,Cuba,Turkey,Czechia,Argentina,Cambodia,Timor-Leste,Costa Rica,Georgia,India,Guadeloupe,Austria,Niger,Morocco,Ethiopia PDR,Congo,Republic of Korea,Mexico,USSR,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Viet Nam,Tunisia,Côte d'Ivoire,Nicaragua,Albania,Slovakia,Jamaica,Solomon Islands,Trinidad and Tobago,Italy,Singapore,Polynesia,Sierra Leone,Samoa,Australia,Panama,Ghana,Oman,Angola,Nigeria,Swaziland,Republic of Moldova,Belgium-Luxembourg
1961,1200.0,7704.0,-1,-1.0,38348.0,900.0,91100.0,9675.0,227656.0,4000.0,5261.0,7300.0,-1.0,223900.0,-1.0,104456.0,84319.0,12000.0,41300.0,41763.0,270.0,3900.0,830.0,4000.0,13502.0,26600.0,3804.0,3100.0,325.0,2.0,-1.0,6000.0,-1.0,-1.0,9060.0,-1.0,1375.0,4237.0,7820.0,225.0,-1.0,-1.0,-1.0,789.0,4832.0,223.0,-1.0,1100.0,-1.0,400.0,317704.0,-1.0,13534.0,820.0,150.0,4010.0,-1.0,-1.0,3313.0,16028.0,-1.0,-1.0,33000.0,-1.0,21750.0,4000.0,405.0,38200.0,310000.0,-1.0,930.0,110.0,8500.0,1200.0,2640.0,31000.0,-1.0,4047.0,-1.0,2783.0,8200.0,-1.0,19020.0,600.0,2342.0,55812.0,57300.0,38900.0,13125.0,-1.0,7535.0,2083.0,20830.0,1680.0,12.0,96012.0,475000.0,26565.0,10000.0,40640.0,100.0,5026.0,55000.0,140625.0,-1.0,46000.0,8700.0,80.0,1214.0,-1.0,401000.0,10.0,319.0,873.0,1200.0,2000.0,1200.0,19998.0,52462.0,147000.0,28100.0,771.0,3400.0,5290.0,11004.0,11000.0,953.0,5890.0,500.0,11263.0,-1.0,570.0,45.0,60.0,46193.0,360.0,3.0,-1.0,1.0,11822.0,754.0,1540.0,-1.0,3237.0,19424.0,577.0,-1.0,1017.0
1962,940.0,7521.0,-1,-1.0,43585.0,900.0,100470.0,9858.0,232297.0,4000.0,5665.0,7300.0,-1.0,188500.0,-1.0,122109.0,82900.0,8000.0,43700.0,51030.0,270.0,3900.0,1086.0,4000.0,12678.0,37400.0,4047.0,3100.0,316.0,2.0,-1.0,5500.0,-1.0,-1.0,8600.0,-1.0,1440.0,4230.0,7758.0,225.0,-1.0,-1.0,-1.0,811.0,4316.0,253.0,-1.0,1000.0,-1.0,165.0,347521.0,-1.0,18967.0,803.0,51.0,4200.0,-1.0,-1.0,3000.0,18563.0,-1.0,-1.0,32000.0,-1.0,21581.0,4000.0,400.0,31000.0,340000.0,-1.0,750.0,110.0,12000.0,1250.0,2920.0,34000.0,-1.0,4047.0,-1.0,3192.0,8610.0,-1.0,22257.0,700.0,2358.0,53036.0,63900.0,45300.0,13125.0,-1.0,6046.0,2408.0,18690.0,1902.0,14.0,119853.0,495000.0,31132.0,10000.0,40800.0,200.0,5121.0,79300.0,149346.0,-1.0,38200.0,9600.0,80.0,1619.0,-1.0,418000.0,10.0,258.0,785.0,1300.0,2200.0,1200.0,22515.0,51926.0,137000.0,38300.0,1018.0,3500.0,3510.0,10926.0,13300.0,621.0,7200.0,500.0,22412.0,-1.0,830.0,45.0,60.0,35615.0,287.0,3.0,-1.0,1.0,10776.0,764.0,1790.0,-1.0,2832.0,19424.0,556.0,-1.0,1036.0
1963,1000.0,8694.0,-1,-1.0,49371.0,900.0,97440.0,1400.0,250402.0,4000.0,5665.0,7500.0,-1.0,304500.0,-1.0,146815.0,89216.0,5000.0,41300.0,73895.0,374.0,3920.0,1000.0,4500.0,14058.0,52800.0,4451.0,4600.0,331.0,4.0,-1.0,6000.0,-1.0,-1.0,11300.0,-1.0,1500.0,330.0,9599.0,324.0,-1.0,-1.0,-1.0,814.0,5549.0,276.0,-1.0,1000.0,-1.0,125.0,388694.0,-1.0,21945.0,963.0,52.0,4658.0,-1.0,-1.0,2833.0,20091.0,-1.0,-1.0,32000.0,-1.0,22494.0,4000.0,400.0,34000.0,380000.0,-1.0,750.0,120.0,20000.0,1280.0,2950.0,32000.0,-1.0,5261.0,-1.0,3330.0,8910.0,-1.0,25090.0,786.0,1487.0,46127.0,73100.0,46100.0,15375.0,-1.0,6568.0,2047.0,18195.0,2168.0,14.0,124331.0,476000.0,19648.0,10000.0,40160.0,200.0,5584.0,70300.0,235669.0,-1.0,41500.0,12000.0,80.0,1452.0,-1.0,405000.0,10.0,329.0,732.0,852.0,2800.0,1000.0,20965.0,51593.0,151000.0,41200.0,1056.0,3600.0,2950.0,11200.0,14000.0,927.0,8000.0,500.0,25601.0,-1.0,1821.0,50.0,67.0,48572.0,265.0,5.0,-1.0,1.0,11890.0,1265.0,2923.0,-1.0,4047.0,15782.0,373.0,-1.0,1005.0
1964,1500.0,8688.0,-1,-1.0,56584.0,900.0,95520.0,15283.0,250505.0,5000.0,6000.0,7700.0,-1.0,146700.0,-1.0,143250.0,105000.0,6000.0,40900.0,49007.0,374.0,3920.0,1000.0,7500.0,14125.0,64900.0,7700.0,4700.0,216.0,5.0,-1.0,6120.0,-1.0,-1.0,10000.0,-1.0,1560.0,2060.0,11614.0,324.0,-1.0,-1.0,-1.0,769.0,6931.0,170.0,-1.0,1200.0,-1.0,30.0,408688.0,-1.0,21744.0,801.0,51.0,6750.0,-1.0,-1.0,2100.0,22082.0,-1.0,-1.0,34000.0,-1.0,20444.0,4000.0,379.0,49000.0,400000.0,-1.0,670.0,120.0,9500.0,1214.0,2780.0,33000.0,-1.0,4000.0,-1.0,3753.0,8840.0,-1.0,19020.0,776.0,2310.0,34526.0,82700.0,44100.0,15375.0,-1.0,6212.0,3077.0,20283.0,2379.0,16.0,131144.0,436000.0,29493.0,10000.0,51200.0,70.0,5877.0,64600.0,272069.0,-1.0,44200.0,17500.0,80.0,1214.0,-1.0,441000.0,10.0,375.0,628.0,1619.0,2900.0,1000.0,29889.0,51735.0,154000.0,40300.0,1778.0,4000.0,5540.0,11790.0,16000.0,1647.0,7600.0,600.0,24382.0,-1.0,2180.0,50.0,64.0,53547.0,173.0,11.0,-1.0,6.0,11746.0,891.0,2914.0,-1.0,4047.0,19425.0,300.0,-1.0,768.0
1965,1850.0,8010.0,-1,-1.0,50972.0,900.0,76080.0,16341.0,273849.0,5000.0,7000.0,7889.0,-1.0,179300.0,-1.0,132190.0,87447.0,6000.0,41700.0,68391.0,419.0,3950.0,1000.0,8500.0,13010.0,61000.0,4047.0,5100.0,392.0,4.0,-1.0,6275.0,-1.0,-1.0,9000.0,-1.0,1630.0,3225.0,12674.0,364.0,-1.0,-1.0,-1.0,808.0,7382.0,164.0,-1.0,1500.0,-1.0,35.0,407810.0,-1.0,25450.0,917.0,-1.0,6550.0,-1.0,-1.0,1627.0,22253.0,-1.0,-1.0,31000.0,-1.0,21327.0,4000.0,477.0,41200.0,399800.0,-1.0,550.0,130.0,14400.0,1100.0,3130.0,33000.0,-1.0,3866.0,-1.0,3642.0,8095.0,-1.0,19020.0,700.0,2958.0,37847.0,86500.0,49000.0,14973.0,-1.0,6503.0,5619.0,25025.0,2363.0,35.0,120735.0,395000.0,29692.0,10500.0,70080.0,200.0,5421.0,56000.0,222062.0,-1.0,47900.0,17400.0,80.0,1619.0,-1.0,394000.0,10.0,383.0,736.0,1607.0,2900.0,1000.0,34140.0,40381.0,164000.0,37553.0,2081.0,4100.0,5460.0,11790.0,19300.0,2178.0,8300.0,700.0,22346.0,-1.0,1180.0,55.0,72.0,55391.0,226.0,13.0,-1.0,9.0,10647.0,995.0,3804.0,-1.0,7284.0,20234.0,263.0,-1.0,806.0
1966,2000.0,7614.0,-1,-1.0,46614.0,1000.0,85670.0,15624.0,264967.0,6070.0,10118.0,8000.0,-1.0,167300.0,-1.0,125770.0,46538.0,4856.0,44100.0,58682.0,424.0,4007.0,1000.0,7500.0,11562.0,63200.0,4047.0,5400.0,454.0,4.0,-1.0,6240.0,-1.0,-1.0,9000.0,-1.0,1630.0,3725.0,6867.0,364.0,-1.0,-1.0,100.0,744.0,8498.0,122.0,-1.0,732.0,-1.0,12.0,474614.0,-1.0,27000.0,977.0,-1.0,6603.0,-1.0,-1.0,2400.0,21536.0,-1.0,-1.0,28000.0,-1.0,20583.0,4000.0,580.0,38600.0,467000.0,-1.0,400.0,130.0,7000.0,1100.0,5300.0,33000.0,-1.0,5666.0,-1.0,3237.0,7809.0,-1.0,19829.0,700.0,2097.0,52689.0,87600.0,58300.0,15378.0,-1.0,6581.0,2274.0,13500.0,2059.0,36.0,117140.0,393304.0,18997.0,11000.0,83000.0,200.0,6096.0,56900.0,284946.0,-1.0,47800.0,17400.0,80.0,1619.0,-1.0,377000.0,13.0,346.0,653.0,1452.0,2900.0,1250.0,36423.0,39608.0,164000.0,38300.0,1384.0,4200.0,4400.0,7074.0,18500.0,2275.0,7600.0,800.0,20642.0,-1.0,1390.0,60.0,100.0,54113.0,212.0,16.0,-1.0,12.0,9503.0,885.0,3400.0,350.0,8903.0,16592.0,283.0,-1.0,637.0
1967,2000.0,10004.0,-1,-1.0,54929.0,819.0,82500.0,11078.0,260768.0,7284.0,13500.0,8000.0,-1.0,144500.0,-1.0,128040.0,42491.0,6475.0,45700.0,48159.0,323.0,4007.0,1000.0,10000.0,11034.0,58700.0,3237.0,4700.0,320.0,4.0,-1.0,6410.0,-1.0,-1.0,9000.0,-1.0,1630.0,4035.0,4605.0,263.0,-1.0,-1.0,100.0,777.0,10522.0,149.0,-1.0,1150.0,-1.0,16.0,510004.0,-1.0,23000.0,998.0,-1.0,6778.0,-1.0,-1.0,2012.0,19542.0,-1.0,-1.0,36000.0,-1.0,19826.0,4000.0,500.0,42200.0,500000.0,-1.0,300.0,140.0,10800.0,1000.0,4200.0,33000.0,-1.0,4340.0,-1.0,3237.0,7471.0,-1.0,18870.0,700.0,1918.0,56968.0,86800.0,71600.0,15000.0,-1.0,7327.0,3184.0,18000.0,1976.0,64.0,103101.0,388412.0,19721.0,10000.0,61900.0,200.0,6246.0,61200.0,297149.0,-1.0,59000.0,21600.0,80.0,1349.0,-1.0,423500.0,13.0,267.0,709.0,1647.0,3200.0,1350.0,37586.0,32103.0,158000.0,39200.0,1663.0,4300.0,4142.0,3734.0,12800.0,2380.0,7700.0,1000.0,19483.0,-1.0,1390.0,60.0,143.0,53826.0,178.0,19.0,-1.0,15.0,9058.0,777.0,3561.0,350.0,8093.0,16996.0,324.0,-1.0,506.0
1968,1500.0,11141.0,-1,-1.0,62460.0,1600.0,93550.0,10769.0,275654.0,6200.0,17200.0,8500.0,-1.0,151100.0,-1.0,112000.0,46538.0,7284.0,45300.0,36400.0,483.0,4007.0,1100.0,10500.0,11359.0,56900.0,5260.0,4000.0,403.0,4.0,-1.0,6390.0,-1.0,-1.0,9150.0,-1.0,1630.0,3062.0,5925.0,418.0,-1.0,-1.0,152.0,788.0,11008.0,305.0,-1.0,1665.0,-1.0,25.0,412141.0,-1.0,23300.0,1051.0,-1.0,7183.0,-1.0,-1.0,2847.0,20786.0,-1.0,-1.0,30756.0,-1.0,20424.0,4000.0,500.0,46300.0,401000.0,-1.0,60.0,140.0,18300.0,1100.0,4500.0,33000.0,-1.0,4761.0,-1.0,2428.0,7372.0,-1.0,18241.0,700.0,1616.0,54580.0,82600.0,70400.0,15000.0,-1.0,8470.0,2288.0,14300.0,2064.0,91.0,113603.0,355835.0,16921.0,10000.0,83000.0,200.0,6267.0,59500.0,273717.0,-1.0,58600.0,21600.0,80.0,1330.0,-1.0,423500.0,15.0,299.0,700.0,1611.0,3400.0,1300.0,38694.0,35362.0,166000.0,35959.0,2526.0,4300.0,5952.0,3065.0,12400.0,2747.0,8000.0,1000.0,18642.0,-1.0,1200.0,65.0,168.0,51817.0,227.0,22.0,-1.0,18.0,9295.0,630.0,3399.0,350.0,8903.0,19425.0,330.0,-1.0,569.0
1969,1100.0,11952.0,-1,-1.0,57477.0,1600.0,89360.0,10661.0,258128.0,6000.0,17500.0,8700.0,-1.0,223300.0,-1.0,106720.0,46538.0,7284.0,45700.0,35100.0,488.0,4007.0,1200.0,6000.0,12477.0,53896.0,5666.0,3500.0,257.0,4.0,90.0,6420.0,-1.0,-1.0,9630.0,-1.0,1630.0,3281.0,5829.0,418.0,-1.0,-1.0,180.0,805.0,11679.0,316.0,-1.0,1600.0,-1.0,20.0,410952.0,-1.0,24000.0,852.0,-1.0,6633.0,-1.0,-1.0,1920.0,20460.0,-1.0,-1.0,34000.0,-1.0,19665.0,4000.0,500.0,46300.0,399000.0,-1.0,50.0,150.0,20000.0,1150.0,2850.0,33000.0,-1.0,6000.0,-1.0,2832.0,6756.0,-1.0,17806.0,650.0,1752.0,53722.0,76300.0,64800.0,16000.0,-1.0,7633.0,2047.0,13900.0,2051.0,89.0,116719.0,371618.0,14875.0,9000.0,83000.0,200.0,5077.0,52700.0,314840.0,-1.0,54000.0,25100.0,100.0,1410.0,-1.0,439800.0,15.0,298.0,675.0,1355.0,3700.0,1500.0,39080.0,41206.0,165000.0,36076.0,1831.0,4800.0,4446.0,2397.0,12600.0,3237.0,8000.0,1100.0,19017.0,-1.0,1100.0,70.0,199.0,46582.0,193.0,25.0,-1.0,21.0,10426.0,689.0,1987.0,400.0,5261.0,16997.0,398.0,-1.0,593.0
1970,900.0,11053.0,-1,-1.0,52205.0,1600.0,87410.0,10212.0,245207.0,6000.0,17500.0,8800.0,-1.0,170044.0,-1.0,98300.0,43688.0,6880.0,45700.0,41354.0,390.0,4607.0,1100.0,6000.0,12838.0,53358.0,8094.0,4150.0,258.0,4.0,-1.0,5355.0,-1.0,-1.0,6750.0,-1.0,1630.0,2860.0,5466.0,320.0,-1.0,12.0,204.0,799.0,12402.0,481.0,-1.0,1600.0,-1.0,37.0,394053.0,-1.0,22700.0,834.0,-1.0,8078.0,-1.0,-1.0,3016.0,17370.0,-1.0,-1.0,44919.0,-1.0,19352.0,4000.0,500.0,47000.0,383000.0,-1.0,87.0,150.0,13330.0,1280.0,2435.0,33000.0,-1.0,7000.0,-1.0,3237.0,6717.0,-1.0,20234.0,650.0,1562.0,43792.0,71000.0,60300.0,15250.0,-1.0,9456.0,1472.0,15300.0,2033.0,95.0,118084.0,363524.0,13918.0,11500.0,85000.0,200.0,3828.0,51900.0,328468.0,-1.0,69200.0,14900.0,120.0,1535.0,-1.0,437900.0,15.0,278.0,720.0,3237.0,3700.0,1650.0,43002.0,43085.0,171200.0,33610.0,2341.0,4493.0,2790.0,2004.0,19900.0,3237.0,8000.0,1032.0,17962.0,-1.0,1000.0,70.0,227.0,42696.0,365.0,28.0,-1.0,24.0,10805.0,730.0,1630.0,400.0,6475.0,21043.0,431.0,-1.0,568.0
