,Cuba,Jamaica,Puerto Rico,Burkina Faso,South Africa,France,Israel,Venezuela (Bolivarian Republic of),Australia,Iraq,Madagascar,French Guiana,Paraguay,Thailand,Belize,Uruguay,Kenya,Guyana,Costa Rica,Bangladesh,Italy,Lao People's Democratic Republic,Saint Lucia,Lebanon,Somalia,Suriname,Uzbekistan,Brazil,Cambodia,Mozambique,Sudan (former),Morocco,Australia & New Zealand,Chile,Honduras,Argentina,Dominica,Spain,Central African Republic,Syrian Arab Republic,India,Cyprus,"China, Taiwan Province of",Ecuador,Swaziland,Turkey,Jordan,Trinidad and Tobago,Egypt,Malaysia,Grenada,Greece,Viet Nam,Haiti,Zimbabwe,Democratic Republic of the Congo,Tunisia,Sudan,Congo,Martinique,Dominican Republic,Bahamas,Bolivia (Plurinational State of),Occupied Palestinian Territory,Iran (Islamic Republic of),Saint Vincent and the Grenadines,Peru,United States of America,Philippines,Mexico,Cook Islands,"China, mainland",French Polynesia,Guadeloupe,Algeria,Malta,Côte d'Ivoire,Polynesia,New Zealand,Portugal,China
1961,,,,,189655.0,,346250.0,,163704.0,,66667.0,,,15833.0,196902.0,,72500.0,,,40000.0,,93333.0,,300000.0,75000.0,76411.0,,,,60000.0,144000.0,,168019.0,,,,,163265.0,,,153846.0,190000.0,87000.0,200000.0,105000.0,108945.0,66667.0,128000.0,,29412.0,,29000.0,64865.0,,,131514.0,,,,,,,,,23333.0,,130952.0,272232.0,30288.0,119838.0,133333.0,26531.0,150000.0,,85714.0,,60606.0,140000.0,182000.0,50000.0,35914.0
1962,,,,,189655.0,,298000.0,,163704.0,,66667.0,,,15833.0,101211.0,,75000.0,,,40000.0,,93333.0,,200000.0,76250.0,172857.0,,,,60000.0,152000.0,,183009.0,,,,,150943.0,,,133333.0,202000.0,82100.0,200000.0,105000.0,112324.0,100000.0,128000.0,,29412.0,,38000.0,64865.0,,,147029.0,,,,,,,,,23333.0,,130952.0,255769.0,34375.0,112682.0,266667.0,26190.0,145455.0,,76923.0,,60606.0,215385.0,244737.0,74074.0,42963.0
1963,,,,,189655.0,,328000.0,,197339.0,,66667.0,,,15833.0,97788.0,,77500.0,,,41667.0,,80000.0,,300000.0,78750.0,180108.0,,,,61111.0,146154.0,,210650.0,,,,,181818.0,,,133333.0,202667.0,80844.0,200000.0,105000.0,120575.0,100000.0,87088.0,,29730.0,,35600.0,64865.0,,,142450.0,,,,,,,,,25000.0,,133333.0,229193.0,34646.0,94101.0,293333.0,26316.0,154545.0,,75472.0,,60606.0,234615.0,253333.0,74074.0,43843.0
1964,,,,,191931.0,3333.0,342750.0,,181426.0,,66667.0,,,15833.0,151480.0,,64000.0,,,41667.0,,100000.0,,260870.0,78750.0,140567.0,,,,75000.0,153846.0,,194985.0,,,,,195122.0,,,133333.0,196842.0,87060.0,220813.0,108333.0,144093.0,109067.0,91264.0,,30000.0,,31000.0,64865.0,,,149709.0,,,,,,,,,22857.0,,133333.0,225486.0,33333.0,90967.0,266667.0,26316.0,150000.0,,84569.0,,60606.0,214815.0,240000.0,74074.0,47262.0
1965,,,,,194777.0,12500.0,323700.0,,186632.0,,66667.0,,,12857.0,106265.0,,66000.0,,,41667.0,188710.0,100000.0,,166667.0,81250.0,103475.0,,,,61111.0,142857.0,,199921.0,,,,,188679.0,,,133333.0,206000.0,86927.0,221300.0,108333.0,133871.0,151000.0,149324.0,100400.0,25455.0,,30000.0,64865.0,,,144044.0,,,,,,,,,24286.0,,127273.0,270775.0,39655.0,100545.0,250000.0,26667.0,153846.0,,85464.0,,60000.0,206897.0,240645.0,74074.0,42834.0
1966,,,,,225177.0,10000.0,296667.0,,193083.0,,50000.0,,,12857.0,98793.0,,68000.0,,,42857.0,182727.0,103333.0,,253333.0,81250.0,126169.0,,,,61111.0,150000.0,,196763.0,,,,,194138.0,,,133333.0,182667.0,90425.0,215133.0,109091.0,127737.0,144268.0,121924.0,62400.0,25500.0,,29200.0,65217.0,,,152588.0,,,,,,,,,34286.0,,129032.0,298553.0,45208.0,102850.0,250000.0,25714.0,150000.0,,84491.0,,60000.0,208824.0,209028.0,74074.0,42236.0
1967,,,,,251655.0,30000.0,396754.0,,171818.0,,50000.0,,,12857.0,94007.0,,70000.0,,,42857.0,199143.0,113333.0,,274885.0,83750.0,141067.0,,,,61111.0,148276.0,,176256.0,,,,,188444.0,,,133333.0,203158.0,92968.0,236160.0,106250.0,130000.0,220497.0,105356.0,89200.0,30000.0,,20600.0,65455.0,,,139083.0,,,,,,,,,41250.0,,142857.0,351749.0,46713.0,107608.0,275000.0,26415.0,146667.0,,86300.0,,60000.0,220000.0,190519.0,76923.0,47746.0
1968,,,,,233512.0,30000.0,464561.0,,206381.0,,50000.0,,,12857.0,92810.0,,72000.0,,,42857.0,200526.0,106667.0,,287143.0,83750.0,151964.0,,,,66111.0,149153.0,,213752.0,,,,,226376.0,,,130435.0,200891.0,105969.0,201333.0,105000.0,244444.0,204381.0,85636.0,100417.0,30000.0,,20600.0,65455.0,,,133333.0,,,,,,,,,50000.0,,141026.0,268181.0,49653.0,107391.0,300000.0,26667.0,153333.0,,86083.0,,60000.0,237143.0,241007.0,80577.0,50642.0
1969,,,,,271794.0,100000.0,462105.0,,185154.0,,62500.0,,,12857.0,109176.0,,74000.0,,,42857.0,267222.0,110000.0,,247826.0,85000.0,152156.0,,,,67750.0,145763.0,,168857.0,,,,,238412.0,,,108696.0,200891.0,106123.0,238095.0,109091.0,215700.0,200000.0,80920.0,94583.0,30000.0,,26600.0,65455.0,,68966.0,133333.0,,,,,,,,,56250.0,,141176.0,339364.0,54136.0,169522.0,325000.0,26190.0,150000.0,,85000.0,,58824.0,247222.0,127854.0,75185.0,45084.0
1970,,,,,258141.0,80000.0,498860.0,,237021.0,,75000.0,15000.0,,16250.0,94393.0,,76000.0,,,42857.0,285714.0,85000.0,,242424.0,85000.0,128101.0,,,,71429.0,149153.0,,216679.0,,,,,125638.0,,,130435.0,198783.0,117207.0,268657.0,107692.0,230263.0,166667.0,85276.0,142857.0,33333.0,,31000.0,65455.0,,68966.0,133333.0,,,,,,,,,52222.0,,153085.0,319929.0,55105.0,133332.0,350000.0,26415.0,147059.0,,88840.0,,58824.0,256757.0,169160.0,79655.0,57800.0
