,Thailand,Indonesia
1961,89789.0,72675.0
1962,83000.0,69687.0
1963,113428.0,58705.0
1964,115453.0,65408.0
1965,116449.0,72029.0
1966,112424.0,73725.0
1967,110166.0,72352.0
1968,111428.0,53214.0
1969,109660.0,65408.0
1970,109162.0,74129.0
1971,125496.0,70172.0
1972,108896.0,76713.0
1973,131289.0,71545.0
1974,128526.0,70414.0
1975,121222.0,69122.0
1976,112930.0,77924.0
1977,105891.0,77116.0
1978,76211.0,86645.0
1979,67911.0,79539.0
1980,85013.0,99323.0
1981,98604.0,122336.0
1982,86279.0,123548.0
1983,101360.0,125405.0
1984,103128.0,122740.0
1985,109411.0,126939.0
1986,99849.0,147450.0
1987,100596.0,130492.0
1988,95077.0,140990.0
1989,96002.0,139213.0
1990,101634.0,155040.0
1991,93292.0,155686.0
1992,93566.0,169010.0
1993,99849.0,166426.0
1994,102870.0,163923.0
1995,108149.0,180396.0
1996,116706.0,188874.0
1997,113685.0,194285.0
1998,105634.0,198241.0
1999,109411.0,198241.0
2000,114689.0,227877.0
2001,113181.0,229031.0
2002,115702.0,216157.0
2003,113129.0,243017.0
2004,113129.0,168202.0
2005,106738.0,155807.0
2006,95367.0,168380.0
2007,87980.0,143305.0
2008,87980.0,142750.0
2009,87980.0,146158.0
2010,87980.0,132107.0
2011,87980.0,183303.0
2012,87980.0,183303.0
2013,87980.0,178458.0
2014,89000.0,180000.0
