,Slovakia,Eritrea,USSR,Australia & New Zealand,Australia,Iraq,Mexico,The former Yugoslav Republic of Macedonia,Ethiopia,Czechia,Republic of Moldova,Italy,Morocco,Germany,Croatia,Albania,Occupied Palestinian Territory,Serbia and Montenegro,Armenia,Serbia,Slovenia,Malta,Spain,Lebanon,Cyprus,Austria,Israel,Poland,Turkey,Belarus,Ethiopia PDR,Egypt,Greece,Czechoslovakia,Bosnia and Herzegovina,Hungary,Jordan,Russian Federation,Syrian Arab Republic,Tunisia,Yugoslav SFR,Kazakhstan,Latvia,Sweden,Algeria,Lithuania,Bulgaria,Ukraine
1987,,,1060000.0,1404.0,1404.0,1300.0,106774.0,,,,,6300.0,13440.0,10167.0,,3300.0,-1.0,,,,,800.0,33112.0,3100.0,820.0,,1050.0,8994.0,196000.0,,30934.0,1100.0,16000.0,1325.0,,1615.0,1419.0,,29528.0,200.0,26000.0,,,116000.0,232.0,,955.0,
1988,,,894000.0,1883.0,1883.0,1350.0,125951.0,,,,,4600.0,15810.0,9155.0,,3300.0,-1.0,,,,,800.0,33200.0,3500.0,715.0,,1150.0,9467.0,200000.0,,43355.0,1150.0,12000.0,1192.0,,2700.0,2218.0,,43500.0,150.0,27073.0,,,113000.0,396.0,,1434.0,
1989,,,1025000.0,7258.0,7258.0,1400.0,92121.0,,,,,4400.0,14130.0,9870.0,,3800.0,-1.0,,,,,825.0,31100.0,4000.0,310.0,,950.0,8495.0,195300.0,,41015.0,1200.0,12000.0,1291.0,,1650.0,1325.0,,11400.0,150.0,27100.0,,,92440.0,207.0,,1766.0,
1990,,,949000.0,6016.0,6016.0,1500.0,118703.0,,,,,4700.0,11830.0,8000.0,,2600.0,-1.0,,,,,760.0,41900.0,4400.0,310.0,0.0,900.0,8500.0,186000.0,,54646.0,1250.0,9394.0,1539.0,,1737.0,1899.0,,18000.0,170.0,26587.0,,,83600.0,197.0,,1903.0,
1991,,,630500.0,31262.0,31262.0,1200.0,112153.0,,,,,5160.0,14190.0,2900.0,,2200.0,-1.0,,,,,730.0,37600.0,4837.0,104.0,0.0,500.0,9500.0,182000.0,,80597.0,1300.0,9000.0,1962.0,,3719.0,1304.0,,19500.0,176.0,27852.0,,,52100.0,106.0,,932.0,
1992,,,,53646.0,53646.0,1450.0,71325.0,10488.0,,,801.0,6364.0,5320.0,950.0,2125.0,2500.0,-1.0,11000.0,,,464.0,700.0,23000.0,5392.0,305.0,0.0,-1.0,5000.0,174000.0,-1.0,54463.0,1350.0,7200.0,1510.0,1275.0,3800.0,2764.0,433080.0,31100.0,178.0,,,1300.0,52800.0,167.0,10500.0,0.0,171000.0
1993,1065.0,2500.0,,40000.0,40000.0,1500.0,104893.0,7844.0,45440.0,246.0,1090.0,6313.0,2590.0,450.0,2160.0,1800.0,-1.0,10000.0,,,0.0,718.0,37726.0,5500.0,354.0,-1.0,-1.0,5000.0,195000.0,-1.0,,1400.0,7417.0,,1200.0,1695.0,483.0,338230.0,26500.0,180.0,,,396.0,49099.0,109.0,12000.0,-1.0,129000.0
1994,938.0,4000.0,,12000.0,12000.0,1480.0,113303.0,7131.0,50068.0,240.0,700.0,6333.0,14240.0,150.0,2509.0,1838.0,-1.0,11000.0,-1.0,,-1.0,715.0,39300.0,5000.0,303.0,-1.0,-1.0,3000.0,174600.0,-1.0,,1300.0,6500.0,,1150.0,1800.0,1022.0,361800.0,15300.0,183.0,,,800.0,53000.0,137.0,12500.0,-1.0,134000.0
1995,821.0,5000.0,,40000.0,40000.0,1450.0,93537.0,10445.0,63417.0,200.0,583.0,6134.0,7410.0,0.0,2400.0,1500.0,-1.0,18000.0,-1.0,,-1.0,712.0,69300.0,4900.0,333.0,-1.0,-1.0,3200.0,167300.0,-1.0,,1350.0,7146.0,,1100.0,0.0,1047.0,258000.0,27786.0,185.0,,-1.0,800.0,6550.0,86.0,13000.0,-1.0,152400.0
1996,728.0,6000.0,,42000.0,42000.0,1400.0,136218.0,9402.0,80682.0,273.0,417.0,6400.0,12640.0,-1.0,2367.0,1706.0,2475.0,23000.0,-1.0,,-1.0,711.0,198000.0,4999.0,61.0,-1.0,-1.0,3400.0,166000.0,-1.0,,1400.0,7549.0,,1032.0,-1.0,1172.0,350000.0,16560.0,187.0,,-1.0,1500.0,-1.0,501.0,18000.0,-1.0,98100.0
1997,619.0,4000.0,,33000.0,33000.0,1450.0,93160.0,10664.0,95388.0,252.0,748.0,6300.0,11920.0,-1.0,2397.0,1685.0,1823.0,24000.0,-1.0,,-1.0,711.0,151500.0,5000.0,71.0,-1.0,-1.0,3200.0,171100.0,-1.0,,1500.0,8362.0,,661.0,-1.0,1224.0,350500.0,17295.0,189.0,,-1.0,1800.0,-1.0,36.0,20000.0,-1.0,134000.0
1998,500.0,6000.0,,34000.0,34000.0,1500.0,95198.0,9946.0,90000.0,231.0,1182.0,6500.0,10190.0,-1.0,2397.0,1600.0,1769.0,24000.0,-1.0,,-1.0,711.0,121800.0,5100.0,66.0,-1.0,-1.0,3500.0,145000.0,-1.0,,1550.0,9364.0,,1002.0,-1.0,1140.0,193000.0,39600.0,191.0,,,2500.0,-1.0,327.0,6700.0,-1.0,47200.0
1999,430.0,5000.0,,53000.0,53000.0,1200.0,113720.0,10405.0,78624.0,155.0,480.0,6660.0,5720.0,-1.0,2400.0,1620.0,310.0,22000.0,-1.0,,-1.0,709.0,92500.0,5171.0,61.0,-1.0,-1.0,3500.0,134250.0,-1.0,,1600.0,10342.0,,950.0,-1.0,4466.0,223500.0,12006.0,192.0,,,700.0,-1.0,379.0,4100.0,-1.0,87100.0
2000,415.0,4279.0,,24000.0,24000.0,1000.0,113251.0,8323.0,107483.0,150.0,400.0,6800.0,2510.0,-1.0,2400.0,1700.0,2057.0,17000.0,-1.0,,-1.0,757.0,130300.0,5250.0,66.0,-1.0,-1.0,3000.0,137600.0,-1.0,,1700.0,11000.0,,1100.0,-1.0,908.0,315000.0,19513.0,194.0,,,600.0,-1.0,102.0,4800.0,-1.0,97000.0
2001,500.0,4149.0,,42000.0,42000.0,1159.0,116092.0,6000.0,99419.0,182.0,1400.0,6900.0,6280.0,-1.0,2300.0,1620.0,1367.0,24000.0,-1.0,,-1.0,720.0,88100.0,5350.0,66.0,-1.0,-1.0,2000.0,130000.0,-1.0,,1668.0,10525.0,,1515.0,-1.0,1207.0,468000.0,35500.0,196.0,,,1000.0,-1.0,28.0,4200.0,1500.0,115000.0
2002,800.0,4500.0,,30000.0,30000.0,1150.0,94677.0,7000.0,92339.0,178.0,1300.0,6500.0,12530.0,-1.0,2272.0,1653.0,2051.0,25000.0,-1.0,,-1.0,711.0,131100.0,5250.0,46.0,-1.0,-1.0,1330.0,132124.0,-1.0,,1701.0,10500.0,,2044.0,-1.0,1731.0,465000.0,32300.0,198.0,,,400.0,-1.0,27.0,5000.0,1700.0,127700.0
