,Madagascar,Mali,Brazil,Guyana
1961,23333.0,20000.0,50310.0,-1.0
1962,23333.0,30000.0,49821.0,-1.0
1963,23158.0,30000.0,50204.0,-1.0
1964,23158.0,30000.0,50293.0,-1.0
1965,23684.0,30000.0,52826.0,-1.0
1966,23684.0,30000.0,46245.0,-1.0
1967,23684.0,30000.0,52856.0,-1.0
1968,23000.0,30000.0,62897.0,-1.0
1969,23000.0,30000.0,59606.0,-1.0
1970,23000.0,30000.0,49958.0,-1.0
1971,23500.0,30000.0,51758.0,-1.0
1972,23500.0,30000.0,54975.0,-1.0
1973,23500.0,30000.0,58487.0,-1.0
1974,24000.0,30000.0,56532.0,-1.0
1975,23810.0,30000.0,42355.0,-1.0
1976,23810.0,30000.0,50487.0,-1.0
1977,23810.0,30000.0,49694.0,-1.0
1978,23636.0,30000.0,59641.0,-1.0
1979,23966.0,30000.0,34539.0,-1.0
1980,23692.0,30000.0,35843.0,-1.0
1981,23756.0,30000.0,36291.0,-1.0
1982,24167.0,30000.0,40558.0,-1.0
1983,23600.0,30000.0,15259.0,-1.0
1984,24000.0,30000.0,35381.0,-1.0
1985,25000.0,30000.0,31265.0,-1.0
1986,24680.0,30000.0,20207.0,-1.0
1987,24800.0,30000.0,23768.0,-1.0
1988,25200.0,30000.0,24498.0,-1.0
1989,25600.0,30000.0,24275.0,-1.0
1990,25127.0,32758.0,24463.0,-1.0
1991,26242.0,30497.0,24324.0,-1.0
1992,26276.0,30000.0,24824.0,-1.0
1993,26310.0,30476.0,24663.0,-1.0
1994,26344.0,30000.0,24699.0,-1.0
1995,26224.0,30393.0,24710.0,-1.0
1996,26221.0,30364.0,25154.0,-1.0
1997,26154.0,30303.0,25003.0,-1.0
1998,26186.0,30306.0,25031.0,-1.0
1999,26213.0,30262.0,25862.0,-1.0
2000,26239.0,30556.0,25987.0,80000.0
2001,26262.0,30087.0,26271.0,70000.0
2002,26282.0,30000.0,26891.0,67307.0
2003,26292.0,29634.0,26806.0,63406.0
2004,26302.0,29336.0,26833.0,60000.0
2005,26249.0,28900.0,27036.0,55439.0
2006,26038.0,28451.0,27213.0,50000.0
2007,25926.0,27724.0,27450.0,50282.0
2008,26486.0,28864.0,27700.0,50000.0
2009,26716.0,29130.0,27932.0,50000.0
2010,26956.0,29130.0,28227.0,50000.0
2011,27277.0,29048.0,28444.0,50000.0
2012,27881.0,23324.0,28880.0,50308.0
2013,27844.0,13595.0,28880.0,50593.0
2014,27741.0,19906.0,28461.0,51541.0
