,Israel,Swaziland,Bahrain,Jordan,Saudi Arabia,Iraq,Oman,Egypt,Pakistan,Namibia,Sudan,Mexico,Yemen,Kenya,Libya,United Arab Emirates,Qatar,Mauritania,Turkey,Somalia,Syrian Arab Republic,Tunisia,Benin,Iran (Islamic Republic of),Albania,Peru,China,United States of America,Niger,Sudan (former),Morocco,Kuwait,"China, mainland",Algeria,Chad,Colombia,Spain,Cameroon,Occupied Palestinian Territory
1961,85714.0,,93750.0,33533.0,72727.0,,30769.0,239500.0,82697.0,,,75401.0,36438.0,33333.0,,120000.0,,28889.0,23077.0,36154.0,,36300.0,,38462.0,,54545.0,40000.0,114200.0,30000.0,60227.0,47778.0,,40000.0,25000.0,,,296296.0,,
1962,87500.0,,93750.0,38800.0,71739.0,,30769.0,200500.0,70333.0,,,78288.0,36630.0,30000.0,,118182.0,,30000.0,23077.0,36923.0,,35238.0,,39744.0,,54545.0,40000.0,129141.0,30000.0,59783.0,31111.0,,40000.0,25000.0,,,299252.0,,
1963,90000.0,,93750.0,40867.0,72340.0,,30769.0,220127.0,60575.0,,,93365.0,39980.0,30000.0,,122807.0,,30000.0,23077.0,37692.0,,35294.0,,42051.0,,53846.0,42000.0,117935.0,29412.0,61053.0,44444.0,,42000.0,25000.0,,,299252.0,,
1964,88000.0,,93750.0,39400.0,72917.0,,30769.0,163630.0,72216.0,,,92394.0,40175.0,30000.0,,122951.0,,28571.0,23214.0,38462.0,,35000.0,,36538.0,,53846.0,40909.0,129676.0,29412.0,60000.0,47222.0,,40909.0,30028.0,,,282486.0,,
1965,88000.0,,93750.0,41200.0,72000.0,,30769.0,192859.0,80660.0,,,96428.0,40370.0,30000.0,,122951.0,,29333.0,23214.0,36429.0,,34839.0,,38462.0,,53333.0,40000.0,118250.0,29412.0,60000.0,47778.0,,40000.0,24960.0,,,273752.0,,
1966,103333.0,,93750.0,43830.0,72435.0,,30769.0,158592.0,80000.0,,,98667.0,41200.0,30000.0,,122581.0,,30000.0,23729.0,37143.0,,35250.0,,36709.0,,53867.0,40000.0,119647.0,29412.0,60185.0,45000.0,,40000.0,25024.0,,,253677.0,,
1967,90000.0,,93750.0,10400.0,72435.0,,30769.0,159455.0,78387.0,,,96302.0,36168.0,30000.0,,122951.0,,28889.0,23729.0,37857.0,,35727.0,,35570.0,,53533.0,40000.0,113743.0,29412.0,59130.0,45000.0,,40000.0,25111.0,,,241016.0,,
1968,95000.0,,93750.0,9286.0,71429.0,,30769.0,154500.0,74653.0,,,98533.0,34059.0,28000.0,,124138.0,,29787.0,23729.0,37857.0,,35000.0,,35443.0,,38211.0,43478.0,121027.0,29412.0,59829.0,45000.0,,43478.0,25031.0,,,261355.0,,
1969,105000.0,,93750.0,10000.0,73333.0,,34615.0,200500.0,73608.0,,,42917.0,32277.0,28000.0,,126667.0,,29762.0,22881.0,38571.0,,34906.0,,36709.0,,44800.0,43478.0,85239.0,29412.0,60150.0,45000.0,,43478.0,30458.0,,,255452.0,,
1970,115000.0,,93750.0,10000.0,77419.0,,34615.0,169500.0,85027.0,,,59045.0,28713.0,28000.0,,125000.0,,30000.0,22222.0,38571.0,,37143.0,,38750.0,,44000.0,43478.0,101920.0,29412.0,60000.0,45000.0,,43478.0,24770.0,,,209521.0,,
1971,120930.0,,93750.0,3600.0,72206.0,,35232.0,170500.0,76611.0,,,61482.0,26606.0,28000.0,,127273.0,,28571.0,20896.0,39286.0,,37143.0,,35000.0,,44021.0,45217.0,109198.0,29412.0,60703.0,45000.0,,45217.0,24825.0,,,224563.0,,
1972,120833.0,,93750.0,10000.0,56999.0,,37481.0,198500.0,92336.0,,,57183.0,24324.0,28000.0,,129412.0,,28571.0,20000.0,39286.0,,40000.0,,37500.0,,30000.0,47391.0,85801.0,29412.0,58025.0,40000.0,,47391.0,28083.0,,,212238.0,,
1973,120408.0,,93750.0,8571.0,84769.0,,35714.0,190500.0,80633.0,,,57183.0,21368.0,28000.0,,149887.0,,29714.0,23735.0,40000.0,,36364.0,,35625.0,,29000.0,47826.0,123271.0,29412.0,71416.0,40000.0,,47826.0,25228.0,,,215270.0,,
1974,119298.0,,95152.0,12500.0,59190.0,,35714.0,198100.0,80202.0,,,54463.0,18797.0,28000.0,,120000.0,,29714.0,19048.0,40000.0,,33043.0,,38750.0,,27000.0,47826.0,124054.0,28889.0,71875.0,40696.0,,47826.0,27928.0,,,211024.0,,
1975,120690.0,,95652.0,20543.0,63493.0,,35714.0,207550.0,73739.0,,,46395.0,18289.0,28000.0,,100000.0,,30286.0,23529.0,40000.0,,37500.0,,36250.0,,30000.0,47826.0,135530.0,29032.0,78571.0,41652.0,,47826.0,29762.0,,,208735.0,,
1976,135000.0,,96774.0,4200.0,42524.0,,36667.0,208489.0,83015.0,,,11624.0,20480.0,28571.0,,100000.0,,50000.0,22222.0,38889.0,,28235.0,,37037.0,,30000.0,50435.0,131955.0,29016.0,87500.0,42696.0,,50435.0,24914.0,,,209348.0,,
1977,124242.0,,98056.0,4000.0,71325.0,,35294.0,230538.0,86342.0,,,35738.0,23069.0,31429.0,,74799.0,,29730.0,26531.0,40000.0,,33526.0,,37037.0,,35000.0,40000.0,145823.0,29016.0,88333.0,42348.0,,40000.0,25015.0,,,215450.0,,
1978,109211.0,,95000.0,2000.0,70481.0,,35135.0,188500.0,87378.0,,,26348.0,12996.0,28000.0,,67939.0,38571.0,30000.0,35000.0,38889.0,,29818.0,,35802.0,,35000.0,38667.0,120679.0,29000.0,91667.0,45000.0,,38667.0,30172.0,,,214514.0,,
1979,121325.0,,95000.0,30000.0,66943.0,,34664.0,203000.0,85887.0,,,26518.0,12937.0,28571.0,,71820.0,38760.0,30000.0,38043.0,39130.0,,25826.0,,37037.0,,35000.0,40000.0,122278.0,29064.0,97656.0,42174.0,,40000.0,30149.0,,,215806.0,,
1980,122500.0,,95000.0,78889.0,56714.0,,34826.0,223000.0,80438.0,,,26015.0,12257.0,31429.0,,91943.0,38012.0,30000.0,40860.0,39130.0,,32222.0,,30488.0,,35000.0,37222.0,125432.0,29048.0,100038.0,42373.0,,37222.0,29964.0,,,212361.0,,
1981,101961.0,,91647.0,39231.0,59528.0,,34826.0,195364.0,76942.0,,,25851.0,13275.0,31429.0,,77725.0,70929.0,30000.0,38889.0,39130.0,,27778.0,,28235.0,,35000.0,37778.0,121867.0,29048.0,100194.0,32178.0,,37778.0,27901.0,,,207116.0,,
1982,94340.0,,92500.0,57692.0,58262.0,,35714.0,209304.0,73291.0,,,30934.0,13676.0,31429.0,,81584.0,97696.0,28571.0,36842.0,39130.0,,25000.0,,31940.0,,35035.0,38889.0,130602.0,28972.0,86763.0,30137.0,,38889.0,30368.0,,,210480.0,,
1983,80303.0,,91667.0,14667.0,73308.0,,37080.0,213636.0,71207.0,,,22229.0,13781.0,31429.0,,86339.0,87875.0,29730.0,33333.0,40000.0,,42077.0,,43669.0,,13688.0,44444.0,90706.0,29032.0,85926.0,26070.0,,44444.0,27929.0,,,195943.0,,
1984,88525.0,,91667.0,16667.0,80848.0,,37140.0,206087.0,70773.0,,,27526.0,15896.0,29412.0,,88885.0,72668.0,28571.0,36364.0,39167.0,,32632.0,,43991.0,,35035.0,50000.0,114713.0,29091.0,88462.0,11714.0,,50000.0,28108.0,,,191057.0,,
1985,76056.0,,92857.0,18667.0,76226.0,37162.0,36364.0,212083.0,69406.0,,,34626.0,18065.0,28986.0,52571.0,97499.0,61206.0,30000.0,39167.0,40000.0,,37368.0,23611.0,38539.0,,25000.0,60000.0,147753.0,29545.0,85926.0,6514.0,28000.0,60000.0,28000.0,32895.0,,193909.0,16667.0,
1986,92308.0,,92857.0,18667.0,72572.0,35553.0,42553.0,213478.0,67605.0,,,32183.0,19919.0,28986.0,55429.0,128122.0,56739.0,30000.0,32895.0,40417.0,,44737.0,27778.0,39558.0,,28778.0,60000.0,89560.0,30455.0,88889.0,9346.0,40920.0,60000.0,26222.0,32895.0,,187043.0,16667.0,
1987,101099.0,,93750.0,116471.0,78163.0,29966.0,45833.0,225833.0,68610.0,,,27730.0,19284.0,28986.0,45333.0,119523.0,58002.0,28571.0,31250.0,40833.0,,34500.0,27778.0,42512.0,,10852.0,62500.0,86869.0,30909.0,89286.0,16742.0,44000.0,62500.0,30740.0,32895.0,,186101.0,18333.0,
1988,87879.0,,93750.0,38235.0,80161.0,34471.0,48000.0,235238.0,68184.0,,,21557.0,20411.0,31884.0,46667.0,63849.0,58621.0,22222.0,30769.0,41250.0,,35000.0,27778.0,43958.0,,16296.0,64706.0,96893.0,31364.0,89286.0,25836.0,46000.0,64706.0,25797.0,32895.0,,186686.0,18333.0,
1989,116190.0,,93750.0,20000.0,76399.0,40709.0,48400.0,228627.0,67983.0,,,22475.0,15109.0,31884.0,48000.0,63849.0,54592.0,20000.0,29520.0,41667.0,,37400.0,27778.0,44538.0,,12000.0,56250.0,98812.0,31818.0,86667.0,50574.0,48850.0,56250.0,26941.0,32895.0,,189671.0,20000.0,
1990,103347.0,,57292.0,32674.0,72933.0,44120.0,48000.0,248425.0,68382.0,,,20495.0,13516.0,23182.0,47080.0,63849.0,57234.0,17857.0,35211.0,40677.0,,38667.0,30313.0,43391.0,,17556.0,60000.0,107772.0,36336.0,70968.0,54545.0,40000.0,60000.0,26183.0,31936.0,,185755.0,28421.0,
1991,100403.0,,71579.0,59449.0,69706.0,48951.0,51923.0,223515.0,69086.0,,,20155.0,13319.0,34839.0,52258.0,77392.0,69438.0,22222.0,34014.0,36957.0,13402.0,34091.0,27080.0,44904.0,,11852.0,62264.0,95048.0,32311.0,87500.0,45148.0,36000.0,62264.0,25533.0,26869.0,,180047.0,24527.0,
1992,73249.0,,88889.0,30667.0,69430.0,38607.0,55556.0,219910.0,66726.0,,,26810.0,13295.0,34478.0,52329.0,82504.0,61945.0,26247.0,32787.0,37269.0,42040.0,33705.0,27165.0,42386.0,,16000.0,80357.0,88811.0,32445.0,86061.0,34894.0,40048.0,80357.0,31222.0,26644.0,,176290.0,22222.0,
1993,90846.0,,103261.0,33846.0,67263.0,45043.0,58214.0,283484.0,78802.0,,,27552.0,13270.0,34290.0,52778.0,81821.0,65866.0,29474.0,32573.0,37788.0,97639.0,32887.0,27249.0,51648.0,,11630.0,83333.0,118149.0,32579.0,76923.0,47479.0,42000.0,83333.0,30993.0,26418.0,,189952.0,26191.0,
1994,94896.0,,137931.0,82685.0,66180.0,40959.0,59649.0,251847.0,78716.0,,,30646.0,12400.0,34333.0,52500.0,81809.0,67241.0,29621.0,27928.0,38308.0,58065.0,26429.0,27334.0,51372.0,,14333.0,75000.0,93711.0,32713.0,78857.0,26618.0,54143.0,75000.0,37215.0,26192.0,,176535.0,27304.0,103893.0
1995,110078.0,,201613.0,59352.0,62804.0,52442.0,59655.0,264281.0,72046.0,,,32692.0,12444.0,34286.0,56818.0,78426.0,68712.0,29412.0,26744.0,38828.0,77778.0,23422.0,27418.0,51634.0,,16714.0,100000.0,97861.0,32847.0,88889.0,22081.0,58800.0,100000.0,32769.0,25966.0,,172845.0,28379.0,104027.0
1996,82748.0,,200583.0,81982.0,61166.0,45310.0,61017.0,270423.0,71679.0,,,32736.0,12482.0,32500.0,52083.0,78905.0,76869.0,25129.0,26331.0,39350.0,24000.0,25102.0,27503.0,51495.0,,18125.0,100000.0,110370.0,32980.0,93056.0,18018.0,75134.0,100000.0,37348.0,25740.0,,164069.0,29742.0,101891.0
