,Comoros,Indonesia,Seychelles,Grenada,Dominica,China,Madagascar,"China, Macao SAR",Sao Tome and Principe,"China, mainland",Sri Lanka,Viet Nam,Timor-Leste,Ethiopia PDR
1961,,10000.0,1130.0,-1.0,-1.0,3000.0,50.0,,10.0,3000.0,5200.0,500.0,22.0,
1962,,12000.0,1240.0,-1.0,-1.0,3000.0,50.0,,10.0,3000.0,5200.0,500.0,25.0,
1963,,10500.0,1050.0,-1.0,-1.0,3000.0,100.0,,10.0,3000.0,5200.0,500.0,25.0,
1964,,9000.0,1150.0,-1.0,-1.0,3000.0,300.0,,12.0,3000.0,5700.0,700.0,27.0,
1965,,9000.0,1250.0,-1.0,-1.0,3000.0,400.0,,12.0,3000.0,5500.0,500.0,30.0,
1966,,3500.0,1600.0,-1.0,-1.0,3000.0,600.0,,20.0,3000.0,6400.0,300.0,35.0,
1967,,8265.0,2560.0,-1.0,-1.0,3500.0,600.0,,25.0,3500.0,7000.0,300.0,40.0,
1968,35.0,5456.0,3100.0,-1.0,-1.0,3600.0,700.0,,15.0,3600.0,7650.0,300.0,40.0,
1969,70.0,8425.0,1460.0,-1.0,-1.0,3700.0,2100.0,,15.0,3700.0,8250.0,300.0,50.0,
1970,120.0,5997.0,1370.0,-1.0,-1.0,4000.0,700.0,,25.0,4000.0,6650.0,400.0,54.0,
1971,165.0,5727.0,1300.0,-1.0,-1.0,4500.0,733.0,,25.0,4500.0,11100.0,400.0,57.0,
1972,300.0,6154.0,2050.0,-1.0,-1.0,5000.0,522.0,,30.0,5000.0,8100.0,400.0,60.0,
1973,210.0,7308.0,1690.0,-1.0,-1.0,5000.0,497.0,,35.0,5000.0,10300.0,400.0,63.0,
1974,105.0,7188.0,1530.0,-1.0,-1.0,5000.0,656.0,,30.0,5000.0,10550.0,200.0,60.0,
1975,10.0,6457.0,1150.0,-1.0,-1.0,5000.0,127.0,,30.0,5000.0,10350.0,1000.0,60.0,
1976,2.0,5881.0,1200.0,-1.0,-1.0,6000.0,132.0,,30.0,6000.0,10400.0,1200.0,60.0,
1977,0.0,7177.0,850.0,-1.0,-1.0,6000.0,155.0,,30.0,6000.0,10450.0,1400.0,60.0,
1978,,12856.0,620.0,-1.0,-1.0,6200.0,175.0,,30.0,6200.0,10450.0,1000.0,60.0,
1979,,10617.0,530.0,-1.0,-1.0,6300.0,975.0,,30.0,6300.0,10955.0,800.0,60.0,30.0
1980,,11395.0,620.0,-1.0,-1.0,8000.0,695.0,,30.0,8000.0,10582.0,900.0,60.0,10.0
1981,,13627.0,470.0,-1.0,-1.0,10000.0,780.0,,30.0,10000.0,10453.0,900.0,60.0,
1982,,12997.0,870.0,-1.0,-1.0,12000.0,810.0,,30.0,12000.0,10554.0,1300.0,60.0,
1983,,17041.0,950.0,-1.0,8.0,14000.0,830.0,,30.0,14000.0,10593.0,1600.0,60.0,
1984,,21393.0,360.0,-1.0,10.0,16000.0,880.0,,30.0,16000.0,9793.0,1500.0,70.0,
1985,,21745.0,930.0,-1.0,11.0,18000.0,1000.0,,30.0,18000.0,9722.0,1800.0,70.0,
1986,,20963.0,1200.0,-1.0,13.0,20000.0,1200.0,,30.0,20000.0,9335.0,1500.0,70.0,
1987,,27033.0,460.0,32.0,13.0,20000.0,1700.0,,30.0,20000.0,9369.0,1800.0,70.0,
1988,,25389.0,320.0,32.0,14.0,22000.0,3300.0,,30.0,22000.0,9657.0,2500.0,70.0,
1989,,24305.0,280.0,64.0,14.0,20000.0,4100.0,,30.0,20000.0,10235.0,3000.0,70.0,
1990,0.0,26507.0,180.0,64.0,12.0,24753.0,2000.0,,31.0,24753.0,10453.0,3200.0,76.0,0.0
1991,0.0,27049.0,462.0,64.0,15.0,21000.0,2500.0,,60.0,21000.0,9877.0,3456.0,65.0,0.0
1992,0.0,29364.0,263.0,65.0,31.0,22000.0,2100.0,,60.0,22000.0,10534.0,3400.0,67.0,0.0
1993,-1.0,32365.0,242.0,64.0,39.0,23000.0,2100.0,,60.0,23000.0,12200.0,3500.0,68.0,
1994,-1.0,35436.0,469.0,66.0,40.0,20000.0,1900.0,-1.0,60.0,20000.0,11923.0,4000.0,71.0,
1995,10.0,37334.0,620.0,64.0,45.0,25000.0,1700.0,-1.0,60.0,25000.0,12000.0,4400.0,67.0,
1996,8.0,39445.0,680.0,50.0,48.0,28000.0,1500.0,,60.0,28000.0,11970.0,4061.0,75.0,
1997,9.0,37200.0,552.0,62.0,50.0,30000.0,1608.0,,60.0,30000.0,12170.0,3672.0,79.0,
1998,5.0,42000.0,478.0,63.0,51.0,31500.0,1600.0,,60.0,31500.0,11740.0,3108.0,82.0,
1999,6.0,38300.0,385.0,63.0,52.0,35000.0,1542.0,,60.0,35000.0,12220.0,4500.0,84.0,
2000,6.0,45237.0,300.0,64.0,53.0,37000.0,1500.0,,59.0,37000.0,12320.0,4852.0,86.0,
2001,7.0,40635.0,305.0,64.0,53.0,40000.0,1487.0,,59.0,40000.0,12620.0,4895.0,88.0,
2002,8.0,45373.0,310.0,65.0,54.0,45000.0,1498.0,,59.0,45000.0,12920.0,5500.0,89.0,
2003,8.0,64830.0,200.0,66.0,55.0,47000.0,1500.0,,59.0,47000.0,13020.0,6000.0,91.0,
2004,9.0,99465.0,150.0,68.0,55.0,48000.0,1500.0,,59.0,48000.0,12810.0,10000.0,93.0,
2005,9.0,100775.0,120.0,68.0,56.0,50000.0,1550.0,,60.0,50000.0,13380.0,9500.0,94.0,
2006,10.0,100471.0,100.0,69.0,56.0,53721.0,1550.0,,60.0,53721.0,12990.0,15000.0,96.0,
2007,10.0,101880.0,63.0,70.0,60.0,55000.0,1650.0,,60.0,55000.0,13360.0,18000.0,98.0,
2008,11.0,102039.0,94.0,71.0,56.0,56700.0,1500.0,,60.0,56700.0,13430.0,18000.0,99.0,
2009,11.0,106270.0,63.0,72.0,55.0,58000.0,1800.0,,60.0,58000.0,14600.0,20000.0,101.0,
2010,12.0,88100.0,23.0,73.0,54.0,63000.0,2500.0,,62.0,63000.0,15790.0,21585.0,103.0,
2011,13.0,90300.0,39.0,74.0,53.0,65962.0,2300.0,,59.0,65962.0,15940.0,24552.0,104.0,
2012,13.0,89600.0,42.0,100.0,50.0,69000.0,2400.0,,55.0,69000.0,16090.0,27207.0,108.0,
2013,14.0,92000.0,14.0,76.0,52.0,69500.0,2400.0,,58.0,69500.0,15865.0,29441.0,107.0,
2014,14.0,91400.0,8.0,75.0,52.0,71146.0,2374.0,,59.0,71146.0,16766.0,31674.0,109.0,
