,Malaysia,Thailand,Australia & New Zealand,Sri Lanka,Viet Nam,New Zealand,Côte d'Ivoire,Bangladesh,Ghana,India
1961,48800.0,700.0,,136000.0,-1.0,,-1.0,6368.0,-1.0,166500.0
1962,44500.0,1000.0,,151000.0,-1.0,,-1.0,6628.0,-1.0,186400.0
1963,44600.0,1500.0,,147000.0,-1.0,,-1.0,6497.0,-1.0,175600.0
1964,41200.0,2500.0,,154000.0,-1.0,,-1.0,8057.0,-1.0,187400.0
1965,43200.0,2000.0,,141000.0,-1.0,,-1.0,10916.0,-1.0,187000.0
1966,46800.0,1400.0,,119000.0,-1.0,,-1.0,11825.0,-1.0,193000.0
1967,46400.0,1800.0,,129000.0,-1.0,,-1.0,12085.0,-1.0,197700.0
1968,50200.0,2300.0,,138000.0,-1.0,,-1.0,10264.0,-1.0,206000.0
1969,47500.0,1000.0,,135000.0,-1.0,,-1.0,10618.0,-1.0,217700.0
1970,51700.0,1000.0,,135000.0,-1.0,,-1.0,7248.0,-1.0,225700.0
1971,48800.0,2300.0,,143000.0,-1.0,,-1.0,7338.0,-1.0,227500.0
1972,46300.0,2800.0,,153000.0,-1.0,,-1.0,7458.0,-1.0,222800.0
1973,43900.0,3000.0,,104000.0,-1.0,,-1.0,7389.0,-1.0,217400.0
1974,43300.0,5000.0,,109000.0,-1.0,,-1.0,7911.0,-1.0,224000.0
1975,51100.0,5000.0,,138000.0,-1.0,,-1.0,7916.0,-1.0,216600.0
1976,49200.0,5000.0,,124000.0,-1.0,,-1.0,8353.0,-1.0,214200.0
1977,45000.0,3500.0,,97000.0,-1.0,,-1.0,8761.0,-1.0,201100.0
1978,41400.0,3500.0,,117000.0,-1.0,,-1.0,8553.0,-1.0,212900.0
1979,43900.0,6000.0,,127000.0,-1.0,,-1.0,9188.0,-1.0,209400.0
1980,47600.0,7000.0,,108000.0,-1.0,,-1.0,9812.0,-1.0,212500.0
1981,49200.0,5000.0,,120000.0,-1.0,,-1.0,9883.0,-1.0,206900.0
1982,50100.0,2500.0,,134000.0,-1.0,,-1.0,9892.0,-1.0,238400.0
1983,49400.0,4000.0,,123000.0,-1.0,,-1.0,10137.0,-1.0,215800.0
1984,48000.0,7000.0,,103000.0,-1.0,,-1.0,10622.0,-1.0,256800.0
1985,48400.0,4500.0,,147000.0,-1.0,,-1.0,10617.0,-1.0,251500.0
1986,46700.0,5700.0,,162000.0,-1.0,,-1.0,10658.0,-1.0,236900.0
1987,40900.0,6100.0,,122000.0,-1.0,,-1.0,10566.0,-1.0,270100.0
1988,45400.0,8000.0,,103000.0,-1.0,,-1.0,11006.0,-1.0,317300.0
1989,45300.0,7800.0,,132000.0,-1.0,,-1.0,10699.0,-1.0,347700.0
1990,45400.0,8900.0,,135000.0,-1.0,,-1.0,10433.0,27500.0,361500.0
1991,40100.0,8900.0,,116000.0,-1.0,,-1.0,9710.0,28100.0,374500.0
1992,41800.0,8900.0,0.0,122000.0,-1.0,0.0,-1.0,10441.0,27500.0,417600.0
1993,42100.0,10000.0,0.0,117000.0,-1.0,0.0,-1.0,11855.0,28750.0,444700.0
1994,40700.0,9000.0,0.0,140000.0,-1.0,0.0,-1.0,12000.0,32400.0,494100.0
1995,41000.0,8000.0,0.0,147000.0,291300.0,0.0,-1.0,12190.0,30600.0,481100.0
1996,37100.0,8000.0,0.0,135000.0,329500.0,0.0,-1.0,11390.0,37000.0,485000.0
1997,35600.0,8000.0,0.0,140000.0,277700.0,0.0,1500.0,11410.0,36900.0,472500.0
1998,30200.0,8000.0,,134000.0,241000.0,,2000.0,11420.0,38800.0,465700.0
1999,29800.0,9000.0,,150000.0,276000.0,,2000.0,11390.0,38800.0,454000.0
2000,29400.0,9000.0,,164700.0,221200.0,,2000.0,11390.0,39400.0,468000.0
2001,28500.0,14000.0,,147300.0,223000.0,,2000.0,11390.0,39400.0,450000.0
2002,28500.0,20000.0,,127250.0,228800.0,,2000.0,11130.0,39400.0,447000.0
2003,23900.0,32000.0,,136300.0,230000.0,,2000.0,11250.0,39400.0,531500.0
2004,25700.0,46000.0,,177200.0,232650.0,,2000.0,11260.0,39400.0,419000.0
2005,23400.0,40000.0,,202000.0,235000.0,,2000.0,11250.0,39400.0,441500.0
2006,23400.0,40000.0,,148100.0,250000.0,,2000.0,11260.0,39400.0,509500.0
2007,23400.0,50000.0,,152600.0,259000.0,,2000.0,11260.0,39400.0,545000.0
2008,22204.0,50000.0,,150000.0,274000.0,,2050.0,11260.0,39400.0,507000.0
2009,18400.0,60000.0,,162000.0,282000.0,,2100.0,9945.0,39400.0,541000.0
2010,22000.0,50000.0,,155000.0,291000.0,,2200.0,10420.0,39400.0,542000.0
2011,22500.0,50000.0,,148000.0,300400.0,,2100.0,10240.0,39400.0,514000.0
2012,24300.0,60000.0,,150000.0,318300.0,,2100.0,10420.0,39505.0,528000.0
2013,24200.0,60000.0,,147000.0,326000.0,,2100.0,10420.0,39893.0,596500.0
2014,22280.0,56000.0,,152400.0,303500.0,,2120.0,10300.0,39835.0,544300.0
