,Burkina Faso,Philippines,Angola,Madagascar,Togo,United Republic of Tanzania,Malaysia,Thailand,Belize,Indonesia,Kenya,Viet Nam,Nigeria,Senegal,Mali,Dominican Republic,Brazil,Benin,Peru,China,Ghana,Mozambique,Mexico,Guinea,"China, mainland",El Salvador,Sri Lanka,Honduras,Guinea-Bissau,Côte d'Ivoire,Myanmar,Gambia,India
1961,,,3333.0,1600.0,,6024.0,18000.0,10000.0,,,3000.0,7000.0,4667.0,,,,,250.0,,,,5944.0,,,,8571.0,,,2000.0,500.0,,,4250.0
1962,,14545.0,3333.0,1700.0,,6481.0,18000.0,10000.0,,,3500.0,7000.0,5833.0,,,,,250.0,,,,6000.0,,,,8571.0,,,2000.0,500.0,,,4400.0
1963,,14444.0,3333.0,1800.0,,6250.0,18000.0,10000.0,,,3500.0,7000.0,6000.0,,,,,250.0,,,,6478.0,,,,8611.0,,,2000.0,500.0,,,4279.0
1964,,14474.0,3333.0,1800.0,,7100.0,18000.0,10000.0,,,3615.0,7000.0,6129.0,,,,,250.0,,,,6783.0,,,,8611.0,,,2000.0,500.0,,,4419.0
1965,,14408.0,3333.0,1900.0,,6726.0,18000.0,10000.0,,,3462.0,7000.0,6197.0,,,,,250.0,,,,6476.0,,,,8649.0,,,2000.0,500.0,,,4348.0
1966,,14442.0,3667.0,2000.0,,6933.0,18000.0,10000.0,,,3536.0,7000.0,6216.0,,,,,300.0,,,,6263.0,,,,8649.0,,,2000.0,500.0,,,4302.0
1967,,14500.0,4000.0,2000.0,,5986.0,18000.0,10000.0,,,3471.0,7000.0,6234.0,,,,,364.0,,,,5611.0,,,,8684.0,,,2000.0,500.0,,,4585.0
1968,,14637.0,4000.0,2157.0,,5675.0,17619.0,10000.0,,,3542.0,7000.0,6250.0,,,,,436.0,,,,6197.0,,,,8462.0,,,2000.0,500.0,,,4611.0
1969,,14419.0,4000.0,2255.0,,5230.0,17727.0,10000.0,,,3600.0,7000.0,6250.0,,,,,482.0,,,,6168.0,,,,8500.0,,,2000.0,500.0,,,4533.0
1970,,14352.0,4333.0,2353.0,,5777.0,17932.0,10000.0,,,3265.0,7000.0,6250.0,,,,,685.0,,,,6345.0,,,,8293.0,,,2083.0,365.0,,,4386.0
1971,,14450.0,4333.0,2381.0,,6019.0,17928.0,10000.0,,,3840.0,7000.0,6250.0,,,,,611.0,,,,6313.0,,,,8333.0,,,2083.0,500.0,,,4202.0
1972,,14657.0,4333.0,2476.0,,6278.0,17619.0,10000.0,,,3422.0,7000.0,6250.0,,,,,667.0,,,,6250.0,,,,8140.0,,,2083.0,475.0,,,4062.0
1973,,12457.0,4667.0,2571.0,,6045.0,17572.0,10000.0,,,3374.0,7000.0,6250.0,,,,,722.0,,,,6667.0,,,,8182.0,,,2083.0,280.0,,,3953.0
1974,,11961.0,4667.0,2545.0,,6085.0,17989.0,10000.0,,,3549.0,7000.0,6250.0,,,,,808.0,,,,6276.0,,,,8222.0,,,2083.0,438.0,,,3860.0
1975,,12220.0,4667.0,2636.0,,6097.0,17980.0,10000.0,,1562.0,3323.0,7000.0,6250.0,,,,,383.0,,,,6267.0,,,,8302.0,,,2083.0,563.0,,,3991.0
1976,,11464.0,4667.0,2727.0,,6195.0,17582.0,10000.0,,1033.0,3836.0,7000.0,6250.0,,,,,820.0,,,,6100.0,,,,8302.0,,,2083.0,412.0,,,4312.0
