,Ukraine,Democratic People's Republic of Korea,Germany,Serbia,Belgium,Georgia,Serbia and Montenegro,Croatia,Poland,Switzerland,USSR,Romania,China,Spain,United Kingdom,Ethiopia,Yugoslav SFR,Ireland,Greece,Canada,Albania,Portugal,Slovakia,Republic of Korea,Austria,South Africa,Hungary,Japan,New Zealand,Bulgaria,Australia & New Zealand,United States of America,Australia,France,Slovenia,Czechoslovakia,"China, mainland",Russian Federation,Czechia,Argentina,Belgium-Luxembourg
1961,-1.0,1000.0,13876.0,-1.0,-1.0,-1.0,-1.0,-1.0,1958.0,-1.0,6305.0,240.0,500.0,567.0,10160.0,-1.0,5260.0,-1.0,31.0,519.0,-1.0,-1.0,-1.0,-1.0,138.0,91.0,244.0,1574.0,372.0,187.0,2053.0,16082.0,1681.0,1946.0,-1.0,5881.0,500.0,-1.0,-1.0,150.0,908.0
1962,-1.0,1350.0,16886.0,-1.0,-1.0,-1.0,-1.0,-1.0,2200.0,-1.0,6000.0,240.0,550.0,827.0,13210.0,-1.0,5250.0,-1.0,43.0,660.0,-1.0,-1.0,-1.0,-1.0,125.0,72.0,412.0,1640.0,403.0,235.0,2076.0,20063.0,1673.0,1580.0,-1.0,7097.0,550.0,-1.0,-1.0,188.0,1026.0
1963,-1.0,1500.0,20747.0,-1.0,-1.0,-1.0,-1.0,-1.0,2600.0,-1.0,4100.0,240.0,500.0,1169.0,14220.0,-1.0,4720.0,-1.0,54.0,655.0,-1.0,-1.0,-1.0,-1.0,158.0,127.0,388.0,2100.0,301.0,412.0,2009.0,23325.0,1708.0,2323.0,-1.0,9033.0,500.0,-1.0,-1.0,131.0,1289.0
1964,-1.0,1500.0,20994.0,-1.0,-1.0,-1.0,-1.0,-1.0,3100.0,-1.0,8200.0,270.0,600.0,1328.0,13210.0,-1.0,6110.0,-1.0,55.0,691.0,-1.0,-1.0,-1.0,-1.0,167.0,45.0,504.0,2780.0,300.0,614.0,1309.0,24212.0,1009.0,2358.0,-1.0,6890.0,600.0,-1.0,-1.0,108.0,1345.0
1965,-1.0,1500.0,20108.0,-1.0,-1.0,-1.0,-1.0,-1.0,2096.0,20.0,6000.0,270.0,650.0,1221.0,13210.0,-1.0,4890.0,-1.0,96.0,651.0,-1.0,-1.0,-1.0,-1.0,122.0,69.0,459.0,2730.0,470.0,493.0,1887.0,25428.0,1417.0,1999.0,-1.0,7194.0,650.0,-1.0,-1.0,114.0,1707.0
1966,-1.0,1600.0,20270.0,-1.0,-1.0,-1.0,-1.0,-1.0,2100.0,20.0,7800.0,270.0,650.0,1247.0,11177.0,-1.0,5510.0,-1.0,162.0,810.0,-1.0,-1.0,-1.0,3.0,156.0,91.0,440.0,3120.0,486.0,606.0,2365.0,25205.0,1879.0,2556.0,-1.0,9259.0,650.0,-1.0,-1.0,129.0,1344.0
1967,-1.0,1600.0,25346.0,-1.0,-1.0,-1.0,-1.0,-1.0,2300.0,22.0,9500.0,270.0,680.0,1177.0,11180.0,-1.0,5300.0,-1.0,169.0,693.0,-1.0,-1.0,-1.0,8.0,142.0,45.0,559.0,3190.0,472.0,560.0,1783.0,22452.0,1311.0,2136.0,-1.0,7306.0,680.0,-1.0,-1.0,191.0,1502.0
1968,-1.0,1600.0,24657.0,-1.0,-1.0,-1.0,-1.0,-1.0,2000.0,17.0,9200.0,300.0,700.0,1336.0,10160.0,-1.0,5110.0,-1.0,114.0,674.0,-1.0,-1.0,-1.0,14.0,140.0,59.0,384.0,3311.0,366.0,368.0,2233.0,19837.0,1867.0,1996.0,-1.0,8416.0,700.0,-1.0,-1.0,195.0,1565.0
1969,-1.0,1500.0,25408.0,-1.0,-1.0,-1.0,-1.0,-1.0,1700.0,23.0,8800.0,300.0,720.0,1186.0,10160.0,-1.0,5065.0,-1.0,133.0,722.0,-1.0,200.0,-1.0,6.0,140.0,77.0,443.0,2449.0,527.0,489.0,2699.0,18943.0,2172.0,1733.0,-1.0,10591.0,720.0,-1.0,-1.0,140.0,1762.0
1970,-1.0,1500.0,29269.0,-1.0,-1.0,-1.0,-1.0,-1.0,2400.0,20.0,8500.0,300.0,725.0,1478.0,12190.0,-1.0,5252.0,-1.0,274.0,815.0,-1.0,200.0,-1.0,4.0,119.0,91.0,325.0,2520.0,465.0,524.0,2513.0,20803.0,2048.0,1771.0,-1.0,10468.0,725.0,-1.0,-1.0,176.0,1705.0
1971,-1.0,1500.0,26864.0,-1.0,-1.0,-1.0,-1.0,-1.0,1900.0,17.0,8700.0,300.0,750.0,1153.0,11177.0,-1.0,4410.0,-1.0,280.0,719.0,-1.0,200.0,-1.0,35.0,125.0,91.0,238.0,2420.0,476.0,634.0,2182.0,22525.0,1706.0,1836.0,-1.0,7552.0,750.0,-1.0,-1.0,205.0,1933.0
1972,-1.0,1500.0,32900.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,22.0,8700.0,300.0,750.0,2067.0,9144.0,-1.0,4900.0,-1.0,290.0,542.0,-1.0,200.0,-1.0,72.0,119.0,45.0,256.0,2340.0,414.0,543.0,2261.0,23273.0,1847.0,1892.0,-1.0,10717.0,750.0,-1.0,-1.0,204.0,1860.0
1973,-1.0,1500.0,41015.0,-1.0,-1.0,-1.0,-1.0,-1.0,3200.0,21.0,10900.0,300.0,740.0,2405.0,10161.0,-1.0,5684.0,-1.0,290.0,600.0,-1.0,400.0,-1.0,156.0,131.0,45.0,268.0,2540.0,348.0,651.0,2460.0,24843.0,2112.0,2120.0,-1.0,10305.0,740.0,-1.0,-1.0,241.0,1933.0
1974,-1.0,1400.0,35866.0,-1.0,-1.0,-1.0,-1.0,-1.0,2500.0,20.0,10200.0,410.0,-1.0,2659.0,10161.0,-1.0,5584.0,-1.0,300.0,400.0,-1.0,300.0,-1.0,105.0,117.0,50.0,281.0,2268.0,466.0,695.0,3330.0,25845.0,2864.0,2322.0,-1.0,7491.0,-1.0,-1.0,-1.0,295.0,2262.0
1975,-1.0,1400.0,35382.0,-1.0,-1.0,-1.0,-1.0,-1.0,2737.0,21.0,7600.0,470.0,-1.0,2352.0,8300.0,-1.0,4570.0,-1.0,300.0,600.0,-1.0,200.0,-1.0,46.0,145.0,74.0,290.0,2300.0,384.0,793.0,2654.0,25362.0,2270.0,2195.0,-1.0,10848.0,-1.0,-1.0,-1.0,203.0,1772.0
1976,-1.0,1400.0,31070.0,-1.0,-1.0,-1.0,-1.0,-1.0,2543.0,19.0,7200.0,570.0,760.0,2538.0,7900.0,-1.0,4213.0,-1.0,300.0,600.0,-1.0,350.0,-1.0,104.0,106.0,78.0,410.0,2223.0,323.0,958.0,2198.0,26206.0,1875.0,1739.0,-1.0,9733.0,760.0,-1.0,-1.0,172.0,1668.0
1977,-1.0,1300.0,39963.0,-1.0,-1.0,-1.0,-1.0,-1.0,2474.0,25.0,11500.0,440.0,800.0,2035.0,7200.0,-1.0,4233.0,-1.0,300.0,600.0,-1.0,180.0,-1.0,175.0,170.0,80.0,519.0,2287.0,205.0,738.0,2344.0,24846.0,2139.0,1807.0,-1.0,12212.0,800.0,-1.0,-1.0,260.0,1795.0
1978,-1.0,1300.0,32703.0,-1.0,-1.0,-1.0,-1.0,-1.0,1941.0,21.0,6900.0,530.0,800.0,2084.0,9400.0,-1.0,4249.0,72.0,300.0,600.0,-1.0,200.0,-1.0,150.0,136.0,111.0,590.0,2167.0,210.0,724.0,2370.0,24980.0,2160.0,1550.0,-1.0,10085.0,800.0,-1.0,-1.0,250.0,1393.0
1979,-1.0,1500.0,34882.0,-1.0,-1.0,-1.0,-1.0,-1.0,2412.0,20.0,7800.0,550.0,800.0,2581.0,10300.0,-1.0,4395.0,83.0,300.0,600.0,-1.0,220.0,-1.0,312.0,154.0,139.0,624.0,1816.0,259.0,870.0,2461.0,24920.0,2202.0,1589.0,-1.0,11839.0,800.0,-1.0,-1.0,227.0,1578.0
1980,-1.0,1350.0,29252.0,-1.0,-1.0,-1.0,-1.0,-1.0,1680.0,19.0,6000.0,570.0,1000.0,2144.0,9700.0,-1.0,4731.0,76.0,300.0,600.0,-1.0,210.0,-1.0,267.0,172.0,152.0,657.0,1810.0,281.0,675.0,2373.0,34270.0,2092.0,1369.0,-1.0,10036.0,1000.0,-1.0,-1.0,170.0,1431.0
1981,-1.0,1300.0,36100.0,-1.0,-1.0,-1.0,-1.0,-1.0,2806.0,19.0,8000.0,500.0,1200.0,2525.0,9000.0,-1.0,5202.0,77.0,300.0,0.0,-1.0,220.0,-1.0,450.0,179.0,150.0,757.0,1285.0,303.0,747.0,2612.0,35900.0,2309.0,1500.0,-1.0,12890.0,1200.0,-1.0,-1.0,140.0,1585.0
1982,-1.0,1200.0,45834.0,-1.0,-1.0,-1.0,-1.0,-1.0,3116.0,20.0,8000.0,400.0,1000.0,2372.0,10300.0,-1.0,5854.0,88.0,134.0,-1.0,-1.0,240.0,-1.0,350.0,214.0,150.0,724.0,1401.0,368.0,809.0,2768.0,35630.0,2400.0,1400.0,-1.0,12552.0,1000.0,-1.0,-1.0,170.0,1860.0
1983,-1.0,1300.0,40416.0,-1.0,-1.0,-1.0,-1.0,-1.0,2669.0,17.0,8000.0,400.0,1000.0,2916.0,9000.0,-1.0,4593.0,110.0,26.0,-1.0,-1.0,230.0,-1.0,400.0,202.0,150.0,530.0,1750.0,446.0,532.0,2546.0,30890.0,2100.0,1400.0,-1.0,11661.0,1000.0,-1.0,-1.0,163.0,1435.0
1984,-1.0,1500.0,38720.0,-1.0,-1.0,-1.0,-1.0,-1.0,3485.0,23.0,10000.0,300.0,4000.0,2845.0,7900.0,-1.0,5877.0,110.0,0.0,-1.0,-1.0,240.0,-1.0,400.0,208.0,150.0,562.0,1898.0,439.0,660.0,3028.0,25480.0,2589.0,1400.0,-1.0,10837.0,4000.0,-1.0,-1.0,187.0,1417.0
1985,-1.0,1700.0,39094.0,-1.0,-1.0,-1.0,-1.0,-1.0,2746.0,31.0,11000.0,300.0,2300.0,3249.0,6500.0,-1.0,5170.0,52.0,0.0,-1.0,-1.0,240.0,-1.0,500.0,228.0,150.0,603.0,1884.0,360.0,578.0,2255.0,22550.0,1895.0,1300.0,-1.0,13233.0,2300.0,-1.0,-1.0,211.0,1204.0
1986,-1.0,1800.0,37964.0,-1.0,-1.0,-1.0,-1.0,-1.0,2708.0,39.0,9000.0,300.0,3500.0,2068.0,5100.0,-1.0,4525.0,41.0,-1.0,-1.0,-1.0,329.0,-1.0,550.0,226.0,150.0,622.0,1978.0,400.0,706.0,2221.0,22210.0,1821.0,1100.0,-1.0,10260.0,3500.0,-1.0,-1.0,200.0,1041.0
1987,-1.0,1950.0,34618.0,-1.0,-1.0,-1.0,-1.0,-1.0,2569.0,39.0,10000.0,300.0,4500.0,1849.0,5174.0,-1.0,5517.0,41.0,-1.0,-1.0,-1.0,306.0,-1.0,530.0,223.0,155.0,659.0,1851.0,400.0,692.0,2144.0,22700.0,1744.0,700.0,-1.0,11913.0,4500.0,-1.0,-1.0,296.0,788.0
