,Peru,Yemen,Serbia and Montenegro,Croatia,Burkina Faso,Tajikistan,Armenia,Syrian Arab Republic,Brazil,Nepal,Pakistan,The former Yugoslav Republic of Macedonia,Greece,Afghanistan,Iraq,Cyprus,Spain,Bulgaria,Australia & New Zealand,United States of America,Iran (Islamic Republic of),Algeria,Slovenia,United Arab Emirates,Kyrgyzstan,Argentina,Ukraine,Georgia,Israel,Morocco,USSR,Mexico,Azerbaijan,Italy,Jordan,Bosnia and Herzegovina,China,Tunisia,Côte d'Ivoire,Libya,Yugoslav SFR,Turkmenistan,Lebanon,Uzbekistan,France,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,Australia,Portugal,"China, mainland",Gambia,Swaziland,Republic of Moldova,Turkey
1961,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,1700.0,-1,-1.0,9000.0,-1.0,41146.0,-1.0,300.0,2438.0,204000.0,2097.0,0.0,60237.0,24000.0,6000.0,-1.0,60.0,-1.0,80.0,-1.0,-1.0,150.0,8000.0,1700.0,-1.0,-1.0,328500.0,2000.0,-1.0,5000.0,5800.0,-1.0,2600.0,1200.0,-1.0,2500.0,-1.0,3680.0,-1.0,-1.0,1000.0,-1.0,-1.0,16000.0,5000.0,-1.0,-1.0,-1.0,27400.0
1962,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2400.0,-1,-1.0,9500.0,-1.0,24059.0,-1.0,300.0,2540.0,130000.0,1124.0,0.0,43545.0,30000.0,6000.0,-1.0,70.0,-1.0,90.0,-1.0,-1.0,250.0,17000.0,1800.0,-1.0,-1.0,98900.0,3000.0,-1.0,5500.0,6700.0,-1.0,2300.0,1200.0,-1.0,2800.0,-1.0,1760.0,-1.0,-1.0,3300.0,-1.0,-1.0,18000.0,5500.0,-1.0,-1.0,-1.0,24400.0
1963,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2000.0,-1,-1.0,10000.0,-1.0,28018.0,-1.0,350.0,2604.0,152000.0,1707.0,0.0,54159.0,20000.0,6000.0,-1.0,80.0,-1.0,100.0,-1.0,-1.0,450.0,19000.0,2300.0,-1.0,-1.0,215500.0,3000.0,-1.0,5800.0,5800.0,-1.0,1800.0,6900.0,-1.0,3000.0,-1.0,3620.0,-1.0,-1.0,1000.0,-1.0,-1.0,12000.0,5800.0,-1.0,-1.0,-1.0,20330.0
1964,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2100.0,-1,-1.0,10500.0,-1.0,27087.0,-1.0,350.0,2438.0,152000.0,1802.0,0.0,68042.0,20000.0,6400.0,-1.0,90.0,-1.0,100.0,-1.0,-1.0,600.0,16000.0,2500.0,-1.0,-1.0,255800.0,3000.0,-1.0,6500.0,7100.0,-1.0,1600.0,5000.0,-1.0,1800.0,-1.0,1990.0,-1.0,-1.0,800.0,-1.0,-1.0,13000.0,6500.0,-1.0,-1.0,-1.0,25000.0
1965,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,1200.0,-1,-1.0,11000.0,-1.0,28991.0,-1.0,370.0,3280.0,153000.0,1340.0,0.0,66133.0,23000.0,6200.0,-1.0,100.0,-1.0,110.0,-1.0,-1.0,800.0,13000.0,2600.0,-1.0,-1.0,226400.0,3283.0,-1.0,7500.0,8000.0,-1.0,2900.0,5200.0,-1.0,2400.0,-1.0,1970.0,-1.0,-1.0,2000.0,-1.0,-1.0,14000.0,7500.0,-1.0,-1.0,-1.0,20300.0
1966,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,3800.0,-1,-1.0,11500.0,-1.0,30700.0,-1.0,380.0,3556.0,155000.0,1748.0,0.0,77201.0,6000.0,5700.0,-1.0,115.0,-1.0,120.0,-1.0,-1.0,750.0,15000.0,2700.0,-1.0,-1.0,236900.0,3678.0,-1.0,8000.0,9800.0,-1.0,2832.0,3900.0,-1.0,2392.0,-1.0,1340.0,-1.0,-1.0,1203.0,-1.0,-1.0,6000.0,8000.0,-1.0,-1.0,-1.0,16000.0
1967,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2500.0,-1,-1.0,12000.0,-1.0,38504.0,-1.0,350.0,4064.0,211700.0,2736.0,0.0,69490.0,20000.0,5818.0,-1.0,145.0,-1.0,118.0,-1.0,-1.0,1200.0,16000.0,3300.0,-1.0,-1.0,245400.0,3840.0,-1.0,7800.0,7700.0,-1.0,2604.0,3950.0,-1.0,5948.0,-1.0,1558.0,-1.0,-1.0,1653.0,-1.0,-1.0,19000.0,7800.0,-1.0,-1.0,-1.0,32000.0
1968,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2992.0,-1,-1.0,12500.0,-1.0,31018.0,-1.0,350.0,5080.0,152500.0,2591.0,0.0,67585.0,34000.0,4497.0,-1.0,150.0,-1.0,180.0,-1.0,-1.0,1700.0,11100.0,3700.0,-1.0,-1.0,297100.0,1228.0,-1.0,8000.0,12300.0,-1.0,2588.0,6300.0,-1.0,4557.0,-1.0,2010.0,-1.0,-1.0,1114.0,-1.0,-1.0,17400.0,8000.0,-1.0,-1.0,-1.0,27000.0
1969,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,2421.0,-1,-1.0,13000.0,-1.0,27208.0,-1.0,450.0,5080.0,108800.0,2893.0,0.0,110676.0,29000.0,2466.0,-1.0,175.0,-1.0,260.0,-1.0,-1.0,1700.0,9500.0,3200.0,-1.0,-1.0,191900.0,83.0,-1.0,8500.0,6100.0,-1.0,3569.0,3452.0,-1.0,2438.0,-1.0,2637.0,-1.0,-1.0,1427.0,-1.0,-1.0,8720.0,8500.0,-1.0,-1.0,-1.0,21000.0
1970,-1,-1.0,-1,-1.0,-1.0,-1.0,-1,4727.0,-1,-1.0,14000.0,-1.0,24347.0,-1.0,480.0,4064.0,165800.0,2052.0,0.0,112490.0,25000.0,3000.0,-1.0,180.0,-1.0,350.0,-1.0,-1.0,1800.0,9500.0,4600.0,-1.0,-1.0,230600.0,0.0,-1.0,7800.0,10500.0,-1.0,3787.0,3908.0,-1.0,3521.0,-1.0,2630.0,-1.0,-1.0,1703.0,-1.0,-1.0,19910.0,7800.0,-1.0,-1.0,-1.0,20000.0
