,Bolivia (Plurinational State of),Peru,Spain,Belarus,Croatia,Serbia,Armenia,Syrian Arab Republic,Brazil,Yugoslav SFR,The former Yugoslav Republic of Macedonia,Greece,Iraq,Cyprus,Japan,New Zealand,Yemen,Bulgaria,Australia & New Zealand,Iran (Islamic Republic of),Serbia and Montenegro,Algeria,Slovenia,Kyrgyzstan,Argentina,Ukraine,Georgia,Israel,Belgium,Morocco,Switzerland,Mexico,USSR,Romania,Azerbaijan,Italy,Jordan,Bosnia and Herzegovina,China,Tunisia,Latvia,Albania,Uruguay,Lebanon,Uzbekistan,France,Occupied Palestinian Territory,Chile,Hungary,Kazakhstan,South Africa,Australia,Portugal,Lithuania,"China, mainland",Russian Federation,Turkey,Republic of Moldova,Belgium-Luxembourg
1961,-1.0,125000.0,393701.0,-1.0,-1.0,-1.0,-1.0,60000.0,30000.0,-1.0,-1.0,384920.0,-1.0,33333.0,-1.0,211765.0,-1.0,1997394.0,827647.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,230000.0,-1.0,-1.0,-1.0,138082.0,21000.0,-1.0,-1.0,-1.0,16667.0,-1.0,-1.0,90909.0,-1.0,-1.0,-1.0,115000.0,-1.0,2020000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,44406.0,-1.0,-1.0
1962,-1.0,125000.0,387597.0,-1.0,-1.0,-1.0,-1.0,80000.0,30000.0,-1.0,-1.0,385640.0,-1.0,33333.0,-1.0,245000.0,-1.0,1145618.0,1047500.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,280000.0,-1.0,-1.0,-1.0,143247.0,22000.0,-1.0,-1.0,-1.0,16667.0,-1.0,-1.0,90909.0,-1.0,-1.0,-1.0,120000.0,-1.0,1740000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,35415.0,-1.0,-1.0
1963,-1.0,125000.0,395137.0,-1.0,-1.0,-1.0,-1.0,80000.0,30000.0,-1.0,-1.0,322260.0,-1.0,33333.0,-1.0,433333.0,-1.0,1126469.0,1394444.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,280000.0,-1.0,-1.0,-1.0,140900.0,21538.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,90909.0,-1.0,-1.0,-1.0,100000.0,-1.0,3433333.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,34870.0,-1.0,-1.0
1964,-1.0,125000.0,416667.0,-1.0,-1.0,-1.0,-1.0,80000.0,30151.0,-1.0,-1.0,388440.0,-1.0,36842.0,-1.0,408750.0,-1.0,1116183.0,1848750.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,400000.0,-1.0,-1.0,-1.0,144270.0,23846.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,90909.0,-1.0,-1.0,-1.0,83333.0,-1.0,2466667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,34257.0,-1.0,-1.0
1965,-1.0,120000.0,371471.0,-1.0,-1.0,-1.0,-1.0,35000.0,37795.0,-1.0,-1.0,343440.0,-1.0,42105.0,-1.0,385000.0,-1.0,1023854.0,1475000.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,190000.0,-1.0,-1.0,-1.0,148110.0,24615.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,90909.0,-1.0,-1.0,-1.0,75000.0,-1.0,2850000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,31033.0,-1.0,-1.0
1966,57143.0,126068.0,388497.0,-1.0,-1.0,-1.0,-1.0,30000.0,28158.0,-1.0,-1.0,350100.0,-1.0,47368.0,-1.0,385000.0,-1.0,569847.0,1527500.0,75000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,150000.0,-1.0,-1.0,-1.0,152508.0,24615.0,-1.0,-1.0,-1.0,22222.0,-1.0,-1.0,86667.0,-1.0,-1.0,-1.0,45833.0,-1.0,2775000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50000.0,-1.0,-1.0,-1.0,29282.0,-1.0,-1.0
1967,60714.0,124242.0,326558.0,-1.0,-1.0,-1.0,-1.0,36000.0,21019.0,-1.0,-1.0,386920.0,-1.0,50000.0,-1.0,362500.0,-1.0,681876.0,1443750.0,76190.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,140000.0,-1.0,-1.0,-1.0,151659.0,30769.0,-1.0,-1.0,-1.0,26354.0,-1.0,-1.0,95833.0,-1.0,-1.0,-1.0,68778.0,-1.0,280000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50714.0,-1.0,-1.0,-1.0,44395.0,-1.0,-1.0
1968,60714.0,97093.0,349077.0,-1.0,-1.0,-1.0,-1.0,28480.0,15776.0,-1.0,-1.0,396660.0,-1.0,61000.0,-1.0,393333.0,-1.0,866362.0,1450000.0,76190.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,130000.0,-1.0,-1.0,-1.0,145345.0,33846.0,-1.0,-1.0,-1.0,31250.0,-1.0,-1.0,92308.0,-1.0,-1.0,-1.0,110347.0,-1.0,295385.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50069.0,-1.0,-1.0,-1.0,51462.0,-1.0,-1.0
1969,60000.0,91300.0,278838.0,-1.0,-1.0,-1.0,-1.0,23491.0,22679.0,-1.0,-1.0,344760.0,-1.0,61000.0,-1.0,545000.0,-1.0,551079.0,2035000.0,76190.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,130000.0,-1.0,-1.0,-1.0,124878.0,30000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93750.0,-1.0,-1.0,-1.0,100945.0,-1.0,188800.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55743.0,-1.0,-1.0,-1.0,39002.0,-1.0,-1.0
1970,60000.0,98319.0,196916.0,-1.0,-1.0,-1.0,-1.0,13032.0,18648.0,-1.0,-1.0,359400.0,-1.0,27900.0,-1.0,750000.0,-1.0,433239.0,2617500.0,73913.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,105000.0,-1.0,-1.0,-1.0,121387.0,23750.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55556.0,-1.0,-1.0,-1.0,118980.0,-1.0,215000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59527.0,-1.0,-1.0,-1.0,43217.0,-1.0,-1.0
