,Bangladesh,Uruguay,Hungary,Morocco,Mexico,Australia,Portugal,Thailand,Australia & New Zealand,Netherlands,Canada,Czechia,Spain,Argentina,Turkey
1961,-1,4083.0,-1.0,8000.0,3088.0,20824.0,-1,1000.0,20824.0,1078.0,-1.0,-1.0,1440.0,36400.0,15800.0
1962,-1,9805.0,-1.0,8000.0,3168.0,27844.0,-1,1000.0,27844.0,2505.0,-1.0,-1.0,2280.0,46540.0,37000.0
1963,-1,7470.0,-1.0,10000.0,3137.0,15383.0,-1,1000.0,15383.0,631.0,-1.0,-1.0,2865.0,58670.0,13700.0
1964,-1,5202.0,-1.0,10000.0,3222.0,4627.0,-1,1000.0,4627.0,188.0,-1.0,-1.0,1855.0,53550.0,10000.0
1965,-1,2776.0,-1.0,13000.0,3275.0,5439.0,-1,1000.0,5439.0,36.0,-1.0,-1.0,1347.0,39800.0,6000.0
1966,-1,2905.0,-1.0,13000.0,3420.0,1796.0,-1,1000.0,1796.0,8.0,-1.0,-1.0,854.0,33300.0,7750.0
1967,-1,880.0,-1.0,15000.0,6116.0,2889.0,-1,1000.0,2889.0,1.0,-1.0,-1.0,806.0,35000.0,4600.0
1968,-1,2530.0,-1.0,15000.0,6722.0,9524.0,-1,1000.0,9524.0,1.0,-1.0,-1.0,1834.0,33100.0,4500.0
1969,-1,7430.0,-1.0,19000.0,10051.0,27667.0,-1,1000.0,27667.0,894.0,-1.0,-1.0,2713.0,57100.0,4450.0
1970,-1,3240.0,-1.0,30000.0,14895.0,8869.0,-1,1000.0,8869.0,216.0,-1.0,-1.0,13200.0,117300.0,4700.0
1971,-1,4050.0,-1.0,38000.0,5865.0,6260.0,-1,2000.0,6260.0,11.0,-1.0,-1.0,5700.0,68100.0,3700.0
1972,-1,2230.0,-1.0,25000.0,7080.0,6901.0,-1,2000.0,6901.0,3.0,-1.0,-1.0,4700.0,39750.0,2800.0
1973,-1,1400.0,-1.0,20800.0,7544.0,9954.0,-1,2000.0,9954.0,2.0,-1.0,-1.0,3100.0,42650.0,1725.0
1974,-1,1800.0,-1.0,23600.0,5283.0,6771.0,-1,2000.0,6771.0,44.0,-1.0,-1.0,3100.0,43100.0,1320.0
1975,-1,1300.0,-1.0,22000.0,7656.0,18000.0,-1,2000.0,18000.0,118.0,-1.0,-1.0,3600.0,36900.0,800.0
1976,-1,1300.0,-1.0,74600.0,8747.0,20781.0,-1,3000.0,20781.0,148.0,-1.0,-1.0,3339.0,42300.0,1370.0
1977,-1,1350.0,-1.0,35200.0,12981.0,31054.0,-1,3000.0,31054.0,89.0,-1.0,-1.0,5029.0,40500.0,2250.0
1978,-1,1350.0,-1.0,33400.0,18095.0,18313.0,-1,3000.0,18313.0,38.0,-1.0,-1.0,5261.0,70000.0,2000.0
1979,-1,1521.0,-1.0,13500.0,7077.0,11831.0,-1,3000.0,11831.0,-1.0,-1.0,-1.0,3438.0,57000.0,1200.0
1980,-1,2000.0,-1.0,10700.0,4039.0,6275.0,-1,3000.0,6275.0,-1.0,21000.0,-1.0,3069.0,54400.0,1000.0
1981,-1,2000.0,-1.0,7500.0,4958.0,8070.0,-1,4000.0,8070.0,-1.0,30000.0,-1.0,2988.0,46800.0,750.0
1982,-1,2000.0,-1.0,10100.0,6167.0,11640.0,-1,4000.0,11640.0,-1.0,48000.0,-1.0,2092.0,50300.0,785.0
