,"China, Taiwan Province of",Mexico,Japan,Jordan,Spain,China,Bulgaria,Egypt,Morocco
1961,4859.0,,8000.0,,110.0,4859.0,-1.0,,-1.0
1962,6889.0,,5000.0,,210.0,6889.0,-1.0,,-1.0
1963,3777.0,,5000.0,,190.0,3777.0,-1.0,,-1.0
1964,401.0,,4000.0,,270.0,401.0,-1.0,,-1.0
1965,12.0,,2400.0,,230.0,12.0,-1.0,,-1.0
1966,234.0,,2300.0,,210.0,234.0,-1.0,,-1.0
1967,267.0,,3300.0,,100.0,267.0,-1.0,,-1.0
1968,117.0,,2900.0,,140.0,117.0,-1.0,,-1.0
1969,227.0,,2000.0,,160.0,227.0,-1.0,,-1.0
1970,376.0,,1800.0,,400.0,376.0,-1.0,,-1.0
1971,1483.0,,1800.0,,610.0,1483.0,-1.0,,-1.0
1972,3103.0,,1600.0,,338.0,3103.0,-1.0,,-1.0
1973,3103.0,,1600.0,,440.0,3103.0,-1.0,,-1.0
1974,4000.0,,1400.0,,667.0,4000.0,-1.0,,-1.0
1975,4500.0,,1400.0,,708.0,4500.0,-1.0,,-1.0
1976,2500.0,,1200.0,,686.0,2500.0,-1.0,,-1.0
1977,2000.0,,1200.0,,645.0,2000.0,-1.0,,-1.0
1978,1200.0,,1300.0,,767.0,1200.0,-1.0,,-1.0
1979,800.0,,1000.0,,484.0,800.0,-1.0,,-1.0
1980,350.0,,800.0,,442.0,350.0,-1.0,,-1.0
1981,110.0,,800.0,,532.0,110.0,-1.0,,-1.0
1982,100.0,,600.0,23.0,623.0,100.0,-1.0,,-1.0
1983,0.0,,400.0,20.0,535.0,0.0,-1.0,,-1.0
1984,,,320.0,18.0,353.0,,-1.0,,-1.0
1985,,,290.0,20.0,803.0,,-1.0,,-1.0
1986,,,240.0,20.0,990.0,,-1.0,,220.0
1987,,,220.0,20.0,530.0,,-1.0,,450.0
1988,,,200.0,20.0,525.0,,-1.0,,650.0
1989,,,200.0,20.0,359.0,,-1.0,,1000.0
1990,0.0,-1.0,150.0,-1.0,172.0,0.0,-1.0,,750.0
1991,0.0,-1.0,70.0,-1.0,53.0,0.0,-1.0,,550.0
1992,0.0,-1.0,35.0,-1.0,36.0,0.0,-1.0,,950.0
1993,0.0,-1.0,14.0,-1.0,35.0,0.0,-1.0,-1.0,1350.0
1994,0.0,-1.0,0.0,-1.0,43.0,0.0,-1.0,-1.0,2100.0
1995,0.0,-1.0,0.0,-1.0,28.0,0.0,-1.0,-1.0,2100.0
1996,0.0,-1.0,0.0,-1.0,36.0,0.0,-1.0,-1.0,2150.0
1997,0.0,-1.0,0.0,-1.0,30.0,0.0,-1.0,,2260.0
1998,0.0,-1.0,0.0,-1.0,26.0,0.0,-1.0,,2430.0
1999,0.0,-1.0,0.0,-1.0,26.0,0.0,-1.0,,2400.0
2000,0.0,-1.0,0.0,-1.0,25.0,0.0,-1.0,,1670.0
2001,0.0,-1.0,0.0,-1.0,24.0,0.0,-1.0,,3565.0
2002,0.0,-1.0,0.0,-1.0,26.0,0.0,-1.0,,2655.0
2003,0.0,-1.0,0.0,-1.0,23.0,0.0,-1.0,,3950.0
2004,0.0,-1.0,0.0,-1.0,22.0,0.0,-1.0,,3225.0
2005,0.0,-1.0,0.0,-1.0,20.0,0.0,-1.0,,3125.0
2006,0.0,-1.0,0.0,-1.0,20.0,0.0,-1.0,,3355.0
2007,0.0,-1.0,0.0,-1.0,19.0,0.0,-1.0,,2930.0
2008,0.0,-1.0,0.0,-1.0,18.0,0.0,-1.0,,2940.0
2009,0.0,-1.0,0.0,-1.0,19.0,0.0,27.0,,2728.0
2010,0.0,-1.0,0.0,-1.0,18.0,0.0,187.0,,2569.0
2011,0.0,-1.0,0.0,-1.0,17.0,0.0,187.0,,2125.0
2012,0.0,-1.0,0.0,-1.0,21.0,0.0,37.0,,4005.0
2013,0.0,-1.0,0.0,-1.0,33.0,0.0,160.0,,3491.0
2014,0.0,-1.0,0.0,-1.0,51.0,0.0,5.0,,3451.0
