,Cuba,Puerto Rico,Ghana,Haiti,Trinidad and Tobago,Fiji,Dominica,Panama,Togo,United Republic of Tanzania,Burundi,Samoa,Belize,Ethiopia,Kenya,Guyana,Costa Rica,Solomon Islands,Germany,Papua New Guinea,Comoros,Benin,Cayman Islands,Niue,Brazil,Burkina Faso,Sudan (former),South Sudan,Saint Lucia,Chad,Colombia,New Caledonia,Central African Republic,Gabon,Jamaica,Japan,Antigua and Barbuda,Ethiopia PDR,Sao Tome and Principe,Grenada,Wallis and Futuna Islands,Melanesia,Nicaragua,Polynesia,Democratic Republic of the Congo,Nigeria,Mali,Mauritania,Congo,Barbados,Martinique,Dominican Republic,Portugal,Tonga,Sudan,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),American Samoa,Philippines,Guinea,Guadeloupe,Côte d'Ivoire,Rwanda,Cameroon,Liberia,Saint Kitts and Nevis
1961,-1.0,13199.0,1100000.0,80000.0,1878.0,800.0,2000.0,10500.0,300000.0,5000.0,5700.0,600.0,-1.0,,-1.0,-1.0,-1.0,12000.0,,120000.0,-1.0,614172.0,,100.0,85000.0,22530.0,120000.0,,2032.0,110000.0,118000.0,8500.0,100000.0,50000.0,42918.0,54000.0,20.0,197000.0,500.0,450.0,450.0,141300.0,,29210.0,60000.0,3500000.0,7000.0,1800.0,30000.0,12600.0,19000.0,20700.0,1500.0,28000.0,,2000.0,45496.0,60.0,35000.0,50000.0,19500.0,1150000.0,1000.0,150000.0,13000.0,380.0
1962,-1.0,12935.0,1100000.0,80000.0,2294.0,800.0,2000.0,10600.0,290000.0,5000.0,5700.0,750.0,-1.0,,-1.0,-1.0,-1.0,12300.0,,125000.0,-1.0,494485.0,,100.0,88000.0,22530.0,130000.0,,2743.0,112000.0,123000.0,9000.0,120000.0,48000.0,49550.0,54000.0,25.0,198000.0,500.0,460.0,450.0,147100.0,,30362.0,70000.0,3500000.0,7400.0,1900.0,31000.0,13136.0,19000.0,22900.0,1500.0,29000.0,,2000.0,45182.0,62.0,37236.0,50000.0,19500.0,1200000.0,1000.0,150000.0,13000.0,380.0
1963,-1.0,14379.0,1099000.0,83000.0,2680.0,800.0,2100.0,10900.0,280000.0,5000.0,5700.0,750.0,-1.0,,-1.0,-1.0,-1.0,12500.0,,127000.0,-1.0,495774.0,,100.0,93000.0,22000.0,130000.0,,1626.0,114000.0,126000.0,9000.0,130000.0,43000.0,49895.0,60000.0,30.0,225400.0,500.0,470.0,450.0,149300.0,,30350.0,75000.0,4500000.0,7700.0,1900.0,32000.0,13908.0,20000.0,22000.0,1500.0,29000.0,,2000.0,44898.0,50.0,38045.0,50000.0,23000.0,1230000.0,1100.0,148000.0,13000.0,380.0
1964,-1.0,13517.0,1153000.0,85000.0,2540.0,800.0,2150.0,11000.0,277000.0,5000.0,5700.0,750.0,-1.0,,-1.0,-1.0,-1.0,12700.0,,130000.0,-1.0,552680.0,,100.0,98000.0,20000.0,140000.0,,1119.0,115000.0,130000.0,9000.0,120000.0,38000.0,54791.0,71700.0,35.0,228500.0,600.0,480.0,450.0,152500.0,,30400.0,80000.0,5000000.0,8100.0,2000.0,32000.0,13944.0,20000.0,22300.0,1700.0,29000.0,,2020.0,46222.0,100.0,33237.0,55000.0,23000.0,1260000.0,1200.0,146999.0,13000.0,380.0
1965,-1.0,13608.0,1055000.0,88000.0,2400.0,800.0,2200.0,11800.0,295000.0,5500.0,5700.0,800.0,-1.0,,-1.0,-1.0,-1.0,13000.0,,133000.0,-1.0,542635.0,,100.0,100000.0,20000.0,150000.0,,1829.0,116000.0,133000.0,12000.0,100000.0,40000.0,57479.0,72000.0,40.0,234400.0,600.0,480.0,450.0,158800.0,,30650.0,90000.0,6000000.0,8300.0,2000.0,35000.0,10000.0,20000.0,22600.0,2000.0,29200.0,,2041.0,46659.0,100.0,27797.0,55000.0,14300.0,1300000.0,1250.0,148528.0,13000.0,390.0
1966,-1.0,13608.0,874000.0,90000.0,2629.0,800.0,2250.0,12400.0,280000.0,6000.0,5700.0,800.0,-1.0,,-1.0,-1.0,-1.0,13300.0,,138000.0,-1.0,454200.0,8.0,100.0,105000.0,24000.0,150000.0,,2000.0,117000.0,139000.0,10000.0,140000.0,35000.0,63486.0,73500.0,50.0,238800.0,600.0,490.0,450.0,162100.0,,31440.0,101600.0,6987000.0,8500.0,2000.0,38000.0,8680.0,20000.0,24942.0,2437.0,30000.0,,2268.0,44049.0,90.0,26252.0,55000.0,25500.0,1320000.0,1300.0,161914.0,13000.0,390.0
1967,-1.0,14288.0,1133800.0,90000.0,2673.0,870.0,2300.0,13200.0,285000.0,6000.0,5700.0,800.0,-1.0,,-1.0,-1.0,-1.0,13500.0,,142000.0,-1.0,564300.0,9.0,100.0,112000.0,30000.0,145000.0,,2400.0,118000.0,141000.0,7000.0,130000.0,38000.0,74580.0,80000.0,60.0,243300.0,600.0,495.0,505.0,163370.0,,32485.0,113000.0,7806000.0,8700.0,2100.0,42000.0,11000.0,20000.0,25532.0,2508.0,31000.0,,2722.0,43376.0,80.0,26702.0,60000.0,6180.0,1350000.0,1600.0,171991.0,13000.0,390.0
1968,-1.0,12700.0,1236000.0,90000.0,3099.0,1100.0,2350.0,15100.0,290000.0,6000.0,5700.0,850.0,-1.0,,-1.0,-1.0,-1.0,13800.0,,145000.0,-1.0,647500.0,9.0,100.0,115000.0,34166.0,135000.0,,2800.0,119000.0,144000.0,10000.0,130000.0,40000.0,66306.0,85000.0,80.0,248000.0,600.0,500.0,510.0,169900.0,,32530.0,155000.0,8233000.0,8900.0,2000.0,44000.0,14000.0,20000.0,26122.0,1711.0,31000.0,,2948.0,44081.0,70.0,24994.0,60000.0,22500.0,1388000.0,1155.0,178023.0,13000.0,390.0
1969,-1.0,13381.0,1325000.0,90000.0,3251.0,1100.0,2400.0,14500.0,300000.0,7000.0,5700.0,900.0,-1.0,,-1.0,-1.0,-1.0,14000.0,,150000.0,-1.0,529600.0,9.0,100.0,120000.0,35000.0,130000.0,,3000.0,120000.0,120000.0,8000.0,120000.0,40000.0,62556.0,92000.0,150.0,252900.0,600.0,510.0,515.0,173100.0,,32577.0,167500.0,9785000.0,9000.0,2100.0,46000.0,11004.0,22000.0,26711.0,2083.0,31000.0,,2642.0,45155.0,62.0,23087.0,55000.0,22500.0,1520000.0,1860.0,161158.0,13000.0,400.0
1970,-1.0,13018.0,909000.0,94000.0,3175.0,900.0,2450.0,11700.0,290000.0,7000.0,5800.0,900.0,-1.0,,-1.0,-1.0,-1.0,14200.0,,152000.0,-1.0,515820.0,10.0,100.0,124000.0,35000.0,120000.0,,3339.0,120000.0,100000.0,8500.0,125000.0,45000.0,80825.0,98000.0,230.0,258100.0,600.0,515.0,520.0,175600.0,,31577.0,161200.0,12033000.0,9200.0,2100.0,50000.0,15420.0,22000.0,27301.0,1789.0,30000.0,,2256.0,41020.0,57.0,24413.0,55000.0,22000.0,1551000.0,3933.0,223070.0,13500.0,400.0
