,Malawi,Guadeloupe,Kenya,Fiji,Belgium,Polynesia,Papua New Guinea,Comoros,Mexico,Tonga,Réunion,China,Portugal,French Polynesia,Madagascar,Melanesia,Cook Islands,"China, mainland",Indonesia,Zimbabwe,Uganda
1961,-1.0,100.0,-1.0,-1,-1,1903.0,-1.0,-1.0,7130.0,-1.0,700.0,-1.0,-1,1900.0,5800.0,0.0,3.0,-1.0,800.0,-1.0,50.0
1962,-1.0,110.0,-1.0,-1,-1,1903.0,-1.0,-1.0,6286.0,-1.0,780.0,-1.0,-1,1900.0,6000.0,0.0,3.0,-1.0,800.0,-1.0,50.0
1963,-1.0,110.0,-1.0,-1,-1,1603.0,-1.0,-1.0,2544.0,-1.0,1200.0,-1.0,-1,1600.0,6200.0,0.0,3.0,-1.0,1000.0,-1.0,50.0
1964,-1.0,110.0,-1.0,-1,-1,1003.0,-1.0,-1.0,2580.0,-1.0,700.0,-1.0,-1,1000.0,6200.0,0.0,3.0,-1.0,1000.0,-1.0,50.0
1965,-1.0,110.0,-1.0,-1,-1,1303.0,-1.0,-1.0,2601.0,-1.0,1200.0,-1.0,-1,1300.0,6395.0,0.0,3.0,-1.0,1000.0,-1.0,50.0
1966,-1.0,110.0,-1.0,-1,-1,903.0,-1.0,-1.0,2650.0,-1.0,400.0,-1.0,-1,900.0,6650.0,0.0,3.0,-1.0,1500.0,-1.0,50.0
1967,-1.0,49.0,-1.0,-1,-1,603.0,-1.0,-1.0,2404.0,-1.0,400.0,-1.0,-1,600.0,6740.0,0.0,3.0,-1.0,1500.0,-1.0,50.0
1968,-1.0,50.0,-1.0,-1,-1,878.0,-1.0,-1.0,2193.0,175.0,400.0,-1.0,-1,700.0,6615.0,0.0,3.0,-1.0,1500.0,-1.0,50.0
1969,-1.0,50.0,-1.0,-1,-1,628.0,-1.0,-1.0,2060.0,175.0,700.0,-1.0,-1,450.0,6700.0,0.0,3.0,-1.0,1500.0,-1.0,50.0
1970,-1.0,50.0,-1.0,-1,-1,528.0,-1.0,-1.0,1167.0,175.0,600.0,-1.0,-1,350.0,6700.0,0.0,3.0,-1.0,2000.0,-1.0,50.0
1971,-1.0,50.0,-1.0,-1,-1,728.0,-1.0,-1.0,1573.0,175.0,790.0,-1.0,-1,550.0,6565.0,0.0,3.0,-1.0,2000.0,-1.0,50.0
1972,-1.0,50.0,-1.0,-1,-1,778.0,-1.0,-1.0,1577.0,175.0,700.0,-1.0,-1,600.0,10370.0,0.0,3.0,-1.0,2000.0,-1.0,50.0
1973,-1.0,50.0,-1.0,-1,-1,780.0,-1.0,-1.0,1460.0,177.0,785.0,-1.0,-1,600.0,10500.0,0.0,3.0,-1.0,2100.0,-1.0,50.0
1974,-1.0,40.0,-1.0,-1,-1,680.0,-1.0,-1.0,850.0,177.0,785.0,-1.0,-1,500.0,10500.0,0.0,3.0,-1.0,2100.0,-1.0,50.0
1975,-1.0,35.0,-1.0,-1,-1,480.0,-1.0,-1.0,1083.0,177.0,785.0,-1.0,-1,300.0,10500.0,0.0,3.0,-1.0,2800.0,-1.0,50.0
1976,-1.0,35.0,-1.0,-1,-1,481.0,-1.0,-1.0,1360.0,178.0,785.0,-1.0,-1,300.0,9400.0,0.0,3.0,-1.0,2600.0,-1.0,50.0
1977,-1.0,15.0,-1.0,-1,-1,381.0,-1.0,-1.0,817.0,178.0,785.0,-1.0,-1,200.0,8900.0,0.0,3.0,-1.0,2000.0,-1.0,50.0
1978,-1.0,20.0,-1.0,-1,-1,281.0,-1.0,-1.0,378.0,178.0,785.0,-1.0,-1,100.0,9000.0,0.0,3.0,-1.0,2200.0,-1.0,50.0
1979,-1.0,20.0,45.0,-1,-1,281.0,-1.0,-1.0,415.0,178.0,790.0,-1.0,-1,100.0,9200.0,0.0,3.0,-1.0,1400.0,-1.0,50.0
1980,-1.0,20.0,45.0,-1,-1,282.0,-1.0,-1.0,412.0,178.0,780.0,-1.0,-1,100.0,25700.0,0.0,4.0,-1.0,1400.0,-1.0,50.0
1981,-1.0,20.0,45.0,-1,-1,334.0,-1.0,-1.0,217.0,200.0,530.0,-1.0,-1,130.0,25050.0,0.0,4.0,-1.0,1600.0,-1.0,50.0
1982,-1.0,18.0,60.0,-1,-1,334.0,-1.0,-1.0,407.0,200.0,530.0,-1.0,-1,130.0,25420.0,0.0,4.0,-1.0,1300.0,-1.0,50.0
1983,-1.0,18.0,45.0,-1,-1,334.0,-1.0,-1.0,395.0,200.0,600.0,-1.0,-1,130.0,26000.0,0.0,4.0,-1.0,1700.0,-1.0,50.0
1984,80.0,18.0,45.0,-1,-1,334.0,-1.0,-1.0,397.0,130.0,690.0,-1.0,-1,200.0,26300.0,0.0,4.0,-1.0,1890.0,-1.0,50.0
1985,80.0,20.0,45.0,-1,-1,556.0,-1.0,1000.0,265.0,322.0,680.0,1000.0,-1,230.0,26610.0,0.0,4.0,1000.0,2600.0,-1.0,50.0
1986,80.0,35.0,45.0,-1,-1,584.0,-1.0,1000.0,297.0,330.0,700.0,1000.0,-1,250.0,26800.0,0.0,4.0,1000.0,3340.0,-1.0,50.0
1987,80.0,35.0,45.0,-1,-1,629.0,-1.0,1000.0,390.0,335.0,750.0,1000.0,-1,290.0,27400.0,0.0,4.0,1000.0,4440.0,-1.0,50.0
1988,80.0,35.0,45.0,-1,-1,594.0,-1.0,1000.0,800.0,340.0,750.0,1000.0,-1,250.0,27400.0,0.0,4.0,1000.0,5000.0,-1.0,50.0
1989,80.0,35.0,45.0,-1,-1,534.0,-1.0,1000.0,963.0,350.0,600.0,1000.0,-1,180.0,28600.0,0.0,4.0,1000.0,5570.0,-1.0,50.0
1990,86.0,40.0,48.0,-1,-1,369.0,-1.0,1070.0,946.0,185.0,550.0,814.0,-1,180.0,30700.0,-1.0,4.0,814.0,5860.0,100.0,54.0
1991,100.0,41.0,38.0,-1,-1,362.0,-1.0,1000.0,1036.0,158.0,600.0,1100.0,-1,200.0,25000.0,-1.0,4.0,1100.0,6240.0,150.0,60.0
1992,80.0,37.0,39.0,-1,-1,524.0,-1.0,1330.0,1336.0,340.0,600.0,1021.0,-1,180.0,30700.0,-1.0,4.0,1021.0,6966.0,45.0,50.0
1993,100.0,40.0,40.0,-1,-1,997.0,-1.0,1391.0,1383.0,804.0,600.0,1150.0,-1,190.0,23810.0,-1.0,3.0,1150.0,7000.0,74.0,60.0
1994,80.0,41.0,42.0,-1,-1,454.0,-1.0,800.0,538.0,250.0,740.0,1073.0,-1,200.0,23000.0,-1.0,4.0,1073.0,7654.0,76.0,65.0
1995,90.0,43.0,40.0,-1,-1,403.0,-1.0,700.0,529.0,250.0,690.0,1101.0,-1,150.0,24275.0,-1.0,3.0,1101.0,7965.0,83.0,50.0
1996,100.0,42.0,41.0,-1,-1,602.0,-1.0,600.0,863.0,250.0,587.0,1200.0,-1,350.0,25430.0,-1.0,2.0,1200.0,9072.0,70.0,70.0
1997,80.0,42.0,45.0,-1,-1,701.0,-1.0,700.0,1677.0,250.0,700.0,1102.0,-1,450.0,25300.0,-1.0,1.0,1102.0,9428.0,45.0,75.0
1998,90.0,41.0,45.0,-1,-1,737.0,-1.0,754.0,2280.0,335.0,340.0,1088.0,-1,400.0,25400.0,-1.0,2.0,1088.0,9689.0,45.0,120.0
1999,87.0,41.0,42.0,-1,-1,664.0,-1.0,659.0,2197.0,464.0,340.0,1123.0,-1,200.0,25550.0,-1.0,0.0,1123.0,7800.0,54.0,80.0
2000,80.0,40.0,40.0,-1,-1,740.0,-1.0,659.0,1094.0,290.0,340.0,1153.0,-1,450.0,25620.0,-1.0,0.0,1153.0,7900.0,45.0,88.0
2001,84.0,40.0,32.0,-1,-1,690.0,140.0,659.0,1046.0,290.0,350.0,1138.0,-1,400.0,25750.0,140.0,0.0,1138.0,8539.0,45.0,100.0
2002,83.0,40.0,30.0,-1,-1,740.0,600.0,659.0,657.0,290.0,351.0,1132.0,-1,450.0,25880.0,600.0,0.0,1132.0,8903.0,37.0,140.0
2003,83.0,40.0,35.0,-1,-1,740.0,2400.0,550.0,839.0,290.0,345.0,1200.0,-1,450.0,26050.0,2400.0,0.0,1200.0,9216.0,45.0,200.0
2004,82.0,40.0,35.0,-1,-1,805.0,2200.0,300.0,888.0,305.0,300.0,1336.0,-1,500.0,26220.0,2200.0,0.0,1336.0,9216.0,43.0,340.0
2005,82.0,40.0,34.0,-1,-1,909.0,1800.0,325.0,701.0,303.0,304.0,1300.0,-1,607.0,63764.0,1800.0,0.0,1300.0,9000.0,40.0,400.0
2006,82.0,40.0,34.0,-1,-1,770.0,1600.0,375.0,710.0,300.0,315.0,1400.0,-1,470.0,64000.0,1600.0,0.0,1400.0,13000.0,38.0,560.0
2007,80.0,40.0,40.0,-1,-1,780.0,1700.0,250.0,1103.0,320.0,200.0,1500.0,-1,460.0,67000.0,1700.0,0.0,1500.0,11000.0,45.0,600.0
2008,80.0,40.0,31.0,-1,-1,846.0,1750.0,250.0,1143.0,299.0,200.0,1685.0,-1,548.0,69842.0,1750.0,0.0,1685.0,12500.0,34.0,550.0
2009,80.0,40.0,29.0,-1,-1,1090.0,1500.0,204.0,1088.0,294.0,200.0,1656.0,-1,796.0,69974.0,1500.0,0.0,1656.0,12800.0,32.0,500.0
2010,80.0,40.0,27.0,-1,-1,730.0,1400.0,183.0,997.0,300.0,272.0,1300.0,-1,430.0,69140.0,1400.0,0.0,1300.0,11566.0,31.0,500.0
2011,80.0,40.0,25.0,-1,-1,720.0,1380.0,159.0,1095.0,290.0,302.0,4460.0,-1,430.0,71380.0,1380.0,0.0,4460.0,17173.0,29.0,360.0
2012,79.0,40.0,22.0,-1,-1,760.0,1400.0,130.0,1111.0,310.0,325.0,3200.0,-1,450.0,80078.0,1400.0,0.0,3200.0,19900.0,25.0,350.0
2013,79.0,41.0,22.0,-1,-1,550.0,1719.0,116.0,969.0,300.0,323.0,2600.0,-1,250.0,85745.0,1719.0,0.0,2600.0,16600.0,25.0,333.0
2014,79.0,41.0,21.0,-1,-1,537.0,1850.0,100.0,934.0,287.0,320.0,1220.0,-1,250.0,89474.0,1850.0,0.0,1220.0,13600.0,25.0,407.0
