,Slovakia,Romania,Eritrea,USSR,Australia & New Zealand,Australia,Iraq,Mexico,Pakistan,Belgium,Nepal,Ethiopia,Kenya,Czechia,Bangladesh,Italy,Germany,Turkmenistan,Croatia,Tajikistan,Tunisia,Sweden,Estonia,Uzbekistan,Brazil,Armenia,Morocco,Switzerland,Chile,Argentina,Afghanistan,Spain,Kyrgyzstan,India,Austria,Ecuador,Japan,Poland,Canada,Belgium-Luxembourg,Turkey,Belarus,Denmark,Ethiopia PDR,Egypt,Greece,Azerbaijan,France,New Zealand,Lithuania,Hungary,Russian Federation,Portugal,Bolivia (Plurinational State of),Yugoslav SFR,Iran (Islamic Republic of),Kazakhstan,United States of America,Latvia,Ukraine,"China, mainland",Czechoslovakia,Cyprus,Peru,United Kingdom,Uruguay,Bosnia and Herzegovina,Bulgaria,Netherlands,China
1961,,27800.0,,1875000.0,30587.0,25144.0,9036.0,20125.0,5260.0,,15000.0,,454.0,,19425.0,7275.0,25701.0,,,,2000.0,3160.0,,,46146.0,,16000.0,-1.0,7700.0,1087000.0,46800.0,8586.0,,1789000.0,-1.0,,11200.0,111000.0,844200.0,26645.0,34000.0,,1635.0,102000.0,12059.0,848.0,,52000.0,5443.0,,6742.0,,271.0,,7900.0,8000.0,,1017380.0,,,35000.0,44114.0,241.0,,,117536.0,,8630.0,21651.0,35000.0
1962,,30500.0,,2020000.0,45634.0,39281.0,11913.0,19012.0,4450.0,,16000.0,,728.0,,19830.0,6662.0,26570.0,,,,2000.0,2640.0,,,55389.0,,11000.0,-1.0,6900.0,1171700.0,46800.0,8710.0,,1977000.0,-1.0,,11200.0,131200.0,585329.0,32696.0,29000.0,,919.0,104000.0,11370.0,740.0,,60351.0,6353.0,,6196.0,,273.0,,5840.0,8000.0,,1136360.0,,,40000.0,45427.0,268.0,,,144175.0,,8950.0,23965.0,40000.0
1963,,37600.0,,1770000.0,55225.0,47551.0,11779.0,18010.0,6470.0,,17000.0,,243.0,,23067.0,6019.0,17752.0,,,,2000.0,2300.0,,,55900.0,,7000.0,-1.0,4450.0,1315300.0,46800.0,7405.0,,1904000.0,-1.0,,8730.0,116200.0,680845.0,33917.0,29000.0,,495.0,106000.0,10944.0,550.0,,73903.0,7674.0,,7737.0,,270.0,,5880.0,8000.0,,1283645.0,,,40000.0,47625.0,268.0,,,159695.0,,8800.0,26608.0,40000.0
1964,,46900.0,,1870000.0,62105.0,54166.0,13095.0,17767.0,6070.0,,18000.0,,240.0,,20639.0,5094.0,12089.0,,,,2000.0,2460.0,,,67428.0,,10000.0,-1.0,4450.0,1216700.0,46800.0,2964.0,,1995000.0,-1.0,,8120.0,125000.0,800052.0,39187.0,26000.0,,404.0,108300.0,13916.0,480.0,,79099.0,7939.0,,7910.0,,271.0,,5370.0,8000.0,,1143221.0,,,45000.0,48615.0,201.0,,,131565.0,,8572.0,30651.0,45000.0
1965,,51030.0,,1784000.0,14424.0,9950.0,16364.0,18141.0,6470.0,,19000.0,,240.0,,21448.0,4647.0,14445.0,,,,2000.0,1570.0,,,69768.0,,14000.0,-1.0,4450.0,1084300.0,46800.0,1617.0,,2042000.0,-1.0,,5240.0,113700.0,936729.0,27012.0,24000.0,,263.0,110800.0,10857.0,380.0,,60277.0,4474.0,,7387.0,,287.0,,4840.0,8000.0,,1122987.0,,,45000.0,38030.0,134.0,,,112880.0,,8904.0,21623.0,45000.0
1966,,54400.0,,1676000.0,17197.0,13997.0,16158.0,18502.0,6070.0,,20000.0,,240.0,,21900.0,3950.0,16098.0,,,,2000.0,100.0,,,57887.0,,9000.0,-1.0,1620.0,1004000.0,46800.0,3313.0,,1723000.0,-1.0,,3000.0,105700.0,776068.0,23554.0,17500.0,,188.0,110800.0,10082.0,290.0,,62085.0,3200.0,,10215.0,,290.0,,4400.0,7000.0,,1042456.0,,,40000.0,32794.0,107.0,,,68549.0,,9040.0,18317.0,40000.0
1967,,63500.0,,1665000.0,25346.0,22046.0,16053.0,15695.0,6470.0,,21000.0,,240.0,,17800.0,3694.0,15063.0,,,,2000.0,,,,44190.0,,4000.0,-1.0,1620.0,800700.0,46800.0,4312.0,,1495400.0,-1.0,,1040.0,122600.0,414150.0,14012.0,18000.0,,198.0,113000.0,10108.0,241.0,,55576.0,3300.0,,11241.0,,313.0,,4150.0,4000.0,,799243.0,,,40000.0,32084.0,134.0,,,66100.0,,11238.0,9529.0,40000.0
1968,,66366.0,,1593000.0,31914.0,28569.0,15454.0,14757.0,7280.0,,22000.0,,240.0,,15000.0,1353.0,10762.0,,,,2000.0,,,,44585.0,,4081.0,-1.0,810.0,616300.0,46200.0,4673.0,,1776700.0,-1.0,,410.0,116600.0,616894.0,14621.0,16000.0,,131.0,115300.0,15123.0,120.0,,31271.0,3345.0,,13162.0,,307.0,,3180.0,5000.0,,846591.0,,,45000.0,37110.0,94.0,,,51250.0,,12305.0,10370.0,45000.0
1969,,71986.0,,1549000.0,54066.0,49210.0,16217.0,11381.0,6880.0,,23000.0,,240.0,,14600.0,1137.0,10446.0,,,,2000.0,,,,43949.0,,3900.0,-1.0,810.0,809500.0,46800.0,1090.0,,1696900.0,-1.0,,0.0,99800.0,947230.0,15579.0,17000.0,,371.0,117600.0,16383.0,90.0,,42276.0,4856.0,,13380.0,,279.0,,2806.0,6000.0,,1054191.0,,,43000.0,37072.0,,5.0,,81680.0,,9775.0,8940.0,43000.0
1970,,78676.0,,1432000.0,46498.0,41642.0,17219.0,26910.0,5670.0,,24000.0,,240.0,,14600.0,875.0,10649.0,,,,2000.0,,,,32006.0,,7900.0,-1.0,810.0,790800.0,46800.0,402.0,,1802800.0,-1.0,,,98300.0,1340867.0,8203.0,11000.0,,132.0,120000.0,8417.0,100.0,,39703.0,4856.0,,14400.0,,131.0,,2218.0,6000.0,,1147672.0,,,45000.0,30019.0,,30.0,,144348.0,,9002.0,5188.0,45000.0
1971,,84100.0,,1470000.0,25830.0,19830.0,9461.0,26825.0,6174.0,,25000.0,,240.0,,14600.0,823.0,11166.0,,,,2000.0,,,,25544.0,,3100.0,-1.0,1000.0,833800.0,47400.0,209.0,,1896800.0,-1.0,,,100500.0,715393.0,12456.0,10500.0,,85.0,122400.0,9662.0,100.0,,41500.0,6000.0,,25900.0,,177.0,,2048.0,3000.0,,625231.0,,,44000.0,25518.0,250.0,15.0,,91550.0,,9197.0,7118.0,44000.0
1972,,83500.0,,1496000.0,22300.0,16300.0,5948.0,6826.0,7679.0,,27000.0,,240.0,,20000.0,2724.0,8995.0,,,,2000.0,,,,18677.0,,8300.0,-1.0,1000.0,450860.0,47900.0,1195.0,,2064400.0,-1.0,,,96400.0,534582.0,8051.0,11000.0,,51.0,124800.0,14703.0,100.0,,34200.0,6000.0,,24700.0,,197.0,,1631.0,3000.0,,464977.0,,,43000.0,25180.0,250.0,75.0,,73620.0,,8354.0,6099.0,43000.0
