,Cuba,Jamaica,Puerto Rico,United States of America,Singapore,Israel,Fiji,Australia,Panama,Pakistan,French Guiana,Paraguay,Samoa,Belize,Nepal,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Suriname,Tunisia,Brazil,Mozambique,Morocco,Australia & New Zealand,El Salvador,Chile,Honduras,Argentina,Colombia,Timor-Leste,Venezuela (Bolivarian Republic of),India,"China, Taiwan Province of",Ecuador,Réunion,Indonesia,Maldives,Dominica,Trinidad and Tobago,Melanesia,Malaysia,Grenada,Mexico,Yemen,Haiti,Oman,Democratic Republic of the Congo,Nigeria,Mali,Zimbabwe,Congo,Dominican Republic,Polynesia,Bolivia (Plurinational State of),Iran (Islamic Republic of),Peru,Ghana,Philippines,Cook Islands,China,"China, mainland",Guadeloupe,Bahamas,Guinea-Bissau,Côte d'Ivoire,Rwanda,South Africa,Cameroon,Thailand,Guatemala
1961,30000.0,730.0,300.0,7149.0,,,,5444.0,-1.0,,-1.0,9000.0,7500.0,-1.0,-1.0,,30000.0,-1.0,2200.0,15000.0,-1.0,,49725.0,20000.0,-1.0,5444.0,1300.0,660.0,-1.0,200.0,30000.0,-1.0,22913.0,228000.0,10584.0,66000.0,,200000.0,-1.0,-1.0,-1.0,,1900.0,-1.0,35757.0,,-1.0,,126000.0,250000.0,5000.0,,-1.0,5122.0,7520.0,3300.0,,25000.0,-1.0,47699.0,20.0,10584.0,-1.0,,-1.0,1000.0,-1.0,-1.0,20374.0,-1.0,65000.0,-1.0
1962,31000.0,750.0,310.0,6670.0,,,,5444.0,-1.0,,-1.0,9000.0,7900.0,-1.0,-1.0,,30000.0,-1.0,2300.0,16000.0,-1.0,,51000.0,20000.0,-1.0,5444.0,1400.0,680.0,-1.0,220.0,31000.0,-1.0,24517.0,232000.0,10471.0,67000.0,,200000.0,-1.0,-1.0,-1.0,,1250.0,-1.0,48161.0,,-1.0,,128000.0,250000.0,5000.0,,-1.0,5247.0,7920.0,3400.0,,26000.0,-1.0,50653.0,20.0,10471.0,-1.0,,-1.0,1000.0,-1.0,-1.0,19065.0,-1.0,65000.0,-1.0
1963,32614.0,760.0,330.0,6396.0,,,,6327.0,-1.0,,-1.0,9100.0,8100.0,-1.0,-1.0,,30000.0,-1.0,2300.0,17000.0,-1.0,,51850.0,20000.0,-1.0,6327.0,1500.0,680.0,-1.0,240.0,32000.0,-1.0,26233.0,236000.0,10527.0,68000.0,,240000.0,-1.0,-1.0,-1.0,,2400.0,-1.0,67649.0,,-1.0,,130000.0,250000.0,5000.0,,-1.0,5395.0,8120.0,3500.0,,27000.0,-1.0,51516.0,20.0,10527.0,-1.0,,-1.0,1000.0,-1.0,-1.0,16044.0,-1.0,65000.0,-1.0
1964,28227.0,770.0,380.0,11000.0,,,,6015.0,-1.0,,-1.0,9100.0,8300.0,-1.0,-1.0,,30000.0,-1.0,2400.0,18000.0,-1.0,,53125.0,20000.0,-1.0,6015.0,1600.0,700.0,-1.0,260.0,33000.0,-1.0,30034.0,151000.0,11700.0,70000.0,,240000.0,-1.0,-1.0,-1.0,,2500.0,-1.0,70342.0,,-1.0,,132000.0,250000.0,5000.0,,-1.0,5559.0,8320.0,3600.0,,28000.0,-1.0,52000.0,20.0,11700.0,-1.0,,-1.0,1000.0,-1.0,-1.0,22089.0,-1.0,65000.0,-1.0
1965,35191.0,780.0,400.0,8791.0,,,,6692.0,-1.0,,-1.0,9200.0,8500.0,-1.0,-1.0,,30000.0,-1.0,2400.0,19000.0,-1.0,,54400.0,20000.0,-1.0,6692.0,1700.0,700.0,-1.0,280.0,34000.0,-1.0,32136.0,179000.0,12669.0,71020.0,,280000.0,-1.0,-1.0,-1.0,,2500.0,-1.0,118975.0,,-1.0,,134000.0,300000.0,6000.0,,-1.0,5720.0,8520.0,3700.0,,29000.0,-1.0,58755.0,20.0,12669.0,-1.0,,-1.0,1000.0,-1.0,-1.0,16252.0,-1.0,65000.0,-1.0
1966,66285.0,790.0,420.0,8473.0,,,,5253.0,-1.0,,-1.0,9200.0,9000.0,-1.0,-1.0,,30000.0,-1.0,2500.0,19290.0,-1.0,,55250.0,20000.0,-1.0,5253.0,1800.0,710.0,-1.0,300.0,35000.0,-1.0,27519.0,206000.0,13672.0,72000.0,,300000.0,-1.0,-1.0,-1.0,,2800.0,-1.0,122212.0,,-1.0,,136000.0,300000.0,6000.0,,-1.0,5897.0,9020.0,3800.0,,32165.0,-1.0,57993.0,20.0,13672.0,-1.0,,-1.0,1000.0,-1.0,-1.0,18519.0,-1.0,65000.0,-1.0
1967,53284.0,790.0,420.0,10362.0,,,,8038.0,-1.0,,-1.0,9500.0,9000.0,-1.0,-1.0,,30000.0,-1.0,2500.0,27413.0,-1.0,,56525.0,21000.0,-1.0,8038.0,1900.0,700.0,-1.0,300.0,36000.0,-1.0,28372.0,209000.0,16648.0,73558.0,,300000.0,-1.0,-1.0,-1.0,,3100.0,-1.0,117656.0,,-1.0,,137000.0,300000.0,7000.0,,-1.0,6072.0,9020.0,4000.0,,32330.0,-1.0,61623.0,20.0,16648.0,-1.0,,-1.0,1050.0,-1.0,-1.0,20108.0,-1.0,65000.0,-1.0
1968,71131.0,780.0,450.0,10682.0,,,,6203.0,-1.0,,-1.0,9700.0,9500.0,-1.0,-1.0,,30000.0,-1.0,2500.0,22958.0,-1.0,,57800.0,22000.0,-1.0,6203.0,1900.0,680.0,-1.0,295.0,37000.0,-1.0,29251.0,205000.0,18632.0,51916.0,,350000.0,-1.0,-1.0,-1.0,,3400.0,-1.0,128424.0,,-1.0,,140000.0,300000.0,7000.0,,-1.0,6257.0,9520.0,4000.0,,40612.0,-1.0,51239.0,20.0,18632.0,-1.0,,-1.0,1100.0,-1.0,-1.0,21643.0,-1.0,65000.0,-1.0
1969,35250.0,760.0,460.0,8725.0,,,,4958.0,-1.0,,-1.0,10000.0,9500.0,-1.0,-1.0,,30000.0,-1.0,2600.0,23648.0,-1.0,,59500.0,26000.0,-1.0,4958.0,1950.0,660.0,-1.0,571.0,38000.0,-1.0,30158.0,222000.0,19381.0,55000.0,,360000.0,-1.0,-1.0,-1.0,,3100.0,-1.0,119788.0,,-1.0,,144000.0,300000.0,7000.0,,-1.0,6446.0,9530.0,4200.0,,53015.0,-1.0,50906.0,30.0,19381.0,-1.0,,-1.0,1150.0,-1.0,-1.0,18112.0,-1.0,65000.0,-1.0
1970,8604.0,730.0,480.0,11322.0,,,,4902.0,-1.0,,-1.0,10200.0,9500.0,-1.0,-1.0,,30000.0,-1.0,2600.0,22256.0,-1.0,,61200.0,32000.0,-1.0,4902.0,1950.0,640.0,-1.0,900.0,39000.0,-1.0,31093.0,204680.0,19001.0,50000.0,,300000.0,-1.0,-1.0,-1.0,,3200.0,-1.0,125097.0,,-1.0,,148300.0,350000.0,7000.0,,-1.0,6688.0,9530.0,4200.0,,56901.0,-1.0,60462.0,30.0,19001.0,-1.0,,-1.0,1200.0,-1.0,-1.0,24243.0,-1.0,65000.0,-1.0
