,Kenya,"China, Taiwan Province of",Belarus,Croatia,Zambia,Syrian Arab Republic,Brazil,United Republic of Tanzania,Nepal,Uzbekistan,Denmark,The former Yugoslav Republic of Macedonia,Greece,Ireland,Zimbabwe,Republic of Korea,Norway,Yemen,Australia & New Zealand,Yugoslav SFR,Algeria,Slovenia,Madagascar,Latvia,Ukraine,Israel,Belgium,Switzerland,Uruguay,Azerbaijan,Egypt,Bosnia and Herzegovina,China,Malta,Colombia,Libya,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Montenegro,Kazakhstan,Saint Vincent and the Grenadines,Portugal,Poland,"China, mainland",Russian Federation,Italy,Luxembourg,Bolivia (Plurinational State of),Peru,Democratic People's Republic of Korea,Serbia and Montenegro,Serbia,Germany,Armenia,United Kingdom,Canada,Japan,Afghanistan,Iraq,Cyprus,Spain,New Zealand,Bulgaria,United States of America,Iran (Islamic Republic of),Pakistan,Czechoslovakia,Czechia,Argentina,Paraguay,Georgia,India,Austria,Morocco,Bhutan,Sweden,USSR,Mexico,Romania,Ecuador,Jordan,Tunisia,Albania,Slovakia,France,South Africa,Australia,Lithuania,Netherlands,Belgium-Luxembourg,Republic of Moldova,Turkey
1961,-1.0,127.0,-1.0,-1.0,-1,2000.0,3553.0,-1.0,-1.0,-1.0,-1.0,-1.0,7800.0,-1,-1.0,3905.0,-1.0,-1.0,7757.0,-1.0,2200.0,-1.0,80.0,-1.0,-1.0,140.0,-1.0,700.0,-1.0,-1.0,840.0,-1.0,120127.0,-1.0,-1.0,-1.0,1900.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,5500.0,-1.0,120000.0,-1.0,56600.0,-1.0,930.0,480.0,1200.0,-1.0,-1.0,-1.0,-1.0,4200.0,4950.0,19650.0,300.0,-1.0,286.0,6600.0,560.0,3851.0,35770.0,4800.0,1000.0,-1.0,-1.0,-1.0,-1.0,-1.0,6100.0,-1.0,-1.0,-1.0,-1.0,125000.0,1955.0,-1.0,1100.0,200.0,1000.0,-1.0,-1.0,25337.0,5000.0,7197.0,-1.0,-1.0,2000.0,-1.0,31837.0
1962,-1.0,145.0,-1.0,-1.0,-1,2500.0,3742.0,-1.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1,-1.0,3680.0,-1.0,-1.0,8031.0,-1.0,2500.0,-1.0,80.0,-1.0,-1.0,300.0,-1.0,780.0,-1.0,-1.0,840.0,-1.0,120145.0,-1.0,-1.0,-1.0,2000.0,-1.0,-1.0,2000.0,-1.0,-1.0,-1.0,-1.0,4400.0,-1.0,120000.0,-1.0,58500.0,-1.0,930.0,490.0,1200.0,-1.0,-1.0,-1.0,-1.0,4300.0,5750.0,20560.0,300.0,-1.0,314.0,7100.0,562.0,4071.0,35730.0,4800.0,1400.0,-1.0,-1.0,-1.0,-1.0,-1.0,6200.0,-1.0,-1.0,-1.0,-1.0,128000.0,2400.0,-1.0,1130.0,200.0,650.0,-1.0,-1.0,28272.0,5000.0,7469.0,-1.0,-1.0,2000.0,-1.0,32343.0
1963,-1.0,191.0,-1.0,-1.0,-1,2500.0,3890.0,-1.0,-1.0,-1.0,-1.0,-1.0,8200.0,-1,-1.0,3525.0,-1.0,-1.0,8668.0,-1.0,2200.0,-1.0,80.0,-1.0,-1.0,370.0,-1.0,480.0,-1.0,-1.0,840.0,-1.0,125191.0,-1.0,-1.0,-1.0,1500.0,-1.0,-1.0,2100.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,125000.0,-1.0,60000.0,-1.0,930.0,510.0,1200.0,-1.0,-1.0,-1.0,-1.0,4500.0,5600.0,20820.0,300.0,-1.0,329.0,9000.0,575.0,4546.0,35530.0,4900.0,1500.0,-1.0,-1.0,-1.0,-1.0,-1.0,6700.0,-1.0,-1.0,-1.0,-1.0,130000.0,2842.0,-1.0,1115.0,220.0,700.0,-1.0,-1.0,30770.0,5000.0,8093.0,-1.0,-1.0,2000.0,-1.0,33193.0
1964,-1.0,367.0,-1.0,-1.0,-1,2500.0,3964.0,-1.0,-1.0,-1.0,-1.0,-1.0,8500.0,-1,-1.0,3741.0,-1.0,-1.0,8789.0,-1.0,1900.0,-1.0,100.0,-1.0,-1.0,450.0,-1.0,630.0,-1.0,-1.0,1260.0,-1.0,130367.0,-1.0,-1.0,-1.0,1085.0,-1.0,-1.0,2100.0,-1.0,-1.0,-1.0,-1.0,4500.0,-1.0,130000.0,-1.0,61600.0,-1.0,930.0,530.0,1200.0,-1.0,-1.0,-1.0,-1.0,4700.0,6700.0,20910.0,320.0,-1.0,343.0,9600.0,580.0,4937.0,36100.0,5000.0,1600.0,-1.0,-1.0,-1.0,-1.0,-1.0,7700.0,-1.0,-1.0,-1.0,-1.0,140000.0,2942.0,-1.0,1118.0,250.0,700.0,-1.0,-1.0,30040.0,5500.0,8209.0,-1.0,-1.0,2000.0,-1.0,32933.0
1965,-1.0,627.0,-1.0,-1.0,-1,2500.0,4182.0,-1.0,-1.0,-1.0,-1.0,-1.0,8800.0,-1,-1.0,5091.0,-1.0,-1.0,8459.0,-1.0,2000.0,-1.0,100.0,-1.0,-1.0,800.0,-1.0,534.0,-1.0,-1.0,1136.0,-1.0,135627.0,-1.0,-1.0,-1.0,850.0,-1.0,-1.0,2800.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,135000.0,-1.0,63800.0,-1.0,930.0,530.0,1200.0,-1.0,-1.0,-1.0,-1.0,4500.0,3480.0,21000.0,340.0,-1.0,371.0,12100.0,585.0,5600.0,36740.0,5500.0,2200.0,-1.0,-1.0,-1.0,-1.0,-1.0,7500.0,-1.0,-1.0,-1.0,-1.0,145000.0,3021.0,-1.0,428.0,250.0,900.0,-1.0,-1.0,31986.0,5000.0,7874.0,-1.0,-1.0,2000.0,-1.0,33333.0
1966,-1.0,729.0,-1.0,-1.0,-1,2500.0,4367.0,-1.0,-1.0,-1.0,-1.0,-1.0,10400.0,-1,-1.0,5564.0,-1.0,-1.0,8597.0,-1.0,1900.0,-1.0,100.0,-1.0,-1.0,1000.0,-1.0,530.0,-1.0,-1.0,1160.0,-1.0,140729.0,-1.0,-1.0,-1.0,859.0,-1.0,-1.0,2850.0,-1.0,-1.0,-1.0,-1.0,4000.0,-1.0,140000.0,-1.0,75700.0,-1.0,910.0,544.0,1200.0,-1.0,-1.0,-1.0,-1.0,4300.0,6350.0,20900.0,370.0,-1.0,414.0,13800.0,597.0,6049.0,36790.0,5500.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,7800.0,-1.0,-1.0,-1.0,-1.0,150000.0,3049.0,-1.0,311.0,285.0,1000.0,-1.0,-1.0,33745.0,6000.0,8000.0,-1.0,-1.0,2000.0,-1.0,34000.0
1967,-1.0,919.0,-1.0,-1.0,-1,2500.0,4447.0,-1.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1,-1.0,5885.0,-1.0,-1.0,8571.0,-1.0,2200.0,-1.0,200.0,-1.0,-1.0,1100.0,-1.0,624.0,-1.0,-1.0,1266.0,-1.0,145919.0,-1.0,-1.0,-1.0,945.0,-1.0,-1.0,2900.0,-1.0,-1.0,-1.0,-1.0,7500.0,-1.0,145000.0,-1.0,79800.0,-1.0,910.0,549.0,1700.0,-1.0,-1.0,-1.0,-1.0,4000.0,5350.0,20400.0,420.0,-1.0,457.0,14500.0,623.0,6125.0,36660.0,6000.0,2100.0,-1.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,-1.0,155000.0,3068.0,-1.0,200.0,290.0,1000.0,-1.0,-1.0,28131.0,5000.0,7948.0,-1.0,-1.0,2000.0,-1.0,34860.0
1968,-1.0,1673.0,-1.0,-1.0,-1,2524.0,4602.0,-1.0,-1.0,-1.0,-1.0,-1.0,11000.0,-1,-1.0,6169.0,-1.0,-1.0,8897.0,-1.0,2400.0,-1.0,200.0,-1.0,-1.0,1100.0,-1.0,647.0,-1.0,-1.0,1260.0,-1.0,149673.0,-1.0,-1.0,-1.0,1079.0,-1.0,-1.0,2900.0,-1.0,-1.0,-1.0,-1.0,4790.0,-1.0,148000.0,-1.0,81000.0,-1.0,910.0,506.0,1700.0,-1.0,-1.0,-1.0,-1.0,5000.0,5550.0,20100.0,410.0,-1.0,514.0,15600.0,625.0,6753.0,37760.0,6000.0,3200.0,-1.0,-1.0,-1.0,-1.0,-1.0,8100.0,-1.0,-1.0,-1.0,-1.0,150000.0,3258.0,-1.0,216.0,160.0,1300.0,-1.0,-1.0,29213.0,5500.0,8272.0,-1.0,-1.0,2000.0,-1.0,28967.0
1969,-1.0,1959.0,-1.0,-1.0,-1,2692.0,4659.0,-1.0,-1.0,-1.0,-1.0,-1.0,10700.0,-1,-1.0,6237.0,-1.0,-1.0,8972.0,-1.0,2400.0,-1.0,200.0,-1.0,-1.0,1100.0,-1.0,659.0,-1.0,-1.0,1260.0,-1.0,156959.0,-1.0,-1.0,-1.0,1181.0,-1.0,-1.0,2900.0,-1.0,-1.0,-1.0,-1.0,4850.0,-1.0,155000.0,-1.0,78000.0,-1.0,930.0,736.0,2000.0,-1.0,-1.0,-1.0,-1.0,4200.0,3400.0,19700.0,420.0,-1.0,500.0,17700.0,627.0,7155.0,38610.0,6500.0,3000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8300.0,-1.0,-1.0,-1.0,-1.0,140000.0,3549.0,-1.0,783.0,-1.0,900.0,-1.0,-1.0,28481.0,6000.0,8345.0,-1.0,-1.0,2000.0,-1.0,30667.0
1970,-1.0,2181.0,-1.0,-1.0,-1,2470.0,4703.0,-1.0,-1.0,-1.0,-1.0,-1.0,10800.0,-1,-1.0,6701.0,-1.0,-1.0,9059.0,-1.0,2400.0,-1.0,200.0,-1.0,-1.0,1100.0,-1.0,678.0,-1.0,-1.0,1680.0,-1.0,166181.0,-1.0,-1.0,-1.0,1315.0,-1.0,-1.0,2900.0,-1.0,-1.0,-1.0,-1.0,4890.0,-1.0,164000.0,-1.0,78700.0,-1.0,930.0,626.0,2000.0,-1.0,-1.0,-1.0,-1.0,5000.0,5500.0,19500.0,420.0,-1.0,657.0,27400.0,626.0,7302.0,38360.0,6500.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,8600.0,-1.0,-1.0,-1.0,-1.0,185000.0,3678.0,-1.0,788.0,3.0,1200.0,-1.0,-1.0,28140.0,6000.0,8433.0,-1.0,-1.0,1800.0,-1.0,31567.0
1971,-1.0,2724.0,-1.0,-1.0,-1,2587.0,4615.0,-1.0,-1.0,-1.0,-1.0,-1.0,7200.0,-1,-1.0,6803.0,-1.0,-1.0,9125.0,-1.0,2500.0,-1.0,180.0,-1.0,-1.0,1100.0,-1.0,882.0,-1.0,-1.0,1680.0,-1.0,187724.0,-1.0,-1.0,-1.0,1356.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,5190.0,-1.0,185000.0,-1.0,74300.0,-1.0,930.0,659.0,3500.0,-1.0,-1.0,-1.0,-1.0,5000.0,4645.0,19400.0,420.0,-1.0,736.0,29600.0,627.0,7135.0,38360.0,7000.0,1700.0,-1.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,222000.0,4095.0,-1.0,1420.0,3.0,1600.0,-1.0,-1.0,28056.0,6000.0,8498.0,-1.0,-1.0,1800.0,-1.0,32450.0
