,Guinea,India,Melanesia,Malaysia,Cameroon,Congo,Gabon,Dominican Republic,Ecuador,Central African Republic,Mexico,Thailand,China,Indonesia,Liberia,Sri Lanka,Brunei Darussalam,Viet Nam,Papua New Guinea,Philippines,Côte d'Ivoire,Democratic Republic of the Congo,Bangladesh,Guatemala,Brazil,Ghana,"China, mainland",Nigeria,Myanmar,Cambodia
1961,-1.0,5998.0,4787.0,6074.0,8091.0,7333.0,-1.0,-1.0,-1.0,-1.0,-1.0,4651.0,-1.0,5123.0,5494.0,4537.0,962.0,6355.0,4787.0,3663.0,4740.0,4518.0,-1.0,-1.0,-1.0,5188.0,-1.0,4462.0,2342.0,8884.0
1962,-1.0,6030.0,4974.0,6104.0,8000.0,7750.0,-1.0,-1.0,-1.0,-1.0,-1.0,3541.0,-1.0,5083.0,6052.0,4537.0,940.0,6683.0,4974.0,3123.0,9031.0,4494.0,-1.0,-1.0,-1.0,4500.0,-1.0,4769.0,2468.0,9235.0
1963,-1.0,6200.0,5314.0,5935.0,9000.0,7750.0,-1.0,-1.0,-1.0,-1.0,-1.0,3645.0,-1.0,5131.0,5512.0,4556.0,1258.0,6443.0,5314.0,2873.0,3840.0,4835.0,-1.0,-1.0,-1.0,5580.0,-1.0,5077.0,2371.0,9057.0
1964,-1.0,5979.0,5131.0,6220.0,8057.0,7750.0,-1.0,-1.0,-1.0,-1.0,-1.0,3634.0,-1.0,5161.0,5775.0,4843.0,1419.0,6188.0,5131.0,3037.0,6167.0,4313.0,-1.0,-1.0,-1.0,7494.0,-1.0,5769.0,2617.0,9152.0
1965,-1.0,6023.0,5485.0,6113.0,8017.0,6667.0,-1.0,-1.0,-1.0,-1.0,-1.0,3695.0,-1.0,5099.0,5983.0,5128.0,858.0,4977.0,5485.0,3493.0,6684.0,3386.0,-1.0,-1.0,-1.0,5713.0,-1.0,5462.0,2480.0,9756.0
1966,-1.0,6045.0,5821.0,6949.0,8644.0,6667.0,-1.0,-1.0,-1.0,-1.0,-1.0,3750.0,-1.0,5228.0,6282.0,5667.0,682.0,3925.0,5821.0,4065.0,8474.0,3525.0,-1.0,-1.0,-1.0,6350.0,-1.0,5654.0,2391.0,9285.0
1967,-1.0,6128.0,5206.0,7075.0,9171.0,8333.0,-1.0,-1.0,-1.0,-1.0,-1.0,3565.0,-1.0,5110.0,7113.0,6182.0,463.0,4078.0,5206.0,4284.0,8310.0,3723.0,-1.0,-1.0,-1.0,6350.0,-1.0,5474.0,2407.0,9633.0
1968,-1.0,6259.0,5246.0,7859.0,8249.0,8333.0,-1.0,-1.0,-1.0,-1.0,-1.0,4191.0,-1.0,5277.0,7109.0,6414.0,195.0,3118.0,5246.0,3088.0,8383.0,4648.0,-1.0,-1.0,-1.0,9525.0,-1.0,5868.0,2514.0,8920.0
1969,-1.0,6663.0,5510.0,8453.0,8549.0,7500.0,-1.0,-1.0,-1.0,-1.0,-1.0,3794.0,-1.0,5115.0,7134.0,6544.0,454.0,2949.0,5510.0,2880.0,9255.0,5000.0,-1.0,-1.0,-1.0,8000.0,-1.0,6395.0,2550.0,9197.0
1970,-1.0,6515.0,4751.0,8462.0,8492.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,3539.0,-1.0,5767.0,6951.0,6917.0,387.0,3113.0,4751.0,2886.0,10501.0,4818.0,-1.0,-1.0,-1.0,8911.0,-1.0,6868.0,2614.0,8509.0
