,Chad,Cameroon,Congo,Mexico,Romania,Ethiopia,South Sudan,Central African Republic,Mauritania,Benin,Thailand,China,Greece,Latvia,"China, Taiwan Province of",Bulgaria,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,"China, mainland",Sudan (former),Mali,Nigeria,Senegal
1992,19700.0,95326.0,7000.0,64.0,-1,-1,-1.0,20210.0,5300.0,-1,-1,40020.0,842.0,-1,20.0,-1,927.0,79000.0,-1.0,40000.0,75000.0,-1.0,243000.0,7565.0
1993,20369.0,95746.0,7200.0,36.0,-1,-1,-1.0,20067.0,4600.0,-1,-1,60056.0,850.0,-1,56.0,-1,923.0,80000.0,-1.0,60000.0,77000.0,-1.0,243000.0,7639.0
1994,21040.0,96182.0,7059.0,111.0,-1,-1,-1.0,22000.0,5000.0,-1,-1,52004.0,850.0,-1,4.0,-1,918.0,81000.0,-1.0,52000.0,78000.0,-1.0,253000.0,7715.0
1995,21713.0,96500.0,7300.0,75.0,-1,-1,-1.0,24000.0,5049.0,-1,-1,68000.0,1500.0,-1,0.0,-1,913.0,82660.0,-1.0,68000.0,98000.0,-1.0,285000.0,7792.0
1996,22387.0,97078.0,7517.0,90.0,-1,-1,-1.0,26000.0,5042.0,-1,-1,37010.0,1558.0,-1,10.0,-1,908.0,80827.0,-1.0,37000.0,92000.0,-1.0,315000.0,7872.0
1997,23063.0,97000.0,7115.0,83.0,-1,-1,-1.0,28000.0,5036.0,-1,-1,29500.0,1451.0,-1,0.0,-1,904.0,80000.0,-1.0,29500.0,35000.0,-1.0,250000.0,7953.0
1998,23740.0,97500.0,7400.0,52.0,-1,-1,-1.0,30000.0,5003.0,-1,-1,20010.0,1401.0,-1,10.0,-1,899.0,79000.0,-1.0,20000.0,140000.0,-1.0,305000.0,8035.0
1999,24419.0,98000.0,7561.0,102.0,-1,-1,-1.0,36000.0,4977.0,-1,-1,40001.0,1500.0,-1,1.0,-1,894.0,78000.0,-1.0,40000.0,18000.0,500.0,563000.0,8120.0
2000,25100.0,99857.0,7355.0,72.0,-1,-1,-1.0,37000.0,4950.0,-1,-1,40013.0,1900.0,-1,13.0,-1,890.0,74295.0,-1.0,40000.0,77000.0,600.0,575000.0,7927.0
2001,25782.0,99989.0,7306.0,1.0,-1,-1,-1.0,40000.0,4921.0,-1,-1,30000.0,1700.0,-1,0.0,-1,885.0,80000.0,-1.0,30000.0,117000.0,800.0,580000.0,8197.0
2002,26466.0,98500.0,7303.0,34.0,-1,-1,-1.0,42000.0,4913.0,-1,-1,20000.0,1700.0,-1,0.0,-1,880.0,82924.0,-1.0,20000.0,110000.0,1000.0,587000.0,7800.0
2003,27013.0,103625.0,7315.0,28.0,-1,-1,-1.0,43000.0,4803.0,-1,-1,22456.0,1700.0,-1,0.0,-1,874.0,87757.0,-1.0,22456.0,114000.0,1200.0,625000.0,8181.0
2004,27556.0,105000.0,7436.0,60.0,-1,-1,-1.0,43241.0,4757.0,-1,-1,23259.0,1700.0,-1,0.0,-1,867.0,90000.0,-1.0,23259.0,92000.0,1300.0,659000.0,8242.0
2005,27798.0,107442.0,7780.0,28.0,-1,-1,-1.0,44698.0,4713.0,-1,-1,21000.0,1700.0,-1,0.0,-1,860.0,95564.0,-1.0,21000.0,78000.0,1400.0,694000.0,8318.0
2006,28128.0,108264.0,7237.0,50.0,-1,-1,-1.0,46000.0,4668.0,-1,-1,20000.0,1700.0,-1,0.0,-1,854.0,98688.0,-1.0,20000.0,25000.0,1300.0,732000.0,8418.0
2007,28500.0,108973.0,6915.0,26.0,-1,-1,-1.0,47700.0,4623.0,-1,-1,22000.0,1800.0,-1,0.0,-1,847.0,101046.0,-1.0,22000.0,41000.0,1200.0,743000.0,7850.0
2008,29450.0,109367.0,7625.0,16.0,-1,-1,-1.0,49252.0,4576.0,-1,-1,25280.0,1800.0,-1,0.0,-1,840.0,102739.0,-1.0,25280.0,6000.0,1113.0,724000.0,8758.0
2009,29984.0,105000.0,6999.0,16.0,-1,-1,-1.0,50562.0,4529.0,-1,-1,29026.0,1828.0,-1,0.0,-1,833.0,103840.0,-1.0,29026.0,26000.0,607.0,489590.0,9009.0
2010,30494.0,106000.0,7100.0,9.0,-1,-1,-1.0,51921.0,4480.0,-1,-1,22707.0,2004.0,-1,0.0,-1,826.0,104407.0,-1.0,22707.0,26000.0,754.0,469690.0,9291.0
2011,30567.0,108639.0,7220.0,30.0,-1,-1,-1.0,53229.0,4432.0,-1,-1,21547.0,2180.0,-1,0.0,-1,819.0,104489.0,-1.0,21547.0,101000.0,753.0,426029.0,9588.0
2012,32600.0,118000.0,7750.0,53.0,-1,-1,30000.0,54600.0,4300.0,-1,-1,21492.0,2300.0,-1,0.0,-1,800.0,100000.0,78000.0,21492.0,-1.0,711.0,696255.0,11000.0
2013,33000.0,118000.0,7850.0,31.0,-1,-1,40000.0,55000.0,4400.0,-1,-1,20969.0,2500.0,-1,0.0,-1,750.0,100000.0,64200.0,20969.0,-1.0,712.0,706045.0,11200.0
2014,32857.0,109382.0,7474.0,22.0,-1,-1,36000.0,56158.0,4312.0,-1,-1,20460.0,2787.0,-1,0.0,-1,309.0,101615.0,65000.0,20460.0,-1.0,687.0,721502.0,10369.0
