,Chad,Cameroon,Congo,Mexico,Romania,Ethiopia,South Sudan,Central African Republic,Mauritania,Benin,Thailand,China,Greece,Latvia,"China, Taiwan Province of",Bulgaria,Iran (Islamic Republic of),Democratic Republic of the Congo,Sudan,"China, mainland",Sudan (former),Mali,Nigeria,Senegal
1961,17500.0,62000.0,3500.0,-1.0,-1,-1,-1.0,-1.0,2300.0,-1,-1,-1.0,2020.0,-1,-1.0,-1,1000.0,45000.0,-1.0,-1.0,-1.0,-1.0,307000.0,2000.0
1962,18000.0,62500.0,3500.0,-1.0,-1,-1,-1.0,-1.0,2400.0,-1,-1,-1.0,2510.0,-1,-1.0,-1,1250.0,46000.0,-1.0,-1.0,-1.0,-1.0,318000.0,2000.0
1963,18500.0,63000.0,3500.0,-1.0,-1,-1,-1.0,-1.0,2500.0,-1,-1,-1.0,3360.0,-1,-1.0,-1,1500.0,47000.0,-1.0,-1.0,-1.0,-1.0,295000.0,2000.0
1964,19000.0,64000.0,3600.0,-1.0,-1,-1,-1.0,-1.0,2500.0,-1,-1,-1.0,2800.0,-1,-1.0,-1,1750.0,48000.0,-1.0,-1.0,-1.0,-1.0,321000.0,2000.0
1965,19500.0,64500.0,3600.0,-1.0,-1,-1,-1.0,-1.0,2700.0,-1,-1,-1.0,2350.0,-1,-1.0,-1,2000.0,49000.0,-1.0,-1.0,-1.0,-1.0,318000.0,2000.0
1966,20000.0,65000.0,3600.0,-1.0,-1,-1,-1.0,-1.0,2700.0,-1,-1,-1.0,2840.0,-1,-1.0,-1,2200.0,50000.0,-1.0,-1.0,-1.0,-1.0,324000.0,1300.0
1967,20000.0,64531.0,3700.0,-1.0,-1,-1,-1.0,-1.0,2750.0,-1,-1,-1.0,4190.0,-1,-1.0,-1,2500.0,52000.0,-1.0,-1.0,-1.0,-1.0,304000.0,17500.0
1968,21000.0,62851.0,3700.0,-1.0,-1,-1,-1.0,-1.0,2800.0,-1,-1,-1.0,2480.0,-1,-1.0,-1,2700.0,50000.0,-1.0,-1.0,-1.0,-1.0,532000.0,4900.0
1969,21000.0,45989.0,3700.0,-1.0,-1,-1,-1.0,-1.0,2900.0,-1,-1,-1.0,2650.0,-1,-1.0,-1,2950.0,55000.0,-1.0,-1.0,-1.0,-1.0,394000.0,13000.0
1970,22000.0,54922.0,3700.0,-1.0,-1,-1,-1.0,-1.0,3000.0,-1,-1,-1.0,3100.0,-1,-1.0,-1,3200.0,51600.0,-1.0,-1.0,-1.0,-1.0,635000.0,2290.0
1971,22000.0,58295.0,3700.0,-1.0,-1,-1,-1.0,-1.0,2900.0,-1,-1,-1.0,3800.0,-1,-1.0,-1,3400.0,52400.0,-1.0,-1.0,-1.0,-1.0,405000.0,4700.0
1972,23000.0,70000.0,3700.0,-1.0,-1,-1,-1.0,-1.0,2500.0,-1,-1,6639.0,4600.0,-1,6639.0,-1,3600.0,53300.0,-1.0,-1.0,-1.0,-1.0,331000.0,7900.0
1973,23000.0,68175.0,3700.0,-1.0,-1,-1,-1.0,-1.0,2000.0,-1,-1,8431.0,3714.0,-1,8431.0,-1,3800.0,53700.0,-1.0,-1.0,-1.0,-1.0,450000.0,12900.0
1974,24000.0,73539.0,3700.0,-1.0,-1,-1,-1.0,-1.0,2300.0,-1,-1,6688.0,2814.0,-1,6688.0,-1,4000.0,55900.0,-1.0,-1.0,-1.0,-1.0,89000.0,8000.0
1975,25000.0,75000.0,3750.0,-1.0,-1,-1,-1.0,-1.0,2700.0,-1,-1,6314.0,2366.0,-1,6314.0,-1,4250.0,57600.0,-1.0,-1.0,-1.0,-1.0,236000.0,5900.0
1976,25000.0,79000.0,3800.0,-1.0,-1,-1,-1.0,-1.0,2700.0,-1,-1,10399.0,3465.0,-1,10399.0,-1,4500.0,57900.0,-1.0,-1.0,-1.0,-1.0,184000.0,6835.0
1977,25000.0,84000.0,3800.0,-1.0,-1,-1,-1.0,-1.0,3000.0,-1,-1,10335.0,4171.0,-1,10335.0,-1,4700.0,58100.0,-1.0,-1.0,-1.0,-1.0,164000.0,10710.0
1978,26000.0,89000.0,3900.0,-1.0,-1,-1,-1.0,-1.0,3000.0,-1,-1,11393.0,3077.0,-1,11393.0,-1,4900.0,57900.0,-1.0,-1.0,-1.0,-1.0,132000.0,8145.0
1979,27000.0,90000.0,4000.0,-1.0,-1,-1,-1.0,-1.0,3300.0,-1,-1,9229.0,2244.0,-1,9229.0,-1,4900.0,59800.0,-1.0,-1.0,-1.0,-1.0,103000.0,2764.0
1980,28000.0,90000.0,4100.0,-1.0,-1,-1,-1.0,-1.0,3800.0,-1,-1,7176.0,3757.0,-1,7176.0,-1,4900.0,61500.0,-1.0,-1.0,-1.0,-1.0,76000.0,5000.0
1981,28000.0,90000.0,4100.0,-1.0,-1,-1,-1.0,-1.0,3800.0,-1,-1,5250.0,4478.0,-1,5250.0,-1,5600.0,63200.0,-1.0,-1.0,-1.0,-1.0,92000.0,7000.0
1982,28000.0,91000.0,4200.0,-1.0,-1,-1,-1.0,-1.0,4000.0,-1,-1,5594.0,1980.0,-1,5594.0,-1,5800.0,65100.0,-1.0,-1.0,-1.0,-1.0,54000.0,7000.0
1983,28500.0,90000.0,4300.0,-1.0,-1,-1,-1.0,-1.0,4200.0,-1,-1,2540.0,2100.0,-1,2540.0,-1,6000.0,67000.0,-1.0,-1.0,-1.0,-1.0,113000.0,7500.0
1984,28000.0,92000.0,4400.0,-1.0,-1,-1,-1.0,-1.0,4500.0,-1,-1,5651.0,2100.0,-1,5651.0,-1,6150.0,68800.0,-1.0,-1.0,-1.0,-1.0,164000.0,7500.0
1985,28000.0,92000.0,4600.0,-1.0,-1,-1,-1.0,-1.0,4700.0,-1,-1,7800.0,1600.0,-1,7800.0,-1,6407.0,70400.0,-1.0,-1.0,-1.0,-1.0,183000.0,7500.0
1986,28000.0,93000.0,4600.0,-1.0,-1,-1,-1.0,-1.0,4800.0,-1,-1,8631.0,2400.0,-1,8631.0,-1,8360.0,71200.0,-1.0,-1.0,-1.0,-1.0,150000.0,7600.0
1987,28000.0,93500.0,4800.0,-1.0,-1,-1,-1.0,-1.0,5000.0,-1,-1,27208.0,1962.0,-1,5208.0,-1,6838.0,73500.0,-1.0,22000.0,-1.0,-1.0,145000.0,7600.0
1988,28000.0,94000.0,5000.0,-1.0,-1,-1,-1.0,-1.0,5000.0,-1,-1,25655.0,1800.0,-1,5655.0,-1,6048.0,74900.0,-1.0,20000.0,-1.0,-1.0,308000.0,7600.0
1989,28000.0,95000.0,5500.0,-1.0,-1,-1,-1.0,-1.0,5200.0,-1,-1,20959.0,957.0,-1,959.0,-1,3000.0,76600.0,-1.0,20000.0,-1.0,-1.0,204000.0,7600.0
1990,34192.0,95600.0,6000.0,-1.0,-1,-1,-1.0,20000.0,5300.0,-1,-1,23292.0,700.0,-1,292.0,-1,1000.0,77000.0,-1.0,23000.0,62000.0,-1.0,230000.0,9002.0
1991,19032.0,96000.0,6500.0,-1.0,-1,-1,-1.0,20059.0,5500.0,-1,-1,38173.0,639.0,-1,173.0,-1,932.0,78000.0,-1.0,38000.0,55000.0,-1.0,231000.0,7493.0
