,Mali,Burkina Faso,Democratic Republic of the Congo,Senegal,Cameroon,Niger
1961,8000.0,7000.0,7600.0,-1.0,7000.0,-1.0
1962,8000.0,7000.0,7600.0,-1.0,7500.0,-1.0
1963,8000.0,7000.0,7600.0,-1.0,8000.0,-1.0
1964,8000.0,7000.0,7600.0,-1.0,8000.0,-1.0
1965,8000.0,7000.0,7600.0,-1.0,8000.0,-1.0
1966,8000.0,7000.0,7600.0,-1.0,7000.0,-1.0
1967,8000.0,7000.0,7600.0,-1.0,5127.0,-1.0
1968,8000.0,7000.0,7600.0,-1.0,4915.0,-1.0
1969,8000.0,7000.0,7600.0,-1.0,12120.0,-1.0
1970,8000.0,7000.0,7600.0,-1.0,11394.0,-1.0
1971,8000.0,7000.0,7900.0,-1.0,11461.0,-1.0
1972,8000.0,8000.0,7900.0,-1.0,13454.0,-1.0
1973,8000.0,8000.0,7900.0,-1.0,10845.0,-1.0
1974,8000.0,8000.0,7900.0,-1.0,11011.0,-1.0
1975,8000.0,8000.0,7900.0,-1.0,17335.0,-1.0
1976,8000.0,8000.0,7900.0,-1.0,18178.0,-1.0
1977,8000.0,8000.0,7900.0,-1.0,18824.0,-1.0
1978,8000.0,8000.0,7900.0,-1.0,6350.0,-1.0
1979,8000.0,9000.0,7900.0,-1.0,5654.0,-1.0
1980,8261.0,9000.0,7900.0,-1.0,6580.0,-1.0
1981,6811.0,9000.0,8300.0,-1.0,8900.0,-1.0
1982,8840.0,9000.0,8300.0,-1.0,9500.0,-1.0
1983,4653.0,9000.0,8300.0,-1.0,6500.0,-1.0
1984,10447.0,9000.0,8300.0,-1.0,6909.0,-1.0
1985,8460.0,12161.0,8300.0,-1.0,4865.0,-1.0
1986,13248.0,9782.0,8300.0,-1.0,6856.0,-1.0
1987,12402.0,10514.0,8300.0,-1.0,4180.0,-1.0
1988,12622.0,13487.0,8700.0,-1.0,6529.0,-1.0
1989,7305.0,19928.0,8700.0,-1.0,5528.0,-1.0
1990,16620.0,24400.0,9632.0,-1.0,5000.0,-1.0
1991,19402.0,33600.0,8900.0,-1.0,5200.0,-1.0
1992,18452.0,30800.0,6810.0,-1.0,5500.0,-1.0
1993,13907.0,46165.0,7050.0,-1.0,5800.0,-1.0
1994,5880.0,40415.0,7300.0,-1.0,6200.0,-1.0
1995,7165.0,33711.0,7558.0,-1.0,6500.0,-1.0
1996,8406.0,34875.0,7829.0,-1.0,6800.0,-1.0
1997,9321.0,25100.0,8025.0,-1.0,7300.0,-1.0
1998,9809.0,39839.0,8193.0,-1.0,7600.0,-1.0
1999,21717.0,39366.0,8365.0,-1.0,8980.0,-1.0
2000,16562.0,21979.0,8541.0,-1.0,8495.0,6043.0
2001,13000.0,37680.0,8720.0,-1.0,8784.0,5739.0
2002,11545.0,36246.0,8900.0,-1.0,9082.0,14956.0
2003,33321.0,35184.0,9100.0,-1.0,9391.0,5457.0
2004,19000.0,27848.0,9300.0,-1.0,9711.0,9759.0
2005,17169.0,39976.0,9510.0,-1.0,20801.0,10177.0
2006,18049.0,37731.0,9720.0,-1.0,19630.0,17917.0
2007,18884.0,37605.0,9940.0,-1.0,22027.0,12168.0
2008,26114.0,55572.0,10160.0,-1.0,23882.0,20313.0
2009,24978.0,44712.0,10378.0,-1.0,25644.0,30246.0
2010,25956.0,59483.0,9566.0,-1.0,29308.0,27472.0
2011,23480.0,48751.0,9852.0,-1.0,30876.0,22098.0
2012,23149.0,65119.0,10134.0,-1.0,34778.0,32678.0
2013,20939.0,56555.0,10436.0,-1.0,36639.0,32784.0
2014,22930.0,56249.0,10741.0,-1.0,38075.0,32383.0
