,USSR,Burkina Faso,Eritrea,Israel,Paraguay,Iraq,Sri Lanka,Pakistan,Yemen,United Republic of Tanzania,South Sudan,Indonesia,Ethiopia,Kenya,Costa Rica,Bangladesh,Italy,Lao People's Democratic Republic,Senegal,Lebanon,Uganda,Somalia,Thailand,Togo,Benin,Uzbekistan,China,Cambodia,Mozambique,Niger,Sudan (former),Morocco,El Salvador,Brazil,Honduras,Chad,Colombia,Central African Republic,Panama,India,Syrian Arab Republic,"China, Taiwan Province of",Ecuador,Japan,Jordan,Afghanistan,Angola,Ethiopia PDR,Egypt,The former Yugoslav Republic of Macedonia,Saudi Arabia,Sudan,Greece,Tajikistan,Viet Nam,Haiti,Republic of Korea,Democratic Republic of the Congo,Nigeria,Nicaragua,Mali,Congo,Turkey,Dominican Republic,Bulgaria,Bolivia (Plurinational State of),Yugoslav SFR,Occupied Palestinian Territory,Iran (Islamic Republic of),Peru,Gambia,United States of America,Mexico,Guinea,"China, mainland",Sierra Leone,Cyprus,Venezuela (Bolivarian Republic of),Côte d'Ivoire,Cameroon,Myanmar,Guatemala
1961,300.0,1895.0,,1100.0,-1.0,4530.0,5290.0,11180.0,5700.0,12193.0,,,,1829.0,100.0,26416.0,1465.0,,-1.0,400.0,34000.0,4500.0,12400.0,1000.0,400.0,,195501.0,7868.0,2500.0,,232000.0,30.0,1700.0,3000.0,532.0,5000.0,22000.0,4500.0,183.0,372000.0,4200.0,4501.0,552.0,5020.0,2200.0,19000.0,1600.0,30500.0,10469.0,,1500.0,,6374.0,,3080.0,220.0,2832.0,2054.0,56000.0,6900.0,,50.0,44000.0,301.0,95.0,,400.0,-1.0,6000.0,200.0,-1.0,1361.0,146820.0,808.0,191000.0,1000.0,102.0,24868.0,2000.0,2532.0,64738.0,700.0
1962,160.0,5660.0,,1700.0,-1.0,5086.0,8098.0,8130.0,6100.0,9144.0,,,,1626.0,64.0,26416.0,1100.0,,-1.0,500.0,34000.0,4500.0,16000.0,1000.0,420.0,,259028.0,11767.0,4000.0,,142000.0,30.0,1400.0,4500.0,461.0,5000.0,21000.0,9000.0,189.0,492000.0,5900.0,4028.0,587.0,4890.0,1900.0,19200.0,1600.0,30600.0,16931.0,,1500.0,,4658.0,,3825.0,225.0,3063.0,4893.0,60000.0,6100.0,,50.0,41000.0,320.0,196.0,,375.0,-1.0,6000.0,191.0,-1.0,500.0,157849.0,179.0,255000.0,1000.0,108.0,28084.0,2000.0,4635.0,76478.0,1400.0
1963,200.0,4130.0,,1400.0,-1.0,6078.0,7360.0,8130.0,5700.0,10908.0,,,,1524.0,80.0,25400.0,1165.0,,-1.0,360.0,35000.0,4500.0,16000.0,1000.0,440.0,,270487.0,12300.0,2000.0,,173900.0,30.0,900.0,1500.0,505.0,5000.0,25000.0,9000.0,195.0,439000.0,5322.0,2487.0,598.0,4660.0,1700.0,19200.0,1800.0,31000.0,25553.0,,1550.0,,11169.0,,3385.0,230.0,2971.0,1595.0,53000.0,4700.0,,50.0,40000.0,340.0,262.0,,960.0,-1.0,7000.0,220.0,-1.0,600.0,169268.0,820.0,268000.0,1000.0,112.0,30879.0,2000.0,2389.0,84908.0,1300.0
1964,90.0,6000.0,,1550.0,-1.0,7776.0,7366.0,9140.0,6200.0,11708.0,,,,406.0,80.0,22352.0,1130.0,,-1.0,140.0,30000.0,5000.0,13100.0,1000.0,460.0,,311308.0,10000.0,2500.0,,183700.0,30.0,1300.0,3000.0,470.0,5000.0,27000.0,8300.0,202.0,484000.0,6527.0,2308.0,933.0,4260.0,1690.0,19200.0,3000.0,31600.0,23466.0,,1550.0,,7700.0,,3300.0,235.0,3818.0,2017.0,56000.0,5800.0,,50.0,34000.0,338.0,318.0,,600.0,-1.0,6000.0,100.0,-1.0,400.0,171697.0,890.0,309000.0,1000.0,51.0,46561.0,2000.0,3231.0,53848.0,1000.0
1965,90.0,6000.0,,920.0,-1.0,9488.0,6710.0,7110.0,6200.0,11971.0,,,,1118.0,80.0,24384.0,1100.0,,-1.0,150.0,30000.0,6000.0,18300.0,1000.0,480.0,,258923.0,8000.0,2000.0,,160088.0,30.0,2200.0,3500.0,214.0,5000.0,30000.0,7500.0,209.0,424000.0,4900.0,2923.0,1837.0,3770.0,1400.0,19800.0,2500.0,32600.0,22496.0,,1600.0,,4278.0,,3200.0,240.0,4164.0,4875.0,61000.0,6300.0,,50.0,34000.0,300.0,46.0,,300.0,-1.0,6000.0,80.0,-1.0,,154401.0,200.0,256000.0,1000.0,61.0,54125.0,2000.0,1583.0,100400.0,1400.0
1966,30.0,4000.0,,470.0,-1.0,10914.0,4914.0,7110.0,6600.0,8949.0,,,,1118.0,80.0,27400.0,1210.0,,-1.0,150.0,34000.0,15500.0,19900.0,1100.0,500.0,,291827.0,9800.0,2300.0,,133000.0,30.0,4900.0,1000.0,700.0,4600.0,20000.0,9300.0,216.0,416000.0,5700.0,1827.0,2246.0,3440.0,800.0,21000.0,2800.0,36800.0,11263.0,,1600.0,,5723.0,,3200.0,240.0,5232.0,3707.0,64000.0,5628.0,,50.0,32000.0,293.0,636.0,,300.0,-1.0,8000.0,19.0,-1.0,,166669.0,400.0,290000.0,800.0,51.0,60000.0,2000.0,1974.0,57780.0,1300.0
1967,100.0,4000.0,,650.0,-1.0,11975.0,7275.0,9140.0,7155.0,11051.0,,,,3000.0,80.0,30500.0,1155.0,,-1.0,109.0,17000.0,15500.0,22700.0,1100.0,800.0,,299439.0,4900.0,2400.0,,186368.0,30.0,4700.0,5000.0,722.0,4600.0,11000.0,13000.0,220.0,445000.0,9300.0,3439.0,1117.0,2900.0,400.0,21000.0,2400.0,51000.0,8000.0,,1700.0,,6466.0,,3300.0,240.0,6119.0,3930.0,53000.0,6663.0,,50.0,40000.0,287.0,1267.0,,400.0,-1.0,7000.0,19.0,-1.0,,155323.0,400.0,296000.0,800.0,102.0,80542.0,2000.0,3449.0,56611.0,4100.0
1968,60.0,7949.0,,400.0,-1.0,12025.0,7262.0,8130.0,7255.0,11186.0,,,,3000.0,80.0,31500.0,1085.0,,-1.0,97.0,23000.0,15500.0,21900.0,1100.0,1100.0,,246816.0,8900.0,3000.0,,154000.0,30.0,1400.0,1000.0,744.0,12000.0,15700.0,14000.0,220.0,422500.0,8344.0,2816.0,1965.0,1000.0,500.0,21600.0,2000.0,59700.0,10000.0,,1800.0,,3838.0,,3300.0,400.0,6537.0,4500.0,55000.0,7034.0,,100.0,50000.0,280.0,645.0,,310.0,-1.0,8000.0,21.0,-1.0,,159060.0,400.0,244000.0,800.0,91.0,76222.0,2000.0,3770.0,107925.0,5200.0
1969,100.0,3755.0,,550.0,-1.0,12045.0,7971.0,8130.0,7255.0,11712.0,,,,3000.0,80.0,30500.0,1123.0,,-1.0,80.0,21800.0,15500.0,18600.0,1100.0,1500.0,,258905.0,10800.0,4000.0,,174000.0,40.0,1500.0,1500.0,766.0,18437.0,14600.0,14000.0,100.0,448100.0,5732.0,2905.0,1675.0,350.0,181.0,22200.0,1500.0,69400.0,16000.0,,1700.0,,3167.0,,3300.0,600.0,7708.0,5000.0,58000.0,7351.0,,100.0,41000.0,274.0,290.0,,310.0,-1.0,8000.0,32.0,-1.0,,174965.0,400.0,256000.0,800.0,102.0,82552.0,2000.0,5140.0,83117.0,4839.0
1970,100.0,6310.0,,500.0,-1.0,13325.0,13000.0,10160.0,5455.0,11315.0,,,,3000.0,80.0,27400.0,1240.0,,-1.0,112.0,17000.0,22000.0,20200.0,1200.0,1553.0,,264784.0,10000.0,2237.0,,297000.0,50.0,1900.0,4000.0,788.0,11000.0,17900.0,13000.0,109.0,562300.0,2840.0,1784.0,2256.0,570.0,192.0,21000.0,3000.0,81300.0,20000.0,,1800.0,,6310.0,,3400.0,800.0,10386.0,5700.0,30000.0,6723.0,,100.0,36000.0,267.0,337.0,,500.0,-1.0,6000.0,114.0,-1.0,,179444.0,400.0,263000.0,804.0,102.0,125639.0,2000.0,5047.0,101707.0,8280.0
