,"China, Taiwan Province of",Morocco,Ethiopia PDR,Philippines,Iran (Islamic Republic of),Australia,China,Canada,Réunion,Republic of Korea,Togo,Viet Nam,Ethiopia,South Africa,New Zealand,Australia & New Zealand,Argentina,Bangladesh,Thailand,Mauritius,"China, mainland",Madagascar,Nigeria,Myanmar,"Saint Helena, Ascension and Tristan da Cunha"
1961,684.0,-1,175000.0,2300.0,-1,1214.0,684.0,-1.0,30.0,31.0,-1,6500.0,-1.0,700.0,-1.0,1214.0,3000.0,2400.0,-1.0,3000.0,-1,9000.0,-1,400.0,-1
1962,675.0,-1,175000.0,2600.0,-1,1214.0,675.0,-1.0,30.0,40.0,-1,6500.0,-1.0,700.0,15000.0,16214.0,3535.0,2000.0,-1.0,4000.0,-1,9000.0,-1,400.0,-1
1963,821.0,-1,177000.0,2630.0,-1,1214.0,821.0,-1.0,30.0,56.0,-1,7000.0,-1.0,1000.0,16000.0,17214.0,3540.0,1650.0,-1.0,1000.0,-1,9000.0,-1,800.0,-1
1964,865.0,-1,179000.0,2720.0,-1,809.0,865.0,650.0,30.0,44.0,-1,7000.0,-1.0,1000.0,16000.0,16809.0,1200.0,1300.0,-1.0,1000.0,-1,9000.0,-1,863.0,-1
1965,688.0,-1,181000.0,3030.0,-1,809.0,688.0,-1.0,30.0,63.0,-1,7000.0,-1.0,1000.0,16000.0,16809.0,1300.0,1100.0,-1.0,1271.0,-1,9000.0,-1,543.0,-1
1966,751.0,-1,183400.0,3120.0,-1,809.0,751.0,2650.0,30.0,85.0,-1,8000.0,-1.0,1000.0,16000.0,16809.0,1110.0,900.0,-1.0,1081.0,-1,10000.0,-1,682.0,-1
1967,892.0,-1,187100.0,3100.0,-1,809.0,892.0,-1.0,30.0,110.0,-1,8000.0,-1.0,1200.0,16000.0,16809.0,1110.0,350.0,-1.0,1384.0,-1,10000.0,-1,687.0,-1
1968,763.0,-1,190800.0,3000.0,-1,1214.0,763.0,1800.0,30.0,50.0,-1,8000.0,-1.0,1200.0,16000.0,17214.0,2000.0,297.0,-1.0,839.0,-1,10000.0,-1,705.0,-1
1969,693.0,-1,194700.0,2900.0,-1,809.0,693.0,-1.0,30.0,15.0,-1,8000.0,-1.0,1500.0,16000.0,16809.0,2660.0,259.0,100.0,748.0,-1,11000.0,-1,911.0,-1
1970,604.0,-1,198500.0,2650.0,-1,800.0,604.0,3900.0,30.0,-1.0,-1,8500.0,-1.0,1500.0,16000.0,16800.0,3570.0,263.0,100.0,706.0,-1,11000.0,-1,1000.0,-1
