,Saint Kitts and Nevis,Belize,Burundi,Melanesia,Niue,Cameroon,Burkina Faso,Comoros,Sudan (former),Dominican Republic,Philippines,South Sudan,Martinique,Benin,United Republic of Tanzania,Ethiopia,Kenya,Liberia,Japan,Sao Tome and Principe,Togo,Venezuela (Bolivarian Republic of),Papua New Guinea,Antigua and Barbuda,New Caledonia,Guyana,Samoa,Barbados,Democratic Republic of the Congo,Sudan,American Samoa,Nigeria,Tonga,Saint Lucia,Haiti,Costa Rica,Guinea,Cuba,Guadeloupe,Dominica,Fiji,Chad,Rwanda,Wallis and Futuna Islands,Ethiopia PDR,Congo,Gabon,Cayman Islands,Central African Republic,Mauritania,Germany,Côte d'Ivoire,Colombia,Mali,Jamaica,Solomon Islands,Trinidad and Tobago,Puerto Rico,Polynesia,Panama,Saint Vincent and the Grenadines,Portugal,Brazil,Ghana,Grenada,Nicaragua
1961,150.0,-1.0,1000.0,10990.0,10.0,36000.0,8755.0,-1.0,40000.0,2500.0,7000.0,-1.0,1800.0,69138.0,700.0,-1.0,-1.0,1350.0,3200.0,100.0,30000.0,8290.0,7240.0,8.0,1050.0,-1.0,40.0,1009.0,8000.0,-1.0,20.0,450000.0,2300.0,607.0,20000.0,-1.0,6000.0,-1.0,1500.0,200.0,1000.0,14500.0,100.0,40.0,54000.0,8500.0,8500.0,-1.0,20000.0,260.0,-1,150000.0,15000.0,2000.0,3000.0,1700.0,120.0,2492.0,2410.0,1400.0,200.0,190.0,9500.0,150000.0,175.0,-1.0
1962,150.0,-1.0,1000.0,11312.0,10.0,36000.0,8946.0,-1.0,40000.0,2900.0,8270.0,-1.0,1800.0,58294.0,700.0,-1.0,-1.0,1350.0,3200.0,100.0,30000.0,7220.0,7500.0,10.0,1100.0,-1.0,52.0,956.0,10000.0,-1.0,20.0,450000.0,2350.0,647.0,20000.0,-1.0,6000.0,-1.0,1500.0,200.0,1012.0,14500.0,100.0,40.0,55000.0,8500.0,8500.0,-1.0,22000.0,270.0,-1,155000.0,15000.0,2000.0,3400.0,1700.0,145.0,2442.0,2472.0,1600.0,200.0,190.0,9800.0,150000.0,180.0,-1.0
1963,155.0,-1.0,1000.0,11612.0,10.0,36000.0,8700.0,-1.0,40000.0,2700.0,6330.0,-1.0,1900.0,56576.0,700.0,-1.0,-1.0,1350.0,3500.0,100.0,30000.0,8585.0,7800.0,12.0,1100.0,-1.0,53.0,1007.0,10000.0,-1.0,20.0,550000.0,2330.0,405.0,20500.0,-1.0,6000.0,-1.0,1800.0,210.0,1012.0,14700.0,100.0,40.0,54200.0,9000.0,7500.0,-1.0,22000.0,270.0,-1,160000.0,15000.0,2000.0,3400.0,1700.0,171.0,2712.0,2453.0,1800.0,200.0,190.0,10300.0,162000.0,185.0,-1.0
1964,155.0,-1.0,1000.0,11812.0,10.0,35672.0,5000.0,-1.0,50000.0,2700.0,5930.0,-1.0,1900.0,58719.0,700.0,-1.0,-1.0,1350.0,3700.0,100.0,30000.0,8921.0,8000.0,13.0,1100.0,-1.0,55.0,1127.0,10000.0,-1.0,28.0,600000.0,2300.0,283.0,21000.0,-1.0,6000.0,-1.0,1800.0,215.0,1012.0,14700.0,100.0,40.0,54700.0,9000.0,7500.0,-1.0,22000.0,290.0,-1,160000.0,15000.0,2000.0,3743.0,1700.0,162.0,2554.0,2433.0,1800.0,210.0,210.0,10800.0,171000.0,190.0,-1.0
1965,155.0,-1.0,1000.0,12212.0,10.0,35515.0,5000.0,-1.0,50000.0,2800.0,5260.0,-1.0,1900.0,60550.0,800.0,-1.0,-1.0,1350.0,3800.0,100.0,30000.0,9023.0,8200.0,13.0,1300.0,-1.0,58.0,900.0,12000.0,-1.0,28.0,700000.0,2300.0,405.0,22000.0,-1.0,6000.0,-1.0,1400.0,220.0,1012.0,15000.0,100.0,40.0,55800.0,9200.0,7500.0,-1.0,20000.0,290.0,-1,168000.0,15000.0,2000.0,3922.0,1700.0,153.0,2554.0,2436.0,1800.0,210.0,250.0,11000.0,95000.0,190.0,-1.0
1966,155.0,-1.0,1000.0,12412.0,10.0,38888.0,5000.0,-1.0,50000.0,3100.0,5040.0,-1.0,1900.0,53667.0,900.0,-1.0,-1.0,1350.0,4000.0,100.0,30000.0,8924.0,8500.0,15.0,1100.0,-1.0,60.0,750.0,13500.0,-1.0,28.0,742000.0,2300.0,450.0,22500.0,-1.0,6500.0,-1.0,2283.0,225.0,1012.0,15000.0,160.0,40.0,56600.0,10000.0,7000.0,2.0,26000.0,290.0,-1,171000.0,15000.0,2000.0,4861.0,1800.0,168.0,2551.0,2438.0,1800.0,250.0,305.0,11600.0,87000.0,190.0,-1.0
1967,80.0,-1.0,1000.0,12814.0,10.0,49521.0,6000.0,-1.0,48000.0,3200.0,4960.0,-1.0,1900.0,58260.0,900.0,-1.0,-1.0,1350.0,4500.0,100.0,30000.0,8962.0,8700.0,18.0,1100.0,-1.0,60.0,1000.0,15000.0,-1.0,28.0,771000.0,2300.0,520.0,22500.0,-1.0,6500.0,-1.0,413.0,230.0,1214.0,15700.0,200.0,40.0,57400.0,11000.0,7500.0,2.0,25000.0,300.0,-1,168000.0,15000.0,2000.0,6871.0,1800.0,170.0,2751.0,2438.0,2000.0,250.0,314.0,12400.0,99000.0,195.0,-1.0
1968,80.0,-1.0,1000.0,13468.0,10.0,51808.0,7604.0,-1.0,46000.0,3200.0,4950.0,-1.0,1900.0,63337.0,900.0,-1.0,-1.0,1350.0,5000.0,100.0,30000.0,9094.0,9000.0,20.0,1200.0,-1.0,63.0,1202.0,21000.0,-1.0,28.0,1068000.0,2300.0,580.0,22500.0,-1.0,7000.0,-1.0,1500.0,235.0,1468.0,15800.0,210.0,40.0,58300.0,11000.0,8000.0,2.0,25000.0,290.0,-1,171000.0,15000.0,2000.0,6090.0,1800.0,197.0,2476.0,2441.0,2000.0,260.0,215.0,12700.0,119000.0,200.0,-1.0
1969,80.0,-1.0,1000.0,13818.0,10.0,46676.0,7000.0,-1.0,44000.0,3300.0,4710.0,-1.0,1950.0,56112.0,1000.0,-1.0,-1.0,1350.0,5500.0,100.0,30000.0,9390.0,9300.0,35.0,1250.0,-1.0,63.0,1100.0,21500.0,-1.0,23.0,1043000.0,2300.0,640.0,22500.0,-1.0,6500.0,-1.0,1500.0,240.0,1468.0,16000.0,310.0,40.0,59200.0,12000.0,8000.0,2.0,25000.0,300.0,-1,209000.0,12000.0,2000.0,5562.0,1800.0,207.0,2319.0,2436.0,2400.0,280.0,260.0,13300.0,117000.0,200.0,-1.0
1970,80.0,-1.0,1100.0,13800.0,10.0,61770.0,6000.0,-1.0,40000.0,3400.0,4940.0,-1.0,2000.0,60204.0,1000.0,-1.0,-1.0,1400.0,6000.0,100.0,30000.0,8930.0,9400.0,58.0,1300.0,-1.0,63.0,1229.0,21300.0,-1.0,20.0,1237000.0,2300.0,700.0,23500.0,-1.0,7000.0,-1.0,1500.0,245.0,1200.0,16000.0,437.0,40.0,60100.0,12000.0,8500.0,2.0,25000.0,300.0,-1,195000.0,10000.0,2000.0,7118.0,1900.0,202.0,2358.0,2433.0,1499.0,265.0,225.0,13700.0,172000.0,200.0,-1.0
1971,80.0,-1.0,1100.0,13850.0,10.0,61067.0,6000.0,-1.0,39000.0,3500.0,4950.0,-1.0,2000.0,49488.0,1000.0,-1.0,-1.0,1400.0,6540.0,100.0,30000.0,8650.0,9500.0,62.0,1350.0,-1.0,63.0,1144.0,21700.0,-1.0,20.0,1236000.0,2330.0,730.0,24000.0,-1.0,6500.0,-1.0,1500.0,250.0,1000.0,16000.0,478.0,42.0,60000.0,12000.0,8500.0,2.0,25000.0,300.0,-1,193200.0,6700.0,2000.0,10588.0,2000.0,217.0,2201.0,2465.0,1910.0,320.0,210.0,14200.0,172000.0,205.0,-1.0
1972,80.0,-1.0,1000.0,13800.0,10.0,59680.0,6000.0,-1.0,39000.0,3500.0,4710.0,-1.0,2000.0,52200.0,1000.0,-1.0,-1.0,1450.0,6990.0,100.0,38400.0,9150.0,9600.0,75.0,1400.0,-1.0,63.0,960.0,22000.0,-1.0,20.0,932000.0,2360.0,750.0,24500.0,-1.0,6000.0,-1.0,1500.0,255.0,800.0,16200.0,495.0,42.0,61000.0,12000.0,9000.0,2.0,25000.0,310.0,-1,198000.0,7000.0,2000.0,11387.0,2000.0,210.0,2295.0,2495.0,2400.0,320.0,345.0,14700.0,134000.0,180.0,-1.0
1973,80.0,-1.0,1100.0,13500.0,10.0,70377.0,6000.0,-1.0,36900.0,3400.0,4360.0,-1.0,2000.0,43871.0,1000.0,-1.0,-1.0,1450.0,7280.0,100.0,39200.0,6462.0,9700.0,40.0,1400.0,-1.0,65.0,619.0,22700.0,-1.0,20.0,948000.0,2400.0,770.0,25000.0,-1.0,6400.0,-1.0,1500.0,260.0,400.0,15500.0,865.0,42.0,60500.0,12000.0,9000.0,3.0,26000.0,320.0,-1,225000.0,7000.0,2000.0,11279.0,2000.0,210.0,2256.0,2537.0,2400.0,331.0,345.0,15500.0,130000.0,170.0,-1.0
