,Jamaica,Uganda,Dominican Republic,Saint Vincent and the Grenadines,Venezuela (Bolivarian Republic of),Panama,Trinidad and Tobago,Pakistan,United Republic of Tanzania,Burundi,Nepal,Bahamas,Haiti,Democratic Republic of the Congo,Bangladesh,Myanmar,Malawi,India,Kenya
1961,84.0,2367.0,520.0,0.0,200.0,40.0,60.0,55.0,320.0,84.0,300.0,6.0,118.0,175.0,121.0,1955.0,6560.0,48940.0,0.0
1962,88.0,2778.0,520.0,0.0,280.0,40.0,75.0,80.0,780.0,84.0,312.0,7.0,120.0,175.0,109.0,1770.0,6720.0,49040.0,0.0
1963,82.0,3597.0,520.0,0.0,320.0,40.0,81.0,89.0,200.0,84.0,324.0,7.0,120.0,175.0,109.0,2324.0,7360.0,50340.0,0.0
1964,70.0,2600.0,520.0,0.0,340.0,40.0,81.0,67.0,260.0,84.0,336.0,8.0,120.0,175.0,109.0,2686.0,8320.0,51560.0,0.0
1965,128.0,2282.0,520.0,0.0,350.0,40.0,69.0,78.0,360.0,84.0,348.0,8.0,120.0,175.0,109.0,2931.0,7360.0,51120.0,0.0
1966,174.0,2800.0,520.0,0.0,370.0,40.0,87.0,58.0,360.0,84.0,360.0,8.0,124.0,182.0,109.0,2560.0,7600.0,50420.0,0.0
1967,242.0,3560.0,520.0,0.0,380.0,40.0,69.0,74.0,444.0,84.0,378.0,8.0,124.0,182.0,109.0,2183.0,7840.0,53294.0,0.0
1968,193.0,4000.0,560.0,0.0,410.0,40.0,60.0,41.0,438.0,84.0,390.0,8.0,126.0,182.0,112.0,2066.0,8080.0,50578.0,0.0
1969,178.0,3200.0,600.0,0.0,430.0,39.0,48.0,52.0,680.0,84.0,396.0,8.0,126.0,182.0,100.0,1894.0,8320.0,53374.0,0.0
1970,189.0,3640.0,640.0,0.0,340.0,49.0,72.0,56.0,600.0,84.0,405.0,9.0,128.0,182.0,100.0,1967.0,8560.0,53100.0,0.0
1971,251.0,4844.0,680.0,0.0,290.0,40.0,66.0,38.0,400.0,84.0,414.0,9.0,128.0,200.0,87.0,2351.0,8720.0,46910.0,0.0
1972,176.0,3128.0,680.0,0.0,260.0,40.0,44.0,89.0,400.0,84.0,420.0,9.0,128.0,200.0,86.0,2176.0,8960.0,48482.0,0.0
1973,137.0,4624.0,680.0,0.0,230.0,40.0,44.0,39.0,400.0,84.0,426.0,9.0,130.0,200.0,88.0,2252.0,9040.0,52920.0,0.0
1974,168.0,2552.0,720.0,0.0,220.0,40.0,45.0,44.0,500.0,84.0,435.0,9.0,130.0,210.0,150.0,2396.0,8800.0,50578.0,0.0
1975,122.0,3465.0,360.0,0.0,230.0,40.0,45.0,30.0,720.0,84.0,444.0,9.0,130.0,210.0,240.0,2013.0,9200.0,53420.0,0.0
1976,89.0,4233.0,390.0,0.0,210.0,40.0,50.0,31.0,677.0,84.0,450.0,9.0,130.0,210.0,300.0,1440.0,9280.0,51320.0,0.0
1977,148.0,4212.0,367.0,0.0,205.0,40.0,60.0,33.0,646.0,92.0,465.0,7.0,159.0,210.0,450.0,1096.0,9360.0,52524.0,0.0
1978,153.0,2320.0,533.0,0.0,205.0,40.0,59.0,84.0,612.0,92.0,480.0,8.0,160.0,210.0,288.0,1515.0,9200.0,52698.0,0.0
1979,148.0,2000.0,597.0,0.0,200.0,42.0,57.0,84.0,706.0,94.0,492.0,8.0,170.0,210.0,279.0,1640.0,9200.0,54620.0,0.0
1980,160.0,2200.0,836.0,0.0,211.0,53.0,54.0,84.0,800.0,88.0,510.0,9.0,170.0,210.0,279.0,2057.0,9200.0,56844.0,0.0
1981,139.0,2400.0,548.0,0.0,220.0,54.0,51.0,86.0,894.0,100.0,540.0,9.0,170.0,210.0,288.0,2282.0,9280.0,60080.0,0.0
1982,136.0,2476.0,603.0,0.0,247.0,52.0,45.0,87.0,988.0,96.0,570.0,10.0,170.0,210.0,216.0,2116.0,9360.0,58522.0,0.0
1983,134.0,2880.0,1078.0,0.0,242.0,53.0,36.0,87.0,1082.0,72.0,600.0,10.0,170.0,210.0,216.0,1906.0,9040.0,64360.0,0.0
1984,140.0,2400.0,770.0,0.0,275.0,54.0,42.0,17.0,1176.0,92.0,428.0,10.0,170.0,228.0,213.0,2441.0,9040.0,63098.0,0.0
1985,153.0,2665.0,762.0,0.0,279.0,56.0,27.0,25.0,1270.0,92.0,482.0,10.0,170.0,228.0,177.0,2479.0,9200.0,63678.0,0.0
1986,118.0,2400.0,474.0,0.0,281.0,58.0,30.0,29.0,1364.0,92.0,524.0,10.0,170.0,228.0,169.0,1833.0,9200.0,62950.0,0.0
1987,134.0,2560.0,1182.0,0.0,303.0,60.0,42.0,29.0,1458.0,92.0,554.0,10.0,170.0,235.0,167.0,2002.0,9200.0,66662.0,0.0
1988,66.0,2720.0,1495.0,0.0,312.0,60.0,33.0,24.0,1552.0,92.0,554.0,10.0,170.0,235.0,173.0,2090.0,8640.0,69774.0,0.0
1989,95.0,2480.0,1285.0,0.0,325.0,78.0,29.0,9.0,1646.0,89.0,717.0,9.0,166.0,260.0,162.0,1879.0,8800.0,71994.0,0.0
1990,107.0,2400.0,1280.0,0.0,325.0,80.0,32.0,9.0,1740.0,90.0,755.0,9.0,162.0,245.0,161.0,2124.0,8000.0,71860.0,0.0
