,"China, Taiwan Province of",Jamaica,Puerto Rico,Japan,Bhutan,Trinidad and Tobago,Fiji,Dominica,Ethiopia PDR,Pakistan,Melanesia,United Republic of Tanzania,Malaysia,Grenada,Mexico,Indonesia,Ethiopia,Kenya,Guyana,Costa Rica,Bangladesh,Zambia,Nigeria,Mauritius,Uganda,Dominican Republic,Réunion,Thailand,Peru,China,Ghana,Republic of Korea,United States of America,"China, mainland",Sri Lanka,Nepal,Madagascar,Saint Lucia,Philippines,Côte d'Ivoire,Cameroon,India
1961,10147.0,703.0,-1.0,-1.0,,-1.0,60.0,100.0,,-1.0,60.0,-1.0,1300.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,20000.0,,80.0,-1.0,,370.0,,4000.0,-1.0,10147.0,-1.0,,,,4600.0,-1.0,-1.0,,,-1.0,-1.0,19000.0
1962,14386.0,463.0,-1.0,-1.0,,-1.0,70.0,100.0,,-1.0,70.0,-1.0,1600.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,22000.0,,80.0,-1.0,,350.0,,4200.0,-1.0,14386.0,-1.0,,,,4300.0,-1.0,-1.0,,4000.0,-1.0,-1.0,20000.0
1963,14416.0,586.0,-1.0,-1.0,,-1.0,150.0,110.0,,-1.0,150.0,-1.0,1300.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,24000.0,,80.0,-1.0,,380.0,,4400.0,-1.0,14416.0,-1.0,,,,4250.0,-1.0,-1.0,,4000.0,-1.0,-1.0,21000.0
1964,11512.0,679.0,-1.0,-1.0,,-1.0,100.0,110.0,,-1.0,100.0,-1.0,1600.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,26000.0,,80.0,-1.0,,403.0,,4600.0,-1.0,11512.0,-1.0,,,,5124.0,-1.0,-1.0,,4000.0,-1.0,-1.0,21000.0
1965,15546.0,889.0,-1.0,-1.0,,-1.0,100.0,110.0,,-1.0,100.0,-1.0,1900.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,28000.0,,80.0,-1.0,,398.0,,4800.0,-1.0,15546.0,-1.0,,,,4460.0,-1.0,-1.0,,4000.0,-1.0,-1.0,22000.0
1966,12101.0,1016.0,-1.0,-1.0,,-1.0,130.0,115.0,,-1.0,130.0,-1.0,1800.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,30000.0,,80.0,-1.0,,413.0,,5000.0,-1.0,12101.0,-1.0,960.0,,,6598.0,-1.0,-1.0,,4000.0,-1.0,-1.0,21000.0
1967,13005.0,881.0,-1.0,-1.0,,-1.0,150.0,115.0,,-1.0,150.0,-1.0,1100.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,32000.0,,80.0,-1.0,,429.0,,5200.0,-1.0,13005.0,-1.0,850.0,,,6477.0,-1.0,-1.0,,4000.0,-1.0,-1.0,20000.0
1968,17811.0,746.0,-1.0,-1.0,,-1.0,340.0,115.0,,-1.0,340.0,-1.0,1100.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,34000.0,,80.0,-1.0,,444.0,,5400.0,-1.0,17811.0,-1.0,780.0,,,4689.0,-1.0,-1.0,,4000.0,-1.0,-1.0,18000.0
1969,25941.0,298.0,-1.0,-1.0,,-1.0,340.0,115.0,,-1.0,340.0,-1.0,1300.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,36867.0,,80.0,-1.0,,459.0,,5600.0,-1.0,25941.0,-1.0,705.0,,,4686.0,-1.0,-1.0,,4000.0,-1.0,-1.0,21000.0
1970,28742.0,377.0,-1.0,-1.0,,-1.0,340.0,115.0,,-1.0,340.0,-1.0,1600.0,-1.0,-1.0,,,-1.0,-1.0,-1.0,37362.0,,80.0,-1.0,,475.0,,5800.0,-1.0,28742.0,-1.0,700.0,,,4184.0,-1.0,-1.0,,4400.0,-1.0,-1.0,30000.0
