,USSR,Poland,Switzerland,Denmark,Mexico,France,Romania,Italy,Germany,Russian Federation,Sweden,Peru,United States of America,Latvia,Australia & New Zealand,Morocco,Norway,Canada,Uzbekistan,Lithuania,Bulgaria,Netherlands,Ukraine,New Zealand
1961,,,,,,,,,,,,,61525.0,,,,,29264.0,,,,,,
1962,,,,,,,,,,,,,61507.0,,,,,30058.0,,,,,,
1963,,,,,,,,,,,,,78421.0,,,,,27859.0,,,,,,
1964,,,,,,,,,,,,,60558.0,,,,,29028.0,,,,,,
1965,,,,,,,,,,,,,66378.0,,,,,28979.0,,,,,,
1966,,,,,,,,,,,4000.0,,64639.0,,,,,27892.0,,,,,,
1967,,,,,,,,,,,4067.0,,64639.0,,,,,28816.0,,,,,,
1968,,,,,,,,,,,4000.0,,64639.0,,,,,25031.0,,,,,,
1969,,,,,,,,,,,4032.0,,23920.0,,,,,27996.0,,,,,,
1970,,,,,,,,,,,4127.0,,22602.0,,,,,28991.0,,,,,,
1971,,,,,,,,,,,4063.0,,23310.0,,,,,29120.0,,,,,,
1972,,,,,,,,,,,6857.0,,21960.0,,5000.0,,,29010.0,,,,,,5000.0
1973,,,,,,,,,,,6286.0,,24048.0,,15000.0,,,28019.0,,,,,,15000.0
1974,,,,,,,,,,,6944.0,,25272.0,,40000.0,,,28993.0,,,,,,40000.0
1975,,,,,,,,,,,6667.0,,25083.0,,5000.0,,,27994.0,,,,,,5000.0
1976,,,,,,,,,,,6757.0,,24951.0,,8000.0,,,28635.0,,,,,,8000.0
1977,,,,,,,,,,,8421.0,,25070.0,,6250.0,,,31408.0,,,,,,6250.0
1978,,,,,,,,,,,8205.0,,25442.0,,8750.0,,,29128.0,,,,,,8750.0
1979,,,,,,,,,,,8250.0,,28213.0,,12857.0,,,33204.0,,,,,,12857.0
1980,,,,,,,,,,,7805.0,,31275.0,,1385.0,,,25272.0,,,,,,1385.0
1981,,,,,,,,,,,7750.0,,33210.0,,1086.0,,,29085.0,,,,,,1086.0
1982,,,,,,,,,,,7692.0,,28020.0,,1111.0,,,28335.0,,,,,,1111.0
1983,,,,,,,,,,,7595.0,,28093.0,,2053.0,,,28904.0,,,,,,2053.0
1984,,,,,,,,,,,7500.0,,25931.0,,2907.0,,,28908.0,,,,,,2907.0
1985,,,,,,,,76000.0,,,6784.0,,30040.0,,5776.0,,,29131.0,,,,,,5776.0
1986,,,,,,,,78375.0,,,6439.0,,31112.0,,9717.0,,,25197.0,,,,,,9717.0
1987,,,,,,,,92462.0,,,6076.0,,30114.0,,12658.0,,,28916.0,,,,,,12658.0
1988,,,,,,,,64500.0,,,5964.0,,32013.0,,15977.0,,,32861.0,,,,50000.0,,15977.0
1989,40000.0,,,,,,,77778.0,,,5949.0,,31411.0,,19010.0,30000.0,,19573.0,,,,50000.0,,19010.0
1990,40486.0,40000.0,,,,58824.0,,74494.0,,,5960.0,,30280.0,,35549.0,40000.0,,26282.0,,,,50000.0,,35549.0
1991,41841.0,43210.0,,,,55556.0,,71083.0,,,5897.0,,28177.0,,34286.0,50000.0,,23748.0,,,,40000.0,,34286.0
1992,,46721.0,,,,55556.0,33333.0,80000.0,,,5918.0,,37665.0,,36585.0,45091.0,,21370.0,50000.0,5714.0,,48571.0,,36585.0
1993,,49045.0,,,40000.0,52632.0,34162.0,76403.0,,,5867.0,,52288.0,,39053.0,45235.0,,20352.0,49916.0,7600.0,,41250.0,,39053.0
1994,,47500.0,,,53600.0,55000.0,25000.0,76959.0,,,5949.0,,42520.0,,42017.0,45340.0,,22650.0,49923.0,9714.0,,42857.0,,42017.0
1995,,44706.0,,,48150.0,47619.0,37143.0,77122.0,,,5918.0,,48083.0,,42583.0,45412.0,,23551.0,49929.0,15455.0,,40000.0,,42583.0
1996,,50000.0,,,55000.0,59091.0,38000.0,66667.0,,,5939.0,,38436.0,,42857.0,45452.0,,24683.0,49936.0,26563.0,,41111.0,,42857.0
1997,,49641.0,,,28250.0,63636.0,46227.0,66667.0,,,5944.0,,49272.0,,50000.0,45466.0,,21698.0,49943.0,23571.0,,37000.0,,50000.0
1998,,48857.0,,,33913.0,60870.0,51526.0,74711.0,,,5897.0,,49322.0,,47431.0,45456.0,,17599.0,50000.0,15769.0,,42222.0,,47431.0
1999,,53947.0,,,41818.0,65217.0,83333.0,96882.0,,,5918.0,,69648.0,,50000.0,45427.0,,28339.0,50000.0,12632.0,,45288.0,,50000.0
2000,,53750.0,,,47500.0,60000.0,56600.0,83158.0,,,5914.0,,82391.0,,43103.0,45382.0,,24679.0,50000.0,18571.0,,43514.0,61111.0,43103.0
2001,,66667.0,,,63333.0,64000.0,54545.0,96907.0,,,5949.0,,74300.0,,47075.0,45326.0,,27083.0,50000.0,21026.0,,43533.0,56000.0,47075.0
2002,,55000.0,,,53333.0,61538.0,50000.0,98962.0,,40000.0,5985.0,,68136.0,,47697.0,45260.0,,25123.0,50000.0,15800.0,,40000.0,75000.0,47697.0
2003,,46134.0,,,49167.0,61538.0,76923.0,70000.0,,41667.0,5897.0,,72623.0,,48238.0,45169.0,,28962.0,50000.0,19680.0,,45651.0,43750.0,48238.0
2004,,41452.0,,,46667.0,57143.0,46667.0,139537.0,,40000.0,5974.0,,69322.0,35000.0,50000.0,45056.0,,29227.0,50000.0,12107.0,,49301.0,41667.0,50000.0
