,Ukraine,Belgium,Serbia and Montenegro,Czechoslovakia,Cameroon,Serbia,Croatia,Qatar,USSR,Slovakia,Philippines,Haiti,Bosnia and Herzegovina,Puerto Rico,Romania,South Africa,Spain,Kazakhstan,France,Yugoslav SFR,Portugal,Poland,Netherlands,Russian Federation,Czechia,Belgium-Luxembourg
1961,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1.0,-1.0,-1.0,27700.0,12738.0,25068.0,-1.0,160050.0,2000.0,500.0,30000.0,-1.0,-1.0,-1,40000.0
1962,-1.0,-1.0,-1.0,7000.0,-1.0,-1.0,-1.0,-1.0,7500.0,-1.0,-1.0,-1.0,-1.0,-1.0,16200.0,6514.0,14810.0,-1.0,98110.0,2000.0,500.0,30000.0,-1.0,-1.0,-1,40000.0
1963,-1.0,-1.0,-1.0,7500.0,-1.0,-1.0,-1.0,-1.0,8000.0,-1.0,-1.0,-1.0,-1.0,-1.0,8600.0,8283.0,22190.0,-1.0,150530.0,2000.0,500.0,30000.0,-1.0,-1.0,-1,46856.0
1964,-1.0,-1.0,-1.0,12000.0,-1.0,-1.0,-1.0,-1.0,7400.0,-1.0,-1.0,-1.0,-1.0,-1.0,16000.0,14835.0,18184.0,-1.0,187340.0,2000.0,500.0,30000.0,-1.0,-1.0,-1,67515.0
1965,-1.0,-1.0,-1.0,6000.0,-1.0,-1.0,-1.0,-1.0,7600.0,-1.0,-1.0,-1.0,-1.0,-1.0,9900.0,14157.0,18831.0,-1.0,192690.0,2000.0,500.0,30000.0,-1.0,-1.0,-1,45968.0
1966,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,-1.0,8800.0,-1.0,-1.0,-1.0,-1.0,-1.0,13800.0,19274.0,21804.0,-1.0,145890.0,2000.0,500.0,30000.0,-1.0,-1.0,-1,29099.0
1967,-1.0,-1.0,-1.0,5500.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,13300.0,6180.0,18761.0,-1.0,107050.0,2000.0,1000.0,30000.0,-1.0,-1.0,-1,31778.0
1968,-1.0,-1.0,-1.0,5500.0,-1.0,-1.0,-1.0,-1.0,9000.0,-1.0,-1.0,-1.0,-1.0,-1.0,23500.0,11303.0,22021.0,-1.0,116190.0,2000.0,1000.0,40000.0,-1.0,-1.0,-1,39669.0
1969,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,-1.0,8600.0,-1.0,-1.0,-1.0,-1.0,-1.0,10700.0,12482.0,17076.0,-1.0,167160.0,2000.0,1500.0,15000.0,-1.0,-1.0,-1,43646.0
1970,-1.0,-1.0,-1.0,5500.0,-1.0,-1.0,-1.0,-1.0,8900.0,-1.0,-1.0,-1.0,-1.0,-1.0,8200.0,10821.0,12778.0,-1.0,222630.0,2000.0,1700.0,20000.0,-1.0,-1.0,-1,56757.0
1971,-1.0,-1.0,-1.0,5000.0,-1.0,-1.0,-1.0,-1.0,8900.0,-1.0,-1.0,-1.0,-1.0,-1.0,8100.0,21519.0,16600.0,-1.0,204640.0,1685.0,2000.0,15000.0,-1.0,-1.0,-1,54250.0
1972,-1.0,-1.0,-1.0,4500.0,-1.0,-1.0,-1.0,-1.0,8300.0,-1.0,-1.0,-1.0,-1.0,-1.0,8500.0,8893.0,5220.0,-1.0,91050.0,2309.0,13900.0,20000.0,-1.0,-1.0,-1,27398.0
1973,-1.0,-1.0,-1.0,4500.0,-1.0,-1.0,-1.0,-1.0,10000.0,-1.0,-1.0,-1.0,-1.0,-1.0,6600.0,3756.0,-1.0,-1.0,115500.0,870.0,11400.0,20000.0,-1.0,-1.0,-1,31301.0
1974,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,9200.0,-1.0,-1.0,-1.0,-1.0,-1.0,5700.0,11959.0,16904.0,-1.0,114000.0,950.0,11300.0,23000.0,-1.0,-1.0,-1,32085.0
1975,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,8300.0,-1.0,-1.0,-1.0,-1.0,-1.0,4600.0,11934.0,19551.0,-1.0,178850.0,4075.0,42400.0,28000.0,-1.0,-1.0,-1,61859.0
1976,-1.0,-1.0,-1.0,3600.0,-1.0,-1.0,-1.0,-1.0,8900.0,-1.0,-1.0,-1.0,-1.0,-1.0,3700.0,17752.0,19024.0,-1.0,128750.0,10268.0,28800.0,35000.0,-1.0,-1.0,-1,56094.0
1977,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,8100.0,-1.0,-1.0,-1.0,-1.0,-1.0,4900.0,15625.0,34201.0,-1.0,200025.0,13896.0,37800.0,55533.0,-1.0,-1.0,-1,60905.0
1978,-1.0,-1.0,-1.0,3000.0,-1.0,-1.0,-1.0,-1.0,8300.0,-1.0,-1.0,-1.0,-1.0,-1.0,6200.0,15416.0,27857.0,-1.0,184000.0,14396.0,41800.0,94400.0,-1.0,-1.0,-1,45780.0
1979,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,8100.0,-1.0,-1.0,-1.0,-1.0,-1.0,5100.0,16940.0,25847.0,-1.0,141000.0,7764.0,30040.0,50505.0,-1.0,-1.0,-1,34400.0
1980,-1.0,-1.0,-1.0,3500.0,-1.0,-1.0,-1.0,-1.0,7800.0,-1.0,-1.0,-1.0,-1.0,-1.0,5400.0,6106.0,24010.0,-1.0,122500.0,1850.0,12617.0,34172.0,-1.0,-1.0,-1,32144.0
1981,-1.0,-1.0,-1.0,4000.0,-1.0,-1.0,-1.0,-1.0,8500.0,-1.0,-1.0,-1.0,-1.0,-1.0,4400.0,15754.0,21360.0,-1.0,176000.0,4389.0,8499.0,44019.0,-1.0,-1.0,-1,34598.0
