,Kenya,"China, Hong Kong SAR",Croatia,Zambia,Philippines,Syrian Arab Republic,Martinique,Australia & New Zealand,Nepal,Ethiopia,Denmark,The former Yugoslav Republic of Macedonia,Greece,Tunisia,Zimbabwe,Iran (Islamic Republic of),Republic of Korea,Norway,Bahamas,Barbados,Guatemala,French Polynesia,Mauritius,Slovenia,United Arab Emirates,Madagascar,Saint Lucia,Haiti,Luxembourg,Israel,Dominica,Belgium,Switzerland,Italy,Egypt,Bosnia and Herzegovina,Germany,Uzbekistan,Colombia,Latvia,Trinidad and Tobago,Sweden,Lebanon,Kyrgyzstan,Occupied Palestinian Territory,Chile,Hungary,Portugal,Poland,"China, mainland",Ukraine,Bolivia (Plurinational State of),Peru,Yemen,Czechoslovakia,Malaysia,Grenada,Malta,Dominican Republic,Cabo Verde,United Kingdom,Canada,Japan,Pakistan,Australia,Venezuela (Bolivarian Republic of),Cyprus,Spain,New Zealand,Bahrain,Bulgaria,United States of America,Bangladesh,Democratic Republic of the Congo,Thailand,Djibouti,Kuwait,Czechia,French Guiana,Costa Rica,India,Guadeloupe,Austria,Niger,China,Morocco,Congo,Qatar,Mexico,Romania,Ecuador,Honduras,Jordan,Puerto Rico,Ireland,Albania,Slovakia,Jamaica,Brunei Darussalam,France,South Africa,Singapore,Polynesia,Réunion,Panama,Finland,Netherlands,Iraq,Turkey,Belgium-Luxembourg
1961,-1.0,5665.0,-1.0,-1,-1.0,15000.0,1000.0,33540.0,-1.0,-1.0,2000.0,-1.0,22120.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5200.0,-1.0,260.0,-1.0,-1.0,250.0,-1.0,250.0,-1.0,3600.0,-1.0,-1.0,43000.0,608300.0,32000.0,-1.0,78100.0,-1.0,10000.0,-1.0,45.0,9200.0,9500.0,-1.0,-1.0,13500.0,30306.0,20000.0,-1.0,2220000.0,-1.0,8000.0,13500.0,-1.0,34000.0,-1.0,-1.0,-1.0,3071.0,-1.0,124974.0,24388.0,22930.0,-1.0,21240.0,6700.0,450.0,421000.0,12300.0,-1.0,20000.0,1726091.0,48000.0,13420.0,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,250000.0,1000.0,7666.0,-1.0,2225665.0,300.0,-1.0,-1.0,8150.0,-1.0,11960.0,-1.0,3654.0,-1.0,200.0,-1.0,-1.0,1087.0,-1.0,458000.0,5213.0,264.0,-1.0,-1.0,1600.0,-1.0,82909.0,8266.0,51000.0,95610.0
1962,-1.0,5597.0,-1.0,-1,-1.0,16000.0,1100.0,33923.0,-1.0,-1.0,2000.0,-1.0,16683.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5300.0,-1.0,320.0,-1.0,-1.0,300.0,-1.0,260.0,-1.0,3950.0,-1.0,-1.0,42000.0,660700.0,33000.0,-1.0,65400.0,-1.0,10000.0,-1.0,50.0,9200.0,10000.0,-1.0,-1.0,14000.0,28369.0,21000.0,-1.0,1670000.0,-1.0,8300.0,14000.0,-1.0,35272.0,-1.0,-1.0,-1.0,3164.0,-1.0,128022.0,29662.0,26960.0,-1.0,21733.0,7000.0,450.0,365000.0,12190.0,-1.0,20000.0,1703412.0,51000.0,10388.0,110.0,-1.0,-1.0,-1.0,-1.0,-1.0,265000.0,1000.0,6861.0,-1.0,1675597.0,300.0,-1.0,-1.0,8250.0,-1.0,21625.0,-1.0,2871.0,-1.0,200.0,-1.0,-1.0,816.0,-1.0,443000.0,7736.0,305.0,-1.0,-1.0,1800.0,-1.0,76795.0,16780.0,53000.0,127788.0
1963,-1.0,5570.0,-1.0,-1,-1.0,17419.0,1100.0,38594.0,-1.0,-1.0,2000.0,-1.0,22497.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5400.0,-1.0,312.0,-1.0,-1.0,350.0,-1.0,270.0,-1.0,3550.0,-1.0,-1.0,44500.0,725800.0,37000.0,-1.0,70600.0,-1.0,11000.0,-1.0,52.0,9200.0,10000.0,-1.0,-1.0,14500.0,26477.0,20000.0,-1.0,1490000.0,-1.0,9000.0,15000.0,-1.0,36789.0,-1.0,-1.0,-1.0,3260.0,-1.0,118878.0,24526.0,30680.0,-1.0,22344.0,7400.0,450.0,382000.0,16250.0,-1.0,21289.0,1780568.0,54000.0,10325.0,120.0,-1.0,-1.0,-1.0,-1.0,-1.0,271000.0,1100.0,5394.0,-1.0,1495570.0,200.0,-1.0,-1.0,8350.0,-1.0,24830.0,-1.0,2384.0,-1.0,200.0,-1.0,-1.0,907.0,-1.0,435000.0,9600.0,254.0,-1.0,-1.0,2000.0,-1.0,92481.0,24147.0,55000.0,145530.0
1964,-1.0,6166.0,-1.0,-1,-1.0,17000.0,1100.0,40745.0,-1.0,-1.0,2000.0,-1.0,20232.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5500.0,-1.0,257.0,-1.0,-1.0,400.0,-1.0,280.0,-1.0,3500.0,-1.0,-1.0,46600.0,751000.0,38000.0,-1.0,66000.0,-1.0,11000.0,-1.0,46.0,9200.0,12000.0,-1.0,-1.0,15000.0,25355.0,20000.0,-1.0,1330000.0,-1.0,8000.0,14000.0,-1.0,32976.0,-1.0,-1.0,-1.0,3271.0,-1.0,125990.0,25885.0,35300.0,-1.0,22745.0,7600.0,450.0,366000.0,18000.0,-1.0,17160.0,1775215.0,57000.0,16232.0,130.0,-1.0,-1.0,-1.0,-1.0,-1.0,280000.0,1200.0,9339.0,-1.0,1336166.0,200.0,-1.0,-1.0,8350.0,-1.0,16349.0,-1.0,4039.0,-1.0,200.0,-1.0,-1.0,2134.0,-1.0,484000.0,10000.0,203.0,-1.0,-1.0,2200.0,-1.0,99402.0,11897.0,56000.0,168956.0
1965,-1.0,6347.0,-1.0,-1,-1.0,17030.0,1200.0,39937.0,-1.0,-1.0,2358.0,-1.0,20100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5670.0,-1.0,379.0,-1.0,-1.0,500.0,-1.0,300.0,-1.0,4600.0,-1.0,-1.0,17600.0,750200.0,43641.0,-1.0,69900.0,-1.0,12000.0,-1.0,40.0,9200.0,10500.0,-1.0,-1.0,15884.0,29189.0,20000.0,-1.0,1400000.0,-1.0,7800.0,14700.0,-1.0,32020.0,-1.0,-1.0,-1.0,3311.0,-1.0,136151.0,26091.0,50211.0,-1.0,23677.0,7800.0,450.0,357000.0,16260.0,-1.0,9065.0,1854457.0,60000.0,2688.0,140.0,-1.0,-1.0,-1.0,-1.0,-1.0,295000.0,1200.0,4799.0,-1.0,1406347.0,200.0,-1.0,-1.0,8400.0,-1.0,13236.0,-1.0,3487.0,-1.0,200.0,-1.0,-1.0,3048.0,-1.0,484900.0,10000.0,203.0,-1.0,-1.0,2300.0,-1.0,110635.0,20000.0,58000.0,144488.0
1966,-1.0,14000.0,-1.0,-1,-1.0,17004.0,1200.0,38120.0,-1.0,-1.0,2324.0,-1.0,25227.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5715.0,-1.0,371.0,-1.0,-1.0,600.0,-1.0,270.0,-1.0,4900.0,-1.0,-1.0,18600.0,762900.0,48213.0,-1.0,77519.0,-1.0,12000.0,-1.0,61.0,9700.0,10500.0,-1.0,-1.0,16000.0,28128.0,21000.0,-1.0,1340000.0,-1.0,8500.0,14750.0,-1.0,32523.0,-1.0,-1.0,-1.0,3308.0,-1.0,146108.0,21872.0,66471.0,-1.0,24714.0,7680.0,450.0,354400.0,13406.0,-1.0,10394.0,1883941.0,63000.0,2869.0,150.0,-1.0,-1.0,-1.0,-1.0,-1.0,305000.0,1300.0,9966.0,-1.0,1354000.0,150.0,-1.0,-1.0,8500.0,-1.0,18726.0,-1.0,3200.0,-1.0,200.0,-1.0,-1.0,3048.0,-1.0,473900.0,10000.0,-1.0,-1.0,-1.0,2800.0,-1.0,97309.0,26606.0,60000.0,142140.0
1967,-1.0,17000.0,-1.0,-1,-1.0,17671.0,1200.0,39132.0,-1.0,-1.0,2037.0,-1.0,23421.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4284.0,-1.0,172.0,-1.0,10.0,700.0,-1.0,270.0,-1.0,4350.0,-1.0,-1.0,18700.0,738300.0,49663.0,-1.0,80941.0,-1.0,13000.0,-1.0,66.0,9900.0,13340.0,-1.0,-1.0,16500.0,23836.0,21000.0,-1.0,1350000.0,-1.0,8500.0,19886.0,-1.0,34034.0,-1.0,-1.0,-1.0,3368.0,-1.0,136354.0,25653.0,89018.0,-1.0,25034.0,7781.0,450.0,366700.0,14098.0,-1.0,8574.0,1948895.0,65000.0,3050.0,160.0,-1.0,-1.0,-1.0,-1.0,-1.0,312000.0,1300.0,8592.0,-1.0,1367000.0,200.0,-1.0,-1.0,8600.0,-1.0,14418.0,-1.0,2763.0,-1.0,200.0,-1.0,-1.0,2722.0,-1.0,470500.0,10000.0,-1.0,-1.0,-1.0,3500.0,-1.0,122882.0,31511.0,60000.0,208324.0
1968,-1.0,14000.0,-1.0,-1,-1.0,16097.0,1300.0,39145.0,-1.0,-1.0,2331.0,-1.0,33143.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5000.0,-1.0,289.0,-1.0,10.0,700.0,-1.0,280.0,-1.0,5250.0,-1.0,-1.0,18770.0,703000.0,59000.0,-1.0,82436.0,-1.0,13000.0,-1.0,67.0,10200.0,11456.0,-1.0,-1.0,17000.0,29341.0,21000.0,-1.0,1340000.0,-1.0,9000.0,15449.0,-1.0,34115.0,-1.0,-1.0,-1.0,3455.0,-1.0,137370.0,28715.0,115095.0,-1.0,25279.0,7884.0,450.0,338500.0,13866.0,-1.0,6968.0,2008179.0,68000.0,1220.0,170.0,-1.0,-1.0,-1.0,-1.0,-1.0,321000.0,1300.0,9703.0,-1.0,1354000.0,200.0,-1.0,-1.0,8800.0,-1.0,15482.0,-1.0,1585.0,-1.0,200.0,-1.0,-1.0,2370.0,-1.0,439300.0,12000.0,-1.0,-1.0,-1.0,4300.0,-1.0,122735.0,37581.0,65567.0,203300.0
1969,-1.0,17000.0,-1.0,-1,-1.0,14910.0,1300.0,48333.0,-1.0,-1.0,3318.0,-1.0,48072.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5704.0,-1.0,270.0,-1.0,5.0,800.0,-1.0,280.0,-1.0,5450.0,-1.0,-1.0,18800.0,767790.0,59000.0,-1.0,81100.0,-1.0,14000.0,-1.0,52.0,10700.0,16330.0,-1.0,-1.0,17500.0,28319.0,22000.0,-1.0,1450000.0,-1.0,9000.0,17791.0,-1.0,23341.0,-1.0,-1.0,-1.0,3575.0,-1.0,140317.0,23836.0,139179.0,-1.0,32146.0,7988.0,450.0,333500.0,16187.0,-1.0,8620.0,2035440.0,72084.0,3000.0,180.0,-1.0,-1.0,-1.0,-1.0,-1.0,350000.0,1300.0,13873.0,-1.0,1467000.0,200.0,-1.0,-1.0,9000.0,-1.0,10982.0,-1.0,1000.0,-1.0,200.0,-1.0,-1.0,1149.0,-1.0,468900.0,15000.0,-1.0,-1.0,-1.0,4800.0,-1.0,141267.0,40866.0,53158.0,222600.0
1970,-1.0,15000.0,-1.0,-1,-1.0,13062.0,1400.0,49823.0,-1.0,-1.0,3168.0,-1.0,33461.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5865.0,-1.0,326.0,-1.0,20.0,700.0,-1.0,300.0,-1.0,6850.0,-1.0,-1.0,18800.0,773900.0,69000.0,-1.0,87739.0,-1.0,14000.0,-1.0,52.0,11000.0,18433.0,-1.0,-1.0,18000.0,28254.0,22000.0,-1.0,1080000.0,-1.0,9000.0,23128.0,-1.0,23053.0,-1.0,-1.0,-1.0,3669.0,-1.0,173846.0,27276.0,168000.0,-1.0,35695.0,8093.0,450.0,346500.0,14128.0,-1.0,7574.0,2111008.0,64595.0,4000.0,190.0,-1.0,-1.0,-1.0,-1.0,-1.0,355000.0,4200.0,13687.0,-1.0,1095000.0,150.0,-1.0,-1.0,10000.0,-1.0,11286.0,-1.0,1197.0,-1.0,300.0,-1.0,-1.0,2148.0,-1.0,441400.0,18000.0,-1.0,-1.0,-1.0,1600.0,-1.0,135392.0,31754.0,66000.0,229400.0
